Begin_year;Begin_month;End_year;End_month;dataset_name;dataset_doi;country
2017;8;2018;2;MLI_2017_EAC-I_v03_M;https://doi.org/10.48529/0v50-h966;mali
2018;7;2019;2;NGA_2018_GHSP-W4_v03_M;https://doi.org/10.48529/1hgw-dq47;nigeria
2014;9;2015;3;NER_2014_ECVMA-II_v02_M;https://doi.org/10.48529/3xnb-sd96;niger
2010;;2013;;MWI_2010-2013_IHPS_v01_M;https://doi.org/10.48529/4q9f-2288;malawi
2011;11;2012;11;UGA_2011_UNPS_v01_M;https://doi.org/10.48529/5cpp-r373;uganda
2015;9;2016;4;NGA_2015_GHSP-W3_v02_M;https://doi.org/10.48529/7xmj-q133;nigeria
2011;9;2012;3;ETH_2011_ERSS_v02_M;https://doi.org/10.48529/80xt-9m68;ethiopia
2015;9;2016;4;ETH_2015_ESS_v03_M;https://doi.org/10.48529/ampf-7988;ethiopia
2011;7;2012;1;NER_2011_ECVMA_V01_M;https://doi.org/10.48529/bp16-s524;niger
2013;9;2014;8;UGA_2013_UNPS_v02_M;https://doi.org/10.48529/c1c4-h654;uganda
2016;4;2017;4;MWI_2016_IHS-IV_v04_M;https://doi.org/10.48529/g2p9-9r19;malawi
2015;3;2016;3;UGA_2015_UNPS_v02_M;https://doi.org/10.48529/hm2z-2k12;uganda
2018;9;2019;8;ETH_2018_ESS_v03_M;https://doi.org/10.48529/k739-c548;ethiopia
2013;9;2013;10;ETH_2013_ESS_v03_M;https://doi.org/10.48529/mccp-y123;ethiopia
2019;3;2020;2;UGA_2019_UNPS_v03_M;https://doi.org/10.48529/nqzx-f196;uganda
2014;7;2015;10;MLI_2014_EACI_v03_M;https://doi.org/10.48529/qqam-mn86;mali
2018;2;2019;1;UGA_2018_UNPS_v02_M;https://doi.org/10.48529/ttyg-m774;uganda
2010;3;2011;3;MWI_2010_IHS-III_v01_M;https://doi.org/10.48529/w1jq-qh85;malawi
2019;4;2020;4;MWI_2019_IHS-V_v05_M;https://doi.org/10.48529/yqn3-zv74;malawi
