country,year,varName_harmonized,varName_source,varLabel_source,comment,pctMissing
Ethiopia,2011-12,hhID,household_id,Household ID unique,NA,0
Ethiopia,2011-12,fieldID,parcel_id,Parcel ID,"not based on fieldID, but on parcelID",0
Ethiopia,2011-12,plotID,field_id,Field ID,"plot_ID may not be unique, based on fieldID",0
Ethiopia,2011-12,crop,crop_name,Crop Name,crop_name and crop_id don't match,0
Ethiopia,2011-12,crop_area_share,pp_s4q03,"Approximately, how much of the [Field] was planted with [Crop]?",NA,61.058594683138246
Ethiopia,2011-12,planting_month,pp_s4q12_a,When did you plant the seeds for the [Crop] on this [Field]? (Month),The value 13 describes the 13th month of the Ethiopian calendar Pagume (6th September - 10th September/ 11th Sepember in leap years),16.41470156639252
Ethiopia,2011-12,planting_year,pp_s4q12_b,When did you plant the seeds for the [Crop] on this [Field]? (EC Year),range: 0 - 8000,16.595570419410983
Ethiopia,2011-12,harvest_month_begin,ph_s9q13_a,What were the months when the harvest started and ended? (Start Month),"The value 13 describes the 13th month of the Ethiopian calendar Pagume (6th September - 10th September/ 11th Sepember in leap years), values up to 23",89.42429102822237
Ethiopia,2011-12,harvest_month_end,ph_s9q13_b,What were the months when the harvest started and ended? (End Month),"The value 13 describes the 13th month of the Ethiopian calendar Pagume (6th September - 10th September/ 11th Sepember in leap years), values up to 23",89.51301914479745
Ethiopia,2011-12,adm1,region,Region,no region 14,0
Ethiopia,2011-12,adm2,zonename,Zone Name,NA,16.21335699416442
Ethiopia,2011-12,adm3,woredaname,Woreda Name,NA,23.738183803706107
Ethiopia,2011-12,lat,LAT_DD_MOD,EA Latitude (WGS84) Modified,NA,0.2627717298570112
Ethiopia,2011-12,lon,LON_DD_MOD,EA Longitude (WGS84) Modified,NA,0.2627717298570112
Ethiopia,2011-12,GPS_level,NA,NA,NA,0.2627717298570112
Ethiopia,2011-12,plot_area_reported_localUnit,pp_s3q02_d,What is the area of [Field]? (Total Area),NA,0.43340272327065493
Ethiopia,2011-12,localUnit_area,pp_s3q02_c,What is the area of [Field]? (Unit),NA,0.4265774835341091
Ethiopia,2011-12,plot_area_measured_ha,pp_s3q05_c,GPS measured area of [Field] (Total Square Meters),NA,17.18595365662219
Ethiopia,2011-12,plot_area_reported_ha,NA,NA,NA,29.822885028836637
Ethiopia,2011-12,harvest_year_begin,NA,NA,NA,100
Ethiopia,2011-12,harvest_year_end,NA,NA,NA,100
Ethiopia,2011-12,adm4,NA,NA,NA,100
Ethiopia,2011-12,dataset_name,NA,NA,NA,NA
Ethiopia,2011-12,dataset_doi,NA,NA,NA,0
Ethiopia,2013-14,hhID,household_id2,Unique HH ID in wave 2,NA,0
Ethiopia,2013-14,fieldID,parcel_id,Parcel ID,"not based on fieldID, but on parcelID",0
Ethiopia,2013-14,plotID,field_id,Field ID,"plot_ID may not be unique, based on fieldID",0
Ethiopia,2013-14,crop,"pp_s4q01_a, ph_s9q0d",Crop Name,crop_name and crop_id don't match,0
Ethiopia,2013-14,crop_area_share,pp_s4q03,"Approximately, how much of the [Field] was planted with [Crop]?",NA,59.59230642774946
Ethiopia,2013-14,planting_month,pp_s4q12_a,When did you plant the seeds for the [Crop] on this [Field]? (Month),The value 13 describes the 13th month of the Ethiopian calendar Pagume (6th September - 10th September/ 11th Sepember in leap years),27.210258096334044
Ethiopia,2013-14,planting_year,pp_s4q12_b,When did you plant the seeds for the [Crop] on this [Field]? (EC Year),year 2204 included,27.236560907446982
Ethiopia,2013-14,harvest_month_begin,ph_s9q07_a,What were the months when the harvest started ?,The value 13 describes the 13th month of the Ethiopian calendar Pagume (6th September - 10th September/ 11th Sepember in leap years),12.97386158145652
Ethiopia,2013-14,harvest_month_end,ph_s9q07_b,What were the months when the harvest ended?,"The value 13 describes the 13th month of the Ethiopian calendar Pagume (6th September - 10th September/ 11th Sepember in leap years), some months are 0",13.121814893966793
Ethiopia,2013-14,adm1,region,Region Name,NA,0.2696038139076114
Ethiopia,2013-14,adm2,zonename,Zone Name,NA,15.633733355252344
Ethiopia,2013-14,adm3,woredaname,Woreda Name,NA,24.356403090580304
Ethiopia,2013-14,lat,lat_dd_mod,lat_dd_mod,NA,0
Ethiopia,2013-14,lon,lon_dd_mod,lon_dd_mod,NA,0
Ethiopia,2013-14,GPS_level,NA,NA,NA,0
Ethiopia,2013-14,plot_area_reported_localUnit,pp_s3q02_a,What is the area of [Field]? (Area),NA,1.9398323195791551
Ethiopia,2013-14,localUnit_area,pp_s3q02_c,What is the area of [Field]? (Unit),NA,1.9496958737465067
Ethiopia,2013-14,plot_area_measured_ha,pp_s3q05_a,Area of [Field] (Square Meters),NA,5.267137925365774
Ethiopia,2013-14,plot_area_reported_ha,NA,NA,NA,42.824264343251684
Ethiopia,2013-14,harvest_year_begin,NA,NA,NA,100
Ethiopia,2013-14,harvest_year_end,NA,NA,NA,100
Ethiopia,2013-14,adm4,NA,NA,NA,100
Ethiopia,2013-14,dataset_name,NA,NA,NA,NA
Ethiopia,2013-14,dataset_doi,NA,NA,NA,0
Ethiopia,2015-16,hhID,household_id2,Unique HH ID in wave 2,NA,0
Ethiopia,2015-16,fieldID,parcel_id,Parcel ID,"not based on fieldID, but on parcelID",0
Ethiopia,2015-16,plotID,field_id,Field ID,"plot_ID may not be unique, based on fieldID",0
Ethiopia,2015-16,crop,"pp_s4q01_a, crop_name",Crop Name,crop_name and crop_id don't match,0
Ethiopia,2015-16,crop_area_share,pp_s4q03,"Approximately, how much of the [Field] was planted with [Crop]?",NA,60.35068059721169
Ethiopia,2015-16,planting_month,pp_s4q12_a,When did you plant the seeds for the [Crop] on this [Field]? (Month),The value 13 describes the 13th month of the Ethiopian calendar Pagume (6th September - 10th September/ 11th Sepember in leap years),46.9727431528295
Ethiopia,2015-16,planting_year,pp_s4q12_b,When did you plant the seeds for the [Crop] on this [Field]? (EC Year),NA,46.98592663392769
Ethiopia,2015-16,harvest_month_begin,ph_s9q07_a,What were the months when the harvest started ?,The value 13 describes the 13th month of the Ethiopian calendar Pagume (6th September - 10th September/ 11th Sepember in leap years),14.673214462278764
Ethiopia,2015-16,harvest_month_end,ph_s9q07_b,What were the months when the harvest ended?,The value 13 describes the 13th month of the Ethiopian calendar Pagume (6th September - 10th September/ 11th Sepember in leap years),14.673214462278764
Ethiopia,2015-16,adm1,region,Region Name,NA,0.3229952869055074
Ethiopia,2015-16,adm2,zonename,Zone Name,NA,13.463630071520386
Ethiopia,2015-16,adm3,woredaname,Woreda Name,NA,21.502257671138064
Ethiopia,2015-16,lat,lat_dd_mod,EA Latitude (WGS84) Modified,NA,0.3229952869055074
Ethiopia,2015-16,lon,lon_dd_mod,EA Longitude (WGS84) Modified,NA,0.3229952869055074
Ethiopia,2015-16,GPS_level,NA,NA,NA,0.3229952869055074
Ethiopia,2015-16,plot_area_reported_localUnit,pp_s3q02_a,What is the area of [Field]? (Area),NA,1.09422893114927
Ethiopia,2015-16,localUnit_area,pp_s3q02_c,What is the area of [Field]? (Unit),NA,1.1337793744438218
Ethiopia,2015-16,plot_area_measured_ha,pp_s3q05_a,Area of [Field] (Square Meters),NA,2.3664348571240237
Ethiopia,2015-16,plot_area_reported_ha,NA,NA,NA,51.97917009986487
Ethiopia,2015-16,harvest_year_begin,NA,NA,NA,100
Ethiopia,2015-16,harvest_year_end,NA,NA,NA,100
Ethiopia,2015-16,adm4,NA,NA,NA,100
Ethiopia,2015-16,dataset_name,NA,NA,NA,NA
Ethiopia,2015-16,dataset_doi,NA,NA,NA,0
Ethiopia,2018-19,hhID,household_id,Unique Household Indentifier,NA,0
Ethiopia,2018-19,fieldID,parcel_id,Unique Parcel Identifier,"not based on fieldID, but on parcelID",0
Ethiopia,2018-19,plotID,field_id,Unique Field Identifier,"plot_ID may not be unique, based on fieldID",0
Ethiopia,2018-19,crop,"s4q01b, s9q00b","1b.CROP CODE, 1.Crop code","white cumin and white lumin may be the same crop, crop_name and crop_id don't match",0
Ethiopia,2018-19,crop_area_share,s4q03,"3.Approximately, how much of [FIELD] was planted with [CROP]?",NA,64.2332334097455
