occ,y2_hhid,qx_type,interview_status,fs_a_start,fs_a_end,fs_b_start,fs_b_end,fs_b_start_day,fs_b_start_month,fs_b_start_hour,fs_b_start_minute,fs_b_end_hour,fs_b_end_minute,fs_c_start,fs_c_end,fs_c_start_day,fs_c_start_month,fs_c_start_hour,fs_c_start_minute,fs_c_end_hour,fs_c_end_minute,fs_d_start,fs_d_end,fs_d_start_day,fs_d_start_month,fs_d_start_hour,fs_d_start_minute,fs_d_end_hour,fs_d_end_minute,fs_e_start,fs_e_end,fs_e_start_day,fs_e_start_month,fs_e_start_hour,fs_e_start_minute,fs_e_end_hour,fs_e_end_minute,fs_f_start,fs_f_end,fs_f_start_day,fs_f_start_month,fs_f_start_hour,fs_f_start_minute,fs_f_end_hour,fs_f_end_minute,fs_g_start,fs_g_end,fs_g_start_day,fs_g_start_month,fs_g_start_hour,fs_g_start_minute,fs_g_end_hour,fs_g_end_minute,fs_h_start,fs_h_end,fs_h_start_day,fs_h_start_month,fs_h_start_hour,fs_h_start_minute,fs_h_end_hour,fs_h_end_minute,fs_i_start,fs_i_end,fs_i_start_day,fs_i_start_month,fs_i_start_hour,fs_i_start_minute,fs_i_end_hour,fs_i_end_minute,fs_j_start,fs_j_end,fs_j_start_day,fs_j_start_month,fs_j_start_hour,fs_j_start_minute,fs_j_end_hour,fs_j_end_minute
1,0163-001,PANEL A,Panel A - 2 Visits,,25/06/13 14:06:28,25/06/13 14:06:28,25/06/13 14:06:55,24,6,11,11,11,12,25/06/13 14:06:55,25/06/13 14:07:26,24,JUNE,11,12,11,12,25/06/13 14:07:26,25/06/13 14:09:00,24,JUNE,11,12,11,13,25/06/13 14:09:00,25/06/13 14:09:39,24,JUNE,11,13,11,14,25/06/13 14:09:39,25/06/13 14:10:47,24,JUNE,11,14,11,17,25/06/13 14:10:47,25/06/13 14:11:13,24,JUNE,11,17,11,18,25/06/13 14:11:13,25/06/13 14:12:47,24,JUNE,11,18,11,18,25/06/13 14:12:47,25/06/13 14:13:08,24,JUNE,11,18,11,19,25/06/13 14:13:08,25/06/13 14:14:00,24,JUNE,11,19,11,21
1,0182-001,PANEL B,Panel B - 2 Visits,,,21/09/13 15:36:24,21/09/13 15:37:21,13,9,13,18,13,20,21/09/13 15:37:21,21/09/13 15:38:07,13,SEPTEMBER,13,20,13,24,21/09/13 15:38:07,21/09/13 15:39:44,13,SEPTEMBER,13,24,13,30,21/09/13 15:39:44,21/09/13 15:40:02,13,SEPTEMBER,13,30,13,32,21/09/13 15:40:02,21/09/13 15:41:07,13,SEPTEMBER,13,32,13,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0192-003,PANEL B,Panel B - 2 Visits,,,28/01/14 11:03:41,28/01/14 11:04:20,26,9,16,33,16,35,28/01/14 11:04:20,28/01/14 11:04:58,26,SEPTEMBER,16,36,16,38,28/01/14 11:04:58,28/01/14 11:06:45,26,SEPTEMBER,16,38,16,2,28/01/14 11:06:46,28/01/14 11:14:16,26,SEPTEMBER,16,42,16,46,28/01/14 11:14:16,28/01/14 11:14:50,26,SEPTEMBER,16,46,16,47,28/01/14 11:14:50,28/01/14 11:15:23,26,SEPTEMBER,16,47,16,49,28/01/14 11:15:23,28/01/14 11:18:10,26,SEPTEMBER,16,49,16,52,28/01/14 11:18:10,28/01/14 11:21:36,26,SEPTEMBER,16,52,16,55,28/01/14 11:21:36,28/01/14 11:22:21,26,SEPTEMBER,16,55,16,55
1,0203-001,PANEL A,Panel A - 2 Visits,,27/05/13 05:44:05,27/05/13 05:44:05,27/05/13 05:44:38,21,5,15,56,15,58,27/05/13 05:44:38,27/05/13 05:45:03,21,MAY,15,58,16,4,27/05/13 05:45:03,27/05/13 05:46:17,21,MAY,16,6,16,17,27/05/13 05:46:17,27/05/13 05:46:40,21,MAY,16,17,16,19,27/05/13 05:46:40,27/05/13 05:46:55,21,MAY,16,19,16,20,27/05/13 05:46:55,27/05/13 05:47:56,21,MAY,16,20,16,21,27/05/13 05:47:56,27/05/13 05:49:15,21,MAY,16,21,16,26,27/05/13 05:49:15,27/05/13 05:49:38,21,MAY,16,27,16,29,27/05/13 05:49:38,27/05/13 05:49:52,21,MAY,16,30,16,31
1,0232-001,PANEL B,Panel B - 2 Visits,,,26/09/13 10:24:01,26/09/13 10:24:24,23,9,16,1,16,3,26/09/13 10:24:24,26/09/13 10:24:58,23,SEPTEMBER,16,3,16,5,26/09/13 10:24:58,26/09/13 10:26:31,23,SEPTEMBER,16,5,16,20,26/09/13 10:26:31,26/09/13 10:28:53,23,SEPTEMBER,16,20,16,27,26/09/13 10:28:53,26/09/13 10:29:04,23,SEPTEMBER,16,27,16,28,26/09/13 10:29:04,26/09/13 10:29:31,23,SEPTEMBER,16,28,16,31,26/09/13 10:29:31,26/09/13 10:30:35,23,SEPTEMBER,16,31,16,35,26/09/13 10:30:35,26/09/13 10:31:56,23,SEPTEMBER,16,35,16,39,26/09/13 10:31:56,26/09/13 10:32:04,23,SEPTEMBER,16,39,16,35
1,0240-001,PANEL B,Panel B - 2 Visits,,,27/09/13 10:34:48,27/09/13 10:35:06,23,9,13,30,13,36,27/09/13 10:35:06,27/09/13 10:35:32,23,SEPTEMBER,13,36,13,40,27/09/13 10:35:32,27/09/13 10:36:13,23,SEPTEMBER,13,40,13,45,27/09/13 10:36:13,27/09/13 10:36:28,23,SEPTEMBER,13,45,13,48,27/09/13 10:36:28,27/09/13 10:37:09,23,SEPTEMBER,13,48,13,52,27/09/13 10:37:09,27/09/13 10:37:28,23,SEPTEMBER,13,52,13,57,27/09/13 10:37:28,27/09/13 10:37:55,23,SEPTEMBER,13,57,14,2,27/09/13 10:37:55,27/09/13 10:38:14,23,SEPTEMBER,14,2,14,7,27/09/13 10:38:14,27/09/13 10:39:11,23,SEPTEMBER,14,7,14,12
1,0266-001,PANEL B,Panel B - 2 Visits,,,30/08/13 18:51:51,30/08/13 18:52:15,22,8,10,46,10,49,30/08/13 18:52:15,30/08/13 18:53:08,22,AUGUST,10,49,10,54,30/08/13 18:53:08,30/08/13 18:56:00,22,AUGUST,10,54,11,3,30/08/13 18:56:00,30/08/13 18:57:24,22,AUGUST,11,3,11,14,30/08/13 18:57:24,30/08/13 18:57:39,22,AUGUST,11,14,11,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0268-001,PANEL B,Panel B - 2 Visits,,,,22/11/13 04:11:13,22,8,17,6,17,10,,22/11/13 04:11:33,22,AUGUST,17,10,17,13,,22/11/13 04:12:48,22,AUGUST,17,13,17,14,,22/11/13 04:13:08,22,AUGUST,17,14,17,17,,22/11/13 04:15:02,22,AUGUST,17,17,17,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0279-001,PANEL A,Panel A - 2 Visits,,17/07/13 14:59:49,17/07/13 14:59:49,17/07/13 15:00:41,5,7,12,27,12,29,17/07/13 15:00:41,17/07/13 15:02:09,5,JULY,12,32,12,35,17/07/13 15:02:09,19/07/13 18:18:01,5,JULY,12,36,12,39,19/07/13 18:18:01,19/07/13 18:22:20,5,JULY,12,41,12,47,19/07/13 18:22:20,19/07/13 18:24:38,5,JULY,12,49,12,57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0297-002,PANEL A,Panel A - 2 Visits,,,,22/10/13 10:54:50,25,4,15,0,15,1,,22/10/13 10:55:54,25,APRIL,15,1,15,2,,22/10/13 10:58:31,25,APRIL,15,2,15,8,,22/10/13 11:00:36,25,APRIL,15,9,15,15,,22/10/13 11:01:06,25,APRIL,15,15,15,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0300-001,PANEL B,Panel B - 2 Visits,,,27/09/13 08:33:12,27/09/13 08:34:50,18,9,9,43,9,49,27/09/13 08:34:50,27/09/13 08:35:31,18,SEPTEMBER,9,49,10,3,27/09/13 08:35:31,27/09/13 08:36:51,18,SEPTEMBER,10,4,10,16,27/09/13 08:36:51,27/09/13 08:40:02,18,SEPTEMBER,10,17,10,24,27/09/13 08:40:02,27/09/13 08:40:58,18,SEPTEMBER,10,25,10,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0301-001,PANEL A,Panel A - 2 Visits,,30/04/13 15:10:49,30/04/13 15:10:49,30/04/13 15:11:46,23,4,13,6,13,8,30/04/13 15:11:46,30/04/13 15:13:07,23,APRIL,13,9,13,11,30/04/13 15:13:07,30/04/13 15:16:33,23,APRIL,13,12,13,26,30/04/13 15:16:33,30/04/13 15:22:21,23,APRIL,13,27,13,38,30/04/13 15:22:21,30/04/13 15:22:49,23,APRIL,13,39,13,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0306-004,PANEL B,Panel B - 2 Visits,,,26/09/13 17:58:30,26/09/13 17:59:07,19,9,13,8,13,11,26/09/13 17:59:07,26/09/13 17:59:29,19,SEPTEMBER,13,11,13,14,26/09/13 17:59:29,26/09/13 18:03:11,19,SEPTEMBER,13,14,13,16,26/09/13 18:03:11,26/09/13 18:03:41,19,SEPTEMBER,13,16,13,17,26/09/13 18:03:41,26/09/13 18:05:43,19,SEPTEMBER,13,17,13,21,26/09/13 18:05:43,26/09/13 18:07:02,19,SEPTEMBER,13,21,13,23,26/09/13 18:07:02,26/09/13 18:09:53,19,SEPTEMBER,13,23,13,25,26/09/13 18:09:53,26/09/13 18:10:24,19,SEPTEMBER,13,26,13,28,26/09/13 18:10:24,26/09/13 18:11:32,19,SEPTEMBER,13,28,13,36
1,0316-001,PANEL B,Panel B - 2 Visits,,,27/09/13 17:15:03,27/09/13 17:15:43,19,9,13,40,13,47,27/09/13 17:15:43,27/09/13 17:17:23,19,SEPTEMBER,13,48,13,57,27/09/13 17:17:23,27/09/13 17:18:54,19,SEPTEMBER,13,58,14,12,27/09/13 17:18:55,27/09/13 17:25:22,19,SEPTEMBER,14,13,14,27,27/09/13 17:25:22,27/09/13 17:26:25,19,SEPTEMBER,4,28,14,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0343-001,PANEL A,Panel A - 2 Visits,,12/07/13 20:38:55,12/07/13 20:38:55,12/07/13 20:39:35,3,7,12,0,12,4,12/07/13 20:39:35,12/07/13 20:41:39,3,JULY,12,4,12,7,12/07/13 20:41:39,12/07/13 20:46:48,3,JULY,12,7,12,11,12/07/13 20:46:48,12/07/13 20:48:44,3,JULY,12,11,12,14,12/07/13 20:48:44,12/07/13 20:51:14,3,JULY,12,14,12,14,12/07/13 20:51:14,12/07/13 20:53:10,3,JULY,12,15,12,17,12/07/13 20:53:10,12/07/13 20:56:15,3,JULY,12,17,12,21,12/07/13 20:56:15,12/07/13 20:58:41,3,JULY,12,21,12,23,12/07/13 20:58:41,12/07/13 21:00:27,3,JULY,12,23,12,27
1,0355-001,PANEL A,Panel A - 2 Visits,,12/05/13 10:38:40,12/05/13 10:38:40,12/05/13 10:39:25,3,5,16,50,16,52,12/05/13 10:39:25,12/05/13 10:40:19,2,MAY,16,57,16,59,12/05/13 10:40:19,12/05/13 11:03:49,3,MAY,17,0,17,3,12/05/13 11:03:49,12/05/13 11:04:13,3,MAY,17,4,17,4,12/05/13 11:04:13,12/05/13 11:07:22,3,MAY,17,5,17,8,12/05/13 11:07:22,12/05/13 11:07:32,3,MAY,17,9,17,14,12/05/13 11:07:32,12/05/13 11:20:52,3,MAY,17,15,17,16,12/05/13 11:20:52,12/05/13 11:21:16,3,MAY,17,16,17,16,12/05/13 11:21:16,12/05/13 11:23:46,3,MAY,17,17,17,18
1,0384-001,PANEL B,Panel B - 2 Visits,,,05/10/13 16:23:00,05/10/13 16:23:24,2,10,10,2,10,3,05/10/13 16:23:24,05/10/13 16:23:57,2,OCTOBER,10,3,10,5,05/10/13 16:23:57,05/10/13 16:24:19,2,OCTOBER,10,5,10,7,05/10/13 16:24:19,05/10/13 16:24:34,2,OCTOBER,10,7,10,8,05/10/13 16:24:34,05/10/13 16:25:21,2,OCTOBER,10,8,10,12,05/10/13 16:25:22,05/10/13 16:25:54,2,OCTOBER,10,12,10,15,05/10/13 16:25:55,05/10/13 16:26:17,2,OCTOBER,10,15,10,16,05/10/13 16:26:17,05/10/13 16:26:35,2,OCTOBER,10,16,10,17,05/10/13 16:26:35,05/10/13 16:26:59,2,OCTOBER,10,17,10,24
1,0390-001,PANEL B,Panel B - 2 Visits,,,05/10/13 17:37:17,05/10/13 17:37:35,2,10,13,42,13,44,05/10/13 17:37:35,05/10/13 17:38:35,2,OCTOBER,13,44,13,48,05/10/13 17:38:36,05/10/13 17:38:57,2,OCTOBER,13,48,13,50,05/10/13 17:38:58,05/10/13 17:39:14,2,OCTOBER,13,50,13,54,05/10/13 17:39:14,05/10/13 17:39:40,2,OCTOBER,13,55,13,58,05/10/13 17:39:40,05/10/13 17:40:21,2,OCTOBER,13,58,14,3,05/10/13 17:40:21,05/10/13 17:40:42,2,OCTOBER,14,3,14,5,05/10/13 17:40:42,05/10/13 17:40:58,2,OCTOBER,14,5,14,8,05/10/13 17:40:58,05/10/13 17:41:24,2,OCTOBER,14,8,14,12
1,0406-001,PANEL B,Panel B - 2 Visits,,,06/10/13 08:56:13,06/10/13 08:56:39,3,10,11,41,11,43,06/10/13 08:56:39,06/10/13 08:57:15,3,OCTOBER,11,43,11,47,06/10/13 08:57:15,06/10/13 08:57:51,3,OCTOBER,11,47,11,50,06/10/13 08:57:51,06/10/13 08:59:02,3,OCTOBER,11,50,11,55,06/10/13 08:59:02,06/10/13 08:59:15,3,OCTOBER,11,55,11,55,06/10/13 08:59:15,06/10/13 08:59:38,3,OCTOBER,11,56,11,59,06/10/13 08:59:38,06/10/13 09:00:45,3,OCTOBER,11,59,12,4,06/10/13 09:00:45,06/10/13 09:01:50,3,OCTOBER,12,4,12,9,06/10/13 09:01:50,06/10/13 09:01:58,3,OCTOBER,12,10,12,10
