occ,y2_hhid,qx_type,interview_status,fs_b01a,fs_b01b,fs_b01c,fs_b01d,fs_b01e,fs_b01f,fs_b01g,fs_b01h,fs_b01i,fs_b01j,fs_b01k,fs_b01l,fs_b02
1,0163-001,PANEL A,Panel A - 2 Visits,L,L,H,L,L,H,H,L,L,L,L,L,1
1,0182-001,PANEL B,Panel B - 2 Visits,,,,,,,,,H,H,H,H,2
1,0192-003,PANEL B,Panel B - 2 Visits,L,H,H,L,L,L,L,H,H,H,L,H,1
1,0203-001,PANEL A,Panel A - 2 Visits,H,H,H,L,L,L,L,L,L,L,L,H,1
1,0232-001,PANEL B,Panel B - 2 Visits,L,L,L,L,H,H,H,H,H,L,L,L,1
1,0240-001,PANEL B,Panel B - 2 Visits,L,L,L,L,L,H,L,L,L,L,L,L,1
1,0266-001,PANEL B,Panel B - 2 Visits,H,H,H,H,H,H,H,H,H,H,H,H,1
1,0268-001,PANEL B,Panel B - 2 Visits,H,H,L,L,N,N,L,H,H,H,H,H,1
1,0279-001,PANEL A,Panel A - 2 Visits,H,H,H,H,L,L,L,H,H,H,H,H,1
1,0297-002,PANEL A,Panel A - 2 Visits,H,H,H,H,N,N,H,H,H,H,H,H,1
1,0300-001,PANEL B,Panel B - 2 Visits,L,N,N,N,N,N,N,H,H,H,H,L,2
1,0301-001,PANEL A,Panel A - 2 Visits,L,L,L,L,N,N,N,H,H,H,H,H,1
1,0306-004,PANEL B,Panel B - 2 Visits,L,L,L,N,N,N,L,H,H,H,L,L,1
1,0316-001,PANEL B,Panel B - 2 Visits,L,H,H,H,H,H,H,H,H,H,L,L,1
1,0343-001,PANEL A,Panel A - 2 Visits,L,L,L,H,H,H,H,L,L,H,L,H,1
1,0355-001,PANEL A,Panel A - 2 Visits,L,L,L,L,L,L,L,H,H,H,H,H,1
1,0384-001,PANEL B,Panel B - 2 Visits,L,L,H,H,H,H,H,L,L,L,L,L,1
1,0390-001,PANEL B,Panel B - 2 Visits,L,L,H,H,H,H,L,L,L,L,L,L,1
1,0406-001,PANEL B,Panel B - 2 Visits,H,L,L,L,H,H,H,L,L,L,H,H,1
1,0508-001,PANEL B,Panel B - 2 Visits,,L,L,H,H,L,,,,,,,1
1,0782-001,PANEL B,Panel B - 2 Visits,H,H,L,L,L,L,L,H,H,H,H,H,1
1,1069-003,PANEL A,Panel A - 2 Visits,H,H,H,L,L,L,L,L,N,N,N,H,2
1,1134-001,PANEL B,Panel B - 2 Visits,L,L,L,L,L,L,H,H,H,H,H,H,1
1,1218-002,PANEL B,Panel B - 2 Visits,N,N,L,L,L,L,L,H,H,H,H,H,1
1,1325-001,PANEL A,Panel A - 2 Visits,H,H,H,H,L,L,L,H,H,N,N,N,2
1,1659-005,PANEL A,Panel A - Combined Visit,L,L,L,L,L,L,L,L,H,H,H,L,1
1,1740-001,PANEL B,Panel B - 2 Visits,N,N,N,N,N,N,N,N,N,N,N,N,2
1,1804-001,PANEL B,Panel B - 2 Visits,H,H,H,N,N,N,N,H,H,H,H,H,5
1,1879-001,PANEL A,Panel A - 2 Visits,N,N,N,N,N,N,,,,,,,2
1,1921-001,PANEL A,Panel A - 2 Visits,L,L,L,H,L,H,H,H,H,H,H,H,1
1,1935-001,PANEL A,Panel A - 2 Visits,,,H,,L,L,L,L,H,H,H,H,1
1,1945-001,PANEL A,Panel A - 2 Visits,N,N,L,L,L,H,L,H,H,H,N,H,1
1,1949-001,PANEL A,Panel A - 2 Visits,H,H,H,L,L,L,,,,,,,2
1,1951-001,PANEL A,Panel A - 2 Visits,L,H,L,L,H,H,H,L,L,N,H,H,1
1,1951-002,PANEL A,Panel A - 2 Visits,L,L,L,L,L,H,L,H,H,H,H,L,1
1,2053-001,PANEL A,Panel A - 2 Visits,L,L,L,L,L,L,H,H,H,N,N,N,1
1,2073-001,PANEL A,Panel A - 2 Visits,L,L,L,L,L,H,H,H,H,N,N,N,1
1,2103-001,PANEL A,Panel A - 2 Visits,L,L,L,H,H,H,H,L,L,L,L,L,1
1,2189-001,PANEL A,Panel A - 2 Visits,N,N,N,N,L,N,N,N,N,N,N,H,1
