occ,y2_hhid,qx_type,interview_status,ag_d00,ag_d01,ag_d01_1,ag_d01_2a,ag_d01_2b,ag_d02,ag_d03,ag_d03_1,ag_d03_2a,ag_d03_2b,ag_d04a,ag_d04b,ag_d04_1,ag_d04_2a,ag_d04_2b,ag_d04_3,ag_d05,ag_d06,ag_d10a,ag_d10b,ag_d10c,ag_d10d,ag_d11a,ag_d11b,ag_d11c,ag_d11d,ag_d12,ag_d13a,ag_d13b,ag_d13_1a,ag_d13_1b,ag_d14,ag_d18a,ag_d18b,ag_d18c,ag_d18d,ag_d19a,ag_d19b,ag_d19c,ag_d19d,ag_d20a,ag_d20b,ag_d20c,ag_d20d,ag_d20e,ag_d21,ag_d22,ag_d23,ag_d24a,ag_d24b,ag_d25a,ag_d25b,ag_d25_1a,ag_d25_1b,ag_d25_2a,ag_d25_2b,ag_d26,ag_d27,ag_d28a,ag_d28b,ag_d29,ag_d30,ag_d31,ag_d32,ag_d33,ag_d34a,ag_d34b,ag_d35,ag_d35_1a,ag_d35_1b,ag_d36,ag_d37a,ag_d37b,ag_d38,ag_d39a,ag_d39b,ag_d39c,ag_d39d,ag_d39e,ag_d39f,ag_d39g,ag_d39h,ag_d39i,ag_d39j,ag_d39_1,ag_d39_2,ag_d40,ag_d41a,ag_d41b,ag_d41c,ag_d41d,ag_d41e,ag_d41f,ag_d42a,ag_d42b,ag_d42c,ag_d42d,ag_d42e,ag_d42f,ag_d42g,ag_d42h,ag_d42i,ag_d42j,ag_d42k,ag_d42l,ag_d42m,ag_d42n,ag_d42o,ag_d42p,ag_d43a,ag_d43b,ag_d43c,ag_d43d,ag_d43e,ag_d43f,ag_d43g,ag_d43h,ag_d43i,ag_d43j,ag_d43k,ag_d43l,ag_d43m,ag_d43n,ag_d43o,ag_d43p,ag_d44a,ag_d44b,ag_d44c,ag_d44d,ag_d44e,ag_d44f,ag_d44g,ag_d44h,ag_d44i,ag_d44j,ag_d44k,ag_d44l,ag_d44m,ag_d44n,ag_d44o,ag_d44p,ag_d47a,ag_d47b,ag_d47c,ag_d47d,ag_d47e,ag_d47f,ag_d47g,ag_d47h,ag_d47i,ag_d47j,ag_d48a,ag_d48b,ag_d48c,ag_d48d,ag_d48e,ag_d48f,ag_d48g,ag_d48h,ag_d48i,ag_d48j,ag_d52a,ag_d52b,ag_d52c,ag_d53a,ag_d53b,ag_d53c,ag_d54a,ag_d54b,ag_d54c,ag_d55a,ag_d55b,ag_d55c,ag_d56,ag_d57,ag_d58,ag_d59,ag_d60,ag_d61,ag_d62,ag_d63a,ag_d63b,ag_d64,ag_d65,ag_d66,ag_d67,ag_d68
1,0001-001,PANEL A,Panel A - 2 Visits,R01,1,YES,2,,1,INHERITED,NO,,,1,2,NO,,,NO,50000,6000,,,,,,,,,,,,,,CULTIVATED,,,,,,,,,MAIZE HYBRID,,,,,BETWEEN SANDY & CLAY,GOOD,NO EROSION,,,NO EROSION CONTROL,NO EROSION CONTROL,,,NO SOIL OR WATER EROSION PROBLEMS ON ANY PLOTS,,FLAT,NO,RAINFED/NO IRRIGATION,,,,NO,8888,,,,YES,DECEMBER,2ND HALF,NO,,,YES,23:21:0+4S/CHITOWE,30,KILOGRAM,30,1,UREA,20,KILOGRAM,20,1,2,1,NO,,,,,,,1,3,5,7,2,3,5,7,3,3,2,2,4,2,2,2,1,3,5,7,2,3,5,7,3,2,1,2,,0,,,1,3,6,7,2,3,6,7,3,2,3,6,,0,,,0,,0,,0,,,,,,0,,0,,0,,,,,,0,0,0,,,,0,0,0,,,,0,YES,NO,,ALL RESIDUES CUT AND SPREAD OVER PLOT,,TRADITIONAL RIDGING,HAND HOE,,MORE THAN 5 YEARS AGO,0,0,0,0
2,0001-001,PANEL A,Panel A - 2 Visits,R02,1,YES,2,,1,INHERITED,NO,,,1,2,NO,,,NO,5000,6000,,,,,,,,,,,,,,CULTIVATED,,,,,,,,,MAIZE LOCAL,,,,,BETWEEN SANDY & CLAY,GOOD,NO EROSION,,,NO EROSION CONTROL,NO EROSION CONTROL,,,NO SOIL OR WATER EROSION PROBLEMS ON ANY PLOTS,,FLAT,NO,RAINFED/NO IRRIGATION,,,,NO,8888,,,,YES,DECEMBER,2ND HALF,NO,,,YES,23:21:0+4S/CHITOWE,30,KILOGRAM,30,1,UREA,20,KILOGRAM,20,1,2,1,NO,,,,,,,1,3,5,7,2,3,5,7,3,3,2,2,4,2,2,2,1,3,5,7,2,3,5,7,3,2,1,2,,0,,,1,3,4,5,2,3,4,4,3,2,3,6,,0,,,0,,0,,0,,,,,,0,,0,,0,,,,,,0,0,0,,,,0,0,0,,,,0,YES,NO,,ALL RESIDUES CUT AND SPREAD OVER PLOT,,TRADITIONAL RIDGING,HAND HOE,,MORE THAN 5 YEARS AGO,,,,
3,0001-001,PANEL A,Panel A - 2 Visits,R03,1,YES,2,,1,INHERITED,NO,,,1,2,NO,,,NO,15000,2000,,,,,,,,,,,,,,CULTIVATED,,,,,,,,,GROUNDNUT MANIPINTA,,,,,BETWEEN SANDY & CLAY,GOOD,NO EROSION,,,NO EROSION CONTROL,NO EROSION CONTROL,,,NO SOIL OR WATER EROSION PROBLEMS ON ANY PLOTS,,FLAT,NO,RAINFED/NO IRRIGATION,,,,NO,8888,,,,YES,DECEMBER,2ND HALF,NO,,,NO,,,,,,,,,,,,,NO,,,,,,,1,2,2,4,2,1,2,2,3,1,2,2,4,1,2,2,1,2,2,4,2,1,2,2,3,2,1,2,,0,,,1,2,4,4,2,1,3,4,3,2,2,2,,0,,,0,,0,,0,,,,,,0,,0,,0,,,,,,0,0,0,,,,0,0,0,,,,0,YES,NO,,ALL RESIDUES CUT AND SPREAD OVER PLOT,,TRADITIONAL RIDGING,HAND HOE,,MORE THAN 5 YEARS AGO,,,,
1,0002-001,PANEL B,Panel B - 2 Visits,R01,1,YES,2,,1,GRANTED BY LOCAL LEADERS,NO,,,1,2,YES,1,2,NO,75000,5000,,,,,,,,,,,,,,CULTIVATED,,,,,,,,,MAIZE HYBRID,,,,,BETWEEN SANDY & CLAY,FAIR,LOW,TERRAIN,WIND,NO EROSION CONTROL,NO EROSION CONTROL,,,MATERIALS NOT AVAILABLE,,MODERATE SLOPE,NO,RAINFED/NO IRRIGATION,,,,NO,8888,,,,YES,DECEMBER,1ST HALF,NO,,,YES,23:21:0+4S/CHITOWE,1,50 KG BAG,50,1,UREA,1,50 KG BAG,50,1,2,2,NO,,,,,,,1,1,4,4,2,1,4,3,,0,,,,0,,,1,3,4,5,2,3,3,4,,0,,,,0,,,1,1,2,3,2,1,2,3,3,1,1,1,,0,,,0,,0,,0,,,,,,0,,0,,0,,,,,,0,0,0,,,,0,0,0,,,,0,YES,NO,,LEFT IN THE FIELD UNTIL LAND PREPARED FOR CULTIVATION,,TRADITIONAL RIDGING,HAND HOE,,MORE THAN 5 YEARS AGO,0,0,0,0
1,0003-001,PANEL A,Panel A - 2 Visits,R01,1,NO,,,1,INHERITED,NO,,,1,,YES,1,,NO,19000,2000,,,,,,,,,,,,,,CULTIVATED,,,,,,,,,MAIZE LOCAL,,,,,BETWEEN SANDY & CLAY,FAIR,NO EROSION,,,NO EROSION CONTROL,NO EROSION CONTROL,,,NO SOIL OR WATER EROSION PROBLEMS ON ANY PLOTS,,MODERATE SLOPE,YES,RAINFED/NO IRRIGATION,,,,NO,0,,,,YES,DECEMBER,2ND HALF,NO,,,YES,23:21:0+4S/CHITOWE,1,50 KG BAG,50,1,UREA,1,50 KG BAG,50,1,2,3,NO,,,,,,,1,4,6,6,,0,,,,0,,,,0,,,1,4,6,6,,0,,,,0,,,,0,,,1,4,5,7,,0,,,,0,,,,0,,,0,,0,,0,,,,,,0,,0,,0,,,,,,0,0,0,,,,0,0,0,,,,0,YES,YES,OTHER (SPECIFY),LEFT IN THE FIELD UNTIL LAND PREPARED FOR CULTIVATION,,TRADITIONAL RIDGING,HAND HOE,,MORE THAN 5 YEARS AGO,0,0,0,0
1,0004-001,PANEL B,Panel B - 2 Visits,R01,1,NO,,,3,INHERITED,NO,,,1,2,NO,,,NO,100000,8000,,,,,,,,,,,,,,CULTIVATED,,,,,,,,,MAIZE HYBRID RECYCLED,GROUNDNUT CG7,,,,BETWEEN SANDY & CLAY,GOOD,NO EROSION,,,NO EROSION CONTROL,NO EROSION CONTROL,,,NO SOIL OR WATER EROSION PROBLEMS ON ANY PLOTS,,FLAT,NO,RAINFED/NO IRRIGATION,,,,NO,0,,,,YES,DECEMBER,1ST HALF,YES,150,KILOGRAM,YES,23:21:0+4S/CHITOWE,25,KILOGRAM,25,1,UREA,25,KILOGRAM,25,1,1,4,NO,,,,,,,1,6,6,5,2,6,6,5,3,6,6,5,4,6,6,5,1,2,6,3,2,2,6,3,3,2,6,3,4,2,6,3,1,1,3,2,2,1,3,2,3,1,1,2,4,1,1,2,0,,0,,0,,,,,,0,,0,,0,,,,,,0,0,0,,,,0,0,0,,,,0,YES,NO,,LEFT IN THE FIELD UNTIL LAND PREPARED FOR CULTIVATION,,TRADITIONAL RIDGING,HAND HOE,,MORE THAN 5 YEARS AGO,0,0,1,0
2,0004-001,PANEL B,Panel B - 2 Visits,R02,1,NO,,,3,INHERITED,NO,,,1,2,NO,,,NO,100000,10000,,,,,,,,,,,,,,CULTIVATED,,,,,,,,,MAIZE HYBRID RECYCLED,SOYABEAN,,,,BETWEEN SANDY & CLAY,GOOD,NO EROSION,,,NO EROSION CONTROL,NO EROSION CONTROL,,,NO SOIL OR WATER EROSION PROBLEMS ON ANY PLOTS,,FLAT,NO,RAINFED/NO IRRIGATION,,,,NO,0,,,,YES,DECEMBER,1ST HALF,YES,150,KILOGRAM,YES,23:21:0+4S/CHITOWE,25,KILOGRAM,25,1,UREA,25,KILOGRAM,25,1,1,4,NO,,,,,,,1,5,6,5,2,6,6,5,3,6,6,5,4,6,6,5,1,2,6,3,2,2,6,3,3,2,6,3,4,2,6,3,1,1,1,2,3,1,1,1,4,1,1,1,5,1,1,1,0,,0,,0,,,,,,0,,0,,0,,,,,,0,0,0,,,,0,0,0,,,,0,YES,NO,,LEFT IN THE FIELD UNTIL LAND PREPARED FOR CULTIVATION,,TRADITIONAL RIDGING,HAND HOE,,MORE THAN 5 YEARS AGO,,,,
1,0005-001,PANEL A,Panel A - 2 Visits,R01,1,YES,2,,1,INHERITED,NO,,,1,2,NO,,,NO,26000,5000,,,,,,,,,,,,,,CULTIVATED,,,,,,,,,MAIZE LOCAL,,,,,CLAY,GOOD,NO EROSION,,,NO EROSION CONTROL,NO EROSION CONTROL,,,NO SOIL OR WATER EROSION PROBLEMS ON ANY PLOTS,,FLAT,NO,RAINFED/NO IRRIGATION,,,,NO,0,,,,YES,DECEMBER,1ST HALF,NO,,,YES,23:21:0+4S/CHITOWE,1,50 KG BAG,50,2,UREA,1,50 KG BAG,50,1,1,1,NO,,,,,,,1,3,7,4,2,2,7,4,3,2,4,4,4,2,3,3,1,3,4,5,2,3,5,3,3,2,4,3,,0,,,1,3,5,4,2,4,5,5,,0,,,,0,,,0,,0,,0,,,,,,0,,0,,0,,,,,,0,0,0,,,,0,0,0,,,,0,YES,NO,,LEFT IN THE FIELD UNTIL LAND PREPARED FOR CULTIVATION,,TRADITIONAL RIDGING,HAND HOE,,4 YEARS AGO,0,0,0,0
2,0005-001,PANEL A,Panel A - 2 Visits,R02,1,YES,2,,1,INHERITED,NO,,,1,2,NO,,,NO,20000,5000,,,,,,,,,,,,,,CULTIVATED,,,,,,,,,MAIZE HYBRID,,,,,CLAY,GOOD,NO EROSION,,,NO EROSION CONTROL,NO EROSION CONTROL,,,NO SOIL OR WATER EROSION PROBLEMS ON ANY PLOTS,,FLAT,NO,RAINFED/NO IRRIGATION,,,,NO,0,,,,YES,DECEMBER,1ST HALF,NO,,,YES,23:21:0+4S/CHITOWE,1,50 KG BAG,50,2,UREA,1,50 KG BAG,50,1,1,1,NO,,,,,,,1,3,7,4,2,2,7,4,3,2,4,4,4,2,3,3,1,3,4,5,2,3,5,3,3,2,4,3,,0,,,1,2,5,5,2,4,5,5,,0,,,,0,,,0,,0,,0,,,,,,0,,0,,0,,,,,,0,0,0,,,,0,0,0,,,,0,YES,NO,,LEFT IN THE FIELD UNTIL LAND PREPARED FOR CULTIVATION,,TRADITIONAL RIDGING,HAND HOE,,4 YEARS AGO,,,,
1,0006-001,PANEL B,Panel B - 2 Visits,R01,1,NO,,,2,INHERITED,NO,,,1,2,NO,,,NO,60000,10000,,,,,,,,,,,,,,CULTIVATED,,,,,,,,,MAIZE HYBRID,GROUNDNUT MANIPINTA,,,,BETWEEN SANDY & CLAY,FAIR,NO EROSION,,,EROSION CONTROL BUNDS,,DURING THE LAST 12 MONTHS,,,,FLAT,YES,RAINFED/NO IRRIGATION,,,,NO,0,,,,YES,DECEMBER,1ST HALF,NO,,,YES,23:21:0+4S/CHITOWE,50,KILOGRAM,50,2,UREA,50,KILOGRAM,50,2,4,2,NO,,,,,,,1,3,6,6,2,3,6,6,3,3,2,2,,0,,,1,4,6,7,2,4,6,7,3,4,2,2,,0,,,1,3,6,5,2,3,6,5,3,1,2,2,4,1,2,2,0,,0,,0,,,,,,0,,0,,0,,,,,,0,0,0,,,,0,0,0,,,,2,YES,NO,,LEFT IN THE FIELD UNTIL LAND PREPARED FOR CULTIVATION,,TRADITIONAL RIDGING,HAND HOE,,DURING THE LAST 12 MONTHS,0,0,2,3
