HHID,case_id,qx_type,visit,ea_id,ag_r00,ag_r0a,ag_r0a_os,ag_r01,ag_r02,ag_r03,ag_r04,ag_r05a,ag_r05b,ag_r06a,ag_r06b,ag_r07,ag_r08,ag_r09,ag_r10,ag_r11,ag_r12a,ag_r12b,ag_r13,ag_r14,ag_r15,ag_r16,ag_r17,ag_r18a,ag_r18b,ag_r19,ag_r22,ag_r23a,ag_r23b,ag_r23c,ag_r23d,ag_r24,ag_r25a,ag_r25b,ag_r26a,ag_r26b,ag_r26c
37,101010160009,Panel A,1,10101016,Yes,Duck,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,101010160009,Panel A,1,10101016,Yes,Other (Specify),,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,101010160009,Panel A,1,10101016,Yes,Cow,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,101010160009,Panel A,1,10101016,Yes,Pig,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,101010160009,Panel A,1,10101016,Yes,Local-cock,,Yes,7,,900,1,2,1,2,3,4,0,1,400,N04,,0,0,0,0,,,,1,Yes,Mange,0,,,0,,,,,
37,101010160009,Panel A,1,10101016,Yes,Beehive,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,101010160009,Panel A,1,10101016,Yes,Donkey,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,101010160009,Panel A,1,10101016,Yes,Goat,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,101010160009,Panel A,1,10101016,Yes,Chicken-layer,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,101010160009,Panel A,1,10101016,Yes,Steer/heifer,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,101010160009,Panel A,1,10101016,Yes,Local-hen,,Yes,12,,700,1,2,1,2,5,6,1,1,600,N03,,0,0,2,0,,,,1,Yes,Mange,0,,0,0,,,,,
37,101010160009,Panel A,1,10101016,Yes,Guinea fowl,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,101010160009,Panel A,1,10101016,Yes,Sheep,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,101010160009,Panel A,1,10101016,Yes,Bull/ox,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,101010160009,Panel A,1,10101016,Yes,Calf,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,101010160009,Panel A,1,10101016,Yes,Mule/horse,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,101010160009,Panel A,1,10101016,Yes,Chicken-broiler,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,101010160009,Panel A,1,10101016,Yes,Turkey,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,101010160033,Panel A,1,10101016,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,101010160060,Panel A,1,10101016,Yes,Local-hen,,Yes,13,,500,1,,1,2,18,9,0,0,,,,0,1,4,2,1000,N06,,4,Yes,Mange,3,,,0,,,,,
35,101010160060,Panel A,1,10101016,Yes,Turkey,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,101010160060,Panel A,1,10101016,Yes,Goat,,Yes,3,0,3000,1,,1,,2,0,0,2,6000,N03,,0,0,0,1,3000,N05,,0,No,,,,,0,,,,,
35,101010160060,Panel A,1,10101016,Yes,Chicken-layer,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,101010160060,Panel A,1,10101016,Yes,Pig,,Yes,4,0,8000,1,,1,2,2,0,0,2,10000,N04,,0,0,0,0,,,,0,No,,,,,0,,,,,
35,101010160060,Panel A,1,10101016,Yes,Donkey,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,101010160060,Panel A,1,10101016,Yes,Bull/ox,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,101010160060,Panel A,1,10101016,Yes,Steer/heifer,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,101010160060,Panel A,1,10101016,Yes,Mule/horse,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,101010160060,Panel A,1,10101016,Yes,Other (Specify),,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,101010160060,Panel A,1,10101016,Yes,Guinea fowl,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,101010160060,Panel A,1,10101016,Yes,Beehive,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,101010160060,Panel A,1,10101016,Yes,Chicken-broiler,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,101010160060,Panel A,1,10101016,Yes,Local-cock,,Yes,4,,700,1,,1,,4,10,0,0,,,,0,3,0,1,500,N06,,5,Yes,Mange,1,,,0,,,,,
35,101010160060,Panel A,1,10101016,Yes,Cow,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,101010160060,Panel A,1,10101016,Yes,Duck,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,101010160060,Panel A,1,10101016,Yes,Calf,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,101010160060,Panel A,1,10101016,Yes,Sheep,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,101010160068,Panel A,1,10101016,Yes,Turkey,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,101010160068,Panel A,1,10101016,Yes,Steer/heifer,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,101010160068,Panel A,1,10101016,Yes,Calf,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,101010160068,Panel A,1,10101016,Yes,Other (Specify),,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,101010160068,Panel A,1,10101016,Yes,Local-hen,,Yes,4,,800,1,,1,3,8,10,0,0,,,,0,0,8,0,,,,6,No,,,,,0,,,,,
41,101010160068,Panel A,1,10101016,Yes,Duck,,Yes,5,,1000,1,,2,,8,4,0,0,,,,0,0,6,0,,,,1,No,,,,,0,,,,,
41,101010160068,Panel A,1,10101016,Yes,Bull/ox,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,101010160068,Panel A,1,10101016,Yes,Guinea fowl,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,101010160068,Panel A,1,10101016,Yes,Beehive,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,101010160068,Panel A,1,10101016,Yes,Local-cock,,Yes,18,,1000,1,,2,3,18,1,0,0,,,,0,0,0,1,800,N05,,0,No,,,,,0,,,,,
41,101010160068,Panel A,1,10101016,Yes,Pig,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,101010160068,Panel A,1,10101016,Yes,Chicken-broiler,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,101010160068,Panel A,1,10101016,Yes,Donkey,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,101010160068,Panel A,1,10101016,Yes,Goat,,Yes,11,0,3500,1,,1,3,7,3,0,1,1700,N05,,0,0,0,0,,,,0,No,,,,,0,,,,,
41,101010160068,Panel A,1,10101016,Yes,Sheep,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,101010160068,Panel A,1,10101016,Yes,Cow,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,101010160068,Panel A,1,10101016,Yes,Chicken-layer,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,101010160068,Panel A,1,10101016,Yes,Mule/horse,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,101010160069,Panel A,1,10101016,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,101010160070,Panel A,1,10101016,Yes,Local-hen,,Yes,12,,700,1,2,2,,15,4,0,0,,,,0,2,0,0,,,,3,Yes,Mange,2,,,0,,,,,
51,101010160070,Panel A,1,10101016,Yes,Steer/heifer,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,101010160070,Panel A,1,10101016,Yes,Guinea fowl,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,101010160070,Panel A,1,10101016,Yes,Turkey,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,101010160070,Panel A,1,10101016,Yes,Goat,,Yes,6,0,4000,1,,3,,5,2,0,0,,,,0,0,0,1,2800,N04,,0,No,,,,,0,,,,,
51,101010160070,Panel A,1,10101016,Yes,Donkey,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,101010160070,Panel A,1,10101016,Yes,Other (Specify),,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,101010160070,Panel A,1,10101016,Yes,Calf,,Yes,1,0,12000,1,,3,,1,0,0,0,,,,0,0,0,0,,,,0,No,,,,,0,,,,,
51,101010160070,Panel A,1,10101016,Yes,Sheep,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,101010160070,Panel A,1,10101016,Yes,Duck,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,101010160070,Panel A,1,10101016,Yes,Mule/horse,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,101010160070,Panel A,1,10101016,Yes,Cow,,Yes,1,0,52500,1,,3,,1,,0,0,,,,0,0,0,0,,,,0,No,,,,,0,,,,,
51,101010160070,Panel A,1,10101016,Yes,Chicken-broiler,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,101010160070,Panel A,1,10101016,Yes,Bull/ox,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,101010160070,Panel A,1,10101016,Yes,Local-cock,,Yes,5,,800,1,2,2,,3,4,0,0,,,,0,0,0,0,,,,1,Yes,Mange,1,,,0,,,,,
51,101010160070,Panel A,1,10101016,Yes,Pig,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,101010160070,Panel A,1,10101016,Yes,Chicken-layer,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,101010160070,Panel A,1,10101016,Yes,Beehive,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,101010160074,Panel A,1,10101016,Yes,Mule/horse,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
