occ,ea_id,com_cc01,com_cc02,com_cc03,com_cc04a,com_cc04b,com_cc04c,com_cc04d,com_cc04e,com_cc04f,com_cc05a,com_cc05b,com_cc05c,com_cc05d,com_cc05e,com_cc05f,com_cc06,com_cc07a,com_cc07b,com_cc07c,com_cc07d,com_cc07e,com_cc07f,com_cc08,com_cc09,com_cc10,com_cc11,com_cc12,com_cc13,com_cc14,com_cc15
1,10101016,MORE MOVED IN,640,98,CHRISTIAN,98,,,,,LAMBYA,50,SUKWA,48,,,FATHER,MATRILINEAL AND MATRILOCAL (CHIKAMWINI),98,,,,,13,FARMING,FLAT,ALMOST NONE,ALMOST NONE,1/4,3/4,NO
1,10101204,MORE MOVED OUT,238,62,CHRISTIAN,62,,,,,CHEWA,22,SUKWA,20,LAMBYA,20,BOTH,MATRILINEAL AND NEOLOCAL,15,MATRILINEAL AND PATRILOCAL (CHITENGWA),47,,,15,FARMING,FLAT,3/4,ALMOST NONE,1/4,3/4,YES
1,10101215,MORE MOVED IN,430,72,CHRISTIAN,72,,,,,LAMBYA,60,OTHER,12,,,FATHER,MATRILINEAL AND PATRILOCAL (CHITENGWA),72,,,,,7,FARMING,SLIGHTLY SLOPING,ALMOST NONE,ALMOST NONE,ALMOST NONE,3/4,YES
1,10101562,MORE MOVED IN,1624,133,CHRISTIAN,133,,,,,NKHONDE,29,LAMBYA,41,SUKWA,63,BOTH,MATRILINEAL AND PATRILOCAL (CHITENGWA),101,OTHER ( SPECIFY),32,,,32,FARMING,SLIGHTLY SLOPING,1/4,ALMOST NONE,1/4,3/4,YES
1,10102004,MORE MOVED IN,420,87,CHRISTIAN,87,,,,,SUKWA,87,,,,,FATHER,MATRILINEAL AND PATRILOCAL (CHITENGWA),87,,,,,6,FARMING,SLIGHTLY SLOPING,1/2,ALMOST NONE,1/4,1/2,YES
1,10103414,ABOUT THE SAME OF BOTH,1259,179,CHRISTIAN,179,,,,,TUMBUKA,20,LAMBYA,59,SUKWA,100,BOTH,OTHER ( SPECIFY),49,MATRILINEAL AND PATRILOCAL (CHITENGWA),130,,,49,FARMING,BOTH FLAT AND HILLY,3/4,ALMOST NONE,3/4,3/4,YES
1,10104150,MORE MOVED IN,450,70,CHRISTIAN,70,,,,,TUMBUKA,71,,,,,FATHER,MATRILINEAL AND PATRILOCAL (CHITENGWA),71,,,,,8,FARMING,SLIGHTLY SLOPING,1/4,ALMOST NONE,1/4,3/4,YES
1,10201688,MORE MOVED IN,4731,971,CHRISTIAN,4731,,,,,TUMBUKA,536,NKHONDE,300,NYAKYUSA,135,MOTHER,MATRILINEAL AND PATRILOCAL (CHITENGWA),921,OTHER ( SPECIFY),50,,,50,FARMING,FLAT,ALMOST NONE,ALMOST NONE,ALMOST NONE,3/4,YES
1,10202514,MORE MOVED OUT,740,132,CHRISTIAN,12,NONE,12,,,NKHONDE,132,,,,,FATHER,MATRILINEAL AND PATRILOCAL (CHITENGWA),132,,,,,15,FARMING,FLAT,1/4,ALMOST NONE,ALMOST NONE,3/4,YES
1,10203176,MORE MOVED IN,1415,249,TRADITIONAL,15,ISLAM,22,CHRISTIAN,212,NKHONDE,46,LAMBYA,1239,SUKWA,74,BOTH,OTHER ( SPECIFY),220,MATRILINEAL AND PATRILOCAL (CHITENGWA),229,,,220,FARMING,SLIGHTLY SLOPING,1/2,ALMOST NONE,1/2,ALMOST ALL,YES
1,10203744,NEITHER ARRIVALS NOR DEPARTURES,1600,492,ISLAM,26,CHRISTIAN,466,,,CHEWA,15,SUKWA,25,NKHONDE,452,BOTH,MATRILINEAL AND PATRILOCAL (CHITENGWA),400,PATRILINEAL AND NEOLOCAL,92,,,130,FARMING,FLAT,ALMOST NONE,ALMOST NONE,ALMOST NONE,3/4,YES
1,10204322,MORE MOVED OUT,648,89,CHRISTIAN,648,,,,,TUMBUKA,10,NKHONDE,55,SUKWA,24,BOTH,MATRILINEAL AND PATRILOCAL (CHITENGWA),72,OTHER ( SPECIFY),17,,,17,FARMING,MODERATELY SLOPING,1/2,ALMOST NONE,1/4,3/4,YES
1,10204586,NEITHER ARRIVALS NOR DEPARTURES,1000,400,CHRISTIAN,400,,,,,TUMBUKA,400,,,,,FATHER,MATRILINEAL AND PATRILOCAL (CHITENGWA),400,,,,,10,FARMING,SLIGHTLY SLOPING,ALMOST ALL,ALMOST NONE,ALMOST NONE,ALMOST ALL,NO
1,10220103,MORE MOVED IN,126,43,ISLAM,3,CHRISTIAN,40,,,CHEWA,1,TUMBUKA,36,NKHONDE,6,BOTH,MATRILINEAL AND PATRILOCAL (CHITENGWA),43,,,,,0,FARMING,FLAT,1/4,ALMOST NONE,ALMOST NONE,3/4,YES
1,10220705,MORE MOVED IN,7975,900,CHRISTIAN,600,ISLAM,300,,,NKHONDE,400,TUMBUKA,400,CHEWA,100,FATHER,MATRILINEAL AND PATRILOCAL (CHITENGWA),900,,,,,30,FARMING,FLAT,ALMOST NONE,ALMOST NONE,ALMOST NONE,3/4,YES
1,10301663,MORE MOVED IN,3133,286,CHRISTIAN,200,OTHER RELIGION,61,ISLAM,25,TONGA,166,CHEWA,94,OTHER,26,FATHER,PATRILINEAL AND PATRILOCAL,150,MATRILINEAL AND MATRILOCAL (CHIKAMWINI),112,MATRILINEAL AND PATRILOCAL (CHITENGWA),24,6,FARMING,SLIGHTLY SLOPING,ALMOST NONE,3/4,ALMOST NONE,3/4,NO
