occ,y2_hhid,qx_type,interview_status,fs_i0b,fs_i0c,fs_i14,fs_i15,fs_i16
1,0163-001,PANEL A,Panel A - 2 Visits,,,NO,,
2,0163-001,PANEL A,Panel A - 2 Visits,KAMBUZI (BEACH) SEINE,Kambuzi (beach) sein,NO,,
3,0163-001,PANEL A,Panel A - 2 Visits,MBEDZA (LONG /HAND LINE,Mbedza (long/hand li,NO,,
4,0163-001,PANEL A,Panel A - 2 Visits,MBUKA/NTAYA/UKONDE (GILLNET),Mbuka/ntaya/ukonde (,NO,,
5,0163-001,PANEL A,Panel A - 2 Visits,MONO (FISH TRAPS),Mono (fish traps),NO,,
6,0163-001,PANEL A,Panel A - 2 Visits,CHAVI (CASTNET),Chavi (castnet),NO,,
1,0182-001,PANEL B,Panel B - 2 Visits,,,,,
1,0192-003,PANEL B,Panel B - 2 Visits,USIPA (MOSQUITO) NET,Usipa (mosquito) net,NO,,
2,0192-003,PANEL B,Panel B - 2 Visits,KAMBUZI (BEACH) SEINE,Kambuzi (beach) sein,NO,,
3,0192-003,PANEL B,Panel B - 2 Visits,MBEDZA (LONG /HAND LINE,Mbedza (long/hand li,NO,,
4,0192-003,PANEL B,Panel B - 2 Visits,MBUKA/NTAYA/UKONDE (GILLNET),Mbuka/ntaya/ukonde (,NO,,
5,0192-003,PANEL B,Panel B - 2 Visits,MONO (FISH TRAPS),Mono (fish traps),NO,,
6,0192-003,PANEL B,Panel B - 2 Visits,CHAVI (CASTNET),Chavi (castnet),NO,,
1,0203-001,PANEL A,Panel A - 2 Visits,USIPA (MOSQUITO) NET,Usipa (mosquito) net,NO,,
2,0203-001,PANEL A,Panel A - 2 Visits,KAMBUZI (BEACH) SEINE,Kambuzi (beach) sein,NO,,
3,0203-001,PANEL A,Panel A - 2 Visits,MBEDZA (LONG /HAND LINE,Mbedza (long/hand li,NO,,
4,0203-001,PANEL A,Panel A - 2 Visits,MBUKA/NTAYA/UKONDE (GILLNET),Mbuka/ntaya/ukonde (,NO,,
5,0203-001,PANEL A,Panel A - 2 Visits,MONO (FISH TRAPS),Mono (fish traps),NO,,
6,0203-001,PANEL A,Panel A - 2 Visits,CHAVI (CASTNET),Chavi (castnet),NO,,
1,0232-001,PANEL B,Panel B - 2 Visits,USIPA (MOSQUITO) NET,Usipa (mosquito) net,NO,,
2,0232-001,PANEL B,Panel B - 2 Visits,KAMBUZI (BEACH) SEINE,Kambuzi (beach) sein,NO,,
3,0232-001,PANEL B,Panel B - 2 Visits,MBEDZA (LONG /HAND LINE,Mbedza (long/hand li,NO,,
4,0232-001,PANEL B,Panel B - 2 Visits,MBUKA/NTAYA/UKONDE (GILLNET),Mbuka/ntaya/ukonde (,NO,,
5,0232-001,PANEL B,Panel B - 2 Visits,MONO (FISH TRAPS),Mono (fish traps),NO,,
6,0232-001,PANEL B,Panel B - 2 Visits,CHAVI (CASTNET),Chavi (castnet),NO,,
1,0240-001,PANEL B,Panel B - 2 Visits,,,NO,,
2,0240-001,PANEL B,Panel B - 2 Visits,KAMBUZI (BEACH) SEINE,Kambuzi (beach) sein,NO,,
3,0240-001,PANEL B,Panel B - 2 Visits,MBEDZA (LONG /HAND LINE,Mbedza (long/hand li,NO,,
4,0240-001,PANEL B,Panel B - 2 Visits,MBUKA/NTAYA/UKONDE (GILLNET),Mbuka/ntaya/ukonde (,NO,,
5,0240-001,PANEL B,Panel B - 2 Visits,MONO (FISH TRAPS),Mono (fish traps),NO,,
6,0240-001,PANEL B,Panel B - 2 Visits,CHAVI (CASTNET),Chavi (castnet),NO,,
1,0266-001,PANEL B,Panel B - 2 Visits,,,,,
1,0268-001,PANEL B,Panel B - 2 Visits,,,,,
1,0279-001,PANEL A,Panel A - 2 Visits,,,,,
1,0297-002,PANEL A,Panel A - 2 Visits,,,,,
1,0300-001,PANEL B,Panel B - 2 Visits,,,,,
1,0301-001,PANEL A,Panel A - 2 Visits,,,,,
1,0306-004,PANEL B,Panel B - 2 Visits,,,NO,,
2,0306-004,PANEL B,Panel B - 2 Visits,KAMBUZI (BEACH) SEINE,Kambuzi (beach) sein,NO,,
3,0306-004,PANEL B,Panel B - 2 Visits,MBEDZA (LONG /HAND LINE,Mbedza (long/hand li,NO,,
