occ,y2_hhid,qx_type,interview_status,ag_u300a,ag_u300b,ag_u301,ag_u302,ag_u303,ag_u304,ag_u305
1,0001-001,PANEL A,Panel A - 2 Visits,1,I plan tasks carefully.,,X,,,
2,0001-001,PANEL A,Panel A - 2 Visits,2,I make up my mind quickly,,,X,,
3,0001-001,PANEL A,Panel A - 2 Visits,3,I save regularly.,,,,,X
4,0001-001,PANEL A,Panel A - 2 Visits,4,I look forward to returni,,,X,,
5,0001-001,PANEL A,Panel A - 2 Visits,5,I can think of many times,,,X,,
6,0001-001,PANEL A,Panel A - 2 Visits,6,I continue to work on har,,X,,,
7,0001-001,PANEL A,Panel A - 2 Visits,7,I like to juggle several,,,X,,
8,0001-001,PANEL A,Panel A - 2 Visits,8,I would rather complete a,,X,,,
9,0001-001,PANEL A,Panel A - 2 Visits,9,I believe it is best to c,,,X,,
10,0001-001,PANEL A,Panel A - 2 Visits,10,It is difficult to know w,,,,X,
11,0001-001,PANEL A,Panel A - 2 Visits,11,I never try anything that,,X,,,
12,0001-001,PANEL A,Panel A - 2 Visits,12,A person can get rich by,,,X,,
13,0001-001,PANEL A,Panel A - 2 Visits,13,It is important for me to,,,X,,
14,0001-001,PANEL A,Panel A - 2 Visits,14,Part of my enjoyment in d,,X,,,
15,0001-001,PANEL A,Panel A - 2 Visits,15,When a group I belong to,,,X,,
16,0001-001,PANEL A,Panel A - 2 Visits,16,I try harder when I'm in,,X,,,
17,0001-001,PANEL A,Panel A - 2 Visits,17,It is important to me to,,,X,,
18,0001-001,PANEL A,Panel A - 2 Visits,18,I enjoy planning things a,X,,,,
19,0001-001,PANEL A,Panel A - 2 Visits,19,I find satisfaction in ha,,,X,,
20,0001-001,PANEL A,Panel A - 2 Visits,20,I like to have a lot of c,,X,,,
21,0001-001,PANEL A,Panel A - 2 Visits,21,The most important thing,,,,X,
22,0001-001,PANEL A,Panel A - 2 Visits,22,My family and friends wou,,,X,,
23,0001-001,PANEL A,Panel A - 2 Visits,23,In uncertain times I usua,,X,,,
24,0001-001,PANEL A,Panel A - 2 Visits,24,If something can go wrong,,,X,,
25,0001-001,PANEL A,Panel A - 2 Visits,25,I'm always optimistic abo,,,X,,
26,0001-001,PANEL A,Panel A - 2 Visits,26,I hardly ever expect thin,,X,,,
27,0001-001,PANEL A,Panel A - 2 Visits,27,I rarely count on good th,,,X,,
28,0001-001,PANEL A,Panel A - 2 Visits,28,Overall I expect more goo,,X,,,
1,0002-001,PANEL B,Panel B - 2 Visits,1,I plan tasks carefully.,,X,,,
2,0002-001,PANEL B,Panel B - 2 Visits,2,I make up my mind quickly,X,,,,
3,0002-001,PANEL B,Panel B - 2 Visits,3,I save regularly.,,,,,X
4,0002-001,PANEL B,Panel B - 2 Visits,4,I look forward to returni,,X,,,
5,0002-001,PANEL B,Panel B - 2 Visits,5,I can think of many times,,X,,,
6,0002-001,PANEL B,Panel B - 2 Visits,6,I continue to work on har,X,,,,
7,0002-001,PANEL B,Panel B - 2 Visits,7,I like to juggle several,,X,,,
8,0002-001,PANEL B,Panel B - 2 Visits,8,I would rather complete a,,X,,,
9,0002-001,PANEL B,Panel B - 2 Visits,9,I believe it is best to c,X,,,,
10,0002-001,PANEL B,Panel B - 2 Visits,10,It is difficult to know w,,X,,,
11,0002-001,PANEL B,Panel B - 2 Visits,11,I never try anything that,,X,,,
12,0002-001,PANEL B,Panel B - 2 Visits,12,A person can get rich by,,X,,,
13,0002-001,PANEL B,Panel B - 2 Visits,13,It is important for me to,,X,,,
14,0002-001,PANEL B,Panel B - 2 Visits,14,Part of my enjoyment in d,,X,,,
15,0002-001,PANEL B,Panel B - 2 Visits,15,When a group I belong to,,X,,,
16,0002-001,PANEL B,Panel B - 2 Visits,16,I try harder when I'm in,,X,,,
17,0002-001,PANEL B,Panel B - 2 Visits,17,It is important to me to,X,,,,
18,0002-001,PANEL B,Panel B - 2 Visits,18,I enjoy planning things a,,X,,,
19,0002-001,PANEL B,Panel B - 2 Visits,19,I find satisfaction in ha,,,X,,
20,0002-001,PANEL B,Panel B - 2 Visits,20,I like to have a lot of c,,,X,,
21,0002-001,PANEL B,Panel B - 2 Visits,21,The most important thing,,X,,,
22,0002-001,PANEL B,Panel B - 2 Visits,22,My family and friends wou,,X,,,
23,0002-001,PANEL B,Panel B - 2 Visits,23,In uncertain times I usua,,X,,,
24,0002-001,PANEL B,Panel B - 2 Visits,24,If something can go wrong,,X,,,
25,0002-001,PANEL B,Panel B - 2 Visits,25,I'm always optimistic abo,,X,,,
26,0002-001,PANEL B,Panel B - 2 Visits,26,I hardly ever expect thin,X,,,,
27,0002-001,PANEL B,Panel B - 2 Visits,27,I rarely count on good th,,X,,,
28,0002-001,PANEL B,Panel B - 2 Visits,28,Overall I expect more goo,,X,,,
1,0003-001,PANEL A,Panel A - 2 Visits,,,,,,,
1,0004-001,PANEL B,Panel B - 2 Visits,,,,,,,
1,0005-001,PANEL A,Panel A - 2 Visits,1,I plan tasks carefully.,,,X,,
2,0005-001,PANEL A,Panel A - 2 Visits,2,I make up my mind quickly,,X,,,
3,0005-001,PANEL A,Panel A - 2 Visits,3,I save regularly.,,X,,,
4,0005-001,PANEL A,Panel A - 2 Visits,4,I look forward to returni,,X,,,
5,0005-001,PANEL A,Panel A - 2 Visits,5,I can think of many times,,X,,,
6,0005-001,PANEL A,Panel A - 2 Visits,6,I continue to work on har,,,X,,
7,0005-001,PANEL A,Panel A - 2 Visits,7,I like to juggle several,,,,X,
8,0005-001,PANEL A,Panel A - 2 Visits,8,I would rather complete a,,X,,,
9,0005-001,PANEL A,Panel A - 2 Visits,9,I believe it is best to c,,,X,,
10,0005-001,PANEL A,Panel A - 2 Visits,10,It is difficult to know w,,X,,,
11,0005-001,PANEL A,Panel A - 2 Visits,11,I never try anything that,,,,X,
12,0005-001,PANEL A,Panel A - 2 Visits,12,A person can get rich by,,,X,,
13,0005-001,PANEL A,Panel A - 2 Visits,13,It is important for me to,,,,X,
14,0005-001,PANEL A,Panel A - 2 Visits,14,Part of my enjoyment in d,,,X,,
15,0005-001,PANEL A,Panel A - 2 Visits,15,When a group I belong to,,X,,,
16,0005-001,PANEL A,Panel A - 2 Visits,16,I try harder when I'm in,,,,,X
17,0005-001,PANEL A,Panel A - 2 Visits,17,It is important to me to,,,,X,
18,0005-001,PANEL A,Panel A - 2 Visits,18,I enjoy planning things a,,,,X,
19,0005-001,PANEL A,Panel A - 2 Visits,19,I find satisfaction in ha,,,X,,
20,0005-001,PANEL A,Panel A - 2 Visits,20,I like to have a lot of c,,,X,,
21,0005-001,PANEL A,Panel A - 2 Visits,21,The most important thing,X,,,,
