HHID,case_id,qx_type,visit,ea_id,ag_j00,ag_j03,ag_j05a,ag_j05b,ag_j05b_os,ag_j05c,ag_j06d_os
37,101010160009,Panel A,2,10101016,,,,,,,
45,101010160033,Panel A,2,10101016,,,,,,,
35,101010160060,Panel A,2,10101016,,,,,,,
41,101010160068,Panel A,2,10101016,,,,,,,
61,101010160069,Panel A,2,10101016,,,,,,,
51,101010160070,Panel A,2,10101016,,,,,,,
57,101010160074,Panel A,2,10101016,,,,,,,
55,101010160086,Panel A,2,10101016,,,,,,,
47,101010160096,Panel A,2,10101016,,,,,,,
63,101010160143,Panel A,2,10101016,,,,,,,
59,101010160159,Panel A,2,10101016,,,,,,,
33,101010160180,Panel A,2,10101016,,,,,,,
49,101010160207,Panel A,2,10101016,,,,,,,
53,101010160235,Panel A,2,10101016,,,,,,,
43,101010160254,Panel A,2,10101016,,,,,,,
39,101010160265,Panel A,2,10101016,,,,,,,
40,101012040003,Panel B,2,10101204,,,,,,,
62,101012040007,Panel B,2,10101204,,,,,,,
42,101012040011,Panel B,2,10101204,,,,,,,
44,101012040020,Panel B,2,10101204,,,,,,,
38,101012040024,Panel B,2,10101204,,,,,,,
52,101012040028,Panel B,2,10101204,,,,,,,
50,101012040037,Panel B,2,10101204,,,,,,,
54,101012040041,Panel B,2,10101204,,,,,,,
48,101012040045,Panel B,2,10101204,,,,,,,
36,101012040054,Panel B,2,10101204,D1,HYBRID RECYCLED,.25,ACRE,,.1,
56,101012040058,Panel B,2,10101204,,,,,,,
64,101012040062,Panel B,2,10101204,D1,RAPE,.25,ACRE,,.090000004,
64,101012040062,Panel B,2,10101204,D2,TOMATO,.25,ACRE,,.07,
34,101012040071,Panel B,2,10101204,,,,,,,
58,101012040075,Panel B,2,10101204,,,,,,,
46,101012040079,Panel B,2,10101204,,,,,,,
60,101012040087,Panel B,2,10101204,,,,,,,
21,101012150001,Panel A,2,10101215,,,,,,,
17,101012150004,Panel A,2,10101215,,,,,,,
11,101012150021,Panel A,2,10101215,,,,,,,
5,101012150022,Panel A,2,10101215,,,,,,,
13,101012150026,Panel A,2,10101215,,,,,,,
1,101012150028,Panel A,2,10101215,,,,,,,
25,101012150034,Panel A,2,10101215,,,,,,,
9,101012150038,Panel A,2,10101215,,,,,,,
31,101012150040,Panel A,2,10101215,,,,,,,
15,101012150045,Panel A,2,10101215,,,,,,,
29,101012150048,Panel A,2,10101215,,,,,,,
27,101012150049,Panel A,2,10101215,,,,,,,
23,101012150053,Panel A,2,10101215,,,,,,,
19,101012150059,Panel A,2,10101215,,,,,,,
3,101012150060,Panel A,2,10101215,,,,,,,
7,101012150074,Panel A,2,10101215,D1,TANAPOSI,.25,ACRE,,.050000001,
20,101015620009,Panel B,2,10101562,,,,,,,
30,101015620020,Panel B,2,10101562,,,,,,,
10,101015620031,Panel B,2,10101562,,,,,,,
6,101015620042,Panel B,2,10101562,,,,,,,
2,101015620053,Panel B,2,10101562,,,,,,,
8,101015620064,Panel B,2,10101562,,,,,,,
18,101015620075,Panel B,2,10101562,,,,,,,
16,101015620086,Panel B,2,10101562,,,,,,,
26,101015620096,Panel B,2,10101562,,,,,,,
28,101015620118,Panel B,2,10101562,,,,,,,
32,101015620140,Panel B,2,10101562,,,,,,,
12,101015620162,Panel B,2,10101562,,,,,,,
4,101015620184,Panel B,2,10101562,,,,,,,
22,101015620195,Panel B,2,10101562,,,,,,,
14,101015620205,Panel B,2,10101562,,,,,,,
24,101015620227,Panel B,2,10101562,,,,,,,
79,101020040001,Panel A,2,10102004,,,,,,,
87,101020040008,Panel A,2,10102004,,,,,,,
89,101020040012,Panel A,2,10102004,,,,,,,
85,101020040015,Panel A,2,10102004,,,,,,,
83,101020040028,Panel A,2,10102004,,,,,,,
75,101020040031,Panel A,2,10102004,,,,,,,
65,101020040034,Panel A,2,10102004,,,,,,,
93,101020040039,Panel A,2,10102004,,,,,,,
71,101020040042,Panel A,2,10102004,,,,,,,
69,101020040059,Panel A,2,10102004,,,,,,,
81,101020040061,Panel A,2,10102004,,,,,,,
73,101020040093,Panel A,2,10102004,,,,,,,
