round,y2_hhid,case_id,HHID,ea_id,region,urban,district,strata,hhweight,hhweightR1,hhsize,adulteq,intmonth,intyear,panel,interview_status,price_indexL,rexpagg,pcrexpagg,absolute_povline,extreme_povline,poor,epoor,rexp_cat01,rexp_cat02,rexp_cat03,rexp_cat04,rexp_cat05,rexp_cat06,rexp_cat07,rexp_cat08,rexp_cat09,rexp_cat10,rexp_cat11,rexp_cat12,pcrexp_cat01,pcrexp_cat02,pcrexp_cat03,pcrexp_cat04,pcrexp_cat05,pcrexp_cat06,pcrexp_cat07,pcrexp_cat08,pcrexp_cat09,pcrexp_cat10,pcrexp_cat11,pcrexp_cat12,rexp_cat011,rexp_cat012,rexp_cat021,rexp_cat022,rexp_cat031,rexp_cat032,rexp_cat041,rexp_cat042,rexp_cat044,rexp_cat045,rexp_cat051,rexp_cat052,rexp_cat053,rexp_cat054,rexp_cat055,rexp_cat056,rexp_cat061,rexp_cat062,rexp_cat063,rexp_cat071,rexp_cat072,rexp_cat073,rexp_cat081,rexp_cat083,rexp_cat091,rexp_cat092,rexp_cat093,rexp_cat094,rexp_cat095,rexp_cat101,rexp_cat111,rexp_cat112,rexp_cat121,rexp_cat123,pcrexp_cat011,pcrexp_cat012,pcrexp_cat021,pcrexp_cat022,pcrexp_cat031,pcrexp_cat032,pcrexp_cat041,pcrexp_cat042,pcrexp_cat044,pcrexp_cat045,pcrexp_cat051,pcrexp_cat052,pcrexp_cat053,pcrexp_cat054,pcrexp_cat055,pcrexp_cat056,pcrexp_cat061,pcrexp_cat062,pcrexp_cat063,pcrexp_cat071,pcrexp_cat072,pcrexp_cat073,pcrexp_cat081,pcrexp_cat083,pcrexp_cat091,pcrexp_cat092,pcrexp_cat093,pcrexp_cat094,pcrexp_cat095,pcrexp_cat101,pcrexp_cat111,pcrexp_cat112,pcrexp_cat121,pcrexp_cat123
2,0001-001,101012150028,1,10101215,North,Rural,Chitipa,North - Rural,320.82767,444.56241,6,5.600000023841858,5,2013,PANEL A,Panel A - 2 Visits,100.27349,224491.19,37415.199,85852,53262,1,1,182279.22,0,0,9972.7256,7806.082,22039.723,0,0,0,0,0,2393.4541,30379.869,0,0,1662.121,1301.0137,3673.2871,0,0,0,0,0,398.90903,182279.22,0,0,0,0,0,0,4786.9082,0,5185.8174,595.15027,0,0,0,30.569689,7180.3623,0,22039.723,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2393.4541,0,30379.869,0,0,0,0,0,0,797.81805,0,864.30292,99.191711,0,0,0,5.0949483,1196.7271,0,3673.2871,0,0,0,0,0,0,0,0,0,0,0,0,0,0,398.90903,0
2,0002-001,101015620053,2,10101562,North,Rural,Chitipa,North - Rural,258.77768,345.05539,5,3.830000013113022,10,2013,PANEL B,Panel B - 2 Visits,101.07241,189488.45,37897.691,85852,53262,1,1,122655.17,0,30868.959,18600.525,8310.873,643.10327,0,0,0,98.938965,0,8310.873,24531.035,0,6173.792,3720.105,1662.1746,128.62065,0,0,0,19.787792,0,1662.1746,122655.17,0,0,0,28890.178,1978.7794,0,8310.873,0,10289.652,0,0,0,0,3561.8027,4749.0703,643.10327,0,0,0,0,0,0,0,0,0,0,0,0,98.938965,0,0,8310.873,0,24531.035,0,0,0,5778.0356,395.75589,0,1662.1746,0,2057.9304,0,0,0,0,712.36053,949.81409,128.62065,0,0,0,0,0,0,0,0,0,0,0,0,19.787792,0,0,1662.1746,0
2,0003-001,101012150060,3,10101215,North,Rural,Chitipa,North - Rural,320.82767,444.56241,1,1,5,2013,PANEL A,Panel A - 2 Visits,100.27349,136491.94,136491.94,85852,53262,0,0,105137.7,0,0,23376.068,5584.7261,0,0,0,0,0,0,2393.4541,105137.7,0,0,23376.068,5584.7261,0,0,0,0,0,0,2393.4541,105137.7,0,0,0,0,0,0,11967.271,0,11408.798,1994.545,0,0,0,0,3590.1812,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2393.4541,0,105137.7,0,0,0,0,0,0,11967.271,0,11408.798,1994.545,0,0,0,0,3590.1812,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2393.4541,0
2,0004-001,101015620184,4,10101562,North,Rural,Chitipa,North - Rural,256.44754,345.05539,6,5.439999997615814,10,2013,PANEL B,Panel B - 2 Visits,101.07241,549016.5,91502.75,85852,53262,0,0,365784.5,0,0,96702.945,16807.309,0,14877.093,0,576.62769,25773.602,0,28494.422,60964.082,0,0,16117.157,2801.218,0,2479.5154,0,96.104614,4295.6001,0,4749.0703,363212.09,2572.4131,0,0,0,0,0,71236.055,0,25466.891,3984.8196,0,0,0,3324.3494,9498.1406,0,0,0,2015.0275,0,12862.065,0,0,576.62769,0,0,0,0,25773.602,0,0,28494.422,0,60535.348,428.7355,0,0,0,0,0,11872.676,0,4244.4819,664.1366,0,0,0,554.05823,1583.0234,0,0,0,335.83792,0,2143.6775,0,0,96.104614,0,0,0,0,4295.6001,0,0,4749.0703,0
2,0005-001,101012150022,5,10101215,North,Rural,Chitipa,North - Rural,325.95117,444.56241,9,7.960000038146973,5,2013,PANEL A,Panel A - 2 Visits,100.27349,685581.19,76175.688,85852,53262,1,0,611747.19,0,0,42324.246,7674.9307,3889.363,0,0,0,16355.27,0,3590.1812,67971.906,0,0,4702.6938,852.77008,432.15146,0,0,0,1817.2522,0,398.90903,611747.19,0,0,0,0,0,0,17950.906,0,24373.342,1691.2957,0,0,0,0,5983.6353,3889.363,0,0,0,0,0,0,0,0,0,0,0,0,16355.27,0,0,3590.1812,0,67971.906,0,0,0,0,0,0,1994.5452,0,2708.1492,187.92174,0,0,0,0,664.84839,432.15146,0,0,0,0,0,0,0,0,0,0,0,0,1817.2522,0,0,398.90903,0
2,0006-001,101015620042,6,10101562,North,Rural,Chitipa,North - Rural,252.99306,345.05539,5,3.990000039339066,10,2013,PANEL B,Panel B - 2 Visits,101.07241,331261.22,66252.242,85852,53262,1,0,249505.33,0,0,34035.004,10579.157,1028.9652,0,18996.281,0,2038.1427,0,15078.299,49901.066,0,0,6807.001,2115.8315,205.79305,0,3799.2563,0,407.62854,0,3015.6597,249505.33,0,0,0,0,0,0,23745.352,0,10289.652,0,0,0,0,4642.8188,5936.3379,1028.9652,0,0,0,0,0,0,18996.281,0,0,0,0,0,2038.1427,0,0,15078.299,0,49901.066,0,0,0,0,0,0,4749.0703,0,2057.9304,0,0,0,0,928.56378,1187.2676,205.79305,0,0,0,0,0,0,3799.2563,0,0,0,0,0,407.62854,0,0,3015.6597,0
2,0006-003,101015620042,6,10101562,North,Rural,Chitipa,North - Rural,133.39371,345.05539,2,2,10,2013,PANEL B,Panel B - 2 Visits,101.07241,180802.66,90401.328,85852,53262,0,0,128385.87,0,11279.042,22162.328,11258.19,0,0,0,0,0,0,7717.2397,64192.934,0,5639.521,11081.164,5629.0952,0,0,0,0,0,0,3858.6199,128385.87,0,0,0,1385.1455,9893.8965,0,11872.676,0,10289.652,1463.2329,4452.2534,0,0,1780.9014,3561.8027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7717.2397,0,64192.934,0,0,0,692.57275,4946.9482,0,5936.3379,0,5144.8262,731.61646,2226.1267,0,0,890.45068,1780.9014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3858.6199,0
2,0007-001,101012150074,7,10101215,North,Rural,Chitipa,North - Rural,323.86151,444.56241,10,9.040000021457672,5,2013,PANEL A,Panel A - 2 Visits,100.27349,795046.25,79504.625,85852,53262,1,0,585896.44,23336.178,0,109221.29,13953.997,2268.7952,2667.333,0,4986.3628,26627.178,0,26088.65,58589.645,2333.6177,0,10922.129,1395.3997,226.87952,266.73331,0,498.63629,2662.7178,0,2608.865,585896.44,0,23336.178,0,0,0,0,95738.164,0,13483.125,1803.3092,0,0,0,3773.5991,8377.0898,2268.7952,0,0,2667.333,0,0,0,0,4986.3628,0,0,0,0,26627.178,0,0,26088.65,0,58589.645,0,2333.6177,0,0,0,0,9573.8164,0,1348.3125,180.33092,0,0,0,377.35992,837.70898,226.87952,0,0,266.73331,0,0,0,0,498.63629,0,0,0,0,2662.7178,0,0,2608.865,0
2,0008-001,101015620064,8,10101562,North,Rural,Chitipa,North - Rural,254.64293,345.05539,9,8.510000050067902,10,2013,PANEL B,Panel B - 2 Visits,101.07241,845961.06,93995.672,85852,53262,0,0,476039.19,0,31660.471,68030.438,17582.174,1800.6892,128620.66,37992.563,4737.374,56048.926,0,23448.535,52893.242,0,3517.8301,7558.9375,1953.5748,200.07658,14291.184,4221.396,526.37488,6227.6582,0,2605.3928,472437.81,3601.3784,0,0,31660.471,0,0,35618.027,0,32412.406,3019.8005,1484.0845,0,0,8329.2178,4749.0703,1800.6892,0,0,0,0,128620.66,0,37992.563,4737.374,0,0,0,0,56048.926,0,0,23448.535,0,52493.09,400.15317,0,0,3517.8301,0,0,3957.5586,0,3601.3784,335.53339,164.89827,0,0,925.46863,527.6745,200.07658,0,0,0,0,14291.184,0,4221.396,526.37488,0,0,0,0,6227.6582,0,0,2605.3928,0
2,0008-003,101015620064,8,10101562,North,Rural,Chitipa,North - Rural,125.68556,345.05539,3,2.469999998807907,10,2013,PANEL B,Panel B - 2 Visits,101.07241,1413200.6,471066.88,85852,53262,0,0,762437.31,0,64072.875,198887.11,19587.072,0,231517.19,71236.055,32813.234,0,0,32649.859,254145.77,0,21357.625,66295.703,6529.0239,0,77172.398,23745.352,10937.745,0,0,10883.286,754720.06,7717.2397,0,0,64072.875,0,77172.398,0,23745.352,97969.367,5069.0654,890.45068,10065.754,0,0,3561.8027,0,0,0,0,0,231517.19,0,71236.055,7089.1006,0,0,0,25724.131,0,0,0,32649.859,0,251573.36,2572.4133,0,0,21357.625,0,25724.133,0,7915.1172,32656.455,1689.6885,296.81689,3355.2512,0,0,1187.2676,0,0,0,0,0,77172.398,0,23745.352,2363.0334,0,0,0,8574.71,0,0,0,10883.286,0
