occ,y2_hhid,qx_type,interview_status,ag_c00,ag_c02,ag_c03_2,ag_c04a,ag_c04b,ag_c04c,ag_c05e,ag_c06,ag_c07
1,0001-001,PANEL A,Panel A - 2 Visits,R01,HYBRID MAIZE,RG01,1,ACRE,.30000001,,10,PARTLY CLOUDY / PARTLY SUNNY
2,0001-001,PANEL A,Panel A - 2 Visits,R02,LOCAL MAIZE,RG02,1,ACRE,6.4000001,,10,PARTLY CLOUDY / PARTLY SUNNY
3,0001-001,PANEL A,Panel A - 2 Visits,R03,GROUNDNUTS,RG03,.25,ACRE,.1,,10,PARTLY CLOUDY / PARTLY SUNNY
1,0002-001,PANEL B,Panel B - 2 Visits,R01,HYBRID MAIZE,RG01,1,ACRE,.89999998,,9,CLEAR / SUNNY
1,0003-001,PANEL A,Panel A - 2 Visits,R01,LOCAL MAIZE,RG01,1,ACRE,1.1,,10,PARTLY CLOUDY / PARTLY SUNNY
1,0004-001,PANEL B,Panel B - 2 Visits,R01,GROUNDNUTS CG7,RG01,1,ACRE,.60000002,,12,PARTLY CLOUDY / PARTLY SUNNY
2,0004-001,PANEL B,Panel B - 2 Visits,R02,HYBRIDE MAIZE,RG02,1,ACRE,.69999999,,12,PARTLY CLOUDY / PARTLY SUNNY
1,0005-001,PANEL A,Panel A - 2 Visits,R01,LOCAL MAIZE,RG01,1,ACRE,1.4,,11,PARTLY CLOUDY / PARTLY SUNNY
2,0005-001,PANEL A,Panel A - 2 Visits,R02,HYBRID MAIZE,RG02,1,ACRE,.40000001,,11,PARTLY CLOUDY / PARTLY SUNNY
1,0006-001,PANEL B,Panel B - 2 Visits,R01,HYBRID MAIZE,RG01,2,ACRE,1.71,,12,PARTLY CLOUDY / PARTLY SUNNY
1,0006-003,PANEL B,Panel B - 2 Visits,R01,HYBRID MAIZE RECYCLED,RG01,1,ACRE,.88,,12,PARTLY CLOUDY / PARTLY SUNNY
1,0007-001,PANEL A,Panel A - 2 Visits,R01,LOCAL MAIZE,RG01,.30000001,ACRE,.30000001,,12,CLEAR / SUNNY
2,0007-001,PANEL A,Panel A - 2 Visits,R02,HYBRID MAIZE,RG02,.1,ACRE,.2,,12,CLEAR / SUNNY
3,0007-001,PANEL A,Panel A - 2 Visits,R03,HYBRID MAIZE,RG03,.5,ACRE,.69999999,,12,CLEAR / SUNNY
4,0007-001,PANEL A,Panel A - 2 Visits,R04,HYBRID MAIZE,RG04,.1,ACRE,.1,,12,CLEAR / SUNNY
1,0008-001,PANEL B,Panel B - 2 Visits,R01,LOCAL MAIZE,RG01,1,ACRE,.80000001,,9,PARTLY CLOUDY / PARTLY SUNNY
2,0008-001,PANEL B,Panel B - 2 Visits,R02,CHALIMBANA GROUNDNUTS,RG02,.25,ACRE,.30000001,,9,PARTLY CLOUDY / PARTLY SUNNY
3,0008-001,PANEL B,Panel B - 2 Visits,R03,BEANS,RG03,.25,ACRE,.40000001,,9,PARTLY CLOUDY / PARTLY SUNNY
1,0008-003,PANEL B,Panel B - 2 Visits,R01,HYBRID MAIZE,RG01,.5,ACRE,.30000001,,10,PARTLY CLOUDY / PARTLY SUNNY
1,0009-001,PANEL A,Panel A - 2 Visits,R01,HYBRID MAIZE,RG01,.1,ACRE,.40000001,,12,CLEAR / SUNNY
2,0009-001,PANEL A,Panel A - 2 Visits,R02,HYBRID MAIZE,RG02,.1,ACRE,.5,,12,CLEAR / SUNNY
1,0010-001,PANEL B,Panel B - 2 Visits,R01,LOCAL MAIZE,RG01,1,ACRE,3.0999999,,12,PARTLY CLOUDY / PARTLY SUNNY
1,0011-001,PANEL A,Panel A - 2 Visits,R01,LOCAL MAIZE,RG01,1.25,ACRE,1,,12,CLEAR / SUNNY
1,0012-001,PANEL B,Panel B - 2 Visits,R01,LOCAL MAIZE,RG01,2,ACRE,1.8,,12,CLEAR / SUNNY
2,0012-001,PANEL B,Panel B - 2 Visits,R02,HYBRIDE RECYCLED MAIZE,RG02,3,ACRE,1.5,,12,CLEAR / SUNNY
3,0012-001,PANEL B,Panel B - 2 Visits,R03,SWEET POTATOES,RG03,.30000001,ACRE,.2,,12,CLEAR / SUNNY
1,0012-003,PANEL B,Panel B - 2 Visits,R01,HYBRID MAIZE,RG01,.5,ACRE,.60000002,,12,CLEAR / SUNNY
1,0012-010,PANEL B,Panel B - 2 Visits,R01,RECYCLED HYBRID,RG01,.5,ACRE,.30000001,,11,CLEAR / SUNNY
2,0012-010,PANEL B,Panel B - 2 Visits,R02,CHALIMBANA GROUNDNUTS,RG02,.5,ACRE,.1,,11,CLEAR / SUNNY
1,0013-001,PANEL A,Panel A - 2 Visits,R01,LOCAL MAIZE,RG01,1,ACRE,1,,12,CLEAR / SUNNY
2,0013-001,PANEL A,Panel A - 2 Visits,R02,HYBRID MAIZE,RG02,.69999999,ACRE,.5,,12,CLEAR / SUNNY
1,0014-001,PANEL B,Panel B - 2 Visits,R01,HYBRID MAIZE,RG01,.5,ACRE,.40000001,,9,CLEAR / SUNNY
1,0015-001,PANEL A,Panel A - 2 Visits,R01,LOCAL MAIZE,RG01,1,ACRE,.89999998,,10,CLEAR / SUNNY
2,0015-001,PANEL A,Panel A - 2 Visits,R02,BAKA G/NUTS,RG02,.25,ACRE,.1,,10,CLEAR / SUNNY
