occ,y2_hhid,qx_type,interview_status,ag_a1_start,ag_a1_end,ag_a2_start,ag_a2_end,ag_b_start,ag_b_end,ag_b_start_day,ag_b_start_month,ag_b_start_hour,ag_b_start_minute,ag_b_end_hour,ag_b_end_minute,ag_b_respondent,ag_b1_start,ag_b1_end,ag_b1_start_day,ag_b1_start_month,ag_b1_start_hour,ag_b1_start_minute,ag_b1_end_hour,ag_b1_end_minute,ag_b1_respondent,ag_c_start,ag_c_end,ag_c_start_day,ag_c_start_month,ag_c_start_hour,ag_c_start_minute,ag_c_end_hour,ag_c_end_minute,ag_c_respondent,ag_d_start,ag_d_end,ag_d_start_day,ag_d_start_month,ag_d_start_hour,ag_d_start_minute,ag_d_end_hour,ag_d_end_minute,ag_d_respondent,ag_e_start,ag_e_end,ag_e_start_day,ag_e_start_month,ag_e_start_hour,ag_e_start_minute,ag_e_end_hour,ag_e_end_minute,ag_e_respondent,ag_f_start,ag_f_end,ag_f_start_day,ag_f_start_month,ag_f_start_hour,ag_f_start_minute,ag_f_end_hour,ag_f_end_minute,ag_f_respondent,ag_g_start,ag_g_end,ag_g_start_day,ag_g_start_month,ag_g_start_hour,ag_g_start_minute,ag_g_end_hour,ag_g_end_minute,ag_h_start,ag_h_end,ag_h_start_day,ag_h_start_month,ag_h_start_hour,ag_h_start_minute,ag_h_end_hour,ag_h_end_minute,ag_h_respondent,ag_r_start,ag_r_end,ag_r_start_day,ag_r_start_month,ag_r_start_hour,ag_r_start_minute,ag_r_end_hour,ag_r_end_minute,ag_s_start,ag_s_end,ag_s_start_day,ag_s_start_month,ag_s_start_hour,ag_s_start_minute,ag_s_end_hour,ag_s_end_minute,ag_s_respondent,ag_i_start,ag_i_end,ag_i_start_day,ag_i_start_month,ag_i_start_hour,ag_i_start_minute,ag_i_end_hour,ag_i_end_minute,ag_i1_start,ag_i1_end,ag_i1_start_day,ag_i1_start_month,ag_i1_start_hour,ag_i1_start_minute,ag_i1_end_hour,ag_i1_end_minute,ag_i1_respondent,ag_j_start,ag_j_end,ag_j_start_day,ag_j_start_month,ag_j_start_hour,ag_j_start_minute,ag_j_end_hour,ag_j_end_minute,ag_j_respondent,ag_k_start,ag_k_end,ag_k_start_day,ag_k_start_month,ag_k_start_hour,ag_k_start_minute,ag_k_end_hour,ag_k_end_minute,ag_k_respondent,ag_l_start,ag_l_end,ag_l_start_day,ag_l_start_month,ag_l_start_hour,ag_l_start_minute,ag_l_end_hour,ag_l_end_minute,ag_l_respondent,ag_m_start,ag_m_end,ag_m_start_day,ag_m_start_month,ag_m_start_hour,ag_m_start_minute,ag_m_end_hour,ag_m_end_minute,ag_m_respondent,ag_n_start,ag_n_end,ag_n_start_day,ag_n_start_month,ag_n_start_hour,ag_n_start_minute,ag_n_end_hour,ag_n_end_minute,ag_n_respondent,ag_o1_start,ag_o1_end,ag_o1_start_day,ag_o1_start_month,ag_o1_start_hour,ag_o1_start_minute,ag_o1_end_hour,ag_o1_end_minute,ag_o11_start,ag_o11_end,ag_o11_start_day,ag_o11_start_month,ag_o11_start_hour,ag_o11_start_minute,ag_o11_end_hour,ag_o11_end_minute,ag_o11_respondent,ag_o2_start,ag_o2_end,ag_o2_start_day,ag_o2_start_month,ag_o2_start_hour,ag_o2_start_minute,ag_o2_end_hour,ag_o2_end_minute,ag_o2_respondent,ag_p_start,ag_p_end,ag_p_start_day,ag_p_start_month,ag_p_start_hour,ag_p_start_minute,ag_p_end_hour,ag_p_end_minute,ag_p_respondent,ag_q_start,ag_q_end,ag_q_start_day,ag_q_start_month,ag_q_start_hour,ag_q_start_minute,ag_q_end_hour,ag_q_end_minute,ag_t_start,ag_t_end,ag_t_start_day,ag_t_start_month,ag_t_start_hour,ag_t_start_minute,ag_t_end_hour,ag_t_end_minute,ag_t_respondent,ag_u1_start,ag_u1_end,ag_u1_start_day,ag_u1_start_month,ag_u1_start_hour,ag_u1_start_minute,ag_u1_manager,ag_u1_manager_a,ag_u1_end_hour,ag_u1_end_minute,ag_u2_start,ag_u2_end,ag_u2_start_day,ag_u2_start_month,ag_u2_start_hour,ag_u2_start_minute,ag_u2_manager_a,ag_u2_end_hour,ag_u2_end_minute,ag_u3_start,ag_u3_end,ag_u3_start_day,ag_u3_start_month,ag_u3_start_hour,ag_u3_start_minute,ag_u3_manager_a,ag_u3_end_hour,ag_u3_end_minute,ag_u4_start,ag_u4_end,ag_u4_start_day,ag_u4_start_month,ag_u4_start_hour,ag_u4_start_minute,ag_u4_manager_a,ag_u4_end_hour,ag_u4_end_minute,ag_nr_start,ag_nr_end
1,0001-001,PANEL A,Panel A - 2 Visits,29/05/13 10:44:17,29/05/13 11:25:42,,06/09/13 11:52:57,29/05/13 11:25:42,06/09/13 11:52:57,25,MAY,8,22,8,25,1,29/05/13 11:27:09,06/09/13 11:52:57,25,MAY,8,23,8,27,1,29/05/13 11:29:23,06/09/13 11:52:57,25,MAY,8,28,8,30,1,29/05/13 11:32:24,06/09/13 11:53:00,25,MAY,8,32,8,40,1,29/05/13 11:37:14,06/09/13 11:53:00,25,MAY,8,40,8,45,1,29/05/13 11:39:25,06/09/13 11:53:00,25,MAY,8,45,8,47,1,29/05/13 11:39:53,06/09/13 11:53:00,25,MAY,8,47,8,50,29/05/13 11:40:48,06/09/13 11:53:00,25,MAY,8,50,8,59,1,29/05/13 11:42:37,06/09/13 11:53:00,25,MAY,9,0,9,7,29/05/13 11:44:25,06/09/13 11:53:00,25,MAY,9,7,9,10,1,06/09/13 11:54:56,06/09/13 11:56:06,30,AUGUST,7,50,7,58,06/09/13 11:56:06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,06/09/13 11:56:07,,,,,,,,,06/09/13 11:56:19,06/09/13 11:56:55,30,AUGUST,8,1,8,6,1,06/09/13 11:56:55,06/09/13 11:57:16,30,AUGUST,8,6,8,12,1,06/09/13 11:57:16,06/09/13 11:57:51,30,AUGUST,8,12,8,18,06/09/13 11:57:51,06/09/13 11:58:20,30,AUGUST,8,18,8,22,1,06/09/13 11:58:20,06/09/13 11:59:59,30,AUGUST,8,22,2,1,8,30,06/09/13 11:59:59,06/09/13 12:00:20,30,AUGUST,8,30,1,8,37,06/09/13 12:00:20,06/09/13 12:01:45,30,AUGUST,8,37,2,8,43,06/09/13 12:01:45,06/09/13 12:02:08,30,AUGUST,8,43,2,8,49,29/05/13 11:44:48,29/05/13 11:45:53
1,0002-001,PANEL B,Panel B - 2 Visits,26/07/13 15:10:12,26/07/13 15:11:32,,25/10/13 14:21:42,26/07/13 15:11:32,25/10/13 14:21:46,19,JULY,11,15,11,23,1,26/07/13 15:13:50,25/10/13 14:21:46,19,JULY,11,24,11,25,1,26/07/13 15:14:30,25/10/13 14:21:46,19,JULY,11,25,11,27,1,26/07/13 15:15:12,25/10/13 14:21:46,19,JULY,11,27,11,37,1,26/07/13 15:16:39,25/10/13 14:21:46,19,JULY,11,37,11,45,1,26/07/13 15:20:18,25/10/13 14:21:46,19,JULY,11,45,11,46,1,26/07/13 15:20:42,25/10/13 14:21:46,19,JULY,11,46,11,48,26/07/13 15:21:09,25/10/13 14:21:47,19,JULY,11,48,11,50,1,26/07/13 15:21:35,25/10/13 14:21:47,19,JULY,11,50,11,53,26/07/13 15:22:46,25/10/13 14:21:47,19,JULY,11,51,11,55,1,25/10/13 14:22:39,25/10/13 14:23:30,23,OCTOBER,15,56,16,0,25/10/13 14:23:31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25/10/13 14:23:32,,,,,,,,,25/10/13 14:23:47,25/10/13 14:24:31,23,OCTOBER,16,1,16,3,1,25/10/13 14:24:32,25/10/13 14:25:00,23,OCTOBER,16,3,16,8,1,25/10/13 14:25:00,25/10/13 14:25:30,23,OCTOBER,16,8,16,12,25/10/13 14:25:30,25/10/13 14:26:02,23,OCTOBER,16,12,16,15,1,25/10/13 14:26:02,25/10/13 14:27:49,23,OCTOBER,16,15,2,1,16,21,25/10/13 14:27:49,25/10/13 14:28:05,23,OCTOBER,16,21,1,16,25,25/10/13 14:28:06,25/10/13 14:29:38,23,OCTOBER,16,25,2,16,31,25/10/13 14:29:38,25/10/13 14:29:58,23,OCTOBER,16,31,2,16,36,26/07/13 15:23:05,26/07/13 15:23:33
1,0003-001,PANEL A,Panel A - 2 Visits,29/05/13 16:20:27,29/05/13 16:23:37,,08/09/13 08:03:15,29/05/13 16:23:37,08/09/13 08:03:15,25,MAY,12,16,12,18,1,29/05/13 16:24:33,08/09/13 08:03:15,25,MAY,12,19,12,20,1,29/05/13 16:25:30,08/09/13 08:03:15,25,MAY,12,20,12,21,1,29/05/13 16:27:38,08/09/13 08:03:17,25,MAY,12,21,12,25,1,29/05/13 16:30:00,08/09/13 08:03:17,25,MAY,12,25,12,24,1,29/05/13 16:32:41,08/09/13 08:03:17,25,MAY,12,26,12,28,1,29/05/13 16:33:15,08/09/13 08:03:17,25,MAY,12,29,12,38,29/05/13 16:33:42,08/09/13 08:03:17,25,MAY,12,31,12,33,1,29/05/13 16:34:09,08/09/13 08:03:19,25,MAY,12,34,12,35,,08/09/13 08:03:19,,,,,,,,08/09/13 08:04:12,08/09/13 08:04:38,31,AUGUST,9,42,9,48,08/09/13 08:04:38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,08/09/13 08:04:40,,,,,,,,,08/09/13 08:05:10,08/09/13 08:05:48,31,AUGUST,9,51,9,57,1,08/09/13 08:05:48,08/09/13 08:06:44,31,AUGUST,9,58,10,4,1,08/09/13 08:06:44,08/09/13 08:07:06,31,AUGUST,10,4,10,10,08/09/13 08:07:06,08/09/13 08:07:44,31,AUGUST,10,10,10,16,1,08/09/13 08:07:44,08/09/13 08:12:06,31,AUGUST,10,16,1,1,10,24,08/09/13 08:12:06,08/09/13 08:12:25,31,AUGUST,10,24,1,10,32,08/09/13 08:12:25,,,,,,,,,,,,,,,,,,29/05/13 16:34:30,29/05/13 16:34:46
1,0004-001,PANEL B,Panel B - 2 Visits,26/07/13 13:23:06,26/07/13 13:25:34,,25/10/13 15:57:13,26/07/13 13:25:34,25/10/13 15:57:13,19,JULY,10,34,10,42,3,26/07/13 13:26:32,25/10/13 15:57:13,19,JULY,10,42,10,42,3,26/07/13 13:27:45,25/10/13 15:57:13,19,JULY,10,43,10,44,3,26/07/13 13:29:47,25/10/13 15:57:13,19,JULY,10,44,10,53,3,26/07/13 13:42:26,25/10/13 15:57:13,19,JULY,10,53,10,54,3,26/07/13 13:43:49,25/10/13 15:57:13,19,JULY,10,55,10,58,3,26/07/13 13:44:44,25/10/13 15:57:14,19,JULY,10,58,11,2,26/07/13 13:45:42,25/10/13 15:57:14,19,JULY,11,2,11,6,3,26/07/13 13:49:07,25/10/13 15:57:14,19,JULY,11,6,11,11,26/07/13 13:50:32,25/10/13 15:57:14,19,JULY,11,11,11,13,3,25/10/13 16:00:57,25/10/13 16:02:51,25,OCTOBER,10,56,11,3,25/10/13 16:02:51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25/10/13 16:02:52,,,,,,,,,25/10/13 16:03:11,,,,,,,,,,,,,,,,,,,,,,,,,,25/10/13 16:03:11,25/10/13 16:03:32,25,OCTOBER,11,4,11,6,1,25/10/13 16:03:32,25/10/13 16:04:40,25,OCTOBER,11,6,1,1,11,11,25/10/13 16:04:40,25/10/13 16:04:59,25,OCTOBER,11,11,1,11,19,25/10/13 16:05:00,,,,,,,,,,,,,,,,,,26/07/13 13:50:50,26/07/13 13:51:13
1,0005-001,PANEL A,Panel A - 2 Visits,29/05/13 15:00:41,29/05/13 15:02:20,,08/09/13 07:38:30,29/05/13 15:02:20,08/09/13 07:38:30,24,MAY,10,26,10,30,1,29/05/13 15:03:29,08/09/13 07:38:30,24,MAY,10,30,10,32,1,29/05/13 15:04:57,08/09/13 07:38:31,24,MAY,10,32,10,33,1,29/05/13 15:07:56,08/09/13 07:38:31,24,MAY,10,33,10,43,1,29/05/13 15:11:53,08/09/13 07:38:31,24,MAY,10,43,10,49,1,29/05/13 15:15:10,08/09/13 07:38:31,24,MAY,10,49,10,49,1,29/05/13 15:15:43,08/09/13 07:38:31,24,MAY,10,49,10,49,29/05/13 15:16:38,08/09/13 07:38:31,24,MAY,10,50,10,58,1,29/05/13 15:17:28,08/09/13 07:38:31,24,MAY,11,0,11,1,29/05/13 15:18:14,08/09/13 07:38:31,24,MAY,11,1,11,2,1,08/09/13 07:41:40,08/09/13 07:42:38,30,AUGUST,9,51,9,51,08/09/13 07:42:38,08/09/13 07:43:15,30,AUGUST,9,52,9,56,1,08/09/13 07:43:15,08/09/13 07:44:27,30,AUGUST,9,56,9,59,1,08/09/13 07:44:27,08/09/13 07:46:28,30,AUGUST,10,0,10,6,1,08/09/13 07:46:28,08/09/13 07:47:16,30,AUGUST,10,6,10,12,1,08/09/13 07:47:16,08/09/13 07:47:43,30,AUGUST,10,12,10,18,1,08/09/13 07:47:43,08/09/13 07:48:16,30,AUGUST,10,18,10,26,1,08/09/13 07:48:16,08/09/13 07:48:46,30,AUGUST,10,26,10,31,08/09/13 07:48:46,,,,,,,,,08/09/13 07:48:50,08/09/13 07:49:34,30,AUGUST,10,32,10,38,1,08/09/13 07:49:34,08/09/13 07:50:37,30,AUGUST,10,38,10,42,1,08/09/13 07:50:37,08/09/13 07:51:02,30,AUGUST,10,42,10,48,08/09/13 07:51:02,08/09/13 07:51:25,30,AUGUST,10,48,10,50,1,08/09/13 07:51:25,08/09/13 07:53:18,30,AUGUST,10,50,2,1,11,0,08/09/13 07:53:18,08/09/13 07:53:47,30,AUGUST,11,0,1,11,9,08/09/13 07:53:47,08/09/13 07:55:39,30,AUGUST,11,9,2,11,17,08/09/13 07:55:39,08/09/13 07:56:02,30,AUGUST,11,17,2,11,26,29/05/13 15:18:29,29/05/13 15:18:55
1,0006-001,PANEL B,Panel B - 2 Visits,29/07/13 10:55:50,29/07/13 10:56:47,,25/10/13 07:58:42,29/07/13 10:56:47,25/10/13 07:58:42,20,JULY,7,40,7,47,2,29/07/13 10:57:26,25/10/13 07:58:42,20,JULY,7,47,7,49,2,29/07/13 10:57:59,25/10/13 07:58:42,20,JULY,7,49,7,51,2,29/07/13 10:58:40,25/10/13 07:58:42,20,JULY,7,51,7,58,2,29/07/13 11:00:06,25/10/13 07:58:42,20,JULY,7,59,8,9,2,29/07/13 11:02:21,25/10/13 07:58:42,20,JULY,8,10,8,12,2,29/07/13 11:02:50,25/10/13 07:58:42,20,JULY,8,13,8,17,29/07/13 11:03:38,25/10/13 07:58:42,20,JULY,8,18,8,23,2,29/07/13 11:04:20,25/10/13 07:58:43,20,JULY,8,24,8,33,29/07/13 11:06:31,25/10/13 07:58:43,20,JULY,8,34,8,36,2,25/10/13 08:00:18,25/10/13 08:01:19,24,OCTOBER,8,48,8,52,25/10/13 08:01:19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25/10/13 08:01:20,,,,,,,,,25/10/13 08:01:34,,,,,,,,,,,,,,,,,,,,,,,,,,25/10/13 08:01:34,25/10/13 08:01:55,24,OCTOBER,8,58,9,0,1,25/10/13 08:01:55,25/10/13 08:03:33,24,OCTOBER,9,0,2,1,9,10,25/10/13 08:03:33,25/10/13 08:03:49,24,OCTOBER,9,10,1,9,14,25/10/13 08:03:49,25/10/13 08:05:37,24,OCTOBER,9,14,2,9,24,25/10/13 08:05:37,25/10/13 08:05:56,24,OCTOBER,9,24,2,9,28,29/07/13 11:07:03,29/07/13 11:07:45
1,0006-003,PANEL B,Panel B - 2 Visits,29/07/13 08:24:50,29/07/13 08:25:47,,25/10/13 08:21:22,29/07/13 08:25:47,25/10/13 08:21:22,21,JULY,8,10,8,17,1,29/07/13 08:26:52,25/10/13 08:21:22,21,JULY,8,17,8,19,1,29/07/13 08:27:31,25/10/13 08:21:22,21,JULY,8,20,8,21,1,29/07/13 08:28:33,25/10/13 08:21:23,21,JULY,8,22,8,29,1,29/07/13 08:29:59,25/10/13 08:21:23,21,JULY,8,30,8,36,1,29/07/13 08:30:47,25/10/13 08:21:23,20,JULY,8,37,8,39,1,29/07/13 08:31:10,25/10/13 08:21:23,21,JULY,8,39,8,42,29/07/13 08:32:08,25/10/13 08:21:23,21,JULY,8,43,8,48,1,29/07/13 08:32:59,25/10/13 08:21:28,21,JULY,8,49,8,50,,25/10/13 08:21:28,,,,,,,,25/10/13 08:22:24,25/10/13 08:23:37,24,OCTOBER,15,0,15,3,25/10/13 08:23:37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25/10/13 08:23:38,,,,,,,,,25/10/13 08:23:54,,,,,,,,,,,,,,,,,,,,,,,,,,25/10/13 08:23:54,25/10/13 08:24:09,24,OCTOBER,15,9,15,11,1,25/10/13 08:24:09,25/10/13 08:25:43,24,OCTOBER,15,11,1,2,15,35,25/10/13 08:25:43,25/10/13 08:25:59,24,OCTOBER,15,35,2,15,39,25/10/13 08:25:59,,,,,,,,,,,,,,,,,,29/07/13 08:33:10,29/07/13 08:33:25
1,0007-001,PANEL A,Panel A - 2 Visits,31/05/13 07:40:34,31/05/13 07:41:54,,08/09/13 08:54:01,31/05/13 07:41:54,08/09/13 08:54:04,25,MAY,9,54,9,44,2,31/05/13 07:43:35,08/09/13 08:54:04,25,MAY,9,55,9,57,1,31/05/13 07:49:12,08/09/13 08:54:04,25,MAY,9,58,9,50,1,31/05/13 07:54:11,08/09/13 08:54:04,25,MAY,9,59,10,0,1,31/05/13 08:02:13,08/09/13 08:54:04,25,MAY,10,0,10,1,1,31/05/13 08:04:26,08/09/13 08:54:04,25,MAY,10,2,10,3,2,31/05/13 08:04:53,08/09/13 08:54:05,25,MAY,10,3,10,4,31/05/13 08:06:21,08/09/13 08:54:05,25,MAY,10,4,10,5,1,31/05/13 08:07:08,08/09/13 08:54:05,25,MAY,10,5,10,11,31/05/13 08:08:16,08/09/13 08:54:05,25,MAY,10,12,10,12,2,08/09/13 08:57:12,08/09/13 08:57:53,30,AUGUST,7,45,7,48,08/09/13 08:57:53,,30,AUGUST,7,48,7,52,1,08/09/13 08:58:00,08/09/13 08:59:45,30,AUGUST,7,52,7,55,1,08/09/13 08:59:45,08/09/13 09:00:45,30,AUGUST,7,55,7,57,1,08/09/13 09:00:45,08/09/13 09:01:12,30,AUGUST,7,57,8,0,1,08/09/13 09:01:12,08/09/13 09:01:41,30,AUGUST,8,0,8,3,1,08/09/13 09:01:41,08/09/13 09:02:11,30,AUGUST,8,3,8,7,1,08/09/13 09:02:11,08/09/13 09:02:40,30,AUGUST,8,7,8,10,08/09/13 09:02:40,,,,,,,,,08/09/13 09:02:42,08/09/13 09:04:15,30,AUGUST,8,13,8,15,1,08/09/13 09:04:15,08/09/13 09:04:48,30,AUGUST,8,15,8,19,1,08/09/13 09:04:48,08/09/13 09:05:21,30,AUGUST,8,19,8,22,08/09/13 09:05:21,08/09/13 09:05:40,30,AUGUST,8,22,8,25,1,08/09/13 09:05:40,08/09/13 09:07:05,30,AUGUST,8,25,2,1,8,34,08/09/13 09:07:05,08/09/13 09:07:30,30,AUGUST,8,31,1,8,35,08/09/13 09:07:30,08/09/13 09:09:10,30,AUGUST,8,36,2,8,42,08/09/13 09:09:10,08/09/13 09:09:31,30,AUGUST,8,42,2,8,48,31/05/13 08:08:36,31/05/13 08:08:57
1,0008-001,PANEL B,Panel B - 2 Visits,26/07/13 07:45:36,26/07/13 10:43:50,,25/10/13 09:31:15,26/07/13 10:43:50,25/10/13 09:31:16,19,JULY,7,29,7,37,1,26/07/13 10:47:12,25/10/13 09:31:16,19,JULY,7,37,7,38,1,26/07/13 10:51:00,25/10/13 09:31:16,19,JULY,7,38,7,42,1,26/07/13 10:53:02,25/10/13 09:31:16,19,JULY,7,42,7,55,1,26/07/13 10:57:56,25/10/13 09:31:16,19,JULY,7,55,7,56,1,26/07/13 10:58:43,25/10/13 09:31:16,19,JULY,7,56,8,1,1,26/07/13 10:59:44,25/10/13 09:31:16,19,JULY,8,1,8,6,26/07/13 11:00:56,25/10/13 09:31:16,19,JULY,8,6,8,12,1,26/07/13 11:03:42,25/10/13 09:31:17,19,JULY,8,12,8,17,26/07/13 11:04:57,25/10/13 09:31:17,19,JULY,8,17,8,19,1,25/10/13 09:33:43,25/10/13 09:34:57,23,OCTOBER,8,38,8,38,25/10/13 09:34:57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25/10/13 09:34:58,,,,,,,,,25/10/13 09:35:14,25/10/13 09:35:51,23,OCTOBER,8,40,8,44,1,25/10/13 09:35:51,25/10/13 09:36:16,23,OCTOBER,8,44,8,49,1,25/10/13 09:36:16,25/10/13 09:36:35,23,OCTOBER,8,49,8,54,25/10/13 09:36:35,25/10/13 09:37:19,23,OCTOBER,8,54,9,0,1,25/10/13 09:37:19,25/10/13 09:38:32,23,OCTOBER,9,0,2,1,9,9,25/10/13 09:38:32,25/10/13 09:38:51,23,OCTOBER,9,9,1,9,19,25/10/13 09:38:52,25/10/13 09:40:02,23,OCTOBER,9,19,2,9,29,25/10/13 09:40:02,25/10/13 09:40:23,23,OCTOBER,9,30,2,9,38,26/07/13 11:05:12,26/07/13 11:05:37
1,0008-003,PANEL B,Panel B - 2 Visits,29/07/13 08:09:07,29/07/13 08:10:12,,26/10/13 09:10:52,29/07/13 08:10:12,26/10/13 09:10:52,23,JULY,11,43,11,47,2,29/07/13 08:10:48,26/10/13 09:10:52,23,JULY,11,47,11,48,2,29/07/13 08:11:46,26/10/13 09:10:52,23,JULY,11,51,11,51,1,29/07/13 08:12:33,26/10/13 09:10:53,23,JULY,11,51,12,1,2,29/07/13 08:14:39,26/10/13 09:10:53,23,JULY,12,1,12,2,2,29/07/13 08:15:15,26/10/13 09:10:53,23,JULY,12,2,12,6,1,29/07/13 08:16:06,26/10/13 09:10:53,23,JULY,12,6,12,8,29/07/13 08:16:30,26/10/13 09:10:53,23,JULY,12,8,12,10,1,29/07/13 08:16:54,26/10/13 09:11:01,23,JULY,12,10,12,10,,26/10/13 09:11:01,,,,,,,,26/10/13 09:11:39,26/10/13 09:11:56,25,OCTOBER,10,25,10,30,26/10/13 09:11:56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26/10/13 09:11:56,,,,,,,,,26/10/13 09:12:09,,,,,,,,,,,,,,,,,,,,,,,,,,26/10/13 09:12:09,26/10/13 09:12:29,25,OCTOBER,10,31,10,35,1,26/10/13 09:12:29,26/10/13 09:14:15,25,OCTOBER,10,35,1,1,10,43,26/10/13 09:14:15,26/10/13 09:14:40,25,OCTOBER,10,43,1,10,53,26/10/13 09:14:40,,,,,,,,,,,,,,,,,,29/07/13 08:17:05,29/07/13 08:17:33
