HHID,case_id,qx_type,visit,ea_id,hh_p0a,hh_p0a_os,hh_p01,hh_p02,hh_p03a,hh_p03b,hh_p03c,hh_p04a,hh_p04b
37,101010160009,Panel A,1,10101016,Cash Transfers/Gifts from individuals,,No,,,,,,
37,101010160009,Panel A,1,10101016,Food Transfers/Gifts from Individuals,,Yes,,1500,0,0,1,
37,101010160009,Panel A,1,10101016,Non-Food In-Kind Transfers/Gifts form Individuals,,No,,,,,,
37,101010160009,Panel A,1,10101016,"Savings, Interest or Other Investment Income",,No,,,,,,
37,101010160009,Panel A,1,10101016,Pension Income,,No,,,,,,
37,101010160009,Panel A,1,10101016,Income from Non-Agricultural Land Rental,,No,,,,,,
37,101010160009,Panel A,1,10101016,"Income form Apartment, House Rental",,No,,,,,,
37,101010160009,Panel A,1,10101016,"Income from Sho, Store Rental",,No,,,,,,
37,101010160009,Panel A,1,10101016,"Income from Car, Truck, Other Vehicle Rental",,No,,,,,,
37,101010160009,Panel A,1,10101016,Income from Real Estate Sales,,No,,,,,,
37,101010160009,Panel A,1,10101016,Income from Household Non-Agricultural Asset Sales,,No,,,,,,
37,101010160009,Panel A,1,10101016,Income from Household Agricultural/Fishing Asset Sales,,No,,,,,,
37,101010160009,Panel A,1,10101016,Inheritance,,No,,,,,,
37,101010160009,Panel A,1,10101016,Lottery/Gambling Winnings,,No,,,,,,
37,101010160009,Panel A,1,10101016,Other Income (Specify),,No,,,,,,
45,101010160033,Panel A,1,10101016,Cash Transfers/Gifts from individuals,,Yes,,0,18000,0,1,
45,101010160033,Panel A,1,10101016,Food Transfers/Gifts from Individuals,,No,,,,,,
45,101010160033,Panel A,1,10101016,Non-Food In-Kind Transfers/Gifts form Individuals,,No,,,,,,
45,101010160033,Panel A,1,10101016,"Savings, Interest or Other Investment Income",,No,,,,,,
45,101010160033,Panel A,1,10101016,Pension Income,,No,,,,,,
45,101010160033,Panel A,1,10101016,Income from Non-Agricultural Land Rental,,No,,,,,,
45,101010160033,Panel A,1,10101016,"Income form Apartment, House Rental",,No,,,,,,
45,101010160033,Panel A,1,10101016,"Income from Sho, Store Rental",,No,,,,,,
45,101010160033,Panel A,1,10101016,"Income from Car, Truck, Other Vehicle Rental",,No,,,,,,
45,101010160033,Panel A,1,10101016,Income from Real Estate Sales,,No,,,,,,
45,101010160033,Panel A,1,10101016,Income from Household Non-Agricultural Asset Sales,,No,,,,,,
45,101010160033,Panel A,1,10101016,Income from Household Agricultural/Fishing Asset Sales,,No,,,,,,
45,101010160033,Panel A,1,10101016,Inheritance,,No,,,,,,
45,101010160033,Panel A,1,10101016,Lottery/Gambling Winnings,,No,,,,,,
45,101010160033,Panel A,1,10101016,Other Income (Specify),,No,,,,,,
35,101010160060,Panel A,1,10101016,Cash Transfers/Gifts from individuals,,Yes,,0,6000,0,1,
35,101010160060,Panel A,1,10101016,Food Transfers/Gifts from Individuals,,No,,,,,,
35,101010160060,Panel A,1,10101016,Non-Food In-Kind Transfers/Gifts form Individuals,,No,,,,,,
35,101010160060,Panel A,1,10101016,"Savings, Interest or Other Investment Income",,No,,,,,,
35,101010160060,Panel A,1,10101016,Pension Income,,No,,,,,,
35,101010160060,Panel A,1,10101016,Income from Non-Agricultural Land Rental,,No,,,,,,
35,101010160060,Panel A,1,10101016,"Income form Apartment, House Rental",,No,,,,,,
35,101010160060,Panel A,1,10101016,"Income from Sho, Store Rental",,No,,,,,,
35,101010160060,Panel A,1,10101016,"Income from Car, Truck, Other Vehicle Rental",,No,,,,,,
35,101010160060,Panel A,1,10101016,Income from Real Estate Sales,,No,,,,,,
35,101010160060,Panel A,1,10101016,Income from Household Non-Agricultural Asset Sales,,No,,,,,,
35,101010160060,Panel A,1,10101016,Income from Household Agricultural/Fishing Asset Sales,,No,,,,,,
35,101010160060,Panel A,1,10101016,Inheritance,,No,,,,,,
35,101010160060,Panel A,1,10101016,Lottery/Gambling Winnings,,No,,,,,,
35,101010160060,Panel A,1,10101016,Other Income (Specify),,No,,,,,,
41,101010160068,Panel A,1,10101016,Cash Transfers/Gifts from individuals,,No,,,,,,
41,101010160068,Panel A,1,10101016,Food Transfers/Gifts from Individuals,,No,,,,,,
41,101010160068,Panel A,1,10101016,Non-Food In-Kind Transfers/Gifts form Individuals,,No,,,,,,
41,101010160068,Panel A,1,10101016,"Savings, Interest or Other Investment Income",,No,,,,,,
41,101010160068,Panel A,1,10101016,Pension Income,,No,,,,,,
41,101010160068,Panel A,1,10101016,Income from Non-Agricultural Land Rental,,No,,,,,,
41,101010160068,Panel A,1,10101016,"Income form Apartment, House Rental",,No,,,,,,
41,101010160068,Panel A,1,10101016,"Income from Sho, Store Rental",,No,,,,,,
41,101010160068,Panel A,1,10101016,"Income from Car, Truck, Other Vehicle Rental",,No,,,,,,
41,101010160068,Panel A,1,10101016,Income from Real Estate Sales,,No,,,,,,
41,101010160068,Panel A,1,10101016,Income from Household Non-Agricultural Asset Sales,,No,,,,,,
41,101010160068,Panel A,1,10101016,Income from Household Agricultural/Fishing Asset Sales,,No,,,,,,
41,101010160068,Panel A,1,10101016,Inheritance,,No,,,,,,
41,101010160068,Panel A,1,10101016,Lottery/Gambling Winnings,,No,,,,,,
41,101010160068,Panel A,1,10101016,Other Income (Specify),,No,,,,,,
61,101010160069,Panel A,1,10101016,Cash Transfers/Gifts from individuals,,No,,,,,,
61,101010160069,Panel A,1,10101016,Food Transfers/Gifts from Individuals,,Yes,,250,0,0,1,
61,101010160069,Panel A,1,10101016,Non-Food In-Kind Transfers/Gifts form Individuals,,No,,,,,,
61,101010160069,Panel A,1,10101016,"Savings, Interest or Other Investment Income",,No,,,,,,
61,101010160069,Panel A,1,10101016,Pension Income,,No,,,,,,
61,101010160069,Panel A,1,10101016,Income from Non-Agricultural Land Rental,,No,,,,,,
61,101010160069,Panel A,1,10101016,"Income form Apartment, House Rental",,No,,,,,,
61,101010160069,Panel A,1,10101016,"Income from Sho, Store Rental",,No,,,,,,
61,101010160069,Panel A,1,10101016,"Income from Car, Truck, Other Vehicle Rental",,No,,,,,,
61,101010160069,Panel A,1,10101016,Income from Real Estate Sales,,No,,,,,,
61,101010160069,Panel A,1,10101016,Income from Household Non-Agricultural Asset Sales,,No,,,,,,
61,101010160069,Panel A,1,10101016,Income from Household Agricultural/Fishing Asset Sales,,No,,,,,,
61,101010160069,Panel A,1,10101016,Inheritance,,No,,,,,,
61,101010160069,Panel A,1,10101016,Lottery/Gambling Winnings,,No,,,,,,
61,101010160069,Panel A,1,10101016,Other Income (Specify),,No,,,,,,
51,101010160070,Panel A,1,10101016,Cash Transfers/Gifts from individuals,,No,,,,,,
51,101010160070,Panel A,1,10101016,Food Transfers/Gifts from Individuals,,No,,,,,,
51,101010160070,Panel A,1,10101016,Non-Food In-Kind Transfers/Gifts form Individuals,,No,,,,,,
51,101010160070,Panel A,1,10101016,"Savings, Interest or Other Investment Income",,No,,,,,,
51,101010160070,Panel A,1,10101016,Pension Income,,No,,,,,,
51,101010160070,Panel A,1,10101016,Income from Non-Agricultural Land Rental,,No,,,,,,
51,101010160070,Panel A,1,10101016,"Income form Apartment, House Rental",,No,,,,,,
51,101010160070,Panel A,1,10101016,"Income from Sho, Store Rental",,No,,,,,,
51,101010160070,Panel A,1,10101016,"Income from Car, Truck, Other Vehicle Rental",,No,,,,,,
51,101010160070,Panel A,1,10101016,Income from Real Estate Sales,,No,,,,,,
51,101010160070,Panel A,1,10101016,Income from Household Non-Agricultural Asset Sales,,No,,,,,,
51,101010160070,Panel A,1,10101016,Income from Household Agricultural/Fishing Asset Sales,,No,,,,,,
51,101010160070,Panel A,1,10101016,Inheritance,,No,,,,,,
51,101010160070,Panel A,1,10101016,Lottery/Gambling Winnings,,No,,,,,,
51,101010160070,Panel A,1,10101016,Other Income (Specify),,No,,,,,,
57,101010160074,Panel A,1,10101016,Cash Transfers/Gifts from individuals,,No,,,,,,
57,101010160074,Panel A,1,10101016,Food Transfers/Gifts from Individuals,,No,,,,,,
57,101010160074,Panel A,1,10101016,Non-Food In-Kind Transfers/Gifts form Individuals,,No,,,,,,
57,101010160074,Panel A,1,10101016,"Savings, Interest or Other Investment Income",,No,,,,,,
57,101010160074,Panel A,1,10101016,Pension Income,,No,,,,,,
57,101010160074,Panel A,1,10101016,Income from Non-Agricultural Land Rental,,No,,,,,,
57,101010160074,Panel A,1,10101016,"Income form Apartment, House Rental",,No,,,,,,
57,101010160074,Panel A,1,10101016,"Income from Sho, Store Rental",,No,,,,,,
57,101010160074,Panel A,1,10101016,"Income from Car, Truck, Other Vehicle Rental",,No,,,,,,
57,101010160074,Panel A,1,10101016,Income from Real Estate Sales,,No,,,,,,
57,101010160074,Panel A,1,10101016,Income from Household Non-Agricultural Asset Sales,,No,,,,,,
57,101010160074,Panel A,1,10101016,Income from Household Agricultural/Fishing Asset Sales,,Yes,5000,,,,1,2
57,101010160074,Panel A,1,10101016,Inheritance,,No,,,,,,
57,101010160074,Panel A,1,10101016,Lottery/Gambling Winnings,,No,,,,,,
57,101010160074,Panel A,1,10101016,Other Income (Specify),,No,,,,,,
55,101010160086,Panel A,1,10101016,Cash Transfers/Gifts from individuals,,No,,,,,,
55,101010160086,Panel A,1,10101016,Food Transfers/Gifts from Individuals,,No,,,,,,
55,101010160086,Panel A,1,10101016,Non-Food In-Kind Transfers/Gifts form Individuals,,No,,,,,,
55,101010160086,Panel A,1,10101016,"Savings, Interest or Other Investment Income",,No,,,,,,
55,101010160086,Panel A,1,10101016,Pension Income,,No,,,,,,
55,101010160086,Panel A,1,10101016,Income from Non-Agricultural Land Rental,,No,,,,,,
55,101010160086,Panel A,1,10101016,"Income form Apartment, House Rental",,No,,,,,,
55,101010160086,Panel A,1,10101016,"Income from Sho, Store Rental",,No,,,,,,
55,101010160086,Panel A,1,10101016,"Income from Car, Truck, Other Vehicle Rental",,No,,,,,,
55,101010160086,Panel A,1,10101016,Income from Real Estate Sales,,No,,,,,,
55,101010160086,Panel A,1,10101016,Income from Household Non-Agricultural Asset Sales,,No,,,,,,
55,101010160086,Panel A,1,10101016,Income from Household Agricultural/Fishing Asset Sales,,No,,,,,,
55,101010160086,Panel A,1,10101016,Inheritance,,No,,,,,,
55,101010160086,Panel A,1,10101016,Lottery/Gambling Winnings,,No,,,,,,
55,101010160086,Panel A,1,10101016,Other Income (Specify),,No,,,,,,
47,101010160096,Panel A,1,10101016,Cash Transfers/Gifts from individuals,,No,,,,,,
47,101010160096,Panel A,1,10101016,Food Transfers/Gifts from Individuals,,No,,,,,,
47,101010160096,Panel A,1,10101016,Non-Food In-Kind Transfers/Gifts form Individuals,,No,,,,,,
47,101010160096,Panel A,1,10101016,"Savings, Interest or Other Investment Income",,No,,,,,,
47,101010160096,Panel A,1,10101016,Pension Income,,No,,,,,,
47,101010160096,Panel A,1,10101016,Income from Non-Agricultural Land Rental,,No,,,,,,
47,101010160096,Panel A,1,10101016,"Income form Apartment, House Rental",,No,,,,,,
47,101010160096,Panel A,1,10101016,"Income from Sho, Store Rental",,No,,,,,,
47,101010160096,Panel A,1,10101016,"Income from Car, Truck, Other Vehicle Rental",,No,,,,,,
47,101010160096,Panel A,1,10101016,Income from Real Estate Sales,,No,,,,,,
47,101010160096,Panel A,1,10101016,Income from Household Non-Agricultural Asset Sales,,No,,,,,,
47,101010160096,Panel A,1,10101016,Income from Household Agricultural/Fishing Asset Sales,,No,,,,,,
47,101010160096,Panel A,1,10101016,Inheritance,,No,,,,,,
47,101010160096,Panel A,1,10101016,Lottery/Gambling Winnings,,No,,,,,,
47,101010160096,Panel A,1,10101016,Other Income (Specify),,No,,,,,,
63,101010160143,Panel A,1,10101016,Cash Transfers/Gifts from individuals,,No,,,,,,
63,101010160143,Panel A,1,10101016,Food Transfers/Gifts from Individuals,,No,,,,,,
63,101010160143,Panel A,1,10101016,Non-Food In-Kind Transfers/Gifts form Individuals,,No,,,,,,
63,101010160143,Panel A,1,10101016,"Savings, Interest or Other Investment Income",,No,,,,,,
63,101010160143,Panel A,1,10101016,Pension Income,,No,,,,,,
63,101010160143,Panel A,1,10101016,Income from Non-Agricultural Land Rental,,No,,,,,,
63,101010160143,Panel A,1,10101016,"Income form Apartment, House Rental",,No,,,,,,
63,101010160143,Panel A,1,10101016,"Income from Sho, Store Rental",,No,,,,,,
63,101010160143,Panel A,1,10101016,"Income from Car, Truck, Other Vehicle Rental",,No,,,,,,
63,101010160143,Panel A,1,10101016,Income from Real Estate Sales,,No,,,,,,
63,101010160143,Panel A,1,10101016,Income from Household Non-Agricultural Asset Sales,,No,,,,,,
63,101010160143,Panel A,1,10101016,Income from Household Agricultural/Fishing Asset Sales,,No,,,,,,
63,101010160143,Panel A,1,10101016,Inheritance,,No,,,,,,
63,101010160143,Panel A,1,10101016,Lottery/Gambling Winnings,,No,,,,,,
63,101010160143,Panel A,1,10101016,Other Income (Specify),,No,,,,,,
59,101010160159,Panel A,1,10101016,Cash Transfers/Gifts from individuals,,No,,,,,,
59,101010160159,Panel A,1,10101016,Food Transfers/Gifts from Individuals,,No,,,,,,
59,101010160159,Panel A,1,10101016,Non-Food In-Kind Transfers/Gifts form Individuals,,Yes,,0,5000,0,1,
59,101010160159,Panel A,1,10101016,"Savings, Interest or Other Investment Income",,No,,,,,,
59,101010160159,Panel A,1,10101016,Pension Income,,No,,,,,,
59,101010160159,Panel A,1,10101016,Income from Non-Agricultural Land Rental,,No,,,,,,
59,101010160159,Panel A,1,10101016,"Income form Apartment, House Rental",,No,,,,,,
59,101010160159,Panel A,1,10101016,"Income from Sho, Store Rental",,No,,,,,,
59,101010160159,Panel A,1,10101016,"Income from Car, Truck, Other Vehicle Rental",,No,,,,,,
59,101010160159,Panel A,1,10101016,Income from Real Estate Sales,,No,,,,,,
59,101010160159,Panel A,1,10101016,Income from Household Non-Agricultural Asset Sales,,No,,,,,,
