occ,y2_hhid,qx_type,interview_status,ag_b0a,ag_b0c,ag_b01a,ag_b01b,ag_b02,ag_b03a,ag_b03b,ag_b04a,ag_b04b,ag_b04c,ag_b05a,ag_b05b,ag_b06,ag_b07a,ag_b07b,ag_b07c,ag_b08,ag_b09a,ag_b09b,ag_b10,ag_b11a,ag_b11b,ag_b11c,ag_b12a,ag_b12b,ag_b12c,ag_b13a,ag_b13b,ag_b13c,ag_b14a,ag_b14b,ag_b14c,ag_b15a,ag_b15b,ag_b15c,ag_b16a,ag_b16b,ag_b16c,ag_b16d,ag_b17a,ag_b17b,ag_b18,ag_b19,ag_b20a,ag_b20b,ag_b20c,ag_b21a,ag_b21b,ag_b22a,ag_b22b
1,0001-001,PANEL A,Panel A - 2 Visits,YES,MAIZE HYBRID,1,ACRE,NO,,,5,50 KG BAG,SHELLED,JUNE,JUNE,NO,,,,,,,,0,,,0,,,0,,,0,,,0,,,0,,,,,,NO,,,,,,,FOOD FOR HOUSEHOLD,TO SELL AT A HIGHER PRICE
2,0001-001,PANEL A,Panel A - 2 Visits,YES,MAIZE LOCAL,1,ACRE,NO,,,4,50 KG BAG,SHELLED,JUNE,JUNE,NO,,,,,,,,0,,,0,,,0,,,0,,,0,,,0,,,,,,NO,,,,,,,FOOD FOR HOUSEHOLD,TO SELL AT A HIGHER PRICE
3,0001-001,PANEL A,Panel A - 2 Visits,YES,GROUNDNUT MANIPINTA,.25,ACRE,NO,,,30,KILOGRAM,SHELLED,JUNE,JUNE,NO,,,,,,,,0,,,0,,,0,,,0,,,0,,,0,,,,,,NO,,,,,,,FOOD FOR HOUSEHOLD,TO SELL AT A HIGHER PRICE
1,0002-001,PANEL B,Panel B - 2 Visits,YES,MAIZE HYBRID,1,ACRE,NO,,,40,PAIL (LARGE),SHELLED,JULY,JULY,YES,10,PAIL (LARGE),SHELLED,9000,1,2,0,1,PAIL (LARGE),SHELLED,0,,,0,,,0,,,0,,,6,PAIL (LARGE),SHELLED,,RODENTS/PESTS,,NO,,,,,,,FOOD FOR HOUSEHOLD,WAIT FOR THE ARRIVAL OF BUYER
2,0002-001,PANEL B,Panel B - 2 Visits,YES,SWEET POTATO,.25,ACRE,NO,,,13,PAIL (LARGE),NOT APPLICABLE,FEBRUARY,MARCH,YES,4,PAIL (LARGE),NOT APPLICABLE,1200,1,2,0,2,PAIL (LARGE),NOT APPLICABLE,0,,,0,,,0,,,0,,,0,,,,,,NO,,,,,,,OTHER (SPECIFY),
3,0002-001,PANEL B,Panel B - 2 Visits,YES,OTHER GROUNDNUT (SPECIFY),.25,ACRE,NO,,,1,PAIL (LARGE),UNSHELLED,APRIL,APRIL,NO,,,,,,,,0,,,0,,,0,,,0,,,0,,,0,,,,,,NO,,,,,,,FOOD FOR HOUSEHOLD,SEED FOR PLANTING
1,0003-001,PANEL A,Panel A - 2 Visits,YES,MAIZE LOCAL,1,ACRE,NO,,,3,50 KG BAG,SHELLED,JULY,JULY,NO,,,,,,,,0,,,0,,,0,,,0,,,20,KILOGRAM,SHELLED,10,KILOGRAM,SHELLED,,ROTTING,,NO,,,,,,,FOOD FOR HOUSEHOLD,
1,0004-001,PANEL B,Panel B - 2 Visits,YES,GROUNDNUT CG7,.5,ACRE,NO,,,2,50 KG BAG,UNSHELLED,APRIL,APRIL,NO,,,,,,,,0,,,0,,,0,,,0,,,10,50 KG BAG,SHELLED,0,,,,,,NO,,,,,,,FOOD FOR HOUSEHOLD,TO SELL AT A HIGHER PRICE
2,0004-001,PANEL B,Panel B - 2 Visits,YES,MAIZE HYBRID,.5,ACRE,NO,,,14,50 KG BAG,SHELLED,JULY,JULY,NO,,,,,,,,0,,,0,,,0,,,0,,,1,PAIL (LARGE),SHELLED,0,,,,,,NO,,,,,,,FOOD FOR HOUSEHOLD,TO SELL AT A HIGHER PRICE
1,0005-001,PANEL A,Panel A - 2 Visits,YES,MAIZE HYBRID,1,ACRE,NO,,,6,50 KG BAG,SHELLED,JUNE,JUNE,NO,,,,,,,,0,,,0,,,0,,,0,,,0,,,0,,,,,,NO,,,,,,,FOOD FOR HOUSEHOLD,TO SELL AT A HIGHER PRICE
