occ,ea_id,com_ci0b,com_ci01,com_ci02,com_ci03,com_ci04,com_ci05,com_ci06,com_ci07a,com_ci07b,com_ci07c,com_ci08a,com_ci08b,com_ci08c,com_ci09a,com_ci09b,com_ci09c,com_ci10,com_ci11,com_ci12,com_ci13,com_ci14
1,10101016,UNALLOCATED ARABLE LAND,NO,,,,,,,,,,,,,,,,,,,
2,10101016,FOREST,YES,YES,NO,NO,NO,NO,,,,,,,,,,,,,,
3,10101016,PASTURE,NO,,,,,,,,,,,,,,,,,,,
4,10101016,WATER BODY:,NO,,,,,,,,,,,,,,,,,,,
5,10101016,OTHER:,NO,,,,,,,,,,,,,,,,,,,
1,10101204,UNALLOCATED ARABLE LAND,YES,YES,YES,NO,YES,NO,,,,NO RESTRICTIONS,,,USE THREAT OF FINE,,,SOMEWHAT EFFECTIVE,NO,,NO,
2,10101204,FOREST,YES,YES,YES,NO,YES,NO,,,,NO RESTRICTIONS,,,USE THREAT OF FINE,,,SOMEWHAT EFFECTIVE,NO,,NO,
3,10101204,PASTURE,YES,YES,YES,NO,YES,NO,,,,ROTATION AMONG GROUPS OF FAMILIES,,,USE THREAT OF FINE,TAKING AWAY [RESOURCE] USE RIGHTS,,FULLY EFFECTIVE,NO,,NO,
4,10101204,WATER BODY:,YES,YES,YES,NO,YES,NO,,,,NO RESTRICTIONS,,,USE THREAT OF FINE,,,SOMEWHAT EFFECTIVE,NO,,NO,
5,10101204,OTHER:,NO,,,,,,,,,,,,,,,,,,,
1,10101215,UNALLOCATED ARABLE LAND,NO,,,,,,,,,,,,,,,,,,,
2,10101215,FOREST,NO,,,,,,,,,,,,,,,,,,,
3,10101215,PASTURE,NO,,,,,,,,,,,,,,,,,,,
4,10101215,WATER BODY:,NO,,,,,,,,,,,,,,,,,,,
5,10101215,OTHER:,NO,,,,,,,,,,,,,,,,,,,
1,10101562,UNALLOCATED ARABLE LAND,NO,,,,,,,,,,,,,,,,,,,
2,10101562,FOREST,NO,,,,,,,,,,,,,,,,,,,
3,10101562,PASTURE,NO,,,,,,,,,,,,,,,,,,,
4,10101562,WATER BODY:,NO,,,,,,,,,,,,,,,,,,,
5,10101562,OTHER:,NO,,,,,,,,,,,,,,,,,,,
1,10102004,UNALLOCATED ARABLE LAND,NO,,,,,,,,,,,,,,,,,,,
2,10102004,FOREST,YES,YES,YES,NO,NO,NO,,,,NO RESTRICTIONS,,,USE THREAT OF FINE,,,NOT EFFECTIVE,NO,,NO,
3,10102004,PASTURE,NO,,,,,,,,,,,,,,,,,,,
4,10102004,WATER BODY:,NO,,,,,,,,,,,,,,,,,,,
