HHID,case_id,qx_type,visit,ea_id,hh_q0a,hh_q0b,hh_q01,hh_q02a,hh_q02b,hh_q02c,hh_q03a,hh_q03b
37,101010160009,Panel A,1,10101016,Cash Transfers/Gifts,Cash Transfers/Gifts,No,,,,,
37,101010160009,Panel A,1,10101016,Food Transfers/Gifts,Food Transfers/Gifts,Yes,1100,0,0,1,
37,101010160009,Panel A,1,10101016,Non-Food In-Kind Transfers/Gifts,Non-Food In-Kind Transfers/Gifts,No,,,,,
45,101010160033,Panel A,1,10101016,Cash Transfers/Gifts,Cash Transfers/Gifts,No,,,,,
45,101010160033,Panel A,1,10101016,Food Transfers/Gifts,Food Transfers/Gifts,No,,,,,
45,101010160033,Panel A,1,10101016,Non-Food In-Kind Transfers/Gifts,Non-Food In-Kind Transfers/Gifts,No,,,,,
35,101010160060,Panel A,1,10101016,Cash Transfers/Gifts,Cash Transfers/Gifts,No,,,,,
35,101010160060,Panel A,1,10101016,Food Transfers/Gifts,Food Transfers/Gifts,No,,,,,
35,101010160060,Panel A,1,10101016,Non-Food In-Kind Transfers/Gifts,Non-Food In-Kind Transfers/Gifts,Yes,300,0,0,1,
41,101010160068,Panel A,1,10101016,Cash Transfers/Gifts,Cash Transfers/Gifts,No,,,,,
41,101010160068,Panel A,1,10101016,Food Transfers/Gifts,Food Transfers/Gifts,Yes,1800,0,0,1,2
41,101010160068,Panel A,1,10101016,Non-Food In-Kind Transfers/Gifts,Non-Food In-Kind Transfers/Gifts,No,,,,,
61,101010160069,Panel A,1,10101016,Cash Transfers/Gifts,Cash Transfers/Gifts,No,,,,,
61,101010160069,Panel A,1,10101016,Food Transfers/Gifts,Food Transfers/Gifts,Yes,0,0,3000,1,
61,101010160069,Panel A,1,10101016,Non-Food In-Kind Transfers/Gifts,Non-Food In-Kind Transfers/Gifts,Yes,800,0,0,1,
51,101010160070,Panel A,1,10101016,Cash Transfers/Gifts,Cash Transfers/Gifts,No,,,,,
51,101010160070,Panel A,1,10101016,Food Transfers/Gifts,Food Transfers/Gifts,No,,,,,
51,101010160070,Panel A,1,10101016,Non-Food In-Kind Transfers/Gifts,Non-Food In-Kind Transfers/Gifts,No,,,,,
57,101010160074,Panel A,1,10101016,Cash Transfers/Gifts,Cash Transfers/Gifts,Yes,2000,0,0,1,2
57,101010160074,Panel A,1,10101016,Food Transfers/Gifts,Food Transfers/Gifts,Yes,600,0,0,1,2
57,101010160074,Panel A,1,10101016,Non-Food In-Kind Transfers/Gifts,Non-Food In-Kind Transfers/Gifts,Yes,2500,0,0,1,2
55,101010160086,Panel A,1,10101016,Cash Transfers/Gifts,Cash Transfers/Gifts,Yes,1000,0,0,1,
55,101010160086,Panel A,1,10101016,Food Transfers/Gifts,Food Transfers/Gifts,No,,,,,
55,101010160086,Panel A,1,10101016,Non-Food In-Kind Transfers/Gifts,Non-Food In-Kind Transfers/Gifts,No,,,,,
47,101010160096,Panel A,1,10101016,Cash Transfers/Gifts,Cash Transfers/Gifts,No,,,,,
47,101010160096,Panel A,1,10101016,Food Transfers/Gifts,Food Transfers/Gifts,No,,,,,
47,101010160096,Panel A,1,10101016,Non-Food In-Kind Transfers/Gifts,Non-Food In-Kind Transfers/Gifts,No,,,,,
63,101010160143,Panel A,1,10101016,Cash Transfers/Gifts,Cash Transfers/Gifts,No,,,,,
63,101010160143,Panel A,1,10101016,Food Transfers/Gifts,Food Transfers/Gifts,Yes,1000,0,0,1,
63,101010160143,Panel A,1,10101016,Non-Food In-Kind Transfers/Gifts,Non-Food In-Kind Transfers/Gifts,No,,,,,
59,101010160159,Panel A,1,10101016,Cash Transfers/Gifts,Cash Transfers/Gifts,No,,,,,
59,101010160159,Panel A,1,10101016,Food Transfers/Gifts,Food Transfers/Gifts,Yes,2000,0,0,1,
59,101010160159,Panel A,1,10101016,Non-Food In-Kind Transfers/Gifts,Non-Food In-Kind Transfers/Gifts,No,,,,,
33,101010160180,Panel A,1,10101016,Cash Transfers/Gifts,Cash Transfers/Gifts,No,,,,,
33,101010160180,Panel A,1,10101016,Food Transfers/Gifts,Food Transfers/Gifts,No,,,,,
33,101010160180,Panel A,1,10101016,Non-Food In-Kind Transfers/Gifts,Non-Food In-Kind Transfers/Gifts,Yes,200,0,0,1,
49,101010160207,Panel A,1,10101016,Cash Transfers/Gifts,Cash Transfers/Gifts,No,,,,,
49,101010160207,Panel A,1,10101016,Food Transfers/Gifts,Food Transfers/Gifts,No,,,,,
49,101010160207,Panel A,1,10101016,Non-Food In-Kind Transfers/Gifts,Non-Food In-Kind Transfers/Gifts,No,,,,,
53,101010160235,Panel A,1,10101016,Cash Transfers/Gifts,Cash Transfers/Gifts,Yes,4000,0,0,1,2
53,101010160235,Panel A,1,10101016,Food Transfers/Gifts,Food Transfers/Gifts,No,,,,,
53,101010160235,Panel A,1,10101016,Non-Food In-Kind Transfers/Gifts,Non-Food In-Kind Transfers/Gifts,No,,,,,
43,101010160254,Panel A,1,10101016,Cash Transfers/Gifts,Cash Transfers/Gifts,Yes,500,0,0,1,2
43,101010160254,Panel A,1,10101016,Food Transfers/Gifts,Food Transfers/Gifts,Yes,1500,0,0,1,2
43,101010160254,Panel A,1,10101016,Non-Food In-Kind Transfers/Gifts,Non-Food In-Kind Transfers/Gifts,No,,,,,
39,101010160265,Panel A,1,10101016,Cash Transfers/Gifts,Cash Transfers/Gifts,No,,,,,
39,101010160265,Panel A,1,10101016,Food Transfers/Gifts,Food Transfers/Gifts,No,,,,,
39,101010160265,Panel A,1,10101016,Non-Food In-Kind Transfers/Gifts,Non-Food In-Kind Transfers/Gifts,No,,,,,
40,101012040003,Panel B,2,10101204,Cash Transfers/Gifts,Cash Transfers/Gifts,Yes,1400,0,0,1,2
40,101012040003,Panel B,2,10101204,Food Transfers/Gifts,Food Transfers/Gifts,Yes,2000,0,0,1,2
40,101012040003,Panel B,2,10101204,Non-Food In-Kind Transfers/Gifts,Non-Food In-Kind Transfers/Gifts,No,,,,,
62,101012040007,Panel B,2,10101204,Cash Transfers/Gifts,Cash Transfers/Gifts,No,,,,,
62,101012040007,Panel B,2,10101204,Food Transfers/Gifts,Food Transfers/Gifts,Yes,300,0,0,1,2
62,101012040007,Panel B,2,10101204,Non-Food In-Kind Transfers/Gifts,Non-Food In-Kind Transfers/Gifts,No,,,,,
42,101012040011,Panel B,2,10101204,Cash Transfers/Gifts,Cash Transfers/Gifts,No,,,,,
