HHID,case_id,qx_type,visit,ea_id,ag_i0b,ag_i0b_os,ag_i01,ag_i02a,ag_i02b,ag_i02b_os,ag_i02c,ag_i03,ag_i11,ag_i12a,ag_i12b,ag_i12b_os,ag_i12c,ag_i13,ag_i14a,ag_i14b,ag_i15a,ag_i15b,ag_i16,ag_i17,ag_i17_os,ag_i18,ag_i19,ag_i20,ag_i21a,ag_i21b,ag_i21b_os,ag_i21c,ag_i22,ag_i23a,ag_i23b,ag_i24a,ag_i24b,ag_i25,ag_i26,ag_i26_os,ag_i27,ag_i28,ag_i29,ag_i30a,ag_i30b,ag_i30b_os,ag_i30c,ag_i31a,ag_i31b,ag_i31b_os,ag_i31c,ag_i32a,ag_i32b,ag_i32b_os,ag_i32c,ag_i33a,ag_i33b,ag_i33b_os,ag_i33c,ag_i34a,ag_i34b,ag_i34b_os,ag_i34c,ag_i35a,ag_i35b,ag_i35b_os,ag_i35c,ag_i36a,ag_i36b,ag_i36b_os,ag_i36c,ag_i36d,ag_i36e,ag_i37a,ag_i37a_os,ag_i37b,ag_i37b_os,ag_i38,ag_i39,ag_i39_os,ag_i40a,ag_i40b,ag_i40b_os,ag_i40c,ag_i41a,ag_i41a_os,ag_i41b,ag_i41b_os,ag_i42a,ag_i42a_os,ag_i42b,ag_i42b_os
37,101010160009,Panel A,2,10101016,TOBACCO BURLEY,,YES,300,KILOGRAM,,NOT APPLICABLE,40000,N05,300,KILOGRAM,,NOT APPLICABLE,40000,1,2,July,2010,2,Truck / Bus / Minibus,,6900,NO,,,,,,,,,,,,,,,,,,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,,,,,,,NO,,,,,,,,,,,Does not usually store,,,
37,101010160009,Panel A,2,10101016,GROUNDNUT CG7,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,PAIL (LARGE),,U: UNSHELLED,0,,,,0,,,,0,,,,2,PAIL (LARGE),,U: UNSHELLED,0,,,,,,,,,,YES,Bags in house,,2,PAIL (LARGE),,U: UNSHELLED,Did Nothing,,,,Food for household,,To sell at a higher price,
37,101010160009,Panel A,2,10101016,MAIZE COMPOSITE/OPV,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,PAIL (LARGE),,S: SHELLED,0,,,,0,,,,0,,,,1,PAIL (LARGE),,S: SHELLED,0,,,,,,,,,,YES,Bags in house,,25,PAIL (LARGE),,S: SHELLED,Spraying,,,,Food for household,,To sell at a higher price,
45,101010160033,Panel A,2,10101016,MAIZE LOCAL,,YES,2,PAIL (LARGE),,S: SHELLED,900,N03,2,PAIL (LARGE),,S: SHELLED,900,1,2,July,2010,1,Buyer picked up the crop,,0,NO,,,,,,,,,,,,,,,,,,,,,1,PAIL (LARGE),,S: SHELLED,0,,,,0,,,,0,,,,0,,,,0,,,,,,,,,,YES,Bags in house,,9,PAIL (LARGE),,S: SHELLED,Did Nothing,,,,Food for household,,Wait for arrival of buyer,
35,101010160060,Panel A,2,10101016,MAIZE HYBRID,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0,,,,0,,,,0,,,,1,PAIL (LARGE),,S: SHELLED,0,,,,,,,,,,YES,Bags in house,,9,PAIL (LARGE),,S: SHELLED,Spraying,,,,Food for household,,,
35,101010160060,Panel A,2,10101016,GROUNDNUT CG7,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,PAIL (LARGE),,U: UNSHELLED,0,,,,0,,,,0,,,,10,PAIL (LARGE),,U: UNSHELLED,10,PAIL (LARGE),,U: UNSHELLED,,,Rotting,,,,YES,Bags in house,,5,PAIL (LARGE),,U: UNSHELLED,Did Nothing,,,,Food for household,,Wait for arrival of buyer,
41,101010160068,Panel A,2,10101016,MAIZE HYBRID,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,1,PAIL (LARGE),,S: SHELLED,0,,,,0,,,,2,PAIL (LARGE),,S: SHELLED,0,,,,,,,,,,YES,Bags in house,,30,PAIL (LARGE),,S: SHELLED,Spraying,,,,Food for household,,,
41,101010160068,Panel A,2,10101016,GROUND BEAN(NZAMA,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,,,,,,,NO,,,,,,,,,,,Food for household,,,
41,101010160068,Panel A,2,10101016,GROUNDNUT CG7,,YES,10,PAIL (LARGE),,U: UNSHELLED,25000,N09,10,PAIL (LARGE),,U: UNSHELLED,25000,1,2,July,2010,2,Own Bicycle or Oxcart,,0,NO,,,,,,,,,,,,,,,,,,,,,5,PAIL (LARGE),,U: UNSHELLED,0,,,,0,,,,0,,,,3,PAIL (LARGE),,U: UNSHELLED,0,,,,,,,,,,YES,Bags in house,,10,PAIL (LARGE),,U: UNSHELLED,Did Nothing,,,,Food for household,,Wait for arrival of buyer,
41,101010160068,Panel A,2,10101016,TOBACCO BURLEY,,YES,116,KILOGRAM,,NOT APPLICABLE,35000,N11,116,KILOGRAM,,NOT APPLICABLE,35000,1,2,August,2010,1,Truck / Bus / Minibus,,4500,NO,,,,,,,,,,,,,,,,,,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,,,,,,,NO,,,,,,,,,,,Does not usually store,,,
