HHID,case_id,qx_type,visit,ea_id,hh_n0a,hh_n0b,hh_n01,hh_n02,hh_n03,hh_n04,hh_n05,hh_n06,hh_n07,hh_n08
37,101010160009,Panel A,1,10101016,YES,YES,NO,YES,NO,NO,NO,NO,NO,NO
45,101010160033,Panel A,1,10101016,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
35,101010160060,Panel A,1,10101016,YES,YES,NO,YES,NO,NO,NO,NO,NO,NO
41,101010160068,Panel A,1,10101016,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
61,101010160069,Panel A,1,10101016,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
51,101010160070,Panel A,1,10101016,YES,YES,NO,YES,NO,NO,YES,NO,NO,NO
57,101010160074,Panel A,1,10101016,YES,YES,NO,YES,NO,NO,NO,NO,NO,NO
55,101010160086,Panel A,1,10101016,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
47,101010160096,Panel A,1,10101016,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
63,101010160143,Panel A,1,10101016,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
59,101010160159,Panel A,1,10101016,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
33,101010160180,Panel A,1,10101016,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
49,101010160207,Panel A,1,10101016,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
53,101010160235,Panel A,1,10101016,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
43,101010160254,Panel A,1,10101016,YES,YES,NO,NO,NO,YES,NO,NO,NO,NO
39,101010160265,Panel A,1,10101016,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
40,101012040003,Panel B,2,10101204,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
62,101012040007,Panel B,2,10101204,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
42,101012040011,Panel B,2,10101204,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
44,101012040020,Panel B,2,10101204,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
38,101012040024,Panel B,2,10101204,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
52,101012040028,Panel B,2,10101204,YES,YES,NO,NO,NO,NO,NO,NO,NO,YES
50,101012040037,Panel B,2,10101204,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
54,101012040041,Panel B,2,10101204,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
48,101012040045,Panel B,2,10101204,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
36,101012040054,Panel B,2,10101204,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
56,101012040058,Panel B,2,10101204,YES,YES,NO,YES,NO,NO,NO,NO,NO,NO
64,101012040062,Panel B,2,10101204,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
34,101012040071,Panel B,2,10101204,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
58,101012040075,Panel B,2,10101204,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
46,101012040079,Panel B,2,10101204,YES,YES,YES,NO,NO,NO,NO,NO,NO,NO
60,101012040087,Panel B,2,10101204,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
21,101012150001,Panel A,1,10101215,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
17,101012150004,Panel A,1,10101215,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
