HHID,case_id,qx_type,visit,ea_id,ag_e0a,ag_e0c,ag_e0d,ag_e0d_os,ag_e01,ag_e02a,ag_e02b,ag_e03,ag_e04,ag_e05a,ag_e05b,ag_e06,ag_e07,ag_e07_os,ag_e08a,ag_e08b,ag_e08b_os,ag_e09,ag_e10a,ag_e10b,ag_e10b_os,ag_e10c,ag_e10c_os,ag_e10d,ag_e10e,ag_e10e_os,ag_e11,ag_e12a,ag_e12b,ag_e12b_os,ag_e13,ag_e13_os,ag_e14,ag_e15,ag_e16a,ag_e16b,ag_e17,ag_e18,ag_e19,ag_e20,ag_e21a,ag_e21b,ag_e22,ag_e23,ag_e24,ag_e25,ag_e26a,ag_e26b
37,101010160009,Panel A,1,10101016,Yes,2,Urea,,1,N01,,No,,November,2009,1,Urea,,1,50 KG BAG,,No,,,,,,,,,No,,,,Bicycle Taxi,,0,500,N01,,Yes,,,,,,,,,,,
37,101010160009,Panel A,1,10101016,Yes,2,23:21:0+4S/Chitowe,,1,N01,,No,,November,2009,1,23:21:0+4s/Chitowe,,1,50 KG BAG,,No,,,,,,,,,No,,,,Bicycle Taxi,,0,500,N01,,Yes,,,,,,,,,,,
37,101010160009,Panel A,1,10101016,Yes,2,Maize seed,,1,N01,,No,,November,2009,1,Maize seed,,2,KILOGRAM,,No,,,,,,,,,No,,,,Bicycle Taxi,,0,100,N01,,Yes,,,,,,,,,,,
45,101010160033,Panel A,1,10101016,Yes,1,Maize seed,,1,N01,,No,,January,2010,0,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,No,,No,,Accessible input supplier did not have the input,
45,101010160033,Panel A,1,10101016,Yes,1,23:21:0+4S/Chitowe,,1,N01,,No,,January,2010,1,23:21:0+4s/Chitowe,,1,50 KG BAG,,No,,,,,,,,,No,,,,Bicycle Taxi,,0,500,N02,,Yes,,,,,,,,,,,
45,101010160033,Panel A,1,10101016,Yes,1,Urea,,1,N01,,No,,January,2010,1,Urea,,1,50 KG BAG,,No,,,,,,,,,No,,,,Bicycle Taxi,,0,500,N02,,Yes,,,,,,,,,,,
35,101010160060,Panel A,1,10101016,Yes,1,Maize seed,,1,N01,,No,,January,2010,1,Maize seed,,1,5 KG BAG,,No,,,,,,,,,No,,,,Own Bicycle or Oxcart,,0,100,N02,,Yes,,,,,,,,,,,
35,101010160060,Panel A,1,10101016,Yes,1,23:21:0+4S/Chitowe,,1,N01,,No,,January,2010,1,23:21:0+4s/Chitowe,,1,50 KG BAG,,No,,,,,,,,,No,,,,Own Bicycle or Oxcart,,100,500,N02,,Yes,,,,,,,,,,,
35,101010160060,Panel A,1,10101016,Yes,1,Urea,,1,N01,,No,,January,2010,1,Urea,,1,50 KG BAG,,No,,,,,,,,,No,,,,Own Bicycle or Oxcart,,100,500,N02,,Yes,,,,,,,,,,,
41,101010160068,Panel A,1,10101016,Yes,1,Maize seed,,1,N03,,No,,November,2009,1,Maize seed,,1,5 KG BAG,,No,,,,,,,,,No,,,,Bicycle Taxi,,0,100,N04,,Yes,,,,,,,,,,,
41,101010160068,Panel A,1,10101016,Yes,1,Urea,,1,N03,,No,,November,2009,1,Urea,,1,50 KG BAG,,No,,,,,,,,,No,,,,Bicycle Taxi,,0,500,N04,,Yes,,,,,,,,,,,
41,101010160068,Panel A,1,10101016,Yes,1,23:21:0+4S/Chitowe,,1,N03,,No,,November,2009,1,23:21:0+4s/Chitowe,,1,50 KG BAG,,No,,,,,,,,,No,,,,Bicycle Taxi,,0,500,N04,,Yes,,,,,,,,,,,
61,101010160069,Panel A,1,10101016,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,101010160070,Panel A,1,10101016,Yes,1,23:21:0+4S/Chitowe,,1,N01,,No,,December,2009,1,23:21:0+4s/Chitowe,,1,50 KG BAG,,No,,,,,,,,,No,,,,Own Bicycle or Oxcart,,0,500,N02,,Yes,,,,,,,,,,,
51,101010160070,Panel A,1,10101016,Yes,1,Maize seed,,1,N01,,No,,December,2009,1,Maize seed,,5,KILOGRAM,,No,,,,,,,,,No,,,,Own Bicycle or Oxcart,,0,100,N02,,Yes,,,,,,,,,,,
51,101010160070,Panel A,1,10101016,Yes,1,Urea,,1,N01,,No,,December,2009,1,Urea,,1,50 KG BAG,,No,,,,,,,,,No,,,,Own Bicycle or Oxcart,,0,500,N02,,Yes,,,,,,,,,,,
57,101010160074,Panel A,1,10101016,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,101010160086,Panel A,1,10101016,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,101010160096,Panel A,1,10101016,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,101010160143,Panel A,1,10101016,Yes,1,23:21:0+4S/Chitowe,,1,N01,,No,,December,2008,1,23:21:0+4s/Chitowe,,1,50 KG BAG,,No,,,,,,,,,No,,,,On Foot,,0,500,N02,,Yes,,,,,,,,,,,
63,101010160143,Panel A,1,10101016,Yes,1,Urea,,1,N01,,No,,December,2008,1,Urea,,1,50 KG BAG,,No,,,,,,,,,No,,,,On Foot,,0,500,N02,,Yes,,,,,,,,,,,
59,101010160159,Panel A,1,10101016,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,101010160180,Panel A,1,10101016,Yes,1,Urea,,1,N01,,No,,November,2009,1,Urea,,1,50 KG BAG,,No,,,,,,,,,No,,,,On Foot,,0,500,N02,,Yes,,,,,,,,,,,
33,101010160180,Panel A,1,10101016,Yes,1,23:21:0+4S/Chitowe,,1,N01,,No,,November,2009,1,23:21:0+4s/Chitowe,,1,50 KG BAG,,No,,,,,,,,,No,,,,On Foot,,0,500,N02,,Yes,,,,,,,,,,,
33,101010160180,Panel A,1,10101016,Yes,1,Maize seed,,1,N01,,No,,November,2009,1,Maize seed,,5,KILOGRAM,,No,,,,,,,,,No,,,,On Foot,,0,100,N02,,Yes,,,,,,,,,,,
49,101010160207,Panel A,1,10101016,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,101010160235,Panel A,1,10101016,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,101010160254,Panel A,1,10101016,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,101010160265,Panel A,1,10101016,Yes,1,23:21:0+4S/Chitowe,,1,N03,,No,,December,2009,1,23:21:0+4s/Chitowe,,1,50 KG BAG,,No,,,,,,,,,No,,,,On Foot,,0,500,N04,,Yes,,,,,,,,,,,
39,101010160265,Panel A,1,10101016,Yes,1,Urea,,1,N03,,No,,December,2009,1,Urea,,1,50 KG BAG,,No,,,,,,,,,No,,,,On Foot,,0,500,N04,,Yes,,,,,,,,,,,
