HHID,case_id,qx_type,visit,ea_id,ag_p0a,ag_p0b,ag_p0d,ag_p0d_os,ag_p01,ag_p02a,ag_p02b,ag_p02b_os,ag_p03,ag_p04,ag_p05,ag_p06a,ag_p06b,ag_p06c,ag_p06d,ag_p07,ag_p08a,ag_p08a_os,ag_p08b,ag_p08b_os,ag_p09a,ag_p09b,ag_p09b_os
37,101010160009,Panel A,2,10101016,NO,,,,,,,,,,,,,,,,,,,,,,
45,101010160033,Panel A,2,10101016,NO,,,,,,,,,,,,,,,,,,,,,,
35,101010160060,Panel A,2,10101016,YES,T1,CASSAVA,,PLANTATION,.5,ACRE,,,,,July,2009,March,2010,NO,,,,,40,BASKET (DENGU),
35,101010160060,Panel A,2,10101016,YES,T2,BANANA,,SCATTERED,,,,999,1997,7,April,2009,June,2010,NO,,,,,10,OTHER (SPECIFY),MKOKO
41,101010160068,Panel A,2,10101016,YES,T1,CASSAVA,,PLANTATION,.25,ACRE,,,,,September,2009,February,2010,NO,,,,,40,BASKET (DENGU),
61,101010160069,Panel A,2,10101016,NO,,,,,,,,,,,,,,,,,,,,,,
51,101010160070,Panel A,2,10101016,NO,,,,,,,,,,,,,,,,,,,,,,
57,101010160074,Panel A,2,10101016,YES,T1,CASSAVA,,PLANTATION,.5,ACRE,,,,,July,2010,July,2010,YES,Animals,,,,3,PAIL (LARGE),
57,101010160074,Panel A,2,10101016,YES,T2,BANANA,,SCATTERED,,,,999,1981,0,August,2009,July,2010,NO,,,,,20,OTHER (SPECIFY),MKOKO
57,101010160074,Panel A,2,10101016,YES,T3,MANGO,,SCATTERED,,,,15,1981,0,December,2009,February,2010,YES,Rains,,,,35,BASKET (DENGU),
55,101010160086,Panel A,2,10101016,YES,T1,CASSAVA,,PLANTATION,.25,ACRE,,,,,September,2009,September,2009,NO,,,,,1,90 KG BAG,
47,101010160096,Panel A,2,10101016,YES,T1,CASSAVA,,PLANTATION,.5,ACRE,,,,,March,2010,July,2010,NO,,,,,30,PAIL (LARGE),
