occ,y2_hhid,qx_type,interview_status,hh_n01,hh_n02,hh_n03,hh_n04,hh_n05,hh_n06,hh_n07,hh_n08,hh_n0b
1,0001-001,PANEL A,Panel A - 2 Visits,NO,NO,NO,NO,NO,NO,NO,NO,NO
1,0002-001,PANEL B,Panel B - 2 Visits,NO,NO,NO,YES,NO,NO,NO,NO,YES
1,0003-001,PANEL A,Panel A - 2 Visits,NO,NO,NO,NO,NO,NO,NO,NO,NO
1,0004-001,PANEL B,Panel B - 2 Visits,NO,NO,NO,NO,NO,NO,NO,NO,NO
1,0005-001,PANEL A,Panel A - 2 Visits,NO,NO,NO,NO,NO,NO,NO,NO,NO
1,0006-001,PANEL B,Panel B - 2 Visits,NO,NO,NO,NO,NO,NO,NO,NO,NO
1,0006-003,PANEL B,Panel B - 2 Visits,NO,NO,NO,NO,NO,NO,NO,NO,NO
1,0007-001,PANEL A,Panel A - 2 Visits,NO,NO,NO,NO,NO,NO,NO,NO,NO
1,0008-001,PANEL B,Panel B - 2 Visits,NO,NO,NO,NO,NO,NO,NO,NO,NO
1,0008-003,PANEL B,Panel B - 2 Visits,NO,NO,NO,NO,NO,NO,NO,NO,NO
1,0009-001,PANEL A,Panel A - 2 Visits,NO,NO,NO,NO,NO,NO,NO,NO,NO
1,0010-001,PANEL B,Panel B - 2 Visits,NO,NO,NO,NO,NO,NO,NO,NO,NO
1,0010-002,PANEL B,Panel B - Combined Visit,NO,NO,NO,NO,NO,NO,NO,NO,NO
1,0011-001,PANEL A,Panel A - 2 Visits,NO,NO,NO,NO,NO,NO,NO,NO,NO
1,0011-004,PANEL A,Panel A - Combined Visit,YES,NO,NO,NO,NO,NO,NO,NO,YES
1,0012-001,PANEL B,Panel B - 2 Visits,NO,NO,NO,NO,NO,NO,NO,NO,NO
1,0012-003,PANEL B,Panel B - 2 Visits,NO,NO,NO,NO,NO,NO,NO,NO,NO
1,0012-010,PANEL B,Panel B - 2 Visits,YES,NO,NO,NO,NO,NO,NO,NO,YES
1,0013-001,PANEL A,Panel A - 2 Visits,NO,YES,NO,NO,NO,NO,NO,NO,YES
1,0014-001,PANEL B,Panel B - 2 Visits,NO,NO,NO,NO,NO,NO,NO,NO,NO
1,0015-001,PANEL A,Panel A - 2 Visits,NO,NO,NO,NO,NO,NO,NO,NO,NO
1,0016-001,PANEL B,Panel B - 2 Visits,NO,YES,NO,NO,NO,NO,NO,NO,YES
1,0016-002,PANEL B,Panel B - Combined Visit,NO,NO,NO,NO,NO,NO,NO,NO,NO
1,0017-001,PANEL A,Panel A - 2 Visits,NO,NO,NO,NO,NO,NO,NO,NO,NO
1,0018-001,PANEL B,Panel B - 2 Visits,NO,NO,NO,NO,NO,NO,NO,YES,YES
1,0019-001,PANEL A,Panel A - 2 Visits,NO,NO,NO,NO,NO,NO,NO,NO,NO
1,0020-001,PANEL B,Panel B - 2 Visits,NO,NO,NO,NO,NO,NO,NO,NO,NO
1,0021-001,PANEL A,Panel A - 2 Visits,NO,NO,NO,NO,NO,NO,NO,NO,NO
1,0022-001,PANEL B,Panel B - 2 Visits,NO,NO,NO,NO,NO,NO,NO,NO,NO
1,0023-001,PANEL A,Panel A - 2 Visits,NO,NO,NO,NO,NO,NO,NO,NO,NO
1,0024-001,PANEL B,Panel B - 2 Visits,NO,NO,NO,NO,NO,NO,NO,NO,NO
1,0025-001,PANEL A,Panel A - 2 Visits,NO,NO,NO,NO,NO,NO,NO,NO,NO
1,0026-001,PANEL B,Panel B - 2 Visits,NO,NO,NO,NO,NO,NO,NO,NO,NO
1,0027-001,PANEL A,Panel A - 2 Visits,NO,NO,NO,NO,NO,NO,NO,NO,NO
1,0028-001,PANEL B,Panel B - 2 Visits,NO,NO,NO,NO,NO,NO,NO,NO,NO
1,0029-001,PANEL A,Panel A - 2 Visits,YES,NO,NO,NO,NO,NO,NO,NO,YES
1,0030-001,PANEL B,Panel B - 2 Visits,NO,NO,NO,NO,NO,NO,NO,NO,NO
1,0031-001,PANEL A,Panel A - 2 Visits,NO,NO,NO,NO,NO,NO,NO,NO,NO
1,0032-001,PANEL B,Panel B - 2 Visits,NO,NO,NO,NO,NO,NO,NO,NO,NO
1,0033-001,PANEL A,Panel A - 2 Visits,NO,NO,NO,NO,NO,NO,NO,NO,NO
1,0034-001,PANEL B,Panel B - 2 Visits,NO,NO,NO,NO,NO,NO,NO,NO,NO
1,0035-001,PANEL A,Panel A - 2 Visits,NO,NO,NO,NO,NO,NO,NO,NO,NO
1,0036-001,PANEL B,Panel B - 2 Visits,NO,NO,NO,NO,NO,NO,NO,YES,YES
1,0037-001,PANEL A,Panel A - 2 Visits,NO,NO,NO,NO,NO,NO,NO,NO,NO
1,0038-001,PANEL B,Panel B - 2 Visits,NO,NO,NO,NO,NO,NO,NO,NO,NO
1,0039-001,PANEL A,Panel A - 2 Visits,NO,NO,NO,NO,NO,NO,NO,NO,NO
1,0040-001,PANEL B,Panel B - 2 Visits,NO,NO,NO,NO,NO,NO,NO,NO,NO
1,0041-001,PANEL A,Panel A - 2 Visits,NO,NO,NO,NO,NO,NO,NO,NO,NO
1,0042-001,PANEL B,Panel B - 2 Visits,NO,NO,NO,NO,NO,NO,NO,NO,NO
1,0043-001,PANEL A,Panel A - 2 Visits,NO,NO,NO,NO,NO,NO,NO,NO,NO
1,0044-001,PANEL B,Panel B - 2 Visits,NO,NO,NO,NO,NO,NO,NO,NO,NO
1,0045-001,PANEL A,Panel A - 2 Visits,NO,NO,NO,NO,NO,NO,NO,NO,NO
