occ,y2_hhid,qx_type,interview_status,ag_m0a,ag_m00,ag_m0b,ag_m0c,ag_m0d,ag_m01,ag_m02,ag_m03,ag_m04a,ag_m04b,ag_m05a,ag_m05b,ag_m07,ag_m08a,ag_m08b,ag_m08c,ag_m09,ag_m10a,ag_m10b,ag_m11a,ag_m11b,ag_m11c,ag_m12a,ag_m12b,ag_m13a,ag_m13b
1,0001-001,PANEL A,Panel A - 2 Visits,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0002-001,PANEL B,Panel B - 2 Visits,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0003-001,PANEL A,Panel A - 2 Visits,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0004-001,PANEL B,Panel B - 2 Visits,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0005-001,PANEL A,Panel A - 2 Visits,YES,D01,RAPE,OTHER (SPECIFY),1,PURE STAND,,,150,GRAM,JULY,2013,NO,1,50 KG BAG,NOT APPLICABLE,,,,,,,,,,
1,0006-001,PANEL B,Panel B - 2 Visits,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0006-003,PANEL B,Panel B - 2 Visits,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0007-001,PANEL A,Panel A - 2 Visits,YES,D01,TANAPOSI,TANAPOSI,1,PURE STAND,,,10,GRAM,JUNE,2013,NO,3,50 KG BAG,NOT APPLICABLE,,,,,,,,,,
1,0008-001,PANEL B,Panel B - 2 Visits,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0008-003,PANEL B,Panel B - 2 Visits,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0009-001,PANEL A,Panel A - 2 Visits,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0010-001,PANEL B,Panel B - 2 Visits,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0011-001,PANEL A,Panel A - 2 Visits,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0012-001,PANEL B,Panel B - 2 Visits,,,,,,,,,,,,,,,,,,,,,,,,,,
