occ,y2_hhid,qx_type,interview_status,ag_o01,ag_o00,ag_o02,ag_o03_2,ag_o04a,ag_o04b,ag_o04c,ag_o05e,ag_o06,ag_o07
1,0001-001,PANEL A,Panel A - 2 Visits,YES,T01,MANGO,RG01,1,ACRE,.30000001,,10,PARTLY CLOUDY/PARTLY SUNNY
1,0002-001,PANEL B,Panel B - 2 Visits,YES,T01,CASSAVA GARDEN,RG01,.5,ACRE,.60000002,,10,CLEAR/SUNNY
1,0003-001,PANEL A,Panel A - 2 Visits,YES,T01,CASSAVA,RG01,1,ACRE,1.1,,10,PARTLY CLOUDY/PARTLY SUNNY
1,0004-001,PANEL B,Panel B - 2 Visits,NO,,,,,,,,,
1,0005-001,PANEL A,Panel A - 2 Visits,YES,T01,CASSAVA,RG01,1,ACRE,1.4,,11,PARTLY CLOUDY/PARTLY SUNNY
1,0006-001,PANEL B,Panel B - 2 Visits,NO,,,,,,,,,
1,0006-003,PANEL B,Panel B - 2 Visits,NO,,,,,,,,,
1,0007-001,PANEL A,Panel A - 2 Visits,YES,T01,CASSAVA,RG01,.30000001,ACRE,.30000001,,12,CLEAR/SUNNY
2,0007-001,PANEL A,Panel A - 2 Visits,YES,T02,PAWPAW,RG02,.1,ACRE,.1,,12,CLEAR/SUNNY
1,0008-001,PANEL B,Panel B - 2 Visits,YES,T01,MANGO,RG01,1,ACRE,.80000001,,9,PARTLY CLOUDY/PARTLY SUNNY
1,0008-003,PANEL B,Panel B - 2 Visits,NO,,,,,,,,,
1,0009-001,PANEL A,Panel A - 2 Visits,NO,,,,,,,,,
1,0010-001,PANEL B,Panel B - 2 Visits,NO,,,,,,,,,
1,0011-001,PANEL A,Panel A - 2 Visits,NO,,,,,,,,,
1,0012-001,PANEL B,Panel B - 2 Visits,NO,,,,,,,,,
1,0012-003,PANEL B,Panel B - 2 Visits,NO,,,,,,,,,
1,0012-010,PANEL B,Panel B - 2 Visits,YES,T01,MANGO,RG01,.5,ACRE,.30000001,,11,CLEAR/SUNNY
1,0013-001,PANEL A,Panel A - 2 Visits,NO,,,,,,,,,
1,0014-001,PANEL B,Panel B - 2 Visits,NO,,,,,,,,,
1,0015-001,PANEL A,Panel A - 2 Visits,YES,T01,MUNDA WA PANYUMBA,RG01,.25,ACRE,.30000001,,12,CLEAR/SUNNY
1,0016-001,PANEL B,Panel B - 2 Visits,NO,,,,,,,,,
1,0017-001,PANEL A,Panel A - 2 Visits,YES,T01,MANGO,RG01,1,ACRE,.80000001,,10,PARTLY CLOUDY/PARTLY SUNNY
1,0018-001,PANEL B,Panel B - 2 Visits,NO,,,,,,,,,
1,0019-001,PANEL A,Panel A - 2 Visits,NO,,,,,,,,,
1,0020-001,PANEL B,Panel B - 2 Visits,NO,,,,,,,,,
1,0021-001,PANEL A,Panel A - 2 Visits,NO,,,,,,,,,
1,0022-001,PANEL B,Panel B - 2 Visits,,,,,,,,,,
1,0023-001,PANEL A,Panel A - 2 Visits,YES,T01,ORANGE,RG03,1,ACRE,.5,,12,CLEAR/SUNNY
1,0024-001,PANEL B,Panel B - 2 Visits,NO,,,,,,,,,
1,0025-001,PANEL A,Panel A - 2 Visits,NO,,,,,,,,,
1,0026-001,PANEL B,Panel B - 2 Visits,NO,,,,,,,,,
1,0027-001,PANEL A,Panel A - 2 Visits,NO,,,,,,,,,
1,0028-001,PANEL B,Panel B - 2 Visits,YES,T01,MANGO,RG01,1,ACRE,.40000001,,10,PARTLY CLOUDY/PARTLY SUNNY
2,0028-001,PANEL B,Panel B - 2 Visits,YES,T02,CASSAVA,RG02,.25,ACRE,.1,,10,PARTLY CLOUDY/PARTLY SUNNY
1,0029-001,PANEL A,Panel A - 2 Visits,NO,,,,,,,,,
1,0030-001,PANEL B,Panel B - 2 Visits,YES,T01,CASSAVA,RG01,.5,ACRE,.40000001,,9,PARTLY CLOUDY/PARTLY SUNNY
1,0031-001,PANEL A,Panel A - 2 Visits,NO,,,,,,,,,
1,0032-001,PANEL B,Panel B - 2 Visits,NO,,,,,,,,,
1,0033-001,PANEL A,Panel A - 2 Visits,YES,T01,CASSAVA,TG01,.1,ACRE,.2,,12,CLEAR/SUNNY
1,0034-001,PANEL B,Panel B - 2 Visits,NO,,,,,,,,,
1,0035-001,PANEL A,Panel A - 2 Visits,YES,T01,CASSAVA,TG01,1,ACRE,.67000002,,11,PARTLY CLOUDY/PARTLY SUNNY
2,0035-001,PANEL A,Panel A - 2 Visits,YES,T02,BANANA,TG02,.25,ACRE,.23999999,,11,PARTLY CLOUDY/PARTLY SUNNY
3,0035-001,PANEL A,Panel A - 2 Visits,YES,T03,MANGO,TG03,.25,ACRE,.16,,11,PARTLY CLOUDY/PARTLY SUNNY
1,0036-001,PANEL B,Panel B - 2 Visits,NO,,,,,,,,,
1,0037-001,PANEL A,Panel A - 2 Visits,YES,T01,CASSAVA PLOT,RG01,.25,ACRE,.5,,11,CLEAR/SUNNY
1,0038-001,PANEL B,Panel B - 2 Visits,NO,,,,,,,,,
1,0040-001,PANEL B,Panel B - 2 Visits,YES,T01,CASSAVA,RG01,.5,ACRE,.40000001,,9,MOSTLY CLEAR/MOSTLY SUNNY
1,0041-001,PANEL A,Panel A - 2 Visits,YES,T01,CASSAVA,TG01,1,ACRE,.89999998,,10,MOSTLY CLEAR/MOSTLY SUNNY
1,0042-001,PANEL B,Panel B - 2 Visits,NO,,,,,,,,,
1,0043-001,PANEL A,Panel A - 2 Visits,YES,T01,CASSAVA,RG01,1,ACRE,.40000001,,10,PARTLY CLOUDY/PARTLY SUNNY
1,0044-001,PANEL B,Panel B - 2 Visits,NO,,,,,,,,,
1,0045-001,PANEL A,Panel A - 2 Visits,YES,T01,CASSAVA,TG01,.5,ACRE,.5,,10,MOSTLY CLEAR/MOSTLY SUNNY
2,0045-001,PANEL A,Panel A - 2 Visits,YES,T02,MANGO,TG02,.15000001,ACRE,.2,,10,MOSTLY CLEAR/MOSTLY SUNNY
1,0046-001,PANEL B,Panel B - 2 Visits,NO,,,,,,,,,
1,0047-001,PANEL A,Panel A - 2 Visits,YES,T01,BANANA,TG01,1,ACRE,.40000001,,11,CLEAR/SUNNY
2,0047-001,PANEL A,Panel A - 2 Visits,YES,T02,CASSAVA,TG01,.25,ACRE,.0099999998,,11,CLEAR/SUNNY
3,0047-001,PANEL A,Panel A - 2 Visits,YES,T03,MANGO,TG01,.25,ACRE,.0099999998,,11,CLEAR/SUNNY
1,0048-001,PANEL B,Panel B - 2 Visits,YES,T01,CASSAVA,RG01,.5,ACRE,.60000002,,11,CLEAR/SUNNY
1,0049-001,PANEL A,Panel A - 2 Visits,YES,T01,CASSAVA,RG02,1.5,ACRE,.89999998,,11,CLEAR/SUNNY
1,0050-001,PANEL B,Panel B - 2 Visits,YES,T01,BANANA,RG01,.25,ACRE,.0099999998,,11,CLEAR/SUNNY
2,0050-001,PANEL B,Panel B - 2 Visits,YES,T02,CASSAVA,RG01,.25,ACRE,.1,,11,CLEAR/SUNNY
1,0051-001,PANEL A,Panel A - 2 Visits,NO,,,,,,,,,
1,0052-001,PANEL B,Panel B - 2 Visits,NO,,,,,,,,,
1,0053-002,PANEL A,Panel A - 2 Visits,NO,,,,,,,,,
1,0054-001,PANEL B,Panel B - 2 Visits,YES,T01,CASSAVA,RG01,.5,ACRE,.5,,11,CLEAR/SUNNY
2,0054-001,PANEL B,Panel B - 2 Visits,YES,T02,MANGO,RG01,.5,ACRE,.0099999998,,11,CLEAR/SUNNY
1,0055-001,PANEL A,Panel A - 2 Visits,YES,T01,CASSAVA,TG01,1,ACRE,.55000001,,10,PARTLY CLOUDY/PARTLY SUNNY
2,0055-001,PANEL A,Panel A - 2 Visits,YES,T02,MANGO,TG02,.25,ACRE,.16,,10,PARTLY CLOUDY/PARTLY SUNNY
3,0055-001,PANEL A,Panel A - 2 Visits,YES,T03,BANANA,TG03,.25,ACRE,.18000001,,11,PARTLY CLOUDY/PARTLY SUNNY
1,0056-001,PANEL B,Panel B - 2 Visits,YES,T01,CASSAVA,RG02,.25,ACRE,.69999999,,10,MOSTLY CLEAR/MOSTLY SUNNY
