HHID,case_id,qx_type,visit,ea_id,hh_r0a,hh_r0a_os,hh_r01,hh_r02a,hh_r02b,hh_r02c,hh_r03,hh_r04a,hh_r04b,hh_r04c,hh_r04d,hh_r04e,hh_r05a,hh_r05b,hh_r06,hh_r07a,hh_r07b
37,101010160009,Panel A,1,10101016,Free Maize,,No,,,,,,,,,,,,,,
37,101010160009,Panel A,1,10101016,Free Food (other than Maize),,No,,,,,,,,,,,,,,
37,101010160009,Panel A,1,10101016,Food/Cash-for-Work Programme,,No,,,,,,,,,,,,,,
37,101010160009,Panel A,1,10101016,Inputs-For-Work Programme,,No,,,,,,,,,,,,,,
37,101010160009,Panel A,1,10101016,School Feeding Programme,,No,,,,,,,,,,,,,,
37,101010160009,Panel A,1,10101016,Free Distribution of Likuni Phala to Children and Mothers,,No,,,,,,,,,,,,,,
37,101010160009,Panel A,1,10101016,Supplementary Feeding for Malnourished Children at a Nutritional Rehabilitation Unit,,No,,,,,,,,,,,,,,
37,101010160009,Panel A,1,10101016,Scholarships/Bursaries for Secondary Education,,No,,,,,,,,,,,,,,
37,101010160009,Panel A,1,10101016,Scholarships for Tertiary Education,,No,,,,,,,,,,,,,,
37,101010160009,Panel A,1,10101016,Tertiary Loan Scheme,,No,,,,,,,,,,,,,,
37,101010160009,Panel A,1,10101016,Direct Cash Transfers from Government,,No,,,,,,,,,,,,,,
37,101010160009,Panel A,1,10101016,Other Direct Cash Transfers (Specify),,No,,,,,,,,,,,,,,
37,101010160009,Panel A,1,10101016,Other (Specify),,No,,,,,,,,,,,,,,
45,101010160033,Panel A,1,10101016,Free Maize,,No,,,,,,,,,,,,,,
45,101010160033,Panel A,1,10101016,Free Food (other than Maize),,No,,,,,,,,,,,,,,
45,101010160033,Panel A,1,10101016,Food/Cash-for-Work Programme,,No,,,,,,,,,,,,,,
45,101010160033,Panel A,1,10101016,Inputs-For-Work Programme,,No,,,,,,,,,,,,,,
45,101010160033,Panel A,1,10101016,School Feeding Programme,,No,,,,,,,,,,,,,,
45,101010160033,Panel A,1,10101016,Free Distribution of Likuni Phala to Children and Mothers,,No,,,,,,,,,,,,,,
45,101010160033,Panel A,1,10101016,Supplementary Feeding for Malnourished Children at a Nutritional Rehabilitation Unit,,No,,,,,,,,,,,,,,
45,101010160033,Panel A,1,10101016,Scholarships/Bursaries for Secondary Education,,No,,,,,,,,,,,,,,
45,101010160033,Panel A,1,10101016,Scholarships for Tertiary Education,,No,,,,,,,,,,,,,,
45,101010160033,Panel A,1,10101016,Tertiary Loan Scheme,,No,,,,,,,,,,,,,,
45,101010160033,Panel A,1,10101016,Direct Cash Transfers from Government,,No,,,,,,,,,,,,,,
45,101010160033,Panel A,1,10101016,Other Direct Cash Transfers (Specify),,No,,,,,,,,,,,,,,
45,101010160033,Panel A,1,10101016,Other (Specify),,No,,,,,,,,,,,,,,
35,101010160060,Panel A,1,10101016,Free Maize,,No,,,,,,,,,,,,,,
35,101010160060,Panel A,1,10101016,Free Food (other than Maize),,No,,,,,,,,,,,,,,
35,101010160060,Panel A,1,10101016,Food/Cash-for-Work Programme,,No,,,,,,,,,,,,,,
35,101010160060,Panel A,1,10101016,Inputs-For-Work Programme,,No,,,,,,,,,,,,,,
35,101010160060,Panel A,1,10101016,School Feeding Programme,,No,,,,,,,,,,,,,,
35,101010160060,Panel A,1,10101016,Free Distribution of Likuni Phala to Children and Mothers,,No,,,,,,,,,,,,,,
35,101010160060,Panel A,1,10101016,Supplementary Feeding for Malnourished Children at a Nutritional Rehabilitation Unit,,No,,,,,,,,,,,,,,
35,101010160060,Panel A,1,10101016,Scholarships/Bursaries for Secondary Education,,No,,,,,,,,,,,,,,
35,101010160060,Panel A,1,10101016,Scholarships for Tertiary Education,,No,,,,,,,,,,,,,,
35,101010160060,Panel A,1,10101016,Tertiary Loan Scheme,,No,,,,,,,,,,,,,,
35,101010160060,Panel A,1,10101016,Direct Cash Transfers from Government,,No,,,,,,,,,,,,,,
35,101010160060,Panel A,1,10101016,Other Direct Cash Transfers (Specify),,No,,,,,,,,,,,,,,
35,101010160060,Panel A,1,10101016,Other (Specify),,No,,,,,,,,,,,,,,
41,101010160068,Panel A,1,10101016,Free Maize,,No,,,,,,,,,,,,,,
41,101010160068,Panel A,1,10101016,Free Food (other than Maize),,No,,,,,,,,,,,,,,
41,101010160068,Panel A,1,10101016,Food/Cash-for-Work Programme,,No,,,,,,,,,,,,,,
41,101010160068,Panel A,1,10101016,Inputs-For-Work Programme,,No,,,,,,,,,,,,,,
41,101010160068,Panel A,1,10101016,School Feeding Programme,,No,,,,,,,,,,,,,,
41,101010160068,Panel A,1,10101016,Free Distribution of Likuni Phala to Children and Mothers,,No,,,,,,,,,,,,,,
41,101010160068,Panel A,1,10101016,Supplementary Feeding for Malnourished Children at a Nutritional Rehabilitation Unit,,No,,,,,,,,,,,,,,
41,101010160068,Panel A,1,10101016,Scholarships/Bursaries for Secondary Education,,No,,,,,,,,,,,,,,
41,101010160068,Panel A,1,10101016,Scholarships for Tertiary Education,,No,,,,,,,,,,,,,,
41,101010160068,Panel A,1,10101016,Tertiary Loan Scheme,,No,,,,,,,,,,,,,,
41,101010160068,Panel A,1,10101016,Direct Cash Transfers from Government,,No,,,,,,,,,,,,,,
41,101010160068,Panel A,1,10101016,Other Direct Cash Transfers (Specify),,No,,,,,,,,,,,,,,
41,101010160068,Panel A,1,10101016,Other (Specify),,No,,,,,,,,,,,,,,
61,101010160069,Panel A,1,10101016,Free Maize,,No,,,,,,,,,,,,,,
61,101010160069,Panel A,1,10101016,Free Food (other than Maize),,No,,,,,,,,,,,,,,
61,101010160069,Panel A,1,10101016,Food/Cash-for-Work Programme,,No,,,,,,,,,,,,,,
61,101010160069,Panel A,1,10101016,Inputs-For-Work Programme,,No,,,,,,,,,,,,,,
61,101010160069,Panel A,1,10101016,School Feeding Programme,,No,,,,,,,,,,,,,,
61,101010160069,Panel A,1,10101016,Free Distribution of Likuni Phala to Children and Mothers,,No,,,,,,,,,,,,,,
61,101010160069,Panel A,1,10101016,Supplementary Feeding for Malnourished Children at a Nutritional Rehabilitation Unit,,No,,,,,,,,,,,,,,
61,101010160069,Panel A,1,10101016,Scholarships/Bursaries for Secondary Education,,No,,,,,,,,,,,,,,
61,101010160069,Panel A,1,10101016,Scholarships for Tertiary Education,,No,,,,,,,,,,,,,,
61,101010160069,Panel A,1,10101016,Tertiary Loan Scheme,,No,,,,,,,,,,,,,,
61,101010160069,Panel A,1,10101016,Direct Cash Transfers from Government,,No,,,,,,,,,,,,,,
61,101010160069,Panel A,1,10101016,Other Direct Cash Transfers (Specify),,No,,,,,,,,,,,,,,
61,101010160069,Panel A,1,10101016,Other (Specify),,No,,,,,,,,,,,,,,
51,101010160070,Panel A,1,10101016,Free Maize,,No,,,,,,,,,,,,,,
51,101010160070,Panel A,1,10101016,Free Food (other than Maize),,No,,,,,,,,,,,,,,
51,101010160070,Panel A,1,10101016,Food/Cash-for-Work Programme,,No,,,,,,,,,,,,,,
51,101010160070,Panel A,1,10101016,Inputs-For-Work Programme,,No,,,,,,,,,,,,,,
51,101010160070,Panel A,1,10101016,School Feeding Programme,,No,,,,,,,,,,,,,,
51,101010160070,Panel A,1,10101016,Free Distribution of Likuni Phala to Children and Mothers,,No,,,,,,,,,,,,,,
51,101010160070,Panel A,1,10101016,Supplementary Feeding for Malnourished Children at a Nutritional Rehabilitation Unit,,No,,,,,,,,,,,,,,
51,101010160070,Panel A,1,10101016,Scholarships/Bursaries for Secondary Education,,Yes,13500,0,,Specific household members,5,,,,,,,9,12,2010
51,101010160070,Panel A,1,10101016,Scholarships for Tertiary Education,,No,,,,,,,,,,,,,,
51,101010160070,Panel A,1,10101016,Tertiary Loan Scheme,,No,,,,,,,,,,,,,,
51,101010160070,Panel A,1,10101016,Direct Cash Transfers from Government,,No,,,,,,,,,,,,,,
51,101010160070,Panel A,1,10101016,Other Direct Cash Transfers (Specify),,No,,,,,,,,,,,,,,
51,101010160070,Panel A,1,10101016,Other (Specify),,No,,,,,,,,,,,,,,
57,101010160074,Panel A,1,10101016,Free Maize,,No,,,,,,,,,,,,,,
57,101010160074,Panel A,1,10101016,Free Food (other than Maize),,No,,,,,,,,,,,,,,
57,101010160074,Panel A,1,10101016,Food/Cash-for-Work Programme,,No,,,,,,,,,,,,,,
57,101010160074,Panel A,1,10101016,Inputs-For-Work Programme,,No,,,,,,,,,,,,,,
57,101010160074,Panel A,1,10101016,School Feeding Programme,,No,,,,,,,,,,,,,,
57,101010160074,Panel A,1,10101016,Free Distribution of Likuni Phala to Children and Mothers,,No,,,,,,,,,,,,,,
57,101010160074,Panel A,1,10101016,Supplementary Feeding for Malnourished Children at a Nutritional Rehabilitation Unit,,No,,,,,,,,,,,,,,
57,101010160074,Panel A,1,10101016,Scholarships/Bursaries for Secondary Education,,No,,,,,,,,,,,,,,
57,101010160074,Panel A,1,10101016,Scholarships for Tertiary Education,,No,,,,,,,,,,,,,,
57,101010160074,Panel A,1,10101016,Tertiary Loan Scheme,,No,,,,,,,,,,,,,,
57,101010160074,Panel A,1,10101016,Direct Cash Transfers from Government,,No,,,,,,,,,,,,,,
57,101010160074,Panel A,1,10101016,Other Direct Cash Transfers (Specify),,No,,,,,,,,,,,,,,
57,101010160074,Panel A,1,10101016,Other (Specify),,No,,,,,,,,,,,,,,
55,101010160086,Panel A,1,10101016,Free Maize,,No,,,,,,,,,,,,,,
55,101010160086,Panel A,1,10101016,Free Food (other than Maize),,No,,,,,,,,,,,,,,
