occ,y2_hhid,qx_type,interview_status,hh_i01,hh_i02,hh_i03
1,0001-001,PANEL A,Panel A - 2 Visits,NO,CHARCOAL,
2,0001-001,PANEL A,Panel A - 2 Visits,NO,PARAFFIN OR KEROSENE,
3,0001-001,PANEL A,Panel A - 2 Visits,NO,CIGARETTES OR OTHER TOBACCO,
4,0001-001,PANEL A,Panel A - 2 Visits,NO,CANDLES,
5,0001-001,PANEL A,Panel A - 2 Visits,NO,MATCHES,
6,0001-001,PANEL A,Panel A - 2 Visits,NO,NEWSPAPERS OR MAGAZINES,
7,0001-001,PANEL A,Panel A - 2 Visits,NO,PUBLIC TRANSPORT - BICYCLE TAXI,
8,0001-001,PANEL A,Panel A - 2 Visits,NO,PUBLIC TRANSPORT - BUS / MINIBUS,
9,0001-001,PANEL A,Panel A - 2 Visits,NO,"PUBLIC TRANSPORT - OTHER (TRUCK, OXCART, ETC..)",
1,0002-001,PANEL B,Panel B - 2 Visits,NO,CHARCOAL,
2,0002-001,PANEL B,Panel B - 2 Visits,NO,PARAFFIN OR KEROSENE,
3,0002-001,PANEL B,Panel B - 2 Visits,NO,CIGARETTES OR OTHER TOBACCO,
4,0002-001,PANEL B,Panel B - 2 Visits,NO,CANDLES,
5,0002-001,PANEL B,Panel B - 2 Visits,NO,MATCHES,
6,0002-001,PANEL B,Panel B - 2 Visits,NO,NEWSPAPERS OR MAGAZINES,
7,0002-001,PANEL B,Panel B - 2 Visits,NO,PUBLIC TRANSPORT - BICYCLE TAXI,
8,0002-001,PANEL B,Panel B - 2 Visits,NO,PUBLIC TRANSPORT - BUS / MINIBUS,
9,0002-001,PANEL B,Panel B - 2 Visits,NO,"PUBLIC TRANSPORT - OTHER (TRUCK, OXCART, ETC..)",
1,0003-001,PANEL A,Panel A - 2 Visits,NO,CHARCOAL,
2,0003-001,PANEL A,Panel A - 2 Visits,YES,PARAFFIN OR KEROSENE,100
3,0003-001,PANEL A,Panel A - 2 Visits,NO,CIGARETTES OR OTHER TOBACCO,
