occ,y2_hhid,qx_type,interview_status,ag_t0a,ag_t01,ag_t02
1,0001-001,PANEL A,Panel A - 2 Visits,NEW SEED VARIETIES,YES,GOV. AGRICULTURAL EXTENSION SERVICE
2,0001-001,PANEL A,Panel A - 2 Visits,PEST CONTROL,YES,GOV. AGRICULTURAL EXTENSION SERVICE
3,0001-001,PANEL A,Panel A - 2 Visits,FERTILIZER USE,YES,GOV. AGRICULTURAL EXTENSION SERVICE
4,0001-001,PANEL A,Panel A - 2 Visits,PIT PLANTING,NO,
5,0001-001,PANEL A,Panel A - 2 Visits,IRRIGATION,YES,GOV. AGRICULTURAL EXTENSION SERVICE
6,0001-001,PANEL A,Panel A - 2 Visits,COMPOSTING,NO,
7,0001-001,PANEL A,Panel A - 2 Visits,MARKETING/CROP SALES,NO,
8,0001-001,PANEL A,Panel A - 2 Visits,GROWING/SELLING TOBACCO,NO,
9,0001-001,PANEL A,Panel A - 2 Visits,ACCESS TO CREDIT,NO,
10,0001-001,PANEL A,Panel A - 2 Visits,FORESTRY,NO,
11,0001-001,PANEL A,Panel A - 2 Visits,GENERAL ANIMAL CARE,NO,
12,0001-001,PANEL A,Panel A - 2 Visits,ANIMAL DISEASES / VACCINATION,NO,
13,0001-001,PANEL A,Panel A - 2 Visits,FISHERY PRODUCTION,NO,
14,0001-001,PANEL A,Panel A - 2 Visits,OTHER (SPECIFY),NO,
1,0002-001,PANEL B,Panel B - 2 Visits,NEW SEED VARIETIES,YES,GOV. AGRICULTURAL EXTENSION SERVICE
2,0002-001,PANEL B,Panel B - 2 Visits,PEST CONTROL,YES,GOV. AGRICULTURAL EXTENSION SERVICE
3,0002-001,PANEL B,Panel B - 2 Visits,FERTILIZER USE,YES,GOV. AGRICULTURAL EXTENSION SERVICE
4,0002-001,PANEL B,Panel B - 2 Visits,PIT PLANTING,NO,
5,0002-001,PANEL B,Panel B - 2 Visits,IRRIGATION,NO,
6,0002-001,PANEL B,Panel B - 2 Visits,COMPOSTING,NO,
7,0002-001,PANEL B,Panel B - 2 Visits,MARKETING/CROP SALES,NO,
8,0002-001,PANEL B,Panel B - 2 Visits,GROWING/SELLING TOBACCO,NO,
9,0002-001,PANEL B,Panel B - 2 Visits,ACCESS TO CREDIT,NO,
10,0002-001,PANEL B,Panel B - 2 Visits,FORESTRY,NO,
11,0002-001,PANEL B,Panel B - 2 Visits,GENERAL ANIMAL CARE,NO,
12,0002-001,PANEL B,Panel B - 2 Visits,ANIMAL DISEASES / VACCINATION,NO,
13,0002-001,PANEL B,Panel B - 2 Visits,FISHERY PRODUCTION,NO,
14,0002-001,PANEL B,Panel B - 2 Visits,OTHER (SPECIFY),NO,
1,0003-001,PANEL A,Panel A - 2 Visits,NEW SEED VARIETIES,YES,GOV. AGRICULTURAL EXTENSION SERVICE
2,0003-001,PANEL A,Panel A - 2 Visits,PEST CONTROL,YES,GOV. AGRICULTURAL EXTENSION SERVICE
3,0003-001,PANEL A,Panel A - 2 Visits,FERTILIZER USE,YES,GOV. AGRICULTURAL EXTENSION SERVICE
4,0003-001,PANEL A,Panel A - 2 Visits,PIT PLANTING,YES,GOV. AGRICULTURAL EXTENSION SERVICE
5,0003-001,PANEL A,Panel A - 2 Visits,IRRIGATION,YES,GOV. AGRICULTURAL EXTENSION SERVICE
6,0003-001,PANEL A,Panel A - 2 Visits,COMPOSTING,NO,
7,0003-001,PANEL A,Panel A - 2 Visits,MARKETING/CROP SALES,NO,
8,0003-001,PANEL A,Panel A - 2 Visits,GROWING/SELLING TOBACCO,NO,
9,0003-001,PANEL A,Panel A - 2 Visits,ACCESS TO CREDIT,NO,
