occ,y2_hhid,qx_type,interview_status,fs_h14,fs_h14a,fs_h14b,fs_h14c,fs_h14d
1,0163-001,PANEL A,Panel A - 2 Visits,1,0,0,0,0
1,0182-001,PANEL B,Panel B - 2 Visits,,,,,
1,0192-003,PANEL B,Panel B - 2 Visits,1,5,6,0,0
2,0192-003,PANEL B,Panel B - 2 Visits,2,0,0,0,0
1,0203-001,PANEL A,Panel A - 2 Visits,1,0,0,0,0
1,0232-001,PANEL B,Panel B - 2 Visits,1,5,24,0,0
1,0240-001,PANEL B,Panel B - 2 Visits,1,0,0,0,0
1,0266-001,PANEL B,Panel B - 2 Visits,,,,,
1,0268-001,PANEL B,Panel B - 2 Visits,,,,,
1,0279-001,PANEL A,Panel A - 2 Visits,,,,,
1,0297-002,PANEL A,Panel A - 2 Visits,,,,,
1,0300-001,PANEL B,Panel B - 2 Visits,,,,,
1,0301-001,PANEL A,Panel A - 2 Visits,,,,,
1,0306-004,PANEL B,Panel B - 2 Visits,1,0,0,0,0
1,0316-001,PANEL B,Panel B - 2 Visits,,,,,
1,0343-001,PANEL A,Panel A - 2 Visits,1,0,0,0,0
1,0355-001,PANEL A,Panel A - 2 Visits,,,,,
1,0384-001,PANEL B,Panel B - 2 Visits,,0,0,0,0
1,0390-001,PANEL B,Panel B - 2 Visits,,0,0,0,0
1,0406-001,PANEL B,Panel B - 2 Visits,1,0,0,0,0
1,0508-001,PANEL B,Panel B - 2 Visits,,0,0,0,0
1,0782-001,PANEL B,Panel B - 2 Visits,1,0,0,0,0
1,1069-003,PANEL A,Panel A - 2 Visits,1,0,0,0,0
1,1134-001,PANEL B,Panel B - 2 Visits,,,,,
1,1218-002,PANEL B,Panel B - 2 Visits,,,,,
1,1325-001,PANEL A,Panel A - 2 Visits,,,,,
1,1659-005,PANEL A,Panel A - Combined Visit,1,0,0,0,0
1,1740-001,PANEL B,Panel B - 2 Visits,,,,,
1,1804-001,PANEL B,Panel B - 2 Visits,,50,4,0,0
1,1879-001,PANEL A,Panel A - 2 Visits,,,,,
1,1921-001,PANEL A,Panel A - 2 Visits,,3,2,0,0
1,1935-001,PANEL A,Panel A - 2 Visits,,,,,
1,1945-001,PANEL A,Panel A - 2 Visits,,,,,
1,1949-001,PANEL A,Panel A - 2 Visits,1,10,12,0,0
1,1951-001,PANEL A,Panel A - 2 Visits,,,,,
1,1951-002,PANEL A,Panel A - 2 Visits,,0,0,0,0
1,2053-001,PANEL A,Panel A - 2 Visits,,,,,
1,2073-001,PANEL A,Panel A - 2 Visits,1,8,3,0,0
1,2103-001,PANEL A,Panel A - 2 Visits,,,,,
1,2189-001,PANEL A,Panel A - 2 Visits,,0,0,0,0
1,2202-002,PANEL B,Panel B - Combined Visit,,,,,
1,2231-004,PANEL A,Panel A - 2 Visits,,0,0,0,0
1,2403-001,PANEL A,Panel A - 2 Visits,,0,0,0,0
1,2433-001,PANEL A,Panel A - 2 Visits,1,0,0,0,0
1,2563-001,PANEL A,Panel A - 2 Visits,,,,,
1,2569-001,PANEL A,Panel A - 2 Visits,,,,,
1,2598-001,PANEL B,Panel B - 2 Visits,1,0,0,0,0
1,2603-001,PANEL A,Panel A - 2 Visits,,0,0,0,0
1,2656-001,PANEL B,Panel B - 2 Visits,1,0,0,0,0
1,2703-001,PANEL A,Panel A - 2 Visits,1,0,0,0,0
1,2777-001,PANEL A,Panel A - 2 Visits,,,,,
1,2788-003,PANEL B,Panel B - 2 Visits,1,0,0,0,0
1,2812-003,PANEL B,Panel B - Combined Visit,1,0,0,0,0
1,2835-001,PANEL A,Panel A - 2 Visits,,,,,
1,2984-001,PANEL B,Panel B - 2 Visits,,,,,
1,3036-001,PANEL B,Panel B - 2 Visits,,,,,
1,3074-002,PANEL B,Panel B - 2 Visits,1,0,0,0,0
1,3143-001,PANEL A,Panel A - 2 Visits,,,,,
1,3155-001,PANEL A,Panel A - 2 Visits,,,,,
