occ,y2_hhid,PID,qx_type,interview_status,hh_c01,hh_c02,hh_c03,hh_c04,hh_c05a,hh_c05b,hh_c06,hh_c08,hh_c09,hh_c11,hh_c12,hh_c13,hh_c15,hh_c16,hh_c17,hh_c18,hh_c19a,hh_c19b,hh_c20,hh_c22a,hh_c22b,hh_c22c,hh_c22d,hh_c22e,hh_c22f,hh_c22g,hh_c22h,hh_c22i,hh_c22j
1,0001-001,000101,PANEL A,Panel A - 2 Visits,1,,SELF-REPORTED,,NO,NO,NO,,,,,,,,,,,,,,,,,,,,,,
2,0001-001,000102,PANEL A,Panel A - 2 Visits,2,,ANOTHER HH MEMBER,1,NO,NO,NO,,,,,,,,,,,,,,,,,,,,,,
3,0001-001,000103,PANEL A,Panel A - 2 Visits,3,,ANOTHER HH MEMBER,1,NO,NO,YES,PRIMARY STANDARD 4,NONE,NO,,NO,2010,,,,,,,,,,,,,,,,
4,0001-001,000104,PANEL A,Panel A - 2 Visits,4,,ANOTHER HH MEMBER,1,NO,NO,YES,PRIMARY STANDARD 3,NONE,NO,,NO,2010,,,,,,,,,,,,,,,,
5,0001-001,000105,PANEL A,Panel A - 2 Visits,5,,ANOTHER HH MEMBER,1,NO,NO,YES,PRIMARY STANDARD 4,NONE,YES,PRIMARY STANDARD 4,YES,,LEA / GOVERNMENT,DAY SCHOLAR,FOOT,30,MINUTE,NO,0,0,0,0,0,0,0,0,0,
6,0001-001,000106,PANEL A,Panel A - 2 Visits,6,,ANOTHER HH MEMBER,1,NO,NO,YES,PRIMARY STANDARD 2,NONE,YES,PRIMARY STANDARD 2,YES,,LEA / GOVERNMENT,DAY SCHOLAR,FOOT,30,MINUTE,NO,0,0,0,0,0,0,0,0,0,
1,0002-001,000201,PANEL B,Panel B - 2 Visits,1,,SELF-REPORTED,,YES,YES,YES,PRIMARY STANDARD 7,NONE,NO,,NO,2005,,,,,,,,,,,,,,,,
2,0002-001,000202,PANEL B,Panel B - 2 Visits,2,,ANOTHER HH MEMBER,1,YES,YES,YES,PRIMARY STANDARD 7,NONE,NO,,NO,2006,,,,,,,,,,,,,,,,
3,0002-001,000203,PANEL B,Panel B - 2 Visits,3,,ANOTHER HH MEMBER,1,YES,NO,YES,PRIMARY STANDARD 2,NONE,YES,PRIMARY STANDARD 1,YES,,LEA / GOVERNMENT,DAY SCHOLAR,FOOT,40,MINUTE,NO,0,0,100,0,0,0,0,0,0,
4,0002-001,000204,PANEL B,Panel B - 2 Visits,4,X,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,0002-001,000200105,PANEL B,Panel B - 2 Visits,5,X,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0003-001,000301,PANEL A,Panel A - 2 Visits,1,,SELF-REPORTED,,YES,YES,YES,PRIMARY STANDARD 3,NONE,NO,,NO,1949,,,,,,,,,,,,,,,,
1,0004-001,000401,PANEL B,Panel B - 2 Visits,1,,SELF-REPORTED,,YES,YES,YES,PRIMARY STANDARD 8,NONE,NO,,NO,1989,,,,,,,,,,,,,,,,
2,0004-001,000402,PANEL B,Panel B - 2 Visits,2,,ANOTHER HH MEMBER,1,YES,YES,YES,PRIMARY STANDARD 8,PSLC,NO,,NO,2007,,,,,,,,,,,,,,,,
3,0004-001,000403,PANEL B,Panel B - 2 Visits,3,,ANOTHER HH MEMBER,1,YES,YES,YES,SECONDARY FORM 4,JCE,YES,SECONDARY FORM 3,YES,,COMMUNITY DAY (CDSS),DAY SCHOLAR,FOOT,30,MINUTE,NO,12250,0,600,0,0,0,0,0,0,
4,0004-001,000404,PANEL B,Panel B - 2 Visits,4,,ANOTHER HH MEMBER,1,YES,YES,YES,SECONDARY FORM 2,PSLC,YES,SECONDARY FORM 1,YES,,COMMUNITY DAY (CDSS),DAY SCHOLAR,FOOT,30,MINUTE,NO,9000,0,500,0,0,0,0,0,0,
