occ,y2_hhid,qx_type,interview_status,ag_i0b,ag_i01,ag_i01_1,ag_i02a,ag_i02b,ag_i02c,ag_i03,ag_i11,ag_i12a,ag_i12b,ag_i12c,ag_i12_1a,ag_i12_1b,ag_i13,ag_i14a,ag_i14b,ag_i15a,ag_i15b,ag_i16,ag_i17,ag_i18,ag_i19,ag_i20,ag_i21a,ag_i21b,ag_i21c,ag_i21_1a,ag_i21_1b,ag_i22,ag_i23a,ag_i23b,ag_i24a,ag_i24b,ag_i25,ag_i26,ag_i27,ag_i31a,ag_i31b,ag_i31c,ag_i32a,ag_i32b,ag_i32c,ag_i33a,ag_i33b,ag_i33c,ag_i34a,ag_i34b,ag_i34c,ag_i35a,ag_i35b,ag_i35c,ag_i36a,ag_i36b,ag_i36c,ag_i36d,ag_i37a,ag_i37b,ag_i38,ag_i39,ag_i40a,ag_i40b,ag_i40c,ag_i41a,ag_i41b,ag_i42a,ag_i42b
1,0001-001,PANEL A,Panel A - 2 Visits,MAIZE HYBRID,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,PAIL (LARGE),SHELLED,0,,,0,,,0,,,10,KILOGRAM,SHELLED,0,,,,,,YES,CHITANDALA OUTSIDE,4,50 KG BAG,SHELLED,DID NOTHING,,FOOD FOR HOUSEHOLD,TO SELL AT A HIGHER PRICE
2,0001-001,PANEL A,Panel A - 2 Visits,MAIZE LOCAL,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0,,,0,,,0,,,10,KILOGRAM,SHELLED,0,,,,,,YES,CHITANDALA OUTSIDE,2,50 KG BAG,SHELLED,DID NOTHING,,FOOD FOR HOUSEHOLD,TO SELL AT A HIGHER PRICE
3,0001-001,PANEL A,Panel A - 2 Visits,GROUNDNUT MANIPINTA,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0,,,0,,,0,,,0,,,0,,,,,,NO,,,,,,,FOOD FOR HOUSEHOLD,TO SELL AT A HIGHER PRICE
1,0002-001,PANEL B,Panel B - 2 Visits,MAIZE HYBRID,YES,1,5,PAIL (LARGE),SHELLED,7500,N03,5,PAIL (LARGE),SHELLED,1,2,7500,1,2,SEPTEMBER,2013,2,ON FOOT,0,NO,,,,,,,,,,,,,,,3,PAIL (LARGE),SHELLED,0,,,0,,,0,,,0,,,0,,,,,,YES,BAGS IN HOUSE,7,PAIL (LARGE),SHELLED,OTHER (SPECIFY),,FOOD FOR HOUSEHOLD,WAIT FOR THE ARRIVAL OF BUYER
1,0003-001,PANEL A,Panel A - 2 Visits,MAIZE LOCAL,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0,,,0,,,0,,,0,,,0,,,,,,YES,HEAPED IN HOUSE,4,PAIL (LARGE),SHELLED,DID NOTHING,,FOOD FOR HOUSEHOLD,TO SELL AT A HIGHER PRICE
1,0004-001,PANEL B,Panel B - 2 Visits,MAIZE HYBRID RECYCLED,YES,1,3,50 KG BAG,SHELLED,18000,N04,3,50 KG BAG,SHELLED,1,,18000,1,,JULY,2013,1,BUYER PICKED UP THE CROP,0,NO,,,,,,,,,,,,,,,2,PAIL (LARGE),SHELLED,0,,,0,,,0,,,0,,,0,,,,,,YES,BAGS IN HOUSE,6,50 KG BAG,SHELLED,OTHER (SPECIFY),,FOOD FOR HOUSEHOLD,WAIT FOR THE ARRIVAL OF BUYER
2,0004-001,PANEL B,Panel B - 2 Visits,GROUNDNUT CG7,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,PAIL (LARGE),UNSHELLED,0,,,0,,,0,,,2,PAIL (LARGE),UNSHELLED,0,,,,,,YES,BAGS IN HOUSE,2,PAIL (LARGE),UNSHELLED,DID NOTHING,,FOOD FOR HOUSEHOLD,WAIT FOR THE ARRIVAL OF BUYER
3,0004-001,PANEL B,Panel B - 2 Visits,SOYABEAN,YES,1,4,PAIL (LARGE),SHELLED,12000,N04,1,50 KG BAG,SHELLED,1,,12000,1,,JULY,2013,1,BUYER PICKED UP THE CROP,0,NO,,,,,,,,,,,,,,,1,PAIL (LARGE),SHELLED,0,,,0,,,0,,,5,KILOGRAM,SHELLED,0,,,,,,YES,BAGS IN HOUSE,1,PAIL (LARGE),SHELLED,DID NOTHING,,FOOD FOR HOUSEHOLD,WAIT FOR THE ARRIVAL OF BUYER
1,0005-001,PANEL A,Panel A - 2 Visits,MAIZE LOCAL,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0,,,0,,,0,,,0,,,0,,,,,,YES,CHITANDALA OUTSIDE,4,50 KG BAG,SHELLED,SPRAYING,,FOOD FOR HOUSEHOLD,WAIT FOR THE ARRIVAL OF BUYER
2,0005-001,PANEL A,Panel A - 2 Visits,MAIZE HYBRID,YES,1,4,50 KG BAG,SHELLED,8500,N03,4,50 KG BAG,SHELLED,1,2,8500,1,2,JUNE,2013,1,BICYCLE TAXI,1000,NO,,,,,,,,,,,,,,,0,,,0,,,0,,,0,,,0,,,0,,,,,,YES,CHITANDALA OUTSIDE,3,50 KG BAG,SHELLED,SPRAYING,,FOOD FOR HOUSEHOLD,WAIT FOR THE ARRIVAL OF BUYER
1,0006-001,PANEL B,Panel B - 2 Visits,MAIZE HYBRID,YES,1,10,PAIL (LARGE),SHELLED,22000,N04,10,PAIL (LARGE),SHELLED,1,2,22000,1,2,AUGUST,2013,1,BUYER PICKED UP THE CROP,0,NO,,,,,,,,,,,,,,,4,PAIL (LARGE),SHELLED,0,,,0,,,0,,,0,,,0,,,,,,YES,BAGS IN HOUSE,20,PAIL (LARGE),SHELLED,SPRAYING,,FOOD FOR HOUSEHOLD,TO SELL AT A HIGHER PRICE
2,0006-001,PANEL B,Panel B - 2 Visits,GROUNDNUT MANIPINTA,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,KILOGRAM,UNSHELLED,0,,,0,,,0,,,0,,,0,,,,,,YES,BAGS IN HOUSE,1,PAIL (SMALL),UNSHELLED,DID NOTHING,,FOOD FOR HOUSEHOLD,
1,0006-003,PANEL B,Panel B - 2 Visits,MAIZE HYBRID RECYCLED,YES,1,10,PAIL (LARGE),SHELLED,20000,N02,10,PAIL (LARGE),SHELLED,1,2,20000,1,2,AUGUST,2013,1,BUYER PICKED UP THE CROP,0,NO,,,,,,,,,,,,,,,0,,,0,,,0,,,0,,,0,,,0,,,,,,YES,BAGS IN HOUSE,5,PAIL (LARGE),SHELLED,SPRAYING,,FOOD FOR HOUSEHOLD,
2,0006-003,PANEL B,Panel B - 2 Visits,GROUNDNUT MANIPINTA,YES,1,20,PAIL (LARGE),UNSHELLED,24000,N02,20,PAIL (LARGE),UNSHELLED,1,2,24000,1,2,JULY,2013,1,BUYER PICKED UP THE CROP,0,NO,,,,,,,,,,,,,,,2,PAIL (LARGE),UNSHELLED,0,,,0,,,0,,,2,PAIL (LARGE),UNSHELLED,0,,,,,,YES,BAGS IN HOUSE,20,PAIL (LARGE),UNSHELLED,DID NOTHING,,FOOD FOR HOUSEHOLD,SEED FOR PLANTING
1,0007-001,PANEL A,Panel A - 2 Visits,MAIZE LOCAL,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0,,,0,,,0,,,20,KILOGRAM,SHELLED,0,,,,,,YES,BAGS IN HOUSE,1,50 KG BAG,SHELLED,SPRAYING,,FOOD FOR HOUSEHOLD,
