case_id,ea_id,lat_modified,lon_modified,dist_road,dist_popcenter,dist_admarc,dist_auction,dist_boma,dist_borderpost,af_bio_1,af_bio_2,af_bio_3,af_bio_4,af_bio_5,af_bio_6,af_bio_7,af_bio_8,af_bio_9,af_bio_10,af_bio_11,af_bio_12,af_bio_13,af_bio_14,af_bio_15,af_bio_16,fsrad3_agpct,fsrad3_lcmaj,ssa_aez09,afmnslp_pct,srtm_eaf,twi_mwi,srtm_eaf_5_15,sq1,sq2,sq3,sq4,sq5,sq6,sq7,anntot_avg,wetq_avg,wetq_avgstart,h2009_tot,h2009_wetq,h2009_wetqstart,h2010_tot,h2010_wetq,h2010_wetqstart,eviarea_avg,grn_avg,sen_avg,h2009_area,h2009_grn,h2009_sen,h2010_area,h2010_grn,h2010_sen,HHID,reside,stratum,hh_wgt,qx_type,hh_a01,hh_a02,hh_a02b,hh_a11,hh_a13,hh_a22_1,hh_a22_2,hh_a23_1,hh_a23a_1,hh_a23b_1,hh_a23c_1,hh_a23_2,hh_a23a_2,hh_a23b_2,hh_a23c_2,hh_a25_1,hh_a25_2,hh_a26_1,hh_a26a_1,hh_a26b_1,hh_a26c_1,hh_a26_2,hh_a26a_2,hh_a26b_2,hh_a26c_2,hh_a31_1,hh_a31_2,hh_a32_1,hh_a32a_1,hh_a32b_1,hh_a32c_1,hh_a32_2,hh_a32a_2,hh_a32b_2,hh_a32c_2,hh_a34_1,hh_a34_2,hh_a35_1,hh_a35a_1,hh_a35b_1,hh_a35c_1,hh_a35_2,hh_a35a_2,hh_a35b_2,hh_a35c_2,hh_g09,hh_m00,hh_o00,hh_s01,hh_w01,int_outcome_1,int_outcome_2,_merge
101010160009,10101016,-9.8099804,33.387299,.62,63.77,13.08,194,23.629999,18.1,208,103,58,1890,296,120,176,214,192,230,181,1144,226,2,99,665,43,Mosaic Vegetation(50-70%)/cropland(20-50%),Tropic-cool/subhumid,2,1310,13,High-altitude Plains,Moderate Constraint,Moderate Constraint,No or Slight Constraint,No or Slight Constraint,No or Slight Constraint,No or Slight Constraint,No or Slight Constraint,1053,749,17.4,1191,884,20,1061,848,18,62.799999,155,242,77.199997,135,250,71.5,148,250,37,rural,North - Rural,430.46121,Panel A,Chitipa,1,Mwabulambya,No,,14,14,14apr2010,14,4,2010,24aug2010,24,8,2010,10,10,15apr2010,15,4,2010,24aug2010,24,8,2010,19,19,24apr2010,24,4,2010,25aug2010,25,8,2010,6,10,22sep2010,22,9,2010,20dec2010,20,12,2010,Yes,Yes,No,No,No,Complete,Complete,both in master and using data
101010160033,10101016,-9.8099804,33.387299,4.7800002,62.189999,9.9200001,196.67,22.780001,16.799999,210,103,58,1854,297,122,175,216,214,232,183,1178,232,3,96,670,4,Open(15-40%)broadleaved decidious forest/woodland(<5m),Tropic-cool/subhumid,2.5,1266,14,High-altitude Plains,Moderate Constraint,No or Slight Constraint,Moderate Constraint,No or Slight Constraint,No or Slight Constraint,No or Slight Constraint,Moderate Constraint,1053,749,17.4,1191,884,20,1061,848,18,62.799999,155,242,77.199997,135,250,71.5,148,250,45,rural,North - Rural,430.46121,Panel A,Chitipa,1,Mwabulambya,No,,12,12,12apr2010,12,4,2010,24aug2010,24,8,2010,10,10,14apr2010,14,4,2010,24aug2010,24,8,2010,19,19,24apr2010,24,4,2010,25aug2010,25,8,2010,6,10,22sep2010,22,9,2010,20dec2010,20,12,2010,No,Yes,Yes,No,No,Complete,Complete,both in master and using data
101010160060,10101016,-9.8099804,33.387299,3.6800001,62.529999,10.66,195.95,22.950001,17.1,209,103,58,1892,297,122,175,215,194,232,182,1174,232,3,97,670,20,Open(15-40%)broadleaved decidious forest/woodland(<5m),Tropic-cool/subhumid,2.3,1284,13,High-altitude Plains,Moderate Constraint,No or Slight Constraint,Moderate Constraint,No or Slight Constraint,No or Slight Constraint,No or Slight Constraint,Moderate Constraint,1053,749,17.4,1191,884,20,1061,848,18,62.799999,155,242,77.199997,135,250,71.5,148,250,35,rural,North - Rural,430.46121,Panel A,Chitipa,1,Mwabulambya,No,,13,13,11apr2010,11,4,2010,24aug2010,24,8,2010,10,10,11apr2010,11,4,2010,25aug2010,25,8,2010,19,19,24apr2010,24,4,2010,25aug2010,25,8,2010,6,10,23sep2010,23,9,2010,21dec2010,21,12,2010,Yes,Yes,Yes,No,No,Complete,Complete,both in master and using data
101010160068,10101016,-9.8099804,33.387299,4.9000001,62.200001,9.79,196.81,22.709999,16.700001,210,103,58,1856,297,122,175,216,213,232,183,1180,233,3,96,671,4,Open(15-40%)broadleaved decidious forest/woodland(<5m),Tropic-cool/subhumid,1.9,1268,15,High-altitude Plains,Moderate Constraint,No or Slight Constraint,Moderate Constraint,No or Slight Constraint,No or Slight Constraint,No or Slight Constraint,Moderate Constraint,1053,749,17.4,1191,884,20,1061,848,18,62.799999,155,242,77.199997,135,250,71.5,148,250,41,rural,North - Rural,430.46121,Panel A,Chitipa,1,Mwabulambya,No,,14,14,12apr2010,12,4,2010,24aug2010,24,8,2010,10,10,15apr2010,15,4,2010,25aug2010,25,8,2010,19,19,24apr2010,24,4,2010,25aug2010,25,8,2010,6,10,22sep2010,22,9,2010,21dec2010,21,12,2010,Yes,Yes,No,No,No,Complete,Complete,both in master and using data
101010160069,10101016,-9.8099804,33.387299,4.7800002,62.189999,9.9200001,196.67999,22.780001,16.799999,210,103,58,1854,297,122,175,216,214,232,183,1178,232,3,96,670,4,Open(15-40%)broadleaved decidious forest/woodland(<5m),Tropic-cool/subhumid,2.5,1266,14,High-altitude Plains,Moderate Constraint,No or Slight Constraint,Moderate Constraint,No or Slight Constraint,No or Slight Constraint,No or Slight Constraint,Moderate Constraint,1053,749,17.4,1191,884,20,1061,848,18,62.799999,155,242,77.199997,135,250,71.5,148,250,61,rural,North - Rural,430.46121,Panel A,Chitipa,1,Mwabulambya,No,,12,12,11apr2010,11,4,2010,24aug2010,24,8,2010,10,10,12apr2010,12,4,2010,24aug2010,24,8,2010,19,19,24apr2010,24,4,2010,25aug2010,25,8,2010,6,10,21sep2010,21,9,2010,20dec2010,20,12,2010,Yes,Yes,No,No,No,Complete,Complete,both in master and using data
101010160070,10101016,-9.8099804,33.387299,4.6799998,61.959999,10.32,196.28,23.120001,17.200001,210,103,58,1854,297,122,175,216,214,232,183,1178,232,3,96,670,6,Open(15-40%)broadleaved decidious forest/woodland(<5m),Tropic-cool/subhumid,2.5,1276,13,High-altitude Plains,Moderate Constraint,No or Slight Constraint,Moderate Constraint,No or Slight Constraint,No or Slight Constraint,No or Slight Constraint,Moderate Constraint,1053,749,17.4,1191,884,20,1061,848,18,62.799999,155,242,77.199997,135,250,71.5,148,250,51,rural,North - Rural,430.46121,Panel A,Chitipa,1,Mwabulambya,No,,11,11,12apr2010,12,4,2010,24aug2010,24,8,2010,10,10,15apr2010,15,4,2010,24aug2010,24,8,2010,19,19,24apr2010,24,4,2010,25aug2010,25,8,2010,6,10,22sep2010,22,9,2010,21dec2010,21,12,2010,Yes,Yes,Yes,Yes,No,Complete,Complete,both in master and using data
101010160074,10101016,-9.8099804,33.387299,4.2199998,62.009998,10.73,195.86,23.299999,17.4,210,103,58,1854,297,122,175,216,214,232,183,1178,232,3,96,670,16,Open(15-40%)broadleaved decidious forest/woodland(<5m),Tropic-cool/subhumid,2.5,1282,13,High-altitude Plains,Moderate Constraint,No or Slight Constraint,Moderate Constraint,No or Slight Constraint,No or Slight Constraint,No or Slight Constraint,Moderate Constraint,1053,749,17.4,1191,884,20,1061,848,18,62.799999,155,242,77.199997,135,250,71.5,148,250,57,rural,North - Rural,430.46121,Panel A,Chitipa,1,Mwabulambya,No,,14,14,11apr2010,11,4,2010,24aug2010,24,8,2010,10,10,14apr2010,14,4,2010,24aug2010,24,8,2010,19,19,24apr2010,24,4,2010,25aug2010,25,8,2010,6,10,22sep2010,22,9,2010,21dec2010,21,12,2010,Yes,Yes,Yes,No,No,Complete,Complete,both in master and using data
101010160086,10101016,-9.8099804,33.387299,3.78,62.25,10.9,195.7,23.25,17.4,209,103,58,1892,297,122,175,215,194,232,182,1174,232,3,97,670,18,Open(15-40%)broadleaved decidious forest/woodland(<5m),Tropic-cool/subhumid,2.3,1285,15,High-altitude Plains,Moderate Constraint,No or Slight Constraint,Moderate Constraint,No or Slight Constraint,No or Slight Constraint,No or Slight Constraint,Moderate Constraint,1053,749,17.4,1191,884,20,1061,848,18,62.799999,155,242,77.199997,135,250,71.5,148,250,55,rural,North - Rural,430.46121,Panel A,Chitipa,1,Mwabulambya,No,,11,11,11apr2010,11,4,2010,24aug2010,24,8,2010,10,10,15apr2010,15,4,2010,25aug2010,25,8,2010,19,19,24apr2010,24,4,2010,25aug2010,25,8,2010,6,10,22sep2010,22,9,2010,21dec2010,21,12,2010,No,Yes,Yes,No,No,Complete,Complete,both in master and using data
101010160096,10101016,-9.8099804,33.387299,4.1799998,61.919998,10.88,195.71001,23.440001,17.5,209,103,58,1892,297,122,175,215,194,232,182,1174,232,3,97,670,16,Open(15-40%)broadleaved decidious forest/woodland(<5m),Tropic-cool/subhumid,2.3,1277,16,High-altitude Plains,Moderate Constraint,No or Slight Constraint,Moderate Constraint,No or Slight Constraint,No or Slight Constraint,No or Slight Constraint,Moderate Constraint,1053,749,17.4,1191,884,20,1061,848,18,62.799999,155,242,77.199997,135,250,71.5,148,250,47,rural,North - Rural,430.46121,Panel A,Chitipa,1,Mwabulambya,No,,14,14,13apr2010,13,4,2010,24aug2010,24,8,2010,10,10,16apr2010,16,4,2010,25aug2010,25,8,2010,19,19,24apr2010,24,4,2010,25aug2010,25,8,2010,6,10,22sep2010,22,9,2010,20dec2010,20,12,2010,No,Yes,Yes,No,No,Complete,Complete,both in master and using data
101010160143,10101016,-9.8099804,33.387299,1.22,63.34,12.8,194.13,23.700001,18.1,208,103,58,1876,296,120,176,214,193,230,181,1152,227,2,98,666,35,Mosaic Vegetation(50-70%)/cropland(20-50%),Tropic-cool/subhumid,2.7,1308,14,Mid-altitude Plateaus,Moderate Constraint,No or Slight Constraint,Moderate Constraint,No or Slight Constraint,No or Slight Constraint,No or Slight Constraint,Moderate Constraint,1053,749,17.4,1191,884,20,1061,848,18,62.799999,155,242,77.199997,135,250,71.5,148,250,63,rural,North - Rural,430.46121,Panel A,Chitipa,1,Mwabulambya,No,,11,11,12apr2010,12,4,2010,24aug2010,24,8,2010,10,10,13apr2010,13,4,2010,24aug2010,24,8,2010,19,19,24apr2010,24,4,2010,25aug2010,25,8,2010,6,10,22sep2010,22,9,2010,20dec2010,20,12,2010,No,Yes,No,No,No,Complete,Complete,both in master and using data
