occ,y2_hhid,qx_type,interview_status,ag_nr00,ag_nr02,ag_nr03
1,0001-001,PANEL A,Panel A - 2 Visits,N01,VILLAGE HEADMAN,WITHIN THE VILLAGE
2,0001-001,PANEL A,Panel A - 2 Visits,N02,AGRICULTURAL COOPERATIVE,NEAR THE VILLAGE
3,0001-001,PANEL A,Panel A - 2 Visits,N03,MOBILE MARKET,NEAR THE VILLAGE
4,0001-001,PANEL A,Panel A - 2 Visits,N04,FRIEND/NEIGHBOR,NEAR THE VILLAGE
1,0002-001,PANEL B,Panel B - 2 Visits,N01,VILLAGE OPEN FORUM,NEAR THE VILLAGE
2,0002-001,PANEL B,Panel B - 2 Visits,N02,PARASTATAL ORGANIZATION,NEAR THE VILLAGE
3,0002-001,PANEL B,Panel B - 2 Visits,N03,LOCAL MARKET,NEAR THE VILLAGE
1,0003-001,PANEL A,Panel A - 2 Visits,N01,AGRICULTURAL COOPERATIVE,NEAR THE VILLAGE
1,0004-001,PANEL B,Panel B - 2 Visits,N01,AGRICULTURAL COOPERATIVE,NEAR THE DISTRICT/URBAN CENTER
2,0004-001,PANEL B,Panel B - 2 Visits,N02,MOBILE MARKET,WITHIN THE VILLAGE
3,0004-001,PANEL B,Panel B - 2 Visits,N03,RELATIVE,WITHIN THE VILLAGE
4,0004-001,PANEL B,Panel B - 2 Visits,N04,PRIVATE COMPANY/BUSINESS PERSON,WITHIN THE VILLAGE
1,0005-001,PANEL A,Panel A - 2 Visits,N01,AGRICULTURAL COOPERATIVE,NEAR THE VILLAGE
2,0005-001,PANEL A,Panel A - 2 Visits,N02,FRIEND/NEIGHBOR,WITHIN THE VILLAGE
3,0005-001,PANEL A,Panel A - 2 Visits,N03,PRIVATE TRADER IN MAIN MARKET,NEAR THE VILLAGE
1,0006-001,PANEL B,Panel B - 2 Visits,N01,VILLAGE OPEN FORUM,WITHIN THE VILLAGE
2,0006-001,PANEL B,Panel B - 2 Visits,N02,AGRICULTURAL COOPERATIVE,NEAR THE VILLAGE
3,0006-001,PANEL B,Panel B - 2 Visits,N03,RELATIVE,WITHIN THE VILLAGE
4,0006-001,PANEL B,Panel B - 2 Visits,N04,MOBILE MARKET,NEAR THE VILLAGE
1,0006-003,PANEL B,Panel B - 2 Visits,N01,RELATIVE,WITHIN THE VILLAGE
2,0006-003,PANEL B,Panel B - 2 Visits,N02,MOBILE MARKET,WITHIN THE VILLAGE
1,0007-001,PANEL A,Panel A - 2 Visits,N01,VILLAGE HEADMAN,WITHIN THE VILLAGE
2,0007-001,PANEL A,Panel A - 2 Visits,N02,LOCAL MERCHANT/GROCERY,WITHIN THE VILLAGE
1,0008-001,PANEL B,Panel B - 2 Visits,N01,MOBILE MARKET,NEAR THE VILLAGE
2,0008-001,PANEL B,Panel B - 2 Visits,N02,FRIEND/NEIGHBOR,NEAR THE VILLAGE
1,0008-003,PANEL B,Panel B - 2 Visits,N01,FRIEND/NEIGHBOR,WITHIN THE VILLAGE
2,0008-003,PANEL B,Panel B - 2 Visits,N02,MOBILE MARKET,NEAR THE VILLAGE
1,0009-001,PANEL A,Panel A - 2 Visits,N01,VILLAGE HEADMAN,WITHIN THE VILLAGE
2,0009-001,PANEL A,Panel A - 2 Visits,N02,AGRICULTURAL COOPERATIVE,WITHIN THE VILLAGE
1,0010-001,PANEL B,Panel B - 2 Visits,,,
1,0011-001,PANEL A,Panel A - 2 Visits,N01,VILLAGE OPEN FORUM,WITHIN THE VILLAGE
2,0011-001,PANEL A,Panel A - 2 Visits,N02,PARASTATAL ORGANIZATION,NEAR THE VILLAGE
3,0011-001,PANEL A,Panel A - 2 Visits,N03,ROADSIDE,WITHIN THE VILLAGE
1,0012-001,PANEL B,Panel B - 2 Visits,N01,AGRICULTURAL COOPERATIVE,NEAR THE DISTRICT/URBAN CENTER
2,0012-001,PANEL B,Panel B - 2 Visits,N02,MOBILE MARKET,WITHIN THE VILLAGE
1,0012-003,PANEL B,Panel B - 2 Visits,N01,AGRICULTURAL COOPERATIVE,NEAR THE DISTRICT/URBAN CENTER
2,0012-003,PANEL B,Panel B - 2 Visits,N02,MOBILE MARKET,WITHIN THE VILLAGE
1,0012-010,PANEL B,Panel B - 2 Visits,N01,MOBILE MARKET,WITHIN THE VILLAGE
2,0012-010,PANEL B,Panel B - 2 Visits,N02,FRIEND/NEIGHBOR,WITHIN THE VILLAGE
1,0013-001,PANEL A,Panel A - 2 Visits,N01,VILLAGE OPEN FORUM,NEAR THE VILLAGE
2,0013-001,PANEL A,Panel A - 2 Visits,N02,PARASTATAL ORGANIZATION,NEAR THE VILLAGE
3,0013-001,PANEL A,Panel A - 2 Visits,N03,PRIVATE TRADER IN LOCAL MARKET,NEAR THE TOWN
1,0014-001,PANEL B,Panel B - 2 Visits,N01,FRIEND/NEIGHBOR,WITHIN THE VILLAGE
2,0014-001,PANEL B,Panel B - 2 Visits,N02,RELATIVE,NEAR THE VILLAGE
3,0014-001,PANEL B,Panel B - 2 Visits,N03,VILLAGE OPEN FORUM,NEAR THE VILLAGE
4,0014-001,PANEL B,Panel B - 2 Visits,N04,PARASTATAL ORGANIZATION,NEAR THE VILLAGE
5,0014-001,PANEL B,Panel B - 2 Visits,N05,ROADSIDE,WITHIN THE VILLAGE
1,0015-001,PANEL A,Panel A - 2 Visits,N01,VILLAGE OPEN FORUM,NEAR THE VILLAGE
2,0015-001,PANEL A,Panel A - 2 Visits,N02,PARASTATAL ORGANIZATION,NEAR THE VILLAGE
3,0015-001,PANEL A,Panel A - 2 Visits,N03,LOCAL MARKET,NEAR THE VILLAGE
4,0015-001,PANEL A,Panel A - 2 Visits,N04,RELATIVE,WITHIN THE VILLAGE
5,0015-001,PANEL A,Panel A - 2 Visits,N05,RELATIVE,WITHIN THE VILLAGE
6,0015-001,PANEL A,Panel A - 2 Visits,N06,ROADSIDE,WITHIN THE VILLAGE
1,0016-001,PANEL B,Panel B - 2 Visits,N01,FRIEND/NEIGHBOR,WITHIN THE VILLAGE
2,0016-001,PANEL B,Panel B - 2 Visits,N02,FRIEND/NEIGHBOR,WITHIN THE VILLAGE
3,0016-001,PANEL B,Panel B - 2 Visits,N03,FRIEND/NEIGHBOR,WITHIN THE VILLAGE
4,0016-001,PANEL B,Panel B - 2 Visits,N04,FRIEND/NEIGHBOR,WITHIN THE VILLAGE
5,0016-001,PANEL B,Panel B - 2 Visits,N05,FARMER BASED CLUB/ASSOCIATION,NEAR THE TOWN
6,0016-001,PANEL B,Panel B - 2 Visits,N06,RELATIVE,OUTSIDE THE DISTRICT
7,0016-001,PANEL B,Panel B - 2 Visits,N07,MOBILE MARKET,NEAR THE VILLAGE
8,0016-001,PANEL B,Panel B - 2 Visits,N08,FRIEND/NEIGHBOR,WITHIN THE VILLAGE
9,0016-001,PANEL B,Panel B - 2 Visits,N09,FRIEND/NEIGHBOR,WITHIN THE VILLAGE
10,0016-001,PANEL B,Panel B - 2 Visits,N10,FRIEND/NEIGHBOR,WITHIN THE VILLAGE
11,0016-001,PANEL B,Panel B - 2 Visits,N11,FRIEND/NEIGHBOR,WITHIN THE VILLAGE
1,0017-001,PANEL A,Panel A - 2 Visits,N01,VILLAGE HEADMAN,WITHIN THE VILLAGE
2,0017-001,PANEL A,Panel A - 2 Visits,N02,AGRICULTURAL COOPERATIVE,NEAR THE VILLAGE
3,0017-001,PANEL A,Panel A - 2 Visits,N03,RELATIVE,WITHIN THE VILLAGE
4,0017-001,PANEL A,Panel A - 2 Visits,N04,GOVERNMENT AGENCY,NEAR THE VILLAGE
1,0018-001,PANEL B,Panel B - 2 Visits,N01,VILLAGE OPEN FORUM,WITHIN THE VILLAGE
2,0018-001,PANEL B,Panel B - 2 Visits,N02,PARASTATAL ORGANIZATION,WITHIN THE VILLAGE
3,0018-001,PANEL B,Panel B - 2 Visits,N03,FRIEND/NEIGHBOR,WITHIN THE VILLAGE
4,0018-001,PANEL B,Panel B - 2 Visits,N04,LOCAL MARKET,NEAR THE VILLAGE
1,0019-001,PANEL A,Panel A - 2 Visits,N01,OTHER (SPECIFY),WITHIN THE VILLAGE
2,0019-001,PANEL A,Panel A - 2 Visits,N02,AGRICULTURAL COOPERATIVE,NEAR THE VILLAGE
3,0019-001,PANEL A,Panel A - 2 Visits,N03,FRIEND/NEIGHBOR,WITHIN THE VILLAGE
1,0020-001,PANEL B,Panel B - 2 Visits,N01,AGRICULTURAL COOPERATIVE,NEAR THE DISTRICT/URBAN CENTER
2,0020-001,PANEL B,Panel B - 2 Visits,N02,MOBILE MARKET,WITHIN THE VILLAGE
1,0021-001,PANEL A,Panel A - 2 Visits,N01,RELATIVE,WITHIN THE VILLAGE
2,0021-001,PANEL A,Panel A - 2 Visits,N02,MOBILE MARKET,WITHIN THE VILLAGE
1,0022-001,PANEL B,Panel B - 2 Visits,,,
1,0023-001,PANEL A,Panel A - 2 Visits,N01,OTHER (SPECIFY),WITHIN THE VILLAGE
2,0023-001,PANEL A,Panel A - 2 Visits,N02,AGRICULTURAL COOPERATIVE,NEAR THE VILLAGE
3,0023-001,PANEL A,Panel A - 2 Visits,N03,FRIEND/NEIGHBOR,WITHIN THE VILLAGE
1,0024-001,PANEL B,Panel B - 2 Visits,N01,LOCAL MARKET,NEAR THE VILLAGE
1,0025-001,PANEL A,Panel A - 2 Visits,N01,FARMER BASED CLUB/ASSOCIATION,NEAR THE DISTRICT/URBAN CENTER
2,0025-001,PANEL A,Panel A - 2 Visits,N02,LOCAL MARKET,NEAR THE VILLAGE
3,0025-001,PANEL A,Panel A - 2 Visits,N03,ROADSIDE,WITHIN THE VILLAGE
4,0025-001,PANEL A,Panel A - 2 Visits,N04,PRIVATE TRADER IN LOCAL MARKET,WITHIN THE VILLAGE
1,0026-001,PANEL B,Panel B - 2 Visits,N01,VILLAGE OPEN FORUM,WITHIN THE VILLAGE
2,0026-001,PANEL B,Panel B - 2 Visits,N02,AGRICULTURAL COOPERATIVE,WITHIN THE VILLAGE
3,0026-001,PANEL B,Panel B - 2 Visits,N03,MOBILE MARKET,NEAR THE VILLAGE
4,0026-001,PANEL B,Panel B - 2 Visits,N04,LOCAL MARKET,WITHIN THE VILLAGE
1,0027-001,PANEL A,Panel A - 2 Visits,N01,MOBILE MARKET,WITHIN THE VILLAGE
1,0028-001,PANEL B,Panel B - 2 Visits,N01,ROADSIDE,WITHIN THE VILLAGE
2,0028-001,PANEL B,Panel B - 2 Visits,N02,RELATIVE,WITHIN THE VILLAGE
1,0029-001,PANEL A,Panel A - 2 Visits,N01,VILLAGE OPEN FORUM,WITHIN THE VILLAGE
2,0029-001,PANEL A,Panel A - 2 Visits,N02,AGRICULTURAL COOPERATIVE,NEAR THE VILLAGE
3,0029-001,PANEL A,Panel A - 2 Visits,N03,MOBILE MARKET,NEAR THE VILLAGE
1,0030-001,PANEL B,Panel B - 2 Visits,N01,VILLAGE HEADMAN,WITHIN THE VILLAGE
2,0030-001,PANEL B,Panel B - 2 Visits,N02,GOVERNMENT AGENCY,NEAR THE VILLAGE
3,0030-001,PANEL B,Panel B - 2 Visits,N03,AGRICULTURAL COOPERATIVE,NEAR THE VILLAGE
4,0030-001,PANEL B,Panel B - 2 Visits,N04,RELATIVE,WITHIN THE VILLAGE
1,0031-001,PANEL A,Panel A - 2 Visits,N01,VILLAGE OPEN FORUM,WITHIN THE VILLAGE
2,0031-001,PANEL A,Panel A - 2 Visits,N02,AGRICULTURAL COOPERATIVE,NEAR THE VILLAGE
3,0031-001,PANEL A,Panel A - 2 Visits,N03,MOBILE MARKET,WITHIN THE VILLAGE
1,0032-001,PANEL B,Panel B - 2 Visits,N01,PRIVATE TRADER IN LOCAL MARKET,NEAR THE VILLAGE
1,0033-001,PANEL A,Panel A - 2 Visits,N01,PRIVATE TRADER IN MAIN MARKET,NEAR THE TOWN
2,0033-001,PANEL A,Panel A - 2 Visits,N02,LOCAL MARKET,NEAR THE DISTRICT/URBAN CENTER
1,0034-001,PANEL B,Panel B - 2 Visits,N01,FRIEND/NEIGHBOR,WITHIN THE VILLAGE
2,0034-001,PANEL B,Panel B - 2 Visits,N02,LOCAL MARKET,NEAR THE TOWN
1,0035-001,PANEL A,Panel A - 2 Visits,N01,MOBILE MARKET,NEAR THE VILLAGE
2,0035-001,PANEL A,Panel A - 2 Visits,N02,LOCAL MARKET,NEAR THE VILLAGE
1,0036-001,PANEL B,Panel B - 2 Visits,N01,VILLAGE OPEN FORUM,WITHIN THE VILLAGE
