HHID,case_id,qx_type,visit,ea_id,ag_t0c,ag_t0e,ag_t05a,ag_t05b,ag_t05c,ag_t05d,ag_t06a,ag_t06b,ag_t07,ag_t08,ag_t09,ag_t10,ag_t11
37,101010160009,Panel A,2,10101016,Village Agricultural Extension Meeting,,,,,,,,,,,,
37,101010160009,Panel A,2,10101016,Paper Media (Handouts / Flyers),,,,,,,,,,,,
37,101010160009,Panel A,2,10101016,NGO,,,,,,,,,,,,
37,101010160009,Panel A,2,10101016,Private Agricultural Extension Service,,,,,,,,,,,,
37,101010160009,Panel A,2,10101016,Gov. Fishery Extension Service,,,,,,,,,,,,
37,101010160009,Panel A,2,10101016,Other (Specify),,,,,,,,,,,,
37,101010160009,Panel A,2,10101016,Gov. Agricultural Extension Service,X,1,2,,,1,0,1,,NO,,
37,101010160009,Panel A,2,10101016,Lead Farmer,,,,,,,,,,,,
37,101010160009,Panel A,2,10101016,Farmer Field Days/Field School,,,,,,,,,,,,
37,101010160009,Panel A,2,10101016,Other Farmer (Neighbor/Relative),,,,,,,,,,,,
37,101010160009,Panel A,2,10101016,"Electronic Media (TV, Radio, Etc…)",,,,,,,,,,,,
37,101010160009,Panel A,2,10101016,Fishing Coop,,,,,,,,,,,,
37,101010160009,Panel A,2,10101016,Agricultural Extension Course,,,,,,,,,,,,
37,101010160009,Panel A,2,10101016,Agricultural Coop/Farmers' Assoc,,,,,,,,,,,,
45,101010160033,Panel A,2,10101016,Farmer Field Days/Field School,,,,,,,,,,,,
45,101010160033,Panel A,2,10101016,Paper Media (Handouts / Flyers),,,,,,,,,,,,
45,101010160033,Panel A,2,10101016,Other (Specify),,,,,,,,,,,,
45,101010160033,Panel A,2,10101016,Village Agricultural Extension Meeting,X,1,2,,,,,,3,NO,,
45,101010160033,Panel A,2,10101016,"Electronic Media (TV, Radio, Etc…)",,,,,,,,,,,,
45,101010160033,Panel A,2,10101016,Other Farmer (Neighbor/Relative),,,,,,,,,,,,
45,101010160033,Panel A,2,10101016,Private Agricultural Extension Service,,,,,,,,,,,,
45,101010160033,Panel A,2,10101016,Gov. Fishery Extension Service,,,,,,,,,,,,
45,101010160033,Panel A,2,10101016,NGO,,,,,,,,,,,,
45,101010160033,Panel A,2,10101016,Agricultural Extension Course,,,,,,,,,,,,
45,101010160033,Panel A,2,10101016,Lead Farmer,,,,,,,,,,,,
45,101010160033,Panel A,2,10101016,Agricultural Coop/Farmers' Assoc,,,,,,,,,,,,
45,101010160033,Panel A,2,10101016,Fishing Coop,,,,,,,,,,,,
45,101010160033,Panel A,2,10101016,Gov. Agricultural Extension Service,,,,,,,,,,,,
35,101010160060,Panel A,2,10101016,Gov. Fishery Extension Service,,,,,,,,,,,,
35,101010160060,Panel A,2,10101016,Agricultural Coop/Farmers' Assoc,,,,,,,,,,,,
35,101010160060,Panel A,2,10101016,Fishing Coop,,,,,,,,,,,,
35,101010160060,Panel A,2,10101016,Agricultural Extension Course,,,,,,,,,,,,
35,101010160060,Panel A,2,10101016,Village Agricultural Extension Meeting,X,1,2,3,,,,,4,NO,,
35,101010160060,Panel A,2,10101016,Paper Media (Handouts / Flyers),,,,,,,,,,,,
35,101010160060,Panel A,2,10101016,"Electronic Media (TV, Radio, Etc…)",,,,,,,,,,,,
35,101010160060,Panel A,2,10101016,Farmer Field Days/Field School,,,,,,,,,,,,
35,101010160060,Panel A,2,10101016,Other (Specify),,,,,,,,,,,,
35,101010160060,Panel A,2,10101016,Lead Farmer,,,,,,,,,,,,
35,101010160060,Panel A,2,10101016,Gov. Agricultural Extension Service,,,,,,,,,,,,
35,101010160060,Panel A,2,10101016,NGO,,,,,,,,,,,,
35,101010160060,Panel A,2,10101016,Private Agricultural Extension Service,,,,,,,,,,,,
