occ,ea_id,com_ck00a,com_ck00b,com_ck00c,com_ck00b1,com_ck00b2,com_ck00b3
1,10101016,CK1,Maize grain,1,2400,1,5
2,10101016,CK3,Cost to grind 50 kg,1,4500,,
3,10101016,CK4,Cost to grind 50 kg,2,,,
4,10101016,CK22,Bar soap (Maluwa),1,65,1,9
5,10101016,CK23,Toothbrush,1,35,50,18
6,10101016,CK24,Toothpaste (50 g tub,1,800,500,18
7,10101016,CK25,"Clothes soap (Omo, S",1,250,50,19
8,10101016,CK26,Vaseline/glycerin,1,10,10,18
9,10101016,CK27,Aspirin or Panadol,2,,,
10,10101016,CK28,Fansidar (3 tablet p,2,,,
11,10101016,CK29,Chitenje cloth,1,2200,1,9
12,10101016,CK30,Trousers (kaunjika),1,200,,
13,10101016,CK31,"Coca-Cola, Fanta (bo",1,150,,
14,10101016,CK32,Carlsberg beer (bott,1,350,,
15,10101016,CK33,"Cigarettes, Embassy",1,25,,
16,10101016,CK34,Battery (dry cell) f,1,80,,
17,10101016,CK35,"Watch, digital (simp",1,1300,,
18,10101016,CK36,Firewood,1,100,1,10
19,10101016,CK37,Charcoal,1,700,50,1
20,10101016,CK38,Paraffin,2,,,
21,10101016,CK39,Chemical fertilizer,1,12800,50,1
22,10101016,CK40,Pesticides/Insectici,2,,,
23,10101016,CK41,Herbicides/Fungicide,2,,,
24,10101016,CK42,Motorized transport,1,150,,
25,10101016,CK43,Hybrid maize seed (m,1,2300,5,1
26,10101016,CK44,"Hand hoe, without ha",1,1200,,
27,10101016,CK45,Panga,1,1000,,
28,10101016,CK46,Sickle,1,450,,
29,10101016,CK47,Axe,1,1500,,
30,10101016,CK48,Bicycle,1,40000,,
31,10101016,CK49,Foam mattress (10 cm,1,10500,,
32,10101016,CK50,"Mosquito net (white,",1,3200,,
1,10101204,CK1,Maize grain,1,1800,1,5
2,10101204,CK3,Cost to grind 50 kg,1,4800,,
3,10101204,CK4,Cost to grind 50 kg,1,12500,,
4,10101204,CK22,Bar soap (Maluwa),1,80,1,9
5,10101204,CK23,Toothbrush,1,50,1,9
6,10101204,CK24,Toothpaste (50 g tub,1,150,50,18
7,10101204,CK25,"Clothes soap (Omo, S",1,450,500,18
8,10101204,CK26,Vaseline/glycerin,1,150,110,19
9,10101204,CK27,Aspirin or Panadol,1,30,10,18
10,10101204,CK28,Fansidar (3 tablet p,2,,,
11,10101204,CK29,Chitenje cloth,1,1000,1,9
12,10101204,CK30,Trousers (kaunjika),1,1000,,
13,10101204,CK31,"Coca-Cola, Fanta (bo",1,130,,
14,10101204,CK32,Carlsberg beer (bott,1,330,,
15,10101204,CK33,"Cigarettes, Embassy",1,20,,
16,10101204,CK34,Battery (dry cell) f,1,80,,
17,10101204,CK35,"Watch, digital (simp",1,550,,
18,10101204,CK36,Firewood,1,100,1,8
19,10101204,CK37,Charcoal,1,60,1,23
20,10101204,CK38,Paraffin,1,50,100,19
21,10101204,CK39,Chemical fertilizer,2,,,
22,10101204,CK40,Pesticides/Insectici,1,650,1,500
23,10101204,CK41,Herbicides/Fungicide,2,,,
24,10101204,CK42,Motorized transport,1,250,,
25,10101204,CK43,Hybrid maize seed (m,1,3500,5,1
26,10101204,CK44,"Hand hoe, without ha",1,2800,,
27,10101204,CK45,Panga,1,750,,
28,10101204,CK46,Sickle,1,500,,
29,10101204,CK47,Axe,1,800,,
30,10101204,CK48,Bicycle,1,3000,,
31,10101204,CK49,Foam mattress (10 cm,2,,,
32,10101204,CK50,"Mosquito net (white,",2,,,
1,10101215,CK1,Maize grain,1,700,1,5
2,10101215,CK3,Cost to grind 50 kg,1,4500,,
3,10101215,CK4,Cost to grind 50 kg,2,,,
4,10101215,CK22,Bar soap (Maluwa),1,90,1,9
5,10101215,CK23,Toothbrush,1,30,1,9
6,10101215,CK24,Toothpaste (50 g tub,1,375,50,18
7,10101215,CK25,"Clothes soap (Omo, S",1,150,100,18
8,10101215,CK26,Vaseline/glycerin,1,80,50,18
9,10101215,CK27,Aspirin or Panadol,1,15,10,18
10,10101215,CK28,Fansidar (3 tablet p,2,,,
11,10101215,CK29,Chitenje cloth,1,2000,1,9
12,10101215,CK30,Trousers (kaunjika),1,1500,,
13,10101215,CK31,"Coca-Cola, Fanta (bo",1,120,,
14,10101215,CK32,Carlsberg beer (bott,1,250,,
15,10101215,CK33,"Cigarettes, Embassy",1,25,,
16,10101215,CK34,Battery (dry cell) f,1,80,,
17,10101215,CK35,"Watch, digital (simp",1,100,,
18,10101215,CK36,Firewood,1,100,1,10
19,10101215,CK37,Charcoal,1,600,50,1
20,10101215,CK38,Paraffin,1,30,50,19
21,10101215,CK39,Chemical fertilizer,1,17000,50,1
22,10101215,CK40,Pesticides/Insectici,1,1000,200,19
23,10101215,CK41,Herbicides/Fungicide,1,1000,200,19
24,10101215,CK42,Motorized transport,1,300,,
25,10101215,CK43,Hybrid maize seed (m,1,6200,10,1
26,10101215,CK44,"Hand hoe, without ha",1,1500,,
27,10101215,CK45,Panga,1,1200,,
28,10101215,CK46,Sickle,1,500,,
29,10101215,CK47,Axe,1,2000,,
30,10101215,CK48,Bicycle,1,40000,,
31,10101215,CK49,Foam mattress (10 cm,1,12000,,
32,10101215,CK50,"Mosquito net (white,",1,3000,,
1,10101562,CK1,Maize grain,1,1600,1,5
2,10101562,CK3,Cost to grind 50 kg,1,4600,,
3,10101562,CK4,Cost to grind 50 kg,2,,,
4,10101562,CK22,Bar soap (Maluwa),1,80,1,9
5,10101562,CK23,Toothbrush,1,100,1,9
6,10101562,CK24,Toothpaste (50 g tub,1,450,50,18
7,10101562,CK25,"Clothes soap (Omo, S",1,80,50,18
8,10101562,CK26,Vaseline/glycerin,1,140,50,19
9,10101562,CK27,Aspirin or Panadol,1,30,20,18
10,10101562,CK28,Fansidar (3 tablet p,2,,,
11,10101562,CK29,Chitenje cloth,1,700,1,9
12,10101562,CK30,Trousers (kaunjika),1,2000,,
13,10101562,CK31,"Coca-Cola, Fanta (bo",1,130,,
14,10101562,CK32,Carlsberg beer (bott,1,330,,
15,10101562,CK33,"Cigarettes, Embassy",1,30,,
16,10101562,CK34,Battery (dry cell) f,1,90,,
17,10101562,CK35,"Watch, digital (simp",1,650,,
18,10101562,CK36,Firewood,2,,,
19,10101562,CK37,Charcoal,2,,,
20,10101562,CK38,Paraffin,1,150,200,19
21,10101562,CK39,Chemical fertilizer,1,12800,50,1
22,10101562,CK40,Pesticides/Insectici,2,,,
23,10101562,CK41,Herbicides/Fungicide,2,,,
24,10101562,CK42,Motorized transport,1,250,,
25,10101562,CK43,Hybrid maize seed (m,1,3800,5,2
26,10101562,CK44,"Hand hoe, without ha",1,2800,,
27,10101562,CK45,Panga,1,1500,,
28,10101562,CK46,Sickle,1,1000,,
29,10101562,CK47,Axe,1,1800,,
30,10101562,CK48,Bicycle,2,,,
31,10101562,CK49,Foam mattress (10 cm,2,,,
32,10101562,CK50,"Mosquito net (white,",2,,,
1,10102004,CK1,Maize grain,1,3000,1,1
2,10102004,CK3,Cost to grind 50 kg,1,2600,,
3,10102004,CK4,Cost to grind 50 kg,1,13500,,
4,10102004,CK22,Bar soap (Maluwa),1,60,1,9
5,10102004,CK23,Toothbrush,1,15,1,9
6,10102004,CK24,Toothpaste (50 g tub,1,100,50,18
7,10102004,CK25,"Clothes soap (Omo, S",1,100,100,18
8,10102004,CK26,Vaseline/glycerin,1,250,100,18
9,10102004,CK27,Aspirin or Panadol,1,10,10,18
10,10102004,CK28,Fansidar (3 tablet p,1,15,10,18
11,10102004,CK29,Chitenje cloth,1,1000,1,9
12,10102004,CK30,Trousers (kaunjika),1,1200,,
13,10102004,CK31,"Coca-Cola, Fanta (bo",1,150,,
14,10102004,CK32,Carlsberg beer (bott,1,350,,
15,10102004,CK33,"Cigarettes, Embassy",1,20,,
16,10102004,CK34,Battery (dry cell) f,1,90,,
17,10102004,CK35,"Watch, digital (simp",1,300,,
18,10102004,CK36,Firewood,1,500,1,10
19,10102004,CK37,Charcoal,1,550,150,1
20,10102004,CK38,Paraffin,1,300,300,19
21,10102004,CK39,Chemical fertilizer,1,2100,50,1
22,10102004,CK40,Pesticides/Insectici,1,200,200,18
23,10102004,CK41,Herbicides/Fungicide,1,200,200,18
24,10102004,CK42,Motorized transport,1,1000,,
25,10102004,CK43,Hybrid maize seed (m,1,2500,5,1
26,10102004,CK44,"Hand hoe, without ha",1,3500,,
27,10102004,CK45,Panga,1,1000,,
28,10102004,CK46,Sickle,1,1000,,
29,10102004,CK47,Axe,1,1700,,
30,10102004,CK48,Bicycle,1,30000,,
31,10102004,CK49,Foam mattress (10 cm,1,8000,,
32,10102004,CK50,"Mosquito net (white,",1,1000,,
1,10103414,CK1,Maize grain,1,1350,1,4
2,10103414,CK3,Cost to grind 50 kg,1,3600,,
3,10103414,CK4,Cost to grind 50 kg,2,,,
4,10103414,CK22,Bar soap (Maluwa),1,70,1,9
5,10103414,CK23,Toothbrush,1,80,1,9
6,10103414,CK24,Toothpaste (50 g tub,1,300,50,9
7,10103414,CK25,"Clothes soap (Omo, S",1,250,200,18
8,10103414,CK26,Vaseline/glycerin,1,120,55,19
9,10103414,CK27,Aspirin or Panadol,1,20,1,9
10,10103414,CK28,Fansidar (3 tablet p,2,,,
11,10103414,CK29,Chitenje cloth,1,1200,1,9
12,10103414,CK30,Trousers (kaunjika),1,200,,
13,10103414,CK31,"Coca-Cola, Fanta (bo",1,150,,
14,10103414,CK32,Carlsberg beer (bott,1,150,,
15,10103414,CK33,"Cigarettes, Embassy",1,20,,
16,10103414,CK34,Battery (dry cell) f,1,90,,
17,10103414,CK35,"Watch, digital (simp",1,250,,
18,10103414,CK36,Firewood,1,200,1,8
19,10103414,CK37,Charcoal,1,50,1,10
20,10103414,CK38,Paraffin,1,50,150,19
21,10103414,CK39,Chemical fertilizer,1,13000,50,1
22,10103414,CK40,Pesticides/Insectici,1,750,250,18
23,10103414,CK41,Herbicides/Fungicide,1,3700,1,15
24,10103414,CK42,Motorized transport,1,250,,
25,10103414,CK43,Hybrid maize seed (m,1,3000,5,1
26,10103414,CK44,"Hand hoe, without ha",1,1500,,
27,10103414,CK45,Panga,1,700,,
28,10103414,CK46,Sickle,1,650,,
29,10103414,CK47,Axe,1,1800,,
30,10103414,CK48,Bicycle,1,28000,,
31,10103414,CK49,Foam mattress (10 cm,1,14000,,
32,10103414,CK50,"Mosquito net (white,",1,2500,,
1,10104150,CK1,Maize grain,1,2500,1,5
2,10104150,CK3,Cost to grind 50 kg,1,4000,,
3,10104150,CK4,Cost to grind 50 kg,2,,,
4,10104150,CK22,Bar soap (Maluwa),1,100,1,9
5,10104150,CK23,Toothbrush,1,200,1,9
6,10104150,CK24,Toothpaste (50 g tub,1,150,50,18
7,10104150,CK25,"Clothes soap (Omo, S",1,200,100,18
8,10104150,CK26,Vaseline/glycerin,1,120,50,19
9,10104150,CK27,Aspirin or Panadol,1,20,10,18
10,10104150,CK28,Fansidar (3 tablet p,2,,,
11,10104150,CK29,Chitenje cloth,1,1000,1,9
12,10104150,CK30,Trousers (kaunjika),1,1200,,
13,10104150,CK31,"Coca-Cola, Fanta (bo",1,150,,
14,10104150,CK32,Carlsberg beer (bott,1,350,,
15,10104150,CK33,"Cigarettes, Embassy",1,25,,
16,10104150,CK34,Battery (dry cell) f,1,100,,
17,10104150,CK35,"Watch, digital (simp",1,3500,,
18,10104150,CK36,Firewood,2,,,
19,10104150,CK37,Charcoal,2,,,
20,10104150,CK38,Paraffin,1,250,300,19
21,10104150,CK39,Chemical fertilizer,1,14000,50,1
22,10104150,CK40,Pesticides/Insectici,2,,,
23,10104150,CK41,Herbicides/Fungicide,2,,,
24,10104150,CK42,Motorized transport,1,100,,
25,10104150,CK43,Hybrid maize seed (m,1,1200,10,1
26,10104150,CK44,"Hand hoe, without ha",1,1500,,
27,10104150,CK45,Panga,1,1500,,
28,10104150,CK46,Sickle,1,500,,
29,10104150,CK47,Axe,1,700,,
30,10104150,CK48,Bicycle,1,17000,,
31,10104150,CK49,Foam mattress (10 cm,1,11000,,
32,10104150,CK50,"Mosquito net (white,",2,,,
1,10201688,CK1,Maize grain,1,2500,20,1
2,10201688,CK3,Cost to grind 50 kg,1,6000,,
3,10201688,CK4,Cost to grind 50 kg,1,15600,,
4,10201688,CK22,Bar soap (Maluwa),1,200,1,9
5,10201688,CK23,Toothbrush,1,30,1,9
6,10201688,CK24,Toothpaste (50 g tub,1,150,50,18
7,10201688,CK25,"Clothes soap (Omo, S",1,250,200,18
8,10201688,CK26,Vaseline/glycerin,1,100,55,19
9,10201688,CK27,Aspirin or Panadol,1,10,2,9
10,10201688,CK28,Fansidar (3 tablet p,2,,,
11,10201688,CK29,Chitenje cloth,1,1550,1,9
12,10201688,CK30,Trousers (kaunjika),1,2200,,
13,10201688,CK31,"Coca-Cola, Fanta (bo",1,130,,
14,10201688,CK32,Carlsberg beer (bott,1,330,,
15,10201688,CK33,"Cigarettes, Embassy",1,30,,
16,10201688,CK34,Battery (dry cell) f,1,80,,
17,10201688,CK35,"Watch, digital (simp",1,700,,
18,10201688,CK36,Firewood,1,300,1,8
19,10201688,CK37,Charcoal,1,100,1,23
20,10201688,CK38,Paraffin,2,,,
21,10201688,CK39,Chemical fertilizer,1,12500,50,1
22,10201688,CK40,Pesticides/Insectici,1,1000,500,18
23,10201688,CK41,Herbicides/Fungicide,1,1200,500,19
24,10201688,CK42,Motorized transport,1,300,,
25,10201688,CK43,Hybrid maize seed (m,1,1,1250,1
26,10201688,CK44,"Hand hoe, without ha",1,2100,,
27,10201688,CK45,Panga,1,1950,,
28,10201688,CK46,Sickle,1,1200,,
29,10201688,CK47,Axe,1,2800,,
30,10201688,CK48,Bicycle,1,30000,,
31,10201688,CK49,Foam mattress (10 cm,2,,,
32,10201688,CK50,"Mosquito net (white,",2,,,
1,10202514,CK1,Maize grain,1,4500,1,1
2,10202514,CK3,Cost to grind 50 kg,1,4000,,
3,10202514,CK4,Cost to grind 50 kg,1,11000,,
4,10202514,CK22,Bar soap (Maluwa),1,80,5,18
5,10202514,CK23,Toothbrush,1,100,1,9
6,10202514,CK24,Toothpaste (50 g tub,1,300,100,18
7,10202514,CK25,"Clothes soap (Omo, S",1,860,500,18
8,10202514,CK26,Vaseline/glycerin,1,100,30,18
9,10202514,CK27,Aspirin or Panadol,1,20,1,19
10,10202514,CK28,Fansidar (3 tablet p,2,,,
11,10202514,CK29,Chitenje cloth,1,1500,1,9
12,10202514,CK30,Trousers (kaunjika),1,1700,,
13,10202514,CK31,"Coca-Cola, Fanta (bo",1,120,,
14,10202514,CK32,Carlsberg beer (bott,1,350,,
15,10202514,CK33,"Cigarettes, Embassy",1,25,,
16,10202514,CK34,Battery (dry cell) f,1,80,,
17,10202514,CK35,"Watch, digital (simp",1,20003,,
18,10202514,CK36,Firewood,1,200,1,10
19,10202514,CK37,Charcoal,1,150,1,1
20,10202514,CK38,Paraffin,1,300,300,19
21,10202514,CK39,Chemical fertilizer,1,21000,50,1
22,10202514,CK40,Pesticides/Insectici,1,715,955,18
23,10202514,CK41,Herbicides/Fungicide,1,955,200,18
24,10202514,CK42,Motorized transport,1,500,,
25,10202514,CK43,Hybrid maize seed (m,1,2885,5,1
26,10202514,CK44,"Hand hoe, without ha",1,2800,,
27,10202514,CK45,Panga,1,1100,,
28,10202514,CK46,Sickle,1,500,,
29,10202514,CK47,Axe,1,2000,,
30,10202514,CK48,Bicycle,1,37000,,
31,10202514,CK49,Foam mattress (10 cm,1,520,,
32,10202514,CK50,"Mosquito net (white,",1,1400,,
1,10203176,CK1,Maize grain,1,1800,1,48
2,10203176,CK3,Cost to grind 50 kg,1,4500,,
3,10203176,CK4,Cost to grind 50 kg,2,,,
4,10203176,CK22,Bar soap (Maluwa),1,80,1,9
5,10203176,CK23,Toothbrush,1,250,1,9
6,10203176,CK24,Toothpaste (50 g tub,1,250,50,18
7,10203176,CK25,"Clothes soap (Omo, S",1,200,280,18
8,10203176,CK26,Vaseline/glycerin,1,80,25,18
9,10203176,CK27,Aspirin or Panadol,1,20,300,19
10,10203176,CK28,Fansidar (3 tablet p,2,,,
11,10203176,CK29,Chitenje cloth,1,1700,1,9
12,10203176,CK30,Trousers (kaunjika),1,1200,,
13,10203176,CK31,"Coca-Cola, Fanta (bo",1,150,,
14,10203176,CK32,Carlsberg beer (bott,1,330,,
15,10203176,CK33,"Cigarettes, Embassy",1,30,,
16,10203176,CK34,Battery (dry cell) f,1,80,,
17,10203176,CK35,"Watch, digital (simp",1,500,,
18,10203176,CK36,Firewood,1,150,1,8
19,10203176,CK37,Charcoal,1,500,50,1
20,10203176,CK38,Paraffin,2,,,
21,10203176,CK39,Chemical fertilizer,2,,,
22,10203176,CK40,Pesticides/Insectici,2,,,
23,10203176,CK41,Herbicides/Fungicide,2,,,
24,10203176,CK42,Motorized transport,1,300,,
25,10203176,CK43,Hybrid maize seed (m,1,3000,5,1
26,10203176,CK44,"Hand hoe, without ha",1,1700,,
27,10203176,CK45,Panga,2,,,
28,10203176,CK46,Sickle,1,550,,
29,10203176,CK47,Axe,1,500,,
30,10203176,CK48,Bicycle,2,,,
31,10203176,CK49,Foam mattress (10 cm,2,,,
32,10203176,CK50,"Mosquito net (white,",2,,,
1,10203744,CK1,Maize grain,1,2200,1,4
2,10203744,CK3,Cost to grind 50 kg,1,5200,,
3,10203744,CK4,Cost to grind 50 kg,1,16200,,
4,10203744,CK22,Bar soap (Maluwa),1,55,1,9
5,10203744,CK23,Toothbrush,1,290,1,9
6,10203744,CK24,Toothpaste (50 g tub,1,315,72,19
7,10203744,CK25,"Clothes soap (Omo, S",1,3115,1,1
8,10203744,CK26,Vaseline/glycerin,1,100,50,19
9,10203744,CK27,Aspirin or Panadol,1,20,2,9
10,10203744,CK28,Fansidar (3 tablet p,2,,,
11,10203744,CK29,Chitenje cloth,1,2300,1,9
12,10203744,CK30,Trousers (kaunjika),1,2000,,
13,10203744,CK31,"Coca-Cola, Fanta (bo",1,130,,
14,10203744,CK32,Carlsberg beer (bott,1,350,,
15,10203744,CK33,"Cigarettes, Embassy",1,310,,
16,10203744,CK34,Battery (dry cell) f,1,80,,
17,10203744,CK35,"Watch, digital (simp",1,2500,,
18,10203744,CK36,Firewood,1,200,1,8
19,10203744,CK37,Charcoal,1,60,1,23
20,10203744,CK38,Paraffin,1,150,1,19
21,10203744,CK39,Chemical fertilizer,1,15700,50,1
22,10203744,CK40,Pesticides/Insectici,1,1000,200,18
23,10203744,CK41,Herbicides/Fungicide,1,1000,200,18
24,10203744,CK42,Motorized transport,1,200,,
25,10203744,CK43,Hybrid maize seed (m,1,2800,5,1
26,10203744,CK44,"Hand hoe, without ha",1,1300,,
27,10203744,CK45,Panga,1,750,,
28,10203744,CK46,Sickle,1,1450,,
29,10203744,CK47,Axe,1,1800,,
30,10203744,CK48,Bicycle,1,35000,,
31,10203744,CK49,Foam mattress (10 cm,1,32170,,
32,10203744,CK50,"Mosquito net (white,",1,3500,,
1,10204322,CK1,Maize grain,1,2000,1,5
2,10204322,CK3,Cost to grind 50 kg,1,5600,,
3,10204322,CK4,Cost to grind 50 kg,1,15500,,
4,10204322,CK22,Bar soap (Maluwa),1,80,1,9
5,10204322,CK23,Toothbrush,1,60,1,9
6,10204322,CK24,Toothpaste (50 g tub,1,160,50,18
7,10204322,CK25,"Clothes soap (Omo, S",1,250,18,200
8,10204322,CK26,Vaseline/glycerin,1,150,50,18
9,10204322,CK27,Aspirin or Panadol,1,20,2,9
10,10204322,CK28,Fansidar (3 tablet p,2,,,
11,10204322,CK29,Chitenje cloth,1,1800,1,9
12,10204322,CK30,Trousers (kaunjika),1,1700,,
13,10204322,CK31,"Coca-Cola, Fanta (bo",1,130,,
14,10204322,CK32,Carlsberg beer (bott,1,300,,
15,10204322,CK33,"Cigarettes, Embassy",1,20,,
16,10204322,CK34,Battery (dry cell) f,1,85,,
17,10204322,CK35,"Watch, digital (simp",1,600,,
18,10204322,CK36,Firewood,1,200,1,8
19,10204322,CK37,Charcoal,1,1000,51,1
20,10204322,CK38,Paraffin,1,200,200,19
21,10204322,CK39,Chemical fertilizer,1,15850,50,1
22,10204322,CK40,Pesticides/Insectici,1,1250,250,19
23,10204322,CK41,Herbicides/Fungicide,1,1250,500,19
24,10204322,CK42,Motorized transport,1,250,,
25,10204322,CK43,Hybrid maize seed (m,1,2650,5,1
26,10204322,CK44,"Hand hoe, without ha",1,2500,,
27,10204322,CK45,Panga,1,750,,
28,10204322,CK46,Sickle,1,2000,,
29,10204322,CK47,Axe,1,3200,,
30,10204322,CK48,Bicycle,1,26800,,
31,10204322,CK49,Foam mattress (10 cm,1,17500,,
32,10204322,CK50,"Mosquito net (white,",1,1500,,
1,10204586,CK1,Maize grain,1,2000,1,5
2,10204586,CK3,Cost to grind 50 kg,1,5700,,
3,10204586,CK4,Cost to grind 50 kg,1,15000,,
4,10204586,CK22,Bar soap (Maluwa),1,90,1,9
5,10204586,CK23,Toothbrush,1,50,1,9
6,10204586,CK24,Toothpaste (50 g tub,1,150,50,18
7,10204586,CK25,"Clothes soap (Omo, S",1,100,100,18
8,10204586,CK26,Vaseline/glycerin,1,280,50,19
9,10204586,CK27,Aspirin or Panadol,1,20,10,18
10,10204586,CK28,Fansidar (3 tablet p,2,,,
11,10204586,CK29,Chitenje cloth,1,1300,1,9
12,10204586,CK30,Trousers (kaunjika),1,1500,,
13,10204586,CK31,"Coca-Cola, Fanta (bo",1,130,,
14,10204586,CK32,Carlsberg beer (bott,1,320,,
15,10204586,CK33,"Cigarettes, Embassy",1,25,,
16,10204586,CK34,Battery (dry cell) f,1,80,,
17,10204586,CK35,"Watch, digital (simp",1,550,,
18,10204586,CK36,Firewood,1,250,1,10
19,10204586,CK37,Charcoal,1,1000,50,1
20,10204586,CK38,Paraffin,1,180,200,19
21,10204586,CK39,Chemical fertilizer,1,17900,50,1
22,10204586,CK40,Pesticides/Insectici,1,750,250,19
23,10204586,CK41,Herbicides/Fungicide,1,750,250,19
24,10204586,CK42,Motorized transport,1,150,,
25,10204586,CK43,Hybrid maize seed (m,1,2500,5,1
26,10204586,CK44,"Hand hoe, without ha",1,1500,,
27,10204586,CK45,Panga,1,700,,
28,10204586,CK46,Sickle,1,300,,
29,10204586,CK47,Axe,1,1500,,
30,10204586,CK48,Bicycle,1,2500,,
31,10204586,CK49,Foam mattress (10 cm,1,12500,,
32,10204586,CK50,"Mosquito net (white,",1,750,,
1,10220103,CK1,Maize grain,1,2200,1,4
2,10220103,CK3,Cost to grind 50 kg,1,5200,,
3,10220103,CK4,Cost to grind 50 kg,1,1620,,
4,10220103,CK22,Bar soap (Maluwa),1,55,1,9
5,10220103,CK23,Toothbrush,1,290,1,9
6,10220103,CK24,Toothpaste (50 g tub,1,320,72,19
7,10220103,CK25,"Clothes soap (Omo, S",1,3120,1,1
8,10220103,CK26,Vaseline/glycerin,1,100,50,19
9,10220103,CK27,Aspirin or Panadol,1,20,2,9
10,10220103,CK28,Fansidar (3 tablet p,2,,,
11,10220103,CK29,Chitenje cloth,1,2500,1,9
12,10220103,CK30,Trousers (kaunjika),1,2000,,
13,10220103,CK31,"Coca-Cola, Fanta (bo",1,130,,
14,10220103,CK32,Carlsberg beer (bott,1,350,,
15,10220103,CK33,"Cigarettes, Embassy",1,310,,
16,10220103,CK34,Battery (dry cell) f,1,80,,
17,10220103,CK35,"Watch, digital (simp",1,1500,,
18,10220103,CK36,Firewood,1,250,1,8
19,10220103,CK37,Charcoal,1,60,1,23
20,10220103,CK38,Paraffin,1,150,200,19
21,10220103,CK39,Chemical fertilizer,1,15700,50,1
22,10220103,CK40,Pesticides/Insectici,1,1000,200,18
23,10220103,CK41,Herbicides/Fungicide,1,1000,200,18
24,10220103,CK42,Motorized transport,1,200,,
25,10220103,CK43,Hybrid maize seed (m,1,2800,5,1
26,10220103,CK44,"Hand hoe, without ha",1,1500,,
27,10220103,CK45,Panga,1,950,,
28,10220103,CK46,Sickle,1,1400,,
29,10220103,CK47,Axe,1,1800,,
30,10220103,CK48,Bicycle,1,35000,,
31,10220103,CK49,Foam mattress (10 cm,1,32170,,
32,10220103,CK50,"Mosquito net (white,",1,3550,,
1,10220705,CK1,Maize grain,2,,,
2,10220705,CK3,Cost to grind 50 kg,1,4000,,
3,10220705,CK4,Cost to grind 50 kg,1,15000,,
4,10220705,CK22,Bar soap (Maluwa),1,90,100,18
5,10220705,CK23,Toothbrush,1,100,1,9
6,10220705,CK24,Toothpaste (50 g tub,1,160,50,19
7,10220705,CK25,"Clothes soap (Omo, S",1,300,300,18
8,10220705,CK26,Vaseline/glycerin,1,250,100,18
9,10220705,CK27,Aspirin or Panadol,1,20,10,18
10,10220705,CK28,Fansidar (3 tablet p,2,,,
11,10220705,CK29,Chitenje cloth,1,2500,1,9
12,10220705,CK30,Trousers (kaunjika),1,2000,,
13,10220705,CK31,"Coca-Cola, Fanta (bo",1,150,,
14,10220705,CK32,Carlsberg beer (bott,1,400,,
15,10220705,CK33,"Cigarettes, Embassy",1,25,,
16,10220705,CK34,Battery (dry cell) f,1,80,,
17,10220705,CK35,"Watch, digital (simp",1,1500,,
18,10220705,CK36,Firewood,1,100,1,10
19,10220705,CK37,Charcoal,1,1200,1,1
20,10220705,CK38,Paraffin,1,170,1,19
21,10220705,CK39,Chemical fertilizer,1,14300,1,1
22,10220705,CK40,Pesticides/Insectici,1,700,200,18
23,10220705,CK41,Herbicides/Fungicide,1,700,200,18
24,10220705,CK42,Motorized transport,1,100,,
25,10220705,CK43,Hybrid maize seed (m,1,500,5,1
26,10220705,CK44,"Hand hoe, without ha",1,1200,,
27,10220705,CK45,Panga,1,700,,
28,10220705,CK46,Sickle,1,500,,
29,10220705,CK47,Axe,1,1500,,
30,10220705,CK48,Bicycle,1,40000,,
31,10220705,CK49,Foam mattress (10 cm,1,10000,,
32,10220705,CK50,"Mosquito net (white,",1,2900,,
1,10301663,CK1,Maize grain,1,1700,20,1
2,10301663,CK3,Cost to grind 50 kg,1,6000,,
3,10301663,CK4,Cost to grind 50 kg,1,14000,,
4,10301663,CK22,Bar soap (Maluwa),1,90,1,9
5,10301663,CK23,Toothbrush,1,50,1,9
6,10301663,CK24,Toothpaste (50 g tub,1,150,50,18
7,10301663,CK25,"Clothes soap (Omo, S",1,180,100,18
8,10301663,CK26,Vaseline/glycerin,1,130,50,19
9,10301663,CK27,Aspirin or Panadol,1,20,1,9
10,10301663,CK28,Fansidar (3 tablet p,2,,,
11,10301663,CK29,Chitenje cloth,1,2200,1,9
12,10301663,CK30,Trousers (kaunjika),1,2000,,
13,10301663,CK31,"Coca-Cola, Fanta (bo",1,130,,
14,10301663,CK32,Carlsberg beer (bott,1,320,,
15,10301663,CK33,"Cigarettes, Embassy",1,200,,
16,10301663,CK34,Battery (dry cell) f,1,100,,
17,10301663,CK35,"Watch, digital (simp",2,,,
18,10301663,CK36,Firewood,1,50,6,9
19,10301663,CK37,Charcoal,1,700,50,1
20,10301663,CK38,Paraffin,2,,,
21,10301663,CK39,Chemical fertilizer,2,,,
22,10301663,CK40,Pesticides/Insectici,2,,,
23,10301663,CK41,Herbicides/Fungicide,2,,,
24,10301663,CK42,Motorized transport,2,,,
25,10301663,CK43,Hybrid maize seed (m,1,1300,10,1
26,10301663,CK44,"Hand hoe, without ha",1,1200,,
27,10301663,CK45,Panga,1,1100,,
28,10301663,CK46,Sickle,1,500,,
29,10301663,CK47,Axe,1,1300,,
30,10301663,CK48,Bicycle,1,39000,,
31,10301663,CK49,Foam mattress (10 cm,1,14500,,
32,10301663,CK50,"Mosquito net (white,",1,4600,,
1,10302010,CK1,Maize grain,1,1800,25,1
2,10302010,CK3,Cost to grind 50 kg,1,5300,,
3,10302010,CK4,Cost to grind 50 kg,2,,,
