occ,y2_hhid,qx_type,interview_status,ag_g0a,ag_g00,ag_g0b,ag_g0e,ag_g01,ag_g02,ag_g03,ag_g04a,ag_g04b,ag_g05a,ag_g05b,ag_g07,ag_g08a,ag_g08b,ag_g08c,ag_g09a,ag_g09b,ag_g09c,ag_g10,ag_g11a,ag_g11b,ag_g13a,ag_g13b,ag_g13c,ag_g12a,ag_g12b,ag_g14a,ag_g14b
1,0001-001,PANEL A,Panel A - 2 Visits,YES,R01,MAIZE HYBRID,1,PURE STAND,YES,,1,10 KG BAG,DECEMBER,2012,NO,4,50 KG BAG,SHELLED,,,,NO,,,6,50 KG BAG,SHELLED,MAY,JUNE,1,2
2,0001-001,PANEL A,Panel A - 2 Visits,YES,R02,MAIZE LOCAL,1,PURE STAND,YES,,1,10 KG BAG,DECEMBER,2012,NO,4,50 KG BAG,SHELLED,,,,NO,,,3,50 KG BAG,SHELLED,MAY,JUNE,1,2
3,0001-001,PANEL A,Panel A - 2 Visits,YES,R03,GROUNDNUT MANIPINTA,1,PURE STAND,,,20,KILOGRAM,DECEMBER,2012,NO,1,50 KG BAG,SHELLED,,,,NO,,,1,50 KG BAG,UNSHELLED,MAY,JUNE,1,2
1,0002-001,PANEL B,Panel B - 2 Visits,,R01,MAIZE HYBRID,1,PURE STAND,,,1,5 KG BAG,DECEMBER,2012,YES,,,,35,PAIL (LARGE),SHELLED,YES,DISEASES,,35,PAIL (LARGE),SHELLED,JULY,JULY,1,2
1,0003-001,PANEL A,Panel A - 2 Visits,YES,R01,MAIZE LOCAL,1,PURE STAND,,,1,10 KG BAG,NOVEMBER,2012,NO,3,50 KG BAG,SHELLED,,,,NO,,,5,PAIL (LARGE),SHELLED,MAY,JUNE,1,
1,0004-001,PANEL B,Panel B - 2 Visits,YES,R01,MAIZE HYBRID RECYCLED,3,MIXED STAND,YES,,1,10 KG BAG,DECEMBER,2012,YES,,,,5,50 KG BAG,SHELLED,YES,IRREGULAR RAINS,,5,50 KG BAG,SHELLED,MAY,MAY,1,
2,0004-001,PANEL B,Panel B - 2 Visits,YES,R01,GROUNDNUT CG7,3,MIXED STAND,YES,,1,10 KG BAG,DECEMBER,2012,YES,,,,3,50 KG BAG,UNSHELLED,YES,IRREGULAR RAINS,,3,50 KG BAG,UNSHELLED,MAY,MAY,1,
3,0004-001,PANEL B,Panel B - 2 Visits,YES,R02,MAIZE HYBRID RECYCLED,3,MIXED STAND,YES,,1,10 KG BAG,DECEMBER,2012,YES,,,,8,50 KG BAG,SHELLED,YES,IRREGULAR RAINS,,8,50 KG BAG,SHELLED,JUNE,JUNE,1,
4,0004-001,PANEL B,Panel B - 2 Visits,YES,R02,SOYABEAN,3,MIXED STAND,YES,,1,2 KG BAG,DECEMBER,2012,YES,,,,8,PAIL (LARGE),SHELLED,YES,IRREGULAR RAINS,,8,PAIL (LARGE),SHELLED,MAY,MAY,1,
1,0005-001,PANEL A,Panel A - 2 Visits,YES,R01,MAIZE LOCAL,1,PURE STAND,,,1,10 KG BAG,DECEMBER,2012,NO,6,50 KG BAG,SHELLED,,,,NO,,,6,50 KG BAG,SHELLED,MAY,JUNE,1,2
2,0005-001,PANEL A,Panel A - 2 Visits,YES,R02,MAIZE HYBRID,1,PURE STAND,,,1,10 KG BAG,DECEMBER,2012,NO,4,50 KG BAG,SHELLED,,,,NO,,,8,50 KG BAG,SHELLED,MAY,JUNE,1,2
