occ,y2_hhid,qx_type,interview_status,ag_l0a,ag_l0b,ag_l00b,ag_l0c,ag_l0d,ag_l01a,ag_l01b,ag_l02,ag_l03,ag_l04,ag_l15,ag_l16a,ag_l16b,ag_l17,ag_l18,ag_l19,ag_l20,ag_l21,ag_l22,ag_l23,ag_l24,ag_l25,ag_l26a,ag_l26b,ag_l27,ag_l28,ag_l29,ag_l30,ag_l31,ag_l32,ag_l33,ag_l34,ag_l35,ag_l36a,ag_l36b,ag_l37,ag_l38a,ag_l38b,ag_l39a,ag_l39b,ag_l40,ag_l41,ag_l42a,ag_l42b,ag_l43,ag_l44a,ag_l44b
1,0001-001,PANEL A,Panel A - 2 Visits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0002-001,PANEL B,Panel B - 2 Visits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0003-001,PANEL A,Panel A - 2 Visits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0004-001,PANEL B,Panel B - 2 Visits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0005-001,PANEL A,Panel A - 2 Visits,YES,ORGANIC FERTILIZER,ORGANIC FERTILIZER,ORGANIC FERTILIZER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0005-001,PANEL A,Panel A - 2 Visits,YES,INORGANIC FERTILIZER #1,INORGANIC FERTILIZER TYPE,CHITOWE,23:21:0+4S/CHITOWE,5,KILOGRAM,"YES, THE FIGURES MATCHED",NO,YES,N02,1,5 KG BAG,ON FOOT,0,1600,"PAID IN FULL, WITH OWN-SAVINGS",,,,NO,,,,,,,,,,,,,,,NO,,,,,,NO,,,,,
3,0005-001,PANEL A,Panel A - 2 Visits,YES,INORGANIC FERTILIZER #2,INORGANIC FERTILIZER TYPE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0005-001,PANEL A,Panel A - 2 Visits,YES,INORGANIC FERTILIZER #3,INORGANIC FERTILIZER TYPE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,0005-001,PANEL A,Panel A - 2 Visits,YES,INORGANIC FERTILIZER #4,INORGANIC FERTILIZER TYPE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,0005-001,PANEL A,Panel A - 2 Visits,YES,PESTICIDES/HERBICIDES TYPE #1,PESTICIDES/HERBICIDES TYP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
