HHID,case_id,qx_type,visit,ea_id,hh_x01,hh_x02,hh_x03,hh_x04,hh_x05,hh_x06,hh_x07,hh_x08,hh_x09,hh_x10,hh_x11,hh_x12,hh_x13,hh_x14,hh_x15,hh_x16
37,101010160009,Panel A,1,10101016,Yes,,,,,,,,,Yes,Yes,Yes,No,No,No,No
45,101010160033,Panel A,1,10101016,Yes,,,,,,,,,Yes,No,Yes,No,No,No,No
35,101010160060,Panel A,1,10101016,Yes,,,,,,,,,Yes,Yes,Yes,Yes,No,Yes,No
41,101010160068,Panel A,1,10101016,Yes,,,,,,,,,Yes,Yes,Yes,Yes,Yes,Yes,No
61,101010160069,Panel A,1,10101016,Yes,,,,,,,,,Yes,No,Yes,No,No,No,No
51,101010160070,Panel A,1,10101016,Yes,,,,,,,,,Yes,Yes,Yes,No,No,No,No
57,101010160074,Panel A,1,10101016,Yes,,,,,,,,,Yes,Yes,Yes,Yes,Yes,Yes,No
55,101010160086,Panel A,1,10101016,Yes,,,,,,,,,Yes,Yes,Yes,Yes,Yes,Yes,No
47,101010160096,Panel A,1,10101016,Yes,,,,,,,,,Yes,Yes,Yes,No,Yes,Yes,No
63,101010160143,Panel A,1,10101016,Yes,,,,,,,,,Yes,Yes,Yes,No,Yes,Yes,No
59,101010160159,Panel A,1,10101016,Yes,,,,,,,,,Yes,Yes,Yes,No,No,No,No
33,101010160180,Panel A,1,10101016,Yes,,,,,,,,,Yes,Yes,Yes,No,No,No,No
49,101010160207,Panel A,1,10101016,Yes,,,,,,,,,Yes,No,Yes,No,Yes,Yes,No
53,101010160235,Panel A,1,10101016,Yes,,,,,,,,,Yes,Yes,Yes,No,No,No,No
43,101010160254,Panel A,1,10101016,Yes,,,,,,,,,Yes,Yes,Yes,Yes,Yes,Yes,No
39,101010160265,Panel A,1,10101016,Yes,,,,,,,,,Yes,Yes,Yes,No,No,No,No
40,101012040003,Panel B,2,10101204,Yes,,,,,,,,,Yes,Yes,Yes,Yes,Yes,Yes,No
62,101012040007,Panel B,2,10101204,Yes,,,,,,,,,Yes,No,Yes,Yes,Yes,Yes,No
42,101012040011,Panel B,2,10101204,Yes,,,,,,,,,Yes,Yes,Yes,Yes,Yes,Yes,No
44,101012040020,Panel B,2,10101204,Yes,,,,,,,,,Yes,Yes,Yes,No,No,No,No
38,101012040024,Panel B,2,10101204,Yes,,,,,,,,,Yes,Yes,Yes,No,No,No,No
