HHID,case_id,ea_id,qx_type,visit,ag_b0a,ag_b0c,ag_b0c_os,ag_b01a,ag_b01b,ag_b02,ag_b03a,ag_b03a_os,ag_b03b,ag_b03b_os,ag_b04a,ag_b04b,ag_b04b_os,ag_b04c,ag_b05a,ag_b05b,ag_b06,ag_b07a,ag_b07b,ag_b07b_os,ag_b07c,ag_b08,ag_b09a,ag_b09b,ag_b10,ag_b11a,ag_b11b,ag_b11b_os,ag_b11c,ag_b12a,ag_b12b,ag_b12b_os,ag_b12c,ag_b13a,ag_b13b,ag_b13b_os,ag_b13c,ag_b14a,ag_b14b,ag_b14b_os,ag_b14c,ag_b15a,ag_b15b,ag_b15b_os,ag_b15c,ag_b16a,ag_b16b,ag_b16b_os,ag_b16c,ag_b16d,ag_b17a,ag_b17a_os,ag_b17b,ag_b17b_os,ag_b18,ag_b19,ag_b19_os,ag_b20a,ag_b20b,ag_b20b_os,ag_b20c,ag_b21a,ag_b21a_os,ag_b21b,ag_b21b_os,ag_b22a,ag_b22a_os,ag_b22b,ag_b22b_os,ag_b23,ag_b24a,ag_b24b,ag_b24b_os,ag_b24c,ag_b25a,ag_b25b,ag_b25b_os,ag_b25c,ag_b26,ag_b27a,ag_b27b,ag_b27b_os,ag_b27c,ag_b28a,ag_b28b,ag_b28b_os,ag_b28c,ag_b29a,ag_b29b,ag_b29b_os,ag_b29c
37,101010160009,10101016,Panel A,1,Yes,TOBACCO BURLEY,,.5,Acre,No,,,,,267,Kilogram,,Not applicable,January,April,Yes,267,Kilogram,,Not Applicable,28500,1,2,1800,0,,,,0,,,,0,,,,0,,,,1,Kilogram,,Not Applicable,0,,,,,,,,,No,,,,,,,,,,,To sell at a higher price,,,,No,,,,,,,,,,,,,,,,,,,,,
37,101010160009,10101016,Panel A,1,Yes,MAIZE LOCAL,,1,Acre,Yes,Drought,,,,7,50 kg bag,,Shelled,March,June,No,,,,,,,,,1,Pail (large),,S: Shelled,0,,,,0,,,,0,,,,10,Kilogram,,S: Shelled,1,Pail (small),,S: Shelled,,Rotting,,,,No,,,,,,,,,,,Food for household,,,,Yes,0,,,,2,Pail (large),,S: Shelled,No,,,,,0,,,,1,90 kg Bag,,S: Shelled
37,101010160009,10101016,Panel A,1,Yes,GROUNDNUT CG7,,.1,Acre,No,,,,,2,50 kg bag,,Shelled,June,July,No,,,,,,,,,0,,,,0,,,,0,,,,0,,,,5,Kilogram,,S: Shelled,0,,,,,,,,,No,,,,,,,,,,,Food for household,,,,No,,,,,,,,,,,,,,,,,,,,,
45,101010160033,10101016,Panel A,1,Yes,GROUNDNUT CHALIMBANA,,.2,Acre,No,,,,,3,50 kg bag,,Unshelled,July,July,No,,,,,,,,,0,,,,0,,,,0,,,,0,,,,10,Kilogram,,S: Shelled,0,,,,,,,,,No,,,,,,,,,,,Food for household,,,,No,,,,,,,,,,,,,,,,,,,,,
45,101010160033,10101016,Panel A,1,Yes,MAIZE LOCAL,,1,Acre,No,,,,,5,90 kg bag,,Shelled,June,June,No,,,,,,,,,0,,,,0,,,,0,,,,0,,,,2,Pail (large),,S: Shelled,0,,,,,,,,,No,,,,,,,,,,,Food for household,,,,Yes,0,,,,0,,,,No,,,,,0,,,,0,,,
35,101010160060,10101016,Panel A,1,Yes,GROUNDNUT CG7,,1,Acre,No,,,,,7,90 kg bag,,Unshelled,May,May,Yes,1,90 kg Bag,,U: Unshelled,5000,1,,0,1,90 kg Bag,,U: Unshelled,0,,,,0,,,,0,,,,.5,90 kg Bag,,U: Unshelled,0,,,,,,,,,No,,,,,,,,,,,To sell at a higher price,,Food for household,,No,,,,,,,,,,,,,,,,,,,,,
35,101010160060,10101016,Panel A,1,Yes,MAIZE HYBRID,,1.5,Acre,No,,,,,10,90 kg bag,,Shelled,June,July,Yes,3,90 kg Bag,,S: Shelled,11000,1,,0,3,Pail (large),,S: Shelled,0,,,,0,,,,0,,,,10,Kilogram,,S: Shelled,90,Kilogram,,S: Shelled,,Rodents/Pests,,,,No,,,,,,,,,,,Food for household,,,,Yes,0,,,,2,Pail (large),,S: Shelled,No,,,,,2,Pail (large),,S: Shelled,0,,,
41,101010160068,10101016,Panel A,1,Yes,GROUND BEAN(NZAMA),,.5,Acre,Yes,Rains,,,,1,50 kg bag,,Shelled,June,June,Yes,20,Kilogram,,S: Shelled,1000,1,2,0,0,,,,0,,,,0,,,,0,,,,5,Kilogram,,S: Shelled,0,,,,,,,,,No,,,,,,,,,,,Food for household,,To sell at a higher price,,No,,,,,,,,,,,,,,,,,,,,,
41,101010160068,10101016,Panel A,1,Yes,BEANS,,.5,Acre,Yes,Rains,,,,1,Pail (large),,Shelled,March,March,Yes,10,Kilogram,,S: Shelled,300,1,2,0,0,,,,0,,,,0,,,,0,,,,5,Kilogram,,S: Shelled,0,,,,,,,,,No,,,,,,,,,,,Food for household,,To sell at a higher price,,No,,,,,,,,,,,,,,,,,,,,,
41,101010160068,10101016,Panel A,1,Yes,TOBACCO BURLEY,,.5,Acre,Yes,Rains,,,,1,Bale,,Not applicable,January,April,Yes,1,Bale,,Not Applicable,16000,1,2,1300,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,,,,,,No,,,,,,,,,,,To sell at a higher price,,Wait for the arrival of buyer,,No,,,,,,,,,,,,,,,,,,,,,
41,101010160068,10101016,Panel A,1,Yes,GROUNDNUT CG7,,1,Acre,No,,,,,4,90 kg bag,,Unshelled,April,July,Yes,3,90 kg Bag,,U: Unshelled,8000,1,2,0,2,Pail (large),,U: Unshelled,0,,,,0,,,,0,,,,5,Pail (large),,U: Unshelled,0,,,,,,,,,No,,,,,,,,,,,Food for household,,To sell at a higher price,,No,,,,,,,,,,,,,,,,,,,,,
41,101010160068,10101016,Panel A,1,Yes,MAIZE LOCAL,,1,Acre,No,,,,,5,90 kg bag,,Shelled,June,June,Yes,3,Pail (large),,S: Shelled,2100,1,2,0,3,Pail (large),,S: Shelled,0,,,,0,,,,0,,,,30,Kilogram,,S: Shelled,0,,,,,,,,,Yes,Bags in house,,5,Pail (large),,S: Shelled,Spraying,,,,Food for household,,To sell at a higher price,,Yes,1,90 kg Bag,,S: Shelled,0,,,,No,,,,,0,,,,2,90 kg Bag,,S: Shelled
61,101010160069,10101016,Panel A,1,Yes,SUNFLOWER,,.25,Acre,No,,,,,3,Pail (large),,Shelled,May,May,Yes,1,Pail (large),,S: Shelled,450,1,,0,0,,,,0,,,,0,,,,0,,,,2,No 12 Plate,,S: Shelled,1,Pail (small),,S: Shelled,,Insects,,,,No,,,,,,,,,,,To sell at a higher price,,,,No,,,,,,,,,,,,,,,,,,,,,
