HHID,case_id,qx_type,visit,ea_id,hh_t01,hh_t02,hh_t03,hh_t04,hh_t05,hh_t06,hh_t07,hh_t08,hh_t09,hh_t10,hh_t10_os,hh_t11,hh_t11_os,hh_t12,hh_t12_os
37,101010160009,Panel A,1,10101016,It was just adequate for household needs,It was just adequate for household needs,It was just adequate for household needs,It was more than adequate for household needs,2,2,4,Is not sufficient so need to use savings to meet expenses,5,Bed & mat (Grass),,Blanket only,,Blanket only,
45,101010160033,Panel A,1,10101016,It was more than adequate for household needs,It was just adequate for household needs,It was less than adequate for household needs,It was more than adequate for household needs,1,1,2,Only just meets your expenses,2,Bed & mat (Grass),,Blanket only,,Blanket only,
35,101010160060,Panel A,1,10101016,It was just adequate for household needs,It was more than adequate for household needs,It was less than adequate for household needs,It was just adequate for household needs,1,2,4,Only just meets your expenses,3,Bed & mattress,,Blanket & sheets,,Chitenje cloth,
41,101010160068,Panel A,1,10101016,It was just adequate for household needs,It was just adequate for household needs,It was less than adequate for household needs,It was less than adequate for household needs,2,2,2,Is not sufficient so need to use savings to meet expenses,3,Mat (grass) on floor,,Blanket only,,Sheets only,
61,101010160069,Panel A,1,10101016,It was just adequate for household needs,It was just adequate for household needs,It was just adequate for household needs,It was more than adequate for household needs,3,4,3,Only just meets your expenses,6,Bed & mat (Grass),,Blanket only,,Nothing,
51,101010160070,Panel A,1,10101016,It was just adequate for household needs,It was just adequate for household needs,It was just adequate for household needs,It was just adequate for household needs,3,3,2,Only just meets your expenses,6,Bed & mat (Grass),,Blanket & sheets,,Sheets only,
57,101010160074,Panel A,1,10101016,It was less than adequate for household needs,It was less than adequate for household needs,It was less than adequate for household needs,It was less than adequate for household needs,2,2,2,Is not sufficient so need to use savings to meet expenses,4,Bed & mat (Grass),,Blanket only,,Sheets only,
55,101010160086,Panel A,1,10101016,It was just adequate for household needs,It was less than adequate for household needs,It was less than adequate for household needs,It was less than adequate for household needs,2,2,3,Only just meets your expenses,5,Bed & mattress,,Blanket only,,Sheets only,
47,101010160096,Panel A,1,10101016,It was less than adequate for household needs,It was just adequate for household needs,It was less than adequate for household needs,It was less than adequate for household needs,1,2,2,Is not sufficient so need to use savings to meet expenses,3,Mat (grass) on floor,,Blanket only,,Blanket only,
63,101010160143,Panel A,1,10101016,It was just adequate for household needs,It was less than adequate for household needs,It was less than adequate for household needs,It was less than adequate for household needs,1,1,2,Only just meets your expenses,3,Bed & mat (Grass),,Blanket only,,Blanket only,
