occ,y2_hhid,qx_type,interview_status,hh_f01,hh_f02,hh_f03a,hh_f03b,hh_f04a,hh_f04b,hh_f05,hh_f06,hh_f07,hh_f08,hh_f09,hh_f10,hh_f11,hh_f12,hh_f13,hh_f14,hh_f15,hh_f16a,hh_f16b,hh_f17,hh_f18,hh_f19,hh_f20a,hh_f20b,hh_f21,hh_f22,hh_f22a,hh_f22b,hh_f23,hh_f24,hh_f25,hh_f26a,hh_f26b,hh_f27,hh_f28,hh_f29,hh_f30,hh_f34,hh_f35,hh_f36,hh_f37,hh_f38a,hh_f38b,hh_f39,hh_f40,hh_f41,hh_f42,hh_f43,hh_f44,hh_f45,hh_f46,hh_f47,hh_f48,hh_f49,hh_f50,hh_f51a,hh_f51b,hh_f51c,hh_f52,hh_f53,hh_f54,hh_f55a,hh_f55b,hh_f55c
1,0001-001,PANEL A,Panel A - 2 Visits,OWNED,10000,400,MONTH,,,4,SEMI-PERMANENT,BURNT BRICKS,GRASS,SMOOTHED MUD,1,BATTERY/DRY CELL,COLLECTED FIREWOOD,,,COMMUNITY WOODLOT,200,MINUTE,ALL,100,NO,,,,,,,,,,,,NO,,,,0,,SPRING,0,400,MINUTE,ALL YEAR AROUND,,TRADITIONAL LATRINE WITH ROOF,HOUSEHOLD MEMBERS ONLY,PUBLIC RUBBISH HEAP,NO,,,,2,,NO,,,,NO,,NO,,,
1,0002-001,PANEL B,Panel B - 2 Visits,OWNED,55000,700,MONTH,,,2,SEMI-PERMANENT,BURNT BRICKS,GRASS,SMOOTHED MUD,1,COLLECTED FIREWOOD,COLLECTED FIREWOOD,,,UNFARMED AREAS OF COMMUNITY,300,MINUTE,NONE,200,NO,,,,,,,,,,,,NO,,,,0,,BOREHOLE,0,50,MINUTE,ALL YEAR AROUND,,LATRINE WITHOUT ROOF,HOUSEHOLD MEMBERS ONLY,PUBLIC RUBBISH HEAP,YES,ALL NETS TREATED & LESS THAN 6 MONTHS OLD,YES,"YES, FOR ALL CHILDREN UNDER FIVE",2,,NO,,,,NO,,NO,,,
1,0003-001,PANEL A,Panel A - 2 Visits,OWNED,10000,1000,MONTH,,,4,SEMI-PERMANENT,BURNT BRICKS,GRASS,SMOOTHED MUD,1,BATTERY/DRY CELL,COLLECTED FIREWOOD,,,COMMUNITY WOODLOT,100,MINUTE,ALL,100,NO,,,,,,,,,,,,NO,,,,0,,SPRING,0,100,MINUTE,ALL YEAR AROUND,,VIP LATRINE,HOUSEHOLD MEMBERS ONLY,PUBLIC RUBBISH HEAP,YES,NO,NO,,2,,NO,,,,NO,,NO,,,
1,0004-001,PANEL B,Panel B - 2 Visits,OWNED,560000,6000,MONTH,,,13,PERMANENT,BURNT BRICKS,IRON SHEETS,SMOOTH CEMENT,3,BATTERY/DRY CELL,COLLECTED FIREWOOD,,,UNFARMED AREAS OF COMMUNITY,300,MINUTE,NONE,480,NO,,,,,,,,,,,,NO,,,,0,,BOREHOLE,0,40,MINUTE,ALL YEAR AROUND,,TRADITIONAL LATRINE WITH ROOF,HOUSEHOLD MEMBERS ONLY,PUBLIC RUBBISH HEAP,YES,YES,NO,,1,1,YES,2,,,YES,1,NO,,,
1,0005-001,PANEL A,Panel A - 2 Visits,OWNED,30000,1500,MONTH,,,5,SEMI-PERMANENT,BURNT BRICKS,GRASS,SMOOTHED MUD,2,BATTERY/DRY CELL,COLLECTED FIREWOOD,,,COMMUNITY WOODLOT,100,MINUTE,NONE,350,NO,,,,,,,,,,,,NO,,,,0,,BOREHOLE,0,200,MINUTE,ALL YEAR AROUND,,TRADITIONAL LATRINE WITH ROOF,HOUSEHOLD MEMBERS ONLY,PUBLIC RUBBISH HEAP,YES,NO,NO,,2,,NO,,,,NO,,NO,,,
1,0006-001,PANEL B,Panel B - 2 Visits,OWNED,70000,2000,MONTH,,,2,SEMI-PERMANENT,BURNT BRICKS,GRASS,SMOOTHED MUD,3,BATTERY/DRY CELL,COLLECTED FIREWOOD,,,UNFARMED AREAS OF COMMUNITY,70,MINUTE,ALMOST ALL,200,NO,,,,,,,,,,,,NO,,,,2,1600,BOREHOLE,0,50,MINUTE,ALL YEAR AROUND,,TRADITIONAL LATRINE WITH ROOF,HOUSEHOLD MEMBERS ONLY,PUBLIC RUBBISH HEAP,YES,NO,YES,"YES, FOR ALL CHILDREN UNDER FIVE",2,,NO,,,,NO,,NO,,,
1,0006-003,PANEL B,Panel B - 2 Visits,OWNED,45000,1000,MONTH,,,2,TRADITIONAL,MUD BRICK,GRASS,SMOOTHED MUD,1,BATTERY/DRY CELL,COLLECTED FIREWOOD,,,UNFARMED AREAS OF COMMUNITY,50,MINUTE,ALL,200,NO,,,,,,,,,,,,NO,,,,0,,BOREHOLE,0,60,MINUTE,ALL YEAR AROUND,,TRADITIONAL LATRINE WITH ROOF,HOUSEHOLD MEMBERS ONLY,PUBLIC RUBBISH HEAP,YES,NO,NO,,2,,NO,,,,NO,,NO,,,
1,0007-001,PANEL A,Panel A - 2 Visits,OWNED,80000,8000,MONTH,,,10,SEMI-PERMANENT,BURNT BRICKS,GRASS,SMOOTHED MUD,4,BATTERY/DRY CELL,COLLECTED FIREWOOD,,,OWN WOODLOT,100,MINUTE,NONE,6000,NO,,,,,,,,,,,,NO,,,,0,,BOREHOLE,0,250,MINUTE,ALL YEAR AROUND,,TRADITIONAL LATRINE WITH ROOF,HOUSEHOLD MEMBERS ONLY,NONE,NO,,,,2,,NO,,,,NO,,NO,,,
1,0008-001,PANEL B,Panel B - 2 Visits,OWNED,450000,3000,MONTH,,,7,PERMANENT,BURNT BRICKS,IRON SHEETS,SMOOTH CEMENT,4,BATTERY/DRY CELL,COLLECTED FIREWOOD,,,UNFARMED AREAS OF COMMUNITY,140,MINUTE,NONE,600,NO,,,,,,,,,,,,YES,YES,CONNECTION / WIRING FEE UNAFFORDABLE,,1,3200,PIPED INTO YARD/PLOT,0,20,MINUTE,ALL YEAR AROUND,,TRADITIONAL LATRINE WITH ROOF,HOUSEHOLD MEMBERS ONLY,RUBBISH PIT,YES,ALL NETS TREATED & LESS THAN 6 MONTHS OLD,NO,,2,,NO,,,,NO,,NO,,,
1,0008-003,PANEL B,Panel B - 2 Visits,RENTED,,,,6500,MONTH,DON'T KNOW,PERMANENT,BURNT BRICKS,IRON SHEETS,SMOOTH CEMENT,2,ELECTRICITY,CHARCOAL,YES,NO,,,,,300,YES,CANDLES,CHARCOAL,YES,,1,YEAR,NO,SEVERAL TIMES A WEEK,3000,1,MONTH,,,,,1,6000,COMMUNAL STANDPIPE,2000,100,MINUTE,ALL YEAR AROUND,,TRADITIONAL LATRINE WITH ROOF,HOUSEHOLD MEMBERS ONLY,RUBBISH PIT,YES,YES,YES,"YES, FOR ALL CHILDREN UNDER FIVE",1,1,NO,,,,NO,,NO,,,
