occ,y2_hhid,qx_type,interview_status,fs_c00,fs_c01a,fs_c01b,fs_c01c,fs_c02a,fs_c02b,fs_c02c,fs_c03a,fs_c03b,fs_c03c,fs_c04a,fs_c04b,fs_c04c
1,0163-001,PANEL A,Panel A - 2 Visits,2,0,0,0,0,0,0,0,0,0,12,4,7
1,0182-001,PANEL B,Panel B - 2 Visits,1,0,0,0,0,0,0,0,0,0,14,3,6
2,0182-001,PANEL B,Panel B - 2 Visits,2,0,0,0,0,0,0,0,0,0,12,3,4
1,0192-003,PANEL B,Panel B - 2 Visits,1,5,2,9,0,0,0,0,0,0,0,0,0
1,0203-001,PANEL A,Panel A - 2 Visits,1,16,3,2,0,0,0,0,0,0,0,0,0
1,0232-001,PANEL B,Panel B - 2 Visits,1,12,1,10,0,0,0,0,0,0,0,0,0
2,0232-001,PANEL B,Panel B - 2 Visits,2,12,1,2,0,0,0,0,0,0,0,0,0
1,0240-001,PANEL B,Panel B - 2 Visits,2,0,0,0,0,0,0,0,0,0,10,3,6
1,0266-001,PANEL B,Panel B - 2 Visits,1,4,7,8,0,0,0,4,7,6,1,1,4
1,0268-001,PANEL B,Panel B - 2 Visits,1,0,0,0,0,0,0,0,0,0,4,6,3
1,0279-001,PANEL A,Panel A - 2 Visits,1,0,0,0,0,0,0,0,0,0,3,5,10
1,0297-002,PANEL A,Panel A - 2 Visits,1,,,,1,3,12,,,,,,
1,0300-001,PANEL B,Panel B - 2 Visits,1,6,5,8,0,0,0,6,5,4,0,0,0
2,0300-001,PANEL B,Panel B - 2 Visits,2,0,0,0,0,0,0,0,0,0,5,3,3
1,0301-001,PANEL A,Panel A - 2 Visits,1,0,0,0,2,3,10,0,0,0,0,0,0
1,0306-004,PANEL B,Panel B - 2 Visits,1,0,0,0,0,0,0,0,0,0,8,4,8
1,0316-001,PANEL B,Panel B - 2 Visits,1,0,0,0,4,7,18,0,0,0,0,1,0
1,0343-001,PANEL A,Panel A - 2 Visits,1,0,0,0,0,0,0,0,0,0,4,6,6
1,0355-001,PANEL A,Panel A - 2 Visits,9,,,0,,,0,,0,,3,3,9
1,0384-001,PANEL B,Panel B - 2 Visits,1,0,0,0,0,0,0,0,0,0,10,3,4
2,0384-001,PANEL B,Panel B - 2 Visits,2,0,0,0,0,0,0,0,0,0,10,2,2
3,0384-001,PANEL B,Panel B - 2 Visits,5,0,0,0,0,0,0,0,0,0,10,2,2
1,0390-001,PANEL B,Panel B - 2 Visits,1,0,0,0,0,0,0,0,0,0,8,3,7
2,0390-001,PANEL B,Panel B - 2 Visits,2,0,0,0,0,0,0,0,0,0,8,3,7
3,0390-001,PANEL B,Panel B - 2 Visits,3,0,0,0,0,0,0,0,0,0,4,2,3
4,0390-001,PANEL B,Panel B - 2 Visits,4,0,0,0,0,0,0,0,0,0,4,2,2
5,0390-001,PANEL B,Panel B - 2 Visits,5,0,0,0,0,0,0,0,0,0,4,2,2
1,0406-001,PANEL B,Panel B - 2 Visits,1,20,4,8,0,0,0,0,0,0,0,0,0
2,0406-001,PANEL B,Panel B - 2 Visits,2,20,4,5,0,0,0,0,0,0,0,0,0
3,0406-001,PANEL B,Panel B - 2 Visits,3,14,2,1,0,0,0,0,0,0,0,0,0
4,0406-001,PANEL B,Panel B - 2 Visits,4,12,2,1,0,0,0,0,0,0,0,0,0
1,0508-001,PANEL B,Panel B - 2 Visits,1,0,0,0,8,7,3,0,0,0,0,0,0
1,0782-001,PANEL B,Panel B - 2 Visits,1,0,0,0,0,0,0,0,0,0,12,2,4
1,1069-003,PANEL A,Panel A - 2 Visits,1,16,6,6,0,0,0,16,6,2,0,0,0
1,1134-001,PANEL B,Panel B - 2 Visits,1,3,1,1,0,0,0,0,0,0,0,0,0
1,1218-002,PANEL B,Panel B - 2 Visits,1,0,0,0,0,0,0,0,0,0,12,6,6
