HHID,case_id,qx_type,ea_id,ag_nr00,ag_nr02,ag_nr02_os,ag_nr03
37,101010160009,Panel A,10101016,N01,VILLAGE HEADMAN,,WITHIN THE VILLAGE
37,101010160009,Panel A,10101016,N02,LOCAL MERCHANT/GROCERY,,NEAR THE DISTRICT/URBAN CENTER
37,101010160009,Panel A,10101016,N03,FRIEND/NEIGHBOR,,NEAR THE VILLAGE
37,101010160009,Panel A,10101016,N04,FRIEND/NEIGHBOR,,NEAR THE VILLAGE
37,101010160009,Panel A,10101016,N05,AUCTION IN MAIN MARKET,,OUTSIDE THE DISTRICT
45,101010160033,Panel A,10101016,N01,VILLAGE HEADMAN,,NEAR THE VILLAGE
45,101010160033,Panel A,10101016,N02,PARASTATAL ORGANIZATION,,NEAR THE TOWN
45,101010160033,Panel A,10101016,N03,MOBILE MARKET,,WITHIN THE VILLAGE
35,101010160060,Panel A,10101016,N01,VILLAGE HEADMAN,,NEAR THE VILLAGE
35,101010160060,Panel A,10101016,N02,PARASTATAL ORGANIZATION,,NEAR THE VILLAGE
35,101010160060,Panel A,10101016,N03,FRIEND/NEIGHBOR,,WITHIN THE VILLAGE
35,101010160060,Panel A,10101016,N04,RELATIVE,,NEAR THE VILLAGE
35,101010160060,Panel A,10101016,N05,VDC MEMBER,,WITHIN THE VILLAGE
35,101010160060,Panel A,10101016,N06,LOCAL MARKET,,NEAR THE TOWN
41,101010160068,Panel A,10101016,N01,FRIEND/NEIGHBOR,,WITHIN THE VILLAGE
41,101010160068,Panel A,10101016,N02,FRIEND/NEIGHBOR,,NEAR THE VILLAGE
41,101010160068,Panel A,10101016,N03,VILLAGE HEADMAN,,WITHIN THE VILLAGE
41,101010160068,Panel A,10101016,N04,PARASTATAL ORGANIZATION,,NEAR THE VILLAGE
41,101010160068,Panel A,10101016,N05,MOBILE MARKET,,NEAR THE VILLAGE
41,101010160068,Panel A,10101016,N06,FRIEND/NEIGHBOR,,WITHIN THE VILLAGE
41,101010160068,Panel A,10101016,N07,FRIEND/NEIGHBOR,,WITHIN THE VILLAGE
41,101010160068,Panel A,10101016,N08,FRIEND/NEIGHBOR,,WITHIN THE VILLAGE
41,101010160068,Panel A,10101016,N09,LOCAL MARKET,,OUTSIDE THE DISTRICT
41,101010160068,Panel A,10101016,N10,LOCAL MARKET,,NEAR THE VILLAGE
41,101010160068,Panel A,10101016,N11,AUCTION IN MAIN MARKET,,OUTSIDE THE DISTRICT
41,101010160068,Panel A,10101016,N12,LOCAL MARKET,,NEAR THE VILLAGE
61,101010160069,Panel A,10101016,N01,MOBILE MARKET,,NEAR THE VILLAGE
61,101010160069,Panel A,10101016,N02,FRIEND/NEIGHBOR,,NEAR THE VILLAGE
61,101010160069,Panel A,10101016,N03,LOCAL MARKET,,NEAR THE TOWN
51,101010160070,Panel A,10101016,N01,VILLAGE HEADMAN,,WITHIN THE VILLAGE
51,101010160070,Panel A,10101016,N02,PARASTATAL ORGANIZATION,,NEAR THE VILLAGE
51,101010160070,Panel A,10101016,N03,FRIEND/NEIGHBOR,,WITHIN THE VILLAGE
51,101010160070,Panel A,10101016,N04,RELIGIOUS GROUP/INSTITUTION,,WITHIN THE VILLAGE
57,101010160074,Panel A,10101016,N01,RELATIVE,,WITHIN THE VILLAGE
57,101010160074,Panel A,10101016,N02,PRIVATE COMPANY/BUSINESS PERSON,,NEAR THE DISTRICT/URBAN CENTER
57,101010160074,Panel A,10101016,N03,FRIEND/NEIGHBOR,,WITHIN THE VILLAGE
57,101010160074,Panel A,10101016,N04,FARMER BASED CLUB/ASSOCIATION,,WITHIN THE VILLAGE
57,101010160074,Panel A,10101016,N05,AUCTION IN MAIN MARKET,,OUTSIDE THE DISTRICT
55,101010160086,Panel A,10101016,N01,OTHER (SPECIFY),SCHOOL,WITHIN THE VILLAGE
55,101010160086,Panel A,10101016,N02,LOCAL MARKET,,NEAR THE VILLAGE
55,101010160086,Panel A,10101016,N03,FRIEND/NEIGHBOR,,WITHIN THE VILLAGE
55,101010160086,Panel A,10101016,N04,RELATIVE,,NEAR THE VILLAGE
55,101010160086,Panel A,10101016,N05,MAIN MARKET,,OUTSIDE THE DISTRICT
47,101010160096,Panel A,10101016,N01,OTHER (SPECIFY),UNKNOWN PERSON,NEAR THE DISTRICT/URBAN CENTER
63,101010160143,Panel A,10101016,N01,VILLAGE HEADMAN,,WITHIN THE VILLAGE
63,101010160143,Panel A,10101016,N02,PARASTATAL ORGANIZATION,,NEAR THE VILLAGE
63,101010160143,Panel A,10101016,N03,FRIEND/NEIGHBOR,,NEAR THE VILLAGE
63,101010160143,Panel A,10101016,N04,RELATIVE,,WITHIN THE VILLAGE
63,101010160143,Panel A,10101016,N05,PRIVATE COMPANY/BUSINESS PERSON,,OUTSIDE THE DISTRICT
59,101010160159,Panel A,10101016,N01,FRIEND/NEIGHBOR,,NEAR THE VILLAGE
59,101010160159,Panel A,10101016,N02,ROADSIDE,,WITHIN THE VILLAGE
59,101010160159,Panel A,10101016,N03,LOCAL MARKET,,NEAR THE VILLAGE
33,101010160180,Panel A,10101016,N01,VILLAGE HEADMAN,,NEAR THE VILLAGE
33,101010160180,Panel A,10101016,N02,PARASTATAL ORGANIZATION,,NEAR THE VILLAGE
33,101010160180,Panel A,10101016,N03,RELATIVE,,WITHIN THE VILLAGE
33,101010160180,Panel A,10101016,N04,LOCAL MARKET,,NEAR THE VILLAGE
33,101010160180,Panel A,10101016,N05,FRIEND/NEIGHBOR,,WITHIN THE VILLAGE
49,101010160207,Panel A,10101016,N01,FRIEND/NEIGHBOR,,NEAR THE VILLAGE
49,101010160207,Panel A,10101016,N02,RELATIVE,,WITHIN THE VILLAGE
49,101010160207,Panel A,10101016,N03,MOBILE MARKET,,OUTSIDE THE DISTRICT
49,101010160207,Panel A,10101016,N04,LOCAL MARKET,,NEAR THE VILLAGE
53,101010160235,Panel A,10101016,N01,MOBILE MARKET,,NEAR THE TOWN
53,101010160235,Panel A,10101016,N02,GOVERNMENT AGENCY,,NEAR THE TOWN
53,101010160235,Panel A,10101016,N03,AUCTION IN MAIN MARKET,,OUTSIDE THE DISTRICT
43,101010160254,Panel A,10101016,N01,RELATIVE,,WITHIN THE VILLAGE
43,101010160254,Panel A,10101016,N02,RELATIVE,,WITHIN THE VILLAGE
39,101010160265,Panel A,10101016,N01,RELATIVE,,WITHIN THE VILLAGE
39,101010160265,Panel A,10101016,N02,RELATIVE,,WITHIN THE VILLAGE
39,101010160265,Panel A,10101016,N03,VILLAGE HEADMAN,,WITHIN THE VILLAGE
39,101010160265,Panel A,10101016,N04,PARASTATAL ORGANIZATION,,NEAR THE VILLAGE
40,101012040003,Panel B,10101204,N01,VILLAGE HEADMAN,,WITHIN THE VILLAGE
40,101012040003,Panel B,10101204,N02,PARASTATAL ORGANIZATION,,NEAR THE VILLAGE
40,101012040003,Panel B,10101204,N03,FRIEND/NEIGHBOR,,NEAR THE VILLAGE
40,101012040003,Panel B,10101204,N04,RELATIVE,,WITHIN THE VILLAGE
40,101012040003,Panel B,10101204,N05,LOCAL MARKET,,NEAR THE VILLAGE
40,101012040003,Panel B,10101204,N06,MOBILE MARKET,,OUTSIDE THE DISTRICT
62,101012040007,Panel B,10101204,N01,VILLAGE HEADMAN,,WITHIN THE VILLAGE
62,101012040007,Panel B,10101204,N02,LOCAL MARKET,,NEAR THE VILLAGE
42,101012040011,Panel B,10101204,N01,VILLAGE HEADMAN,,WITHIN THE VILLAGE
42,101012040011,Panel B,10101204,N02,MOBILE MARKET,,WITHIN THE VILLAGE
42,101012040011,Panel B,10101204,N03,PRIVATE COMPANY/BUSINESS PERSON,,NEAR THE TOWN
42,101012040011,Panel B,10101204,N04,TRUST,,NEAR THE VILLAGE
42,101012040011,Panel B,10101204,N05,LOCAL MARKET,,WITHIN THE VILLAGE
42,101012040011,Panel B,10101204,N06,AUCTION IN MAIN MARKET,,OUTSIDE THE DISTRICT
44,101012040020,Panel B,10101204,N01,LOCAL MARKET,,WITHIN THE VILLAGE
44,101012040020,Panel B,10101204,N02,FRIEND/NEIGHBOR,,NEAR THE TOWN
44,101012040020,Panel B,10101204,N03,TRUST,,NEAR THE TOWN
44,101012040020,Panel B,10101204,N04,FRIEND/NEIGHBOR,,WITHIN THE VILLAGE
44,101012040020,Panel B,10101204,N05,AUCTION IN MAIN MARKET,,OUTSIDE THE DISTRICT
38,101012040024,Panel B,10101204,N01,LOCAL MARKET,,NEAR THE VILLAGE
38,101012040024,Panel B,10101204,N02,TRUST,,NEAR THE TOWN
38,101012040024,Panel B,10101204,N03,LOCAL MARKET,,NEAR THE VILLAGE
38,101012040024,Panel B,10101204,N04,AUCTION IN MAIN MARKET,,OUTSIDE THE DISTRICT
52,101012040028,Panel B,10101204,N01,VILLAGE HEADMAN,,WITHIN THE VILLAGE
52,101012040028,Panel B,10101204,N02,PARASTATAL ORGANIZATION,,NEAR THE VILLAGE
52,101012040028,Panel B,10101204,N03,AGRICULTURAL COOPERATIVE,,NEAR THE DISTRICT/URBAN CENTER
52,101012040028,Panel B,10101204,N04,FRIEND/NEIGHBOR,,WITHIN THE VILLAGE
52,101012040028,Panel B,10101204,N05,AUCTION IN MAIN MARKET,,OUTSIDE THE DISTRICT
50,101012040037,Panel B,10101204,N01,VILLAGE HEADMAN,,WITHIN THE VILLAGE
50,101012040037,Panel B,10101204,N02,PRIVATE COMPANY/BUSINESS PERSON,,NEAR THE VILLAGE
50,101012040037,Panel B,10101204,N03,FRIEND/NEIGHBOR,,WITHIN THE VILLAGE
50,101012040037,Panel B,10101204,N04,PARASTATAL ORGANIZATION,,NEAR THE DISTRICT/URBAN CENTER
50,101012040037,Panel B,10101204,N05,LOCAL MARKET,,NEAR THE VILLAGE
50,101012040037,Panel B,10101204,N06,RELATIVE,,WITHIN THE VILLAGE
50,101012040037,Panel B,10101204,N07,LOCAL MARKET,,NEAR THE VILLAGE
50,101012040037,Panel B,10101204,N08,AUCTION IN MAIN MARKET,,OUTSIDE THE DISTRICT
54,101012040041,Panel B,10101204,N01,VILLAGE HEADMAN,,WITHIN THE VILLAGE
54,101012040041,Panel B,10101204,N02,PARASTATAL ORGANIZATION,,NEAR THE VILLAGE
54,101012040041,Panel B,10101204,N03,PRIVATE TRADER IN LOCAL MARKET,,NEAR THE DISTRICT/URBAN CENTER
