case_id,hhid,gardenid,plotid,ag_o01,ag_o01a,ag_o03_2a,ag_o03_2b,ag_o03_2c,ag_o04a,ag_o04b,ag_o04b_oth,ag_o04c,ag_o05e,ag_o05e_oth,ag_o06,ag_o06a,ag_o07
101011020021,8f5ce0fbc5db43ffa0048a4f32e55a1b,RG01,T01,yes,RAINY SEASON GARDENS,RG01,.,.,1,acre,,.86,,,9,3,Clear/Sunny
101011020021,8f5ce0fbc5db43ffa0048a4f32e55a1b,TG01,T01,yes,TREE/PERMANENT CROP GARDENS,.,.,TG01,.5,acre,,.55,,,9,3,Clear/Sunny
101011020032,7efe8aed09d34ed281a3589e70a288f1,RG01,T01,yes,RAINY SEASON GARDENS,RG01,.,.,1,acre,,1,,,11,3,Clear/Sunny
101011020032,7efe8aed09d34ed281a3589e70a288f1,TG01,T01,yes,TREE/PERMANENT CROP GARDENS,.,.,TG01,1,acre,,.9,,,12,3,Clear/Sunny
101011020056,3a5f7d1f82ea4564b9fae896b905a3e3,TG01,T01,yes,TREE/PERMANENT CROP GARDENS,.,.,TG01,.75,acre,,.75,,,11,3,Clear/Sunny
101011020168,4d61a019440549c59a61dcd5e240221d,TG01,T01,yes,TREE/PERMANENT CROP GARDENS,.,.,TG01,.5,acre,,.63,,,12,3,Clear/Sunny
101011020168,4d61a019440549c59a61dcd5e240221d,TG02,T02,yes,TREE/PERMANENT CROP GARDENS,.,.,TG02,.2,acre,,.01,,,11,3,Clear/Sunny
101011020189,c3b650214aa84f82ac7a40d2be1ad16b,RG02,T01,yes,RAINY SEASON GARDENS,RG02,.,.,.5,acre,,.21,,,11,3,Clear/Sunny
101011020211,dfc01ccdb1df402ea02ece42b6da4859,TG01,T01,yes,TREE/PERMANENT CROP GARDENS,.,.,TG01,.5,acre,,.18,,,12,3,Clear/Sunny
101011030080,84478d9243fd4d5ab454e0fb43860a13,TG01,T01,yes,TREE/PERMANENT CROP GARDENS,.,.,TG01,.2,acre,,.18,,,9,3,Partly Cloudy / Partly Sunny
101011040032,f400eed29e264fa49662363907672d02,TG01,T01,yes,TREE/PERMANENT CROP GARDENS,.,.,TG01,.5,acre,,.8,,,11,3,Partly Cloudy / Partly Sunny
101011050198,db347b0ebd084587a1136425ba920830,TG01,T01,yes,TREE/PERMANENT CROP GARDENS,.,.,TG01,.25,acre,,.2,,,11,3,Partly Cloudy / Partly Sunny
101011060128,b064eb1c97364ce29a5349cc9306f2da,TG01,T01,yes,TREE/PERMANENT CROP GARDENS,.,.,TG01,.25,acre,,.74,,,11,3,Mostly Cloudy / Considerable Cloudiness
101011060128,b064eb1c97364ce29a5349cc9306f2da,TG02,T02,yes,TREE/PERMANENT CROP GARDENS,.,.,TG02,.1,acre,,,,,,,
101011060166,6d105aac831a404481ab6b2edfb131ee,RG01,T01,yes,RAINY SEASON GARDENS,RG01,.,.,.2,acre,,,,,,,
