case_id,hhid,hh_n09a,hh_n09b,hh_n09c,hh_n10a,hh_n10b,hh_n11,hh_n12a,hh_n12b,hh_n13a,hh_n13b,hh_n14,hh_n14_oth,hh_n15a,hh_n15b,hh_n16a,hh_n16b,hh_n16_oth,hh_n17,hh_n18,hh_n19,hh_n19_oth,hh_n20a,hh_n20b,hh_n20_oth,hh_n21a,hh_n21b,hh_n21c,hh_n22,hh_n23,hh_n24,hh_n24_oth,hh_n25a,hh_n25b,hh_n25c,hh_n25d,hh_n25e,hh_n25f,hh_n25g,hh_n25h,hh_n25i,hh_n25j,hh_n25k,hh_n25l,hh_n25m,hh_n25n,hh_n25o,hh_n25p,hh_n25q,hh_n25r,hh_n25s,hh_n25t,hh_n25u,hh_n25v,hh_n25w,hh_n25x,hh_n25y,hh_n26a,hh_n26b,hh_n26_oth,hh_n27,hh_n28,hh_n29a,hh_n29b,hh_n29_oth,hh_n30a1,hh_n30b1,hh_n30c1,hh_n30d1,hh_n30a2,hh_n30b2,hh_n30c2,hh_n30d2,hh_n30a3,hh_n30b3,hh_n30c3,hh_n30d3,hh_n30a4,hh_n30b4,hh_n30c4,hh_n30d4,hh_n30a5,hh_n30b5,hh_n30c5,hh_n30d5,hh_n30a6,hh_n30b6,hh_n30c6,hh_n30d6,hh_n31a1,hh_n31b1,hh_n31c1,hh_n31d1,hh_n31a2,hh_n31b2,hh_n31c2,hh_n31d2,hh_n31a3,hh_n31b3,hh_n31c3,hh_n31d3,hh_n32,hh_n34,hh_n35,hh_n36,hh_n37,hh_n38,hh_n39,hh_n40,hh_n41a,hh_n41b,hh_n41c,hh_n41d,hh_n41e,hh_n41f,hh_n41g,hh_n41h,hh_n41h_oth
101011000043,df2f79020a7a4b1c889edca2005183b8,1,SELLINGFIREWOOD,47,2,,1,2,,0,0,,,January,2012,No start-up capital,,,Home (outside residence),,,,Final consumers,,,no,no,no,no,yes,Forest/wild park reserve,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,yes,,,,2,25,2,4,,,,,,,,,,,,,,,,,,,,,0,,,,0,,,,0,,,,7000,0,7000,,,,,7000,0,0,0,0,0,0,0,0,
101011000053,755889c7f7294da39fb08cde3e0e70ee,1,OWNINGASHOP/GROCERY,47,1,2,1,1,2,0,0,,,December,2008,Own-savings from agriculture,,,Home (outside residence),,,,Final consumers,,,no,no,yes,no,no,,,average,average,average,average,average,average,average,average,average,average,average,average,,,,,,,,,,,,,,,,,Yes,,,,,2,26,4,12,1,26,8,12,,,,,,,,,,,,,,,,,0,,,,0,,,,0,,,,10000,,,10000,45000,,,7000,0,30000,5000,0,0,0,0,0,
101011000063,6957cc92b3ee44539eb128680bd132a2,1,BUTCHERY,47,1,,1,1,5,1,0,About 75%,,July,2009,Own-savings from agriculture,,,Traditional market place,,,,Final consumers,,,no,no,no,no,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,1,12,8,4,,,,,,,,,,,,,,,,,,,,,0,,,,0,,,,0,,,,60000,,,35000,85000,,,15000,30000,12000,0,0,0,0,0,0,
101011000073,a379ff91a7584a0481a7a9b587de9098,1,GROCERYBUSINESS,47,1,2,1,1,2,0,0,,,September,2015,Own-savings from agriculture,,,Home (outside residence),,,,Final consumers,,,no,no,yes,no,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,1,30,8,7,2,30,2,7,3,30,3,7,,,,,,,,,,,,,0,,,,0,,,,0,,,,15000,4000,25000,,,,,3000,0,10000,0,0,0,0,0,0,
101011000117,7ff5cfee1e63465a946525e5a57fb0e8,1,BEERBREAWING,11,1,,1,1,,0,0,,,November,2015,Own-savings from agriculture,,,Home (inside residence),,,,Final consumers,,,no,no,no,no,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,1,7,4,5,,,,,,,,,,,,,,,,,,,,,0,,,,0,,,,2,2,1,2000,6000,4000,7000,,,,,2500,1500,2000,0,1000,0,0,0,0,
101011003026,882b198fc9a04f429bb18bd01e9e6515,1,ZITUMBUWABUSINESS,10,1,,1,1,,0,0,,,June,2015,Own-savings from agriculture,,,Home (outside residence),,,,Final consumers,,,no,no,no,no,no,,,,,,,NOT OPERATE,NOT OPERATE,,,,NOT OPERATE,NOT OPERATE,,,,,,,,,,,,,,,Seasonal work,Not profitable,,Yes,,,,,1,6,7,6,,,,,,,,,,,,,,,,,,,,,0,,,,0,,,,0,,,,4000,,,1500,3500,,,1000,2500,2500,0,600,0,0,0,2500,N/A
101011003077,94c058d21de14526aa9af6c8af68f199,1,MAKINGANDSELLINGFREEZES,47,2,,2,2,,0,0,,,November,2015,Gift from family/friends,,,Home (inside residence),,,,Other (specify),,FINAL CONSUMER,no,no,no,no,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,2,7,1,5,,,,,,,,,,,,,,,,,,,,,0,,,,0,,,,0,,,,2000,,,500,3000,,,600,2400,1000,0,0,0,0,0,0,
101011010036,a60210b86f654bccb7ae6371d7c00d18,1,GROCERY,47,1,,1,1,,0,0,,,April,2014,Own-savings from agriculture,,,Home (outside residence),,,,Final consumers,,,no,no,no,no,no,,,low,low,low,low,low,low,low,low,low,low,low,low,,,,,,,,,,,,,,,,,No,yes,,,,1,24,8,7,,,,,,,,,,,,,,,,,,,,,0,,,,0,,,,0,,,,24000,,,0,0,,,6000,0,18000,0,0,0,0,0,0,
101011020032,7efe8aed09d34ed281a3589e70a288f1,1,MANDASI BUSINESS,10,2,,2,2,,0,0,,,May,2013,Loan from money lender,,,Traditional market place,,,,Final consumers,,,no,no,no,no,no,,,low,low,low,low,low,,,NOT OPERATE,NOT OPERATE,NOT OPERATE,NOT OPERATE,NOT OPERATE,,,,,,,,,,,,,,Seasonal work,Not profitable,,Yes,,,,,2,25,8,7,,,,,,,,,,,,,,,,,,,,,0,,,,0,,,,0,,,,37500,,,,,25000,37500,10400,27100,0,0,0,0,0,0,0,
101011020077,276bc07604c94755a89011471cea0640,1,SELLING  THATCHING GRASS,47,1,,1,1,,0,0,,,June,2015,No start-up capital,,,Home (outside residence),,,,Final consumers,,,no,no,no,no,no,,,low,low,low,low,low,low,,NOT OPERATE,NOT OPERATE,NOT OPERATE,NOT OPERATE,NOT OPERATE,NOT OPERATE,,,,,,,,,,,,,Seasonal work,,,Yes,,,,,1,13,5,5,,,,,,,,,,,,,,,,,,,,,0,,,,0,,,,0,,,,11000,,,2000,11000,,,11000,0,0,0,0,0,0,0,0,
