case_id,hhid,ag_l0c,ag_l0c_oth,ag_l01a,ag_l01b,ag_l01b_oth,ag_l02,ag_l03,ag_l04,ag_l06a,ag_l06b,ag_l07a,ag_l07b,ag_l07b_oth,ag_l08,ag_l08_oth,ag_l09,ag_l10,ag_l11,ag_l12,ag_l13,ag_l14a,ag_l14b,ag_l37,ag_l38a,ag_l38b,ag_l38b_oth,ag_l39a,ag_l39b,ag_l40,ag_l41,ag_l42a,ag_l42b,ag_l42b_oth,ag_l43,ag_l44a,ag_l44b,ag_l44b_oth
101011020112,2f251fa85857436b8bc97011ef49b193,23:21:0+4S/CHITOWE,,20,kilogram,,"YES, THE FIGURES MATCHED",no,yes,3,,20,kilogram,,On Foot,,0,6000,"Paid in full, with own-savings",,,,.,no,,,,.,,,no,,,,,,,
101011020112,2f251fa85857436b8bc97011ef49b193,insecticide,,2,liter,,"YES, THE FIGURES MATCHED",no,yes,3,,2,liter,,On Foot,,0,1500,"Paid in full, with own-savings",,,,.,no,0,,,3.0,,0,no,0,,,,,,
101011020122,b4d30795984f4926b4ae8d785caea106,23:21:0+4S/CHITOWE,,5,kilogram,,"YES, THE FIGURES MATCHED",no,yes,3,,1,5 KG BAG,,Own Bicycle or Oxcart,,0,3500,"Paid in full, with own-savings",,,,.,no,,,,.,,,no,,,,,,,
101011020122,b4d30795984f4926b4ae8d785caea106,fungicide,,500,milliliter,,"YES, THE FIGURES MATCHED",no,yes,3,,500,milliliter,,Own Bicycle or Oxcart,,0,1800,"Paid in full, with own-savings",,,,.,no,0,,,2.0,,0,no,0,,,,,,
101011020146,5ab09f2e137f497e9d3f4918db6e2457,23:21:0+4S/CHITOWE,,10,kilogram,,"YES, THE FIGURES MATCHED",yes,,,,,,,,,,,,,,,.,,,,,.,,,,,,,,,,
101011020146,5ab09f2e137f497e9d3f4918db6e2457,urea,,10,kilogram,,"YES, THE FIGURES MATCHED",yes,,,,,,,,,,,,,,,.,,,,,.,,,,,,,,,,
101011020157,81b7adc57d8f433bb500d588db7013fd,23:21:0+4S/CHITOWE,,10,kilogram,,"YES, THE FIGURES MATCHED",no,yes,4,,10,kilogram,,Own Bicycle or Oxcart,,0,5000,"Paid in full, with own-savings",,,,.,no,,,,.,,,no,,,,,,,
101011020157,81b7adc57d8f433bb500d588db7013fd,can,,10,kilogram,,"YES, THE FIGURES MATCHED",no,yes,4,,10,kilogram,,Own Bicycle or Oxcart,,0,5400,"Paid in full, with own-savings",,,,.,no,,,,.,,,no,,,,,,,
101011020157,81b7adc57d8f433bb500d588db7013fd,insecticide,,1,liter,,"YES, THE FIGURES MATCHED",no,yes,4,,1,liter,,Own Bicycle or Oxcart,,0,1200,"Paid in full, with own-savings",,,,.,no,0,,,4.0,,0,no,0,,,,,,
101011020189,c3b650214aa84f82ac7a40d2be1ad16b,,,,,,,,,,,,,,,,,,,,,,.,,,,,.,,,,,,,,,,
101011020200,bd062ea22aa446f79088768b5aeb42c9,,,,,,,,,,,,,,,,,,,,,,.,,,,,.,,,,,,,,,,
101011020232,55bd88a435e247a38499356dc01ef67f,,,,,,,,,,,,,,,,,,,,,,.,,,,,.,,,,,,,,,,
101011040171,1a58c153d8d142ddbd8e7bede0fa6abe,Organic Fertilizer,,6,bucket,,"YES, THE FIGURES MATCHED",no,no,,,,,,,,,,,,,,.,,,,,.,,,,,,,yes,6,bucket,
101011060384,d27a9760dcb34417a1c065987d3d5c93,23:21:0+4S/CHITOWE,,5,kilogram,,"YES, THE FIGURES MATCHED",no,yes,2,,5,kilogram,,On Foot,,0,500,"Paid in full, with own-savings",,,,.,no,,,,.,,,no,,,,,,,
101011060384,d27a9760dcb34417a1c065987d3d5c93,OTHER FERTILIZER (SPECIFY),NONE,0,,,"YES, THE FIGURES MATCHED",yes,,,,,,,,,,,,,,,.,,,,,.,,,,,,,,,,
101021090035,9bfac3ebe5b945dab24a3a6cf3f531c7,,,,,,,,,,,,,,,,,,,,,,.,,,,,.,,,,,,,,,,
101021090149,b33961495abf4ad0afc69efeea23ba61,Organic Fertilizer,,12,bucket,,"YES, THE FIGURES MATCHED",no,no,,,,,,,,,,,,,,.,no,,,,.,,,no,,,,yes,12,bucket,
101021090149,b33961495abf4ad0afc69efeea23ba61,23:21:0+4S/CHITOWE,,200,kilogram,,"YES, THE FIGURES MATCHED",no,yes,4,,4,50 KG BAG,,Own Bicycle or Oxcart,,0,92000,"Paid in full, with own-savings",,,,,no,,,,.,,,no,,,,,,,
101021090206,d24e160d18054d3fbe9fd5cd3febf1fb,,,,,,,,,,,,,,,,,,,,,,.,,,,,.,,,,,,,,,,
101021090225,d2eff8458cbc4973bd19540049a785b6,,,,,,,,,,,,,,,,,,,,,,.,,,,,.,,,,,,,,,,
101021100010,0f2a6bc1f8f3476da532df54edf32e32,23:21:0+4S/CHITOWE,,20,kilogram,,"YES, THE FIGURES MATCHED",no,yes,2,,20,kilogram,,On Foot,,0,5000,"Paid in full, with own-savings",,,,.,no,,,,.,,,no,,,,,,,
101021100010,0f2a6bc1f8f3476da532df54edf32e32,urea,,20,kilogram,,"YES, THE FIGURES MATCHED",no,yes,2,,20,kilogram,,On Foot,,0,5000,"Paid in full, with own-savings",,,,.,no,,,,.,,,no,,,,,,,
101021100020,63ed8484afcc4d81a94787f181daaa9c,23:21:0+4S/CHITOWE,,15,kilogram,,"YES, THE FIGURES MATCHED",no,yes,7,,15,kilogram,,On Foot,,0,6000,"Paid in full, with own-savings",,,,.,no,,,,.,,,no,,,,,,,
101021100020,63ed8484afcc4d81a94787f181daaa9c,urea,,15,kilogram,,"YES, THE FIGURES MATCHED",no,yes,7,,15,kilogram,,On Foot,,0,5000,"Paid in full, with own-savings",,,,.,no,,,,.,,,no,,,,,,,
101021100061,97cf255d846147d4a761af2f93534d47,,,,,,,,,,,,,,,,,,,,,,.,,,,,.,,,,,,,,,,
101021100071,3b2d84cd39e9485e8cc9f5d8dda31312,,,,,,,,,,,,,,,,,,,,,,.,,,,,.,,,,,,,,,,
101021100082,6877f51463284bab9776e27ac99ffe4e,,,,,,,,,,,,,,,,,,,,,,.,,,,,.,,,,,,,,,,
