case_id,hhid,CostsID,fs_f04,fs_f04_oth,fs_f05
102041400129,e99c4f24ae1a4b4c88b15e84a509faed,2,yes,,1000
102051430101,6c1d67be72734fa6bc1262795e6dfeda,2,yes,,4000
103011500077,9a6ef6edf7554404b515bc38af73fe89,2,yes,,3000
103011500077,9a6ef6edf7554404b515bc38af73fe89,3,yes,,500
103011500077,9a6ef6edf7554404b515bc38af73fe89,5,yes,,500
103011510023,398626a3b4e24a01bb6e17a63f4d7b78,2,yes,,2500
103041550225,bd303448e341418babe957994438e3a4,2,yes,,3000
103041560011,5facd51c70be45edba22c3dc65633cbf,2,yes,,1500
103061600033,40c946603a674215878b8d31828dd6c0,2,yes,,1000
103061600033,40c946603a674215878b8d31828dd6c0,6,yes,Plastic papers,1000
103061600056,1859860260824f6689c4bf15a6b2eb6e,5,yes,,1500
103061600056,1859860260824f6689c4bf15a6b2eb6e,6,yes,"""Plastic papers """,500
103061600202,6feae0b98ff447729ed539e1ec2ba95c,1,yes,,2000
103061600202,6feae0b98ff447729ed539e1ec2ba95c,2,yes,,3000
103081620127,e8a47dd94eb8405f884217260c58ab30,2,yes,,8000
103081620268,031e4883262d4934bcac67e031770853,2,yes,,3500
103081620268,031e4883262d4934bcac67e031770853,5,yes,,500
103091640150,9f4acc45075e445390de3771cac29b10,2,yes,,5000
103121660085,b8ae7be8d7ac456c8c4363c3172a0cbd,2,yes,,3000
103121680279,6722c5108f494fa7b2129ba5366656d9,2,yes,,1000
103121680364,23be6551653a4a0284ec5ef0a5f0b383,2,yes,,3000
103201700023,200abe65cf81492996fb536cdba870de,2,yes,,2000
103201700102,48d11b47d14a4d2a855f5fec1c8e8cd8,1,yes,,5000
103201700159,d4b20eee007e44c0a28d773f16c41258,1,yes,,30000
103201700159,d4b20eee007e44c0a28d773f16c41258,2,yes,,30000
103201700159,d4b20eee007e44c0a28d773f16c41258,5,yes,,10000
103201700170,06cd9a308c6d4a309d1f2ee191d511e8,1,yes,,1000
103201700170,06cd9a308c6d4a309d1f2ee191d511e8,2,yes,,10000
104021810017,69fe1296e62643ae831589db3e368cee,2,yes,,6500
104021810042,3ac5a8e86df9427f905e18c85060093b,2,yes,,3600
104021810075,33d72c15c22e4193a22f89d6087978f6,1,yes,,15000
104021810075,33d72c15c22e4193a22f89d6087978f6,2,yes,,4000
104021810117,df0b43e26caa4c2fbd8422b108fbbede,2,yes,,1000
104021810175,2a587a238d7248f6bb0505a7657a9ca2,1,yes,,400
104021810175,2a587a238d7248f6bb0505a7657a9ca2,2,yes,,9200
104021810175,2a587a238d7248f6bb0505a7657a9ca2,5,yes,,400
105022000029,a2bf6c35fdcd42c69a5c5d4e4ce498ec,2,yes,,1600
105022000029,a2bf6c35fdcd42c69a5c5d4e4ce498ec,6,yes,"""Plastic papers """,200
105202190223,bc6852e572de444e85158af694a0bc75,2,yes,,10000
106012200022,9f5a35f8683f4072ba8dd79fbe2893b3,2,yes,,8500
