case_id,hhid,crop_code,ag_q01,ag_q02a,ag_q02b,ag_q02b_oth,ag_q02c,ag_q03,ag_q05a,ag_q05b,ag_q06a,ag_q06b,ag_q07a,ag_q07b,ag_q08,ag_q09,ag_q09_oth,ag_q10,ag_q31a,ag_q31b,ag_q31b_oth,ag_q31c,ag_q32a,ag_q32b,ag_q32b_oth,ag_q32c,ag_q33a,ag_q33b,ag_q33b_oth,ag_q33c,ag_q34a,ag_q34b,ag_q34b_oth,ag_q34c,ag_q35a,ag_q35b,ag_q35b_oth,ag_q35c,ag_q35d,ag_q36a,ag_q36b,ag_q36_oth,ag_q37,ag_q38,ag_q38_oth,ag_q39a,ag_q39b,ag_q39b_oth,ag_q39c,ag_q40a,ag_q40b,ag_q40_oth,ag_q41a,ag_q41b,ag_q41_oth
101011020021,8f5ce0fbc5db43ffa0048a4f32e55a1b, CASSAVA,no,,,,,,,,,,,,,,,,0,,,,0,,,,0,,,,0,,,,1,PAIL (SMALL),,NOT APPLICABLE,5,Rotting,,,no,,,,,,,,,,Food for household,,
101011020021,8f5ce0fbc5db43ffa0048a4f32e55a1b,banana,yes,3,OTHER (SPECIFY),BASKET (UNSPECIFIED SIZE),NOT APPLICABLE,3500,5,,1,2,august,2016,2,On Foot,,0,0,,,,0,,,,0,,,,0,,,,1,PAIL (SMALL),,NOT APPLICABLE,5,Rotting,Rodents/Pests,,no,,,,,,,,,,Food for household,To sell at a higher price,
101011020032,7efe8aed09d34ed281a3589e70a288f1,banana,no,,,,,,,,,,,,,,,,0,,,,0,,,,0,,,,0,,,,1,PAIL (SMALL),,NOT APPLICABLE,6,Rotting,,,no,,,,,,,,,,Food for household,Render payments in-kind,
101011020032,7efe8aed09d34ed281a3589e70a288f1, CASSAVA,yes,2,OTHER (SPECIFY),90 KG BAG,NOT APPLICABLE,20000,2,,1,2,september,2015,2,Own Bicycle or Oxcart,,0,0,,,,0,,,,0,,,,0,,,,1,PAIL (SMALL),,NOT APPLICABLE,5,Rotting,Rodents/Pests,,no,,,,,,,,,,Food for household,To sell at a higher price,
101011020056,3a5f7d1f82ea4564b9fae896b905a3e3, CASSAVA,no,,,,,,,,,,,,,,,,0,,,,0,,,,0,,,,1,50 KG BAG,,NOT APPLICABLE,1,PAIL (SMALL),,NOT APPLICABLE,5,Rotting,Rodents/Pests,,no,,,,,,,,,,Food for household,Seed for planting,
101011020056,3a5f7d1f82ea4564b9fae896b905a3e3,banana,yes,10,OTHER (SPECIFY),BASKET (UNSPECIFIED SIZE),NOT APPLICABLE,10000,4,,1,2,june,2016,3,On Foot,,0,0,,,,0,,,,0,,,,0,,,,1,PAIL (SMALL),,NOT APPLICABLE,5,Rotting,,,yes,Other (Specify),PUT IN A PLASTIC BAG,6,OTHER (SPECIFY),DENGU,NOT APPLICABLE,Did Nothing,,,Food for household,To sell at a higher price,
101011020168,4d61a019440549c59a61dcd5e240221d, CASSAVA,no,,,,,,,,,,,,,,,,0,,,,0,,,,0,,,,0,,,,0,,,,1,Rodents/Pests,,,no,,,,,,,,,,Food for household,,
101011020168,4d61a019440549c59a61dcd5e240221d,mango,yes,2,PAIL (LARGE),,NOT APPLICABLE,1000,5,,1,,december,2015,5,On Foot,,0,0,,,,0,,,,0,,,,0,,,,2,PAIL (SMALL),,NOT APPLICABLE,10,Rotting,Other (Specify),IMPROPER STORAGE,no,,,,,,,,,,Does not usually store,,
101011020189,c3b650214aa84f82ac7a40d2be1ad16b, CASSAVA,yes,1,PAIL (LARGE),,NOT APPLICABLE,18000,2,,1,2,january,2015,2,Buyer picked up the crop,,0,1,PAIL (SMALL),,NOT APPLICABLE,0,,,,0,,,,1,50 KG BAG,,NOT APPLICABLE,10,kilogram,,S: SHELLED,1,Rotting,Insects,,no,,,,,,,,,,Food for household,Wait for the arrival of buyer,
101011020211,dfc01ccdb1df402ea02ece42b6da4859, CASSAVA,no,,,,,,,,,,,,,,,,1,PAIL (SMALL),,NOT APPLICABLE,0,,,,0,,,,0,,,,1,PAIL (LARGE),,NOT APPLICABLE,3,Insects,Rotting,,no,,,,,,,,,,Food for household,Seed for planting,
101011030080,84478d9243fd4d5ab454e0fb43860a13,banana,no,,,,,,,,,,,,,,,,0,,,,0,,,,0,,,,0,,,,1,bunch,,U: UNSHELLED,5,Rotting,,,no,,,,,,,,,,Food for household,,
101011040032,f400eed29e264fa49662363907672d02, CASSAVA,no,,,,,,,,,,,,,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,no,,,,,,,,,,Food for household,,
101011050198,db347b0ebd084587a1136425ba920830,banana,no,,,,,,,,,,,,,,,,0,,,,0,,,,0,,,,0,,,,1,PAIL (SMALL),,NOT APPLICABLE,5,Rotting,Rodents/Pests,,no,,,,,,,,,,Food for household,,
101011060128,b064eb1c97364ce29a5349cc9306f2da,mango,no,,,,,,,,,,,,,,,,0,,,,0,,,,0,,,,0,,,,2,PAIL (LARGE),,NOT APPLICABLE,20,Rotting,,,yes,Heaped in house,,1,PAIL (SMALL),,NOT APPLICABLE,Did Nothing,,,Food for household,Does not usually store,
101011060128,b064eb1c97364ce29a5349cc9306f2da, CASSAVA,no,,,,,,,,,,,,,,,,0,,,,0,,,,0,,,,0,,,,0,,,,4,Rotting,,,no,,,,,,,,,,Food for household,,
101011060166,6d105aac831a404481ab6b2edfb131ee,mango,no,,,,,,,,,,,,,,,,0,,,,0,,,,0,,,,0,,,,1,50 KG BAG,,NOT APPLICABLE,10,Rotting,,,no,,,,,,,,,,Does not usually store,,
101011060166,6d105aac831a404481ab6b2edfb131ee,banana,no,,,,,,,,,,,,,,,,0,,,,0,,,,0,,,,0,,,,0,,,,3,Other (Specify),,IMPROPER STORAGE,no,,,,,,,,,,Does not usually store,,
101011070039,649214366d5f4a71998705c5618628ea, CASSAVA,no,,,,,,,,,,,,,,,,0,,,,0,,,,0,,,,0,,,,1,piece,,S: SHELLED,1,Insects,,,no,,,,,,,,,,Food for household,,
101011070151,524ca16282a7466a84897b5ae0b61e06, CASSAVA,no,,,,,,,,,,,,,,,,0,,,,0,,,,0,,,,0,,,,0,,,,2,Rodents/Pests,,,no,,,,,,,,,,Food for household,,
101011070170,919b0d0d8feb48dfa741c873ef606ced, CASSAVA,no,,,,,,,,,,,,,,,,0,,,,0,,,,0,,,,1,50 KG BAG,,NOT APPLICABLE,1,PAIL (LARGE),,U: UNSHELLED,1,Rotting,Insects,,no,,,,,,,,,,Food for household,Seed for planting,
101011070207,7d1df01124a9445ab18c4e9d1ec4f2bf, CASSAVA,yes,8,OTHER (SPECIFY),90 KG BAG,NOT APPLICABLE,43000,4,,1,2,february,2016,9,Buyer picked up the crop,,0,4,PAIL (LARGE),,NOT APPLICABLE,0,,,,0,,,,3,50 KG BAG,,NOT APPLICABLE,2,PAIL (SMALL),,NOT APPLICABLE,1,Rotting,Insects,,no,,,,,,,,,,To sell at a higher price,Food for household,
101011070282,13c91cc2889c4d66a30e50e88bd84e37, CASSAVA,no,,,,,,,,,,,,,,,,0,,,,0,,,,0,,,,0,,,,1,PAIL (SMALL),,U: UNSHELLED,5,Rodents/Pests,Rotting,,no,,,,,,,,,,Food for household,Does not usually store,
101011080017,5858dd2f986c4aa98156f2278684e25f,banana,yes,4,50 KG BAG,,U: UNSHELLED,6000,4,,1,,april,2016,5,On Foot,,0,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,no,,,,,,,,,,Does not usually store,,
101021090054,3ae0b83292a04feb945ecfa7654f85af,coffee,yes,170,kilogram,,S: SHELLED,136000,3,,1,2,july,2016,1,Buyer picked up the crop,,0,0,,,,0,,,,0,,,,0,,,,0,,,,8,Rodents/Pests,,,no,,,,,,,,,,Wait for the arrival of buyer,,
101021090092,fa7181b8a48141e9b5375f9f07696b4a,OTHER (SPECIFY),yes,317,OTHER (SPECIFY),TREES,NOT APPLICABLE,950000,1,,1,2,december,2016,10,Own Bicycle or Oxcart,,0,0,,,,0,,,,0,,,,0,,,,0,,,,1,Rotting,,,no,,,,,,,,,,To sell at a higher price,,
101021090092,fa7181b8a48141e9b5375f9f07696b4a,coffee,yes,1300,kilogram,,NOT APPLICABLE,320000,2,,1,2,july,2016,1,Own Bicycle or Oxcart,,0,0,,,,0,,,,0,,,,0,,,,0,,,,1,Insects,,,no,,,,,,,,,,To sell at a higher price,,
