ea_id,com_cb01,com_cb03,com_cb04,com_cb05,com_cb05_oth,com_cb05_1,com_cb06,com_cb07,com_cb08
10101100,9,male,34,RELIGIOUS LEADER,,3,3,NON-UNIVERSITY DIPLOMA,chewa
10101100,5,female,36,OTHER (SPECIFY),Vice VDC Chairman,1,36,pslc,lambya
10101100,4,female,42,COUNSELOR TO HEADMAN,,1,42,pslc,lambya
10101100,1,male,34,HEALTH WORKER,,8,8,msce,lambya
10101100,7,male,48,headman,,3,48,pslc,lambya
10101100,3,male,41,HEALTH WORKER,,12,41,msce,lambya
10101100,2,male,32,OTHER (SPECIFY),VDC Vice secretary,1,32,pslc,lambya
10101100,8,male,33,SCHOOL HEADMASTER,,4,28,msce,lambya
10101100,10,male,35,HEALTH WORKER,,5,5,msce,chewa
10101100,6,female,41,BUSINESS MAN/WOMAN,,2,35,pslc,lambya
10101101,1,male,55,headman,,16,48,jce,lambya
10101101,2,male,46,HEALTH WORKER,,16,9,msce,tumbuka
10101101,5,female,47,OTHER (SPECIFY),"""VDC committee member """,12,37,pslc,lambya
10101101,3,female,51,RELIGIOUS LEADER,,51,51,pslc,lambya
10101101,4,female,39,OTHER (SPECIFY),"""VDC committee member """,8,39,jce,lambya
10101102,3,male,38,BUSINESS MAN/WOMAN,,10,38,jce,lambya
10101102,5,female,50,OTHER (SPECIFY),"""VDC committee member """,5,50,pslc,lambya
10101102,2,male,71,RELIGIOUS LEADER,,21,64,jce,lambya
10101102,4,female,42,HEALTH WORKER,,11,7,msce,chewa
10101102,1,male,63,headman,,15,49,msce,lambya
10101102,6,female,67,OTHER (SPECIFY),"""VDC committee member """,9,67,pslc,lambya
10101103,5,male,40,RELIGIOUS LEADER,,6,40,pslc,sukwa
10101103,3,female,29,SCHOOL TEACHER,,8,32,msce,sukwa
10101103,1,male,54,headman,,20,52,none,lambya
10101103,2,male,37,OTHER (SPECIFY),"""VDC MEMBER """,7,33,jce,lambya
10101103,4,male,36,SCHOOL TEACHER,,10,33,none,lambya
10101104,2,male,51,RELIGIOUS LEADER,,9,51,pslc,lambya
10101104,4,female,37,HEALTH WORKER,,7,7,msce,lambya
10101104,5,male,34,ASSISTANT AGRICULTURAL EXTENSIOND EVELOPMENT OFFICER,,12,2,msce,chewa
10101104,6,male,62,headman,,8,41,jce,lambya
10101104,3,male,28,OTHER (SPECIFY),"""VDC committee member """,3,15,jce,lambya
10101104,1,male,34,COUNSELOR TO HEADMAN,,4,22,jce,lambya
10101105,1,male,36,OTHER (SPECIFY),VDC,8,36,pslc,lambya
10101105,4,female,35,RELIGIOUS LEADER,,6,30,jce,lambya
10101105,3,female,38,OTHER (SPECIFY),"""VDC MEMBER """,10,35,pslc,nyakyusa
10101105,2,male,50,headman,,15,50,none,lambya
10101105,5,male,37,RELIGIOUS LEADER,,5,35,pslc,lambya
10101106,3,male,39,RELIGIOUS LEADER,,15,7,msce,sukwa
10101106,5,male,65,COUNSELOR TO HEADMAN,,5,44,pslc,lambya
10101106,2,female,40,HEALTH WORKER,,13,9,msce,sukwa
10101106,4,male,33,RELIGIOUS LEADER,,6,33,jce,lambya
10101106,1,male,61,headman,,16,41,pslc,lambya
10101107,5,female,37,RELIGIOUS LEADER,,9,35,pslc,sukwa
10101107,1,male,53,headman,,10,53,pslc,lambya
10101107,3,male,39,OTHER (SPECIFY),"""VDC MEMBER """,8,39,pslc,lambya
10101107,2,male,38,HEALTH WORKER,,7,30,msce,sukwa
10101107,4,female,32,OTHER (SPECIFY),"""VDC MEMBER """,2,32,none,lambya
10101108,4,male,38,SCHOOL TEACHER,,11,11,msce,lambya
10101108,2,female,45,RELIGIOUS LEADER,,7,24,jce,lambya
10101108,1,male,61,headman,,32,61,jce,lambya
10101108,3,female,57,OTHER (SPECIFY),"""VDC committee member """,4,39,none,lambya
10101108,5,male,43,headman,,13,43,pslc,lambya
10102109,2,male,55,headman,,13,51,none,sukwa
10102109,5,male,34,OTHER (SPECIFY),"""VDC MEMBER """,3,34,none,sukwa
10102109,3,male,36,OTHER (SPECIFY),"""VDC MEMBER """,1,36,pslc,sukwa
10102109,1,female,33,HEALTH WORKER,,5,15,NON-UNIVERSITY DIPLOMA,sukwa
10102109,4,male,30,OTHER (SPECIFY),"""VDC MEMBER """,2,30,pslc,sukwa
10102110,3,male,47,RELIGIOUS LEADER,,15,15,msce,tumbuka
10102110,2,male,45,SCHOOL HEADMASTER,,12,12,msce,tumbuka
10102110,4,female,39,RELIGIOUS LEADER,,46,46,pslc,sukwa
10102110,1,male,60,headman,,23,60,jce,sukwa
10102110,5,female,51,OTHER (SPECIFY),"""VDC committee member """,12,51,pslc,sukwa
10102111,3,male,41,RELIGIOUS LEADER,,9,39,pslc,lambya
10102111,2,male,34,SCHOOL TEACHER,,6,30,msce,lambya
10102111,1,male,35,SCHOOL TEACHER,,7,31,msce,lambya
10102112,6,male,36,headman,,14,36,msce,sukwa
10102112,1,female,20,OTHER (SPECIFY),VDC committee member,20,3,pslc,sukwa
10102112,2,female,32,HEALTH WORKER,,1,1,msce,sukwa
10102112,3,female,43,RELIGIOUS LEADER,,3,9,none,sukwa
10102112,5,male,49,SCHOOL TEACHER,,8,49,pslc,sukwa
10102112,4,female,29,RELIGIOUS LEADER,,6,29,pslc,sukwa
10103114,6,female,37,RELIGIOUS LEADER,,12,37,none,tumbuka
10103114,5,female,47,OTHER (SPECIFY),VDC Committee members,3,47,jce,tumbuka
10103114,4,male,54,HEALTH WORKER,,15,28,msce,tumbuka
10103114,1,male,62,headman,,22,51,jce,tumbuka
10103114,2,male,30,COUNSELOR TO HEADMAN,,6,30,pslc,tumbuka
10103114,3,female,39,RELIGIOUS LEADER,,10,21,msce,tumbuka
10104116,5,female,27,OTHER (SPECIFY),"""VDC committee member """,7,7,jce,tumbuka
10104116,4,female,44,BUSINESS MAN/WOMAN,,21,21,none,tumbuka
10104116,2,male,55,OTHER (SPECIFY),"""VDC committee member """,9,20,jce,tumbuka
10104116,3,female,38,HEALTH WORKER,,11,6,msce,tumbuka
10104116,1,male,48,headman,,15,2,msce,tumbuka
10104117,2,male,47,OTHER (SPECIFY),VDC MEMBER,13,47,none,sukwa
10104117,4,male,40,RELIGIOUS LEADER,,7,35,pslc,sukwa
10104117,3,male,38,OTHER (SPECIFY),"""VDC MEMBER """,10,38,pslc,sukwa
10104117,1,male,68,headman,,30,65,none,sukwa
10104117,5,female,46,RELIGIOUS LEADER,,12,46,pslc,lambya
10104118,1,male,42,SCHOOL TEACHER,,17,7,msce,tumbuka
10104118,2,male,57,HEALTH WORKER,,6,20,msce,tumbuka
10104118,3,female,41,RELIGIOUS LEADER,,9,41,none,tumbuka
10104118,4,male,56,headman,,11,42,msce,tumbuka
10104118,5,female,38,RELIGIOUS LEADER,,8,3,jce,tumbuka
10105119,3,male,45,SCHOOL HEADMASTER,,12,40,msce,lambya
10105119,1,male,68,headman,,15,68,pslc,lambya
10105119,2,female,40,HEALTH WORKER,,10,15,NON-UNIVERSITY DIPLOMA,lambya
10105120,5,male,28,RELIGIOUS LEADER,,5,3,msce,lambya
10105120,6,male,39,HEALTH WORKER,,7,5,msce,lambya
10105120,3,female,43,OTHER (SPECIFY),Vice VDC Chairperson,4,33,none,lambya
10105120,2,male,49,SCHOOL HEADMASTER,,18,41,jce,lambya
10105120,4,male,56,OTHER (SPECIFY),"""VDC Chairman """,11,27,msce,lambya
10105121,3,female,35,OTHER (SPECIFY),"""VDC MEMBER """,5,35,pslc,lambya
10105121,2,female,40,HEALTH WORKER,,6,30,msce,lambya
10105121,4,female,29,OTHER (SPECIFY),"""VDC MEMBER """,6,29,pslc,lambya
10105121,1,male,62,headman,,20,62,none,lambya
10105121,5,male,51,RELIGIOUS LEADER,,7,32,pslc,lambya
10120122,1,male,43,HEALTH WORKER,,20,9,msce,tumbuka
10120122,5,female,62,RELIGIOUS LEADER,,22,41,none,tumbuka
10120122,3,male,58,headman,,16,58,pslc,tumbuka
10120122,2,male,54,OTHER (SPECIFY),"""VDC committee member """,7,54,none,tumbuka
10120122,4,female,46,RELIGIOUS LEADER,,13,31,pslc,tumbuka
10120123,6,female,35,SCHOOL TEACHER,,10,30,msce,lambya
10120123,3,male,38,OTHER (SPECIFY),"""VDC MEMBER """,4,38,pslc,lambya
10120123,1,male,60,headman,,8,58,pslc,lambya
10120123,5,male,34,RELIGIOUS LEADER,,5,33,none,sukwa
10120123,4,female,39,OTHER (SPECIFY),"""VDC MEMBER """,4,37,pslc,lambya
10120123,2,female,35,OTHER (SPECIFY),"""VDC MEMBER """,5,25,jce,sukwa
10201124,2,male,42,OTHER (SPECIFY),"""VDC MEMBER """,10,42,none,nkhonde
10201124,4,female,36,RELIGIOUS LEADER,,4,36,pslc,nkhonde
10201124,1,male,57,headman,,20,57,pslc,nkhonde
10201124,6,male,38,RELIGIOUS LEADER,,10,38,jce,nkhonde
10201124,3,female,38,OTHER (SPECIFY),"""VDC MEMBER """,6,32,pslc,nkhonde
10201124,5,female,39,RELIGIOUS LEADER,,3,5,pslc,nkhonde
10201125,1,female,39,RELIGIOUS LEADER,,4,25,pslc,nkhonde
10201125,3,male,66,headman,,14,56,jce,nkhonde
10201125,4,male,44,RELIGIOUS LEADER,,7,44,msce,nkhonde
10201125,5,female,46,OTHER (SPECIFY),"""VDC Member """,5,46,jce,tumbuka
10201125,2,male,48,HEALTH WORKER,,9,9,msce,chewa
10201125,6,male,53,police,,18,7,msce,tumbuka
10201126,3,male,34,OTHER (SPECIFY),"""VDC MEMBER """,5,33,jce,nkhonde
10201126,1,male,55,headman,,10,55,jce,nkhonde
10201126,4,female,31,RELIGIOUS LEADER,,4,31,jce,nkhonde
10201126,2,male,36,OTHER (SPECIFY),"""VDC MEMBER """,6,36,pslc,nkhonde
10201126,5,female,38,RELIGIOUS LEADER,,8,36,pslc,nkhonde
10201127,2,male,61,COUNSELOR TO HEADMAN,,9,40,jce,nkhonde
10201127,3,female,33,RELIGIOUS LEADER,,4,24,pslc,nkhonde
10201127,4,female,48,OTHER (SPECIFY),"""VDC committee member """,2,20,msce,nkhonde
10201127,1,male,74,headman,,21,33,msce,nkhonde
10201127,5,female,46,RELIGIOUS LEADER,,6,22,none,nkhonde
10201128,3,female,37,OTHER (SPECIFY),"""VDC MEMBER """,5,35,pslc,nkhonde
10201128,5,female,35,RELIGIOUS LEADER,,6,35,pslc,nkhonde
10201128,4,female,40,RELIGIOUS LEADER,,8,40,pslc,nkhonde
10201128,2,male,35,OTHER (SPECIFY),VDC MEMBER,6,32,pslc,nkhonde
10201128,1,male,56,headman,,12,56,none,nkhonde
10201129,6,male,55,police,,11,11,msce,tumbuka
10201129,2,male,55,RELIGIOUS LEADER,,12,28,msce,tumbuka
10201129,3,female,47,RELIGIOUS LEADER,,11,47,jce,tumbuka
10201129,7,male,37,BUSINESS MAN/WOMAN,,9,30,pslc,tumbuka
10201129,4,female,46,RELIGIOUS LEADER,,8,14,pslc,tumbuka
10201129,1,male,56,OTHER (SPECIFY),"""VDC committee member """,7,40,jce,tumbuka
10201129,5,male,64,headman,,18,64,jce,tumbuka
10201129,8,male,40,OTHER (SPECIFY),"""VDC  committee member """,8,40,msce,tumbuka
10202131,2,male,36,HEALTH WORKER,,8,4,msce,nyakyusa
10202131,1,male,42,headman,,13,42,pslc,nyakyusa
10202131,3,male,62,OTHER (SPECIFY),"""Community Police """,17,62,pslc,nyakyusa
10202131,5,female,36,RELIGIOUS LEADER,,9,36,jce,nyakyusa
10202131,4,male,44,ASSISTANT AGRICULTURAL EXTENSIOND EVELOPMENT OFFICER,,9,44,msce,tumbuka
