case_id,hhid,hh_q0a,hh_q01,hh_q02a,hh_q02b,hh_q02c,hh_q02_1,hh_q02_2,hh_q02_2oth,hh_q02_3,hh_q03a,hh_q03b
101011000030,c58e3284fee84a598b22086985e8212a,Cash Transfers/Gifts,No,,,,,,,,,
101011000030,c58e3284fee84a598b22086985e8212a,Food Transfers/Gifts,No,,,,,,,,,
101011000030,c58e3284fee84a598b22086985e8212a,Non-Food In-Kind Transfers/Gifts,No,,,,,,,,,
101011000043,df2f79020a7a4b1c889edca2005183b8,Cash Transfers/Gifts,No,,,,,,,,,
101011000043,df2f79020a7a4b1c889edca2005183b8,Food Transfers/Gifts,No,,,,,,,,,
101011000043,df2f79020a7a4b1c889edca2005183b8,Non-Food In-Kind Transfers/Gifts,No,,,,,,,,,
101011000053,755889c7f7294da39fb08cde3e0e70ee,Cash Transfers/Gifts,No,,,,,,,,,
101011000053,755889c7f7294da39fb08cde3e0e70ee,Food Transfers/Gifts,Yes,5000,2000,0,,,,,1,
101011000053,755889c7f7294da39fb08cde3e0e70ee,Non-Food In-Kind Transfers/Gifts,No,,,,,,,,,
101011000063,6957cc92b3ee44539eb128680bd132a2,Cash Transfers/Gifts,Yes,5000,0,0,no,,,,1,2
101011000063,6957cc92b3ee44539eb128680bd132a2,Food Transfers/Gifts,Yes,9000,0,0,,,,,1,2
101011000063,6957cc92b3ee44539eb128680bd132a2,Non-Food In-Kind Transfers/Gifts,No,,,,,,,,,
101011000073,a379ff91a7584a0481a7a9b587de9098,Cash Transfers/Gifts,No,,,,,,,,,
101011000073,a379ff91a7584a0481a7a9b587de9098,Food Transfers/Gifts,No,,,,,,,,,
101011000073,a379ff91a7584a0481a7a9b587de9098,Non-Food In-Kind Transfers/Gifts,No,,,,,,,,,
101011000087,ba134ca37f1e4262a6a65fe7bd21d6e8,Cash Transfers/Gifts,No,,,,,,,,,
101011000087,ba134ca37f1e4262a6a65fe7bd21d6e8,Food Transfers/Gifts,No,,,,,,,,,
101011000087,ba134ca37f1e4262a6a65fe7bd21d6e8,Non-Food In-Kind Transfers/Gifts,No,,,,,,,,,
101011000107,8949aedd819c40958f2adc507a08cb76,Cash Transfers/Gifts,No,,,,,,,,,
101011000107,8949aedd819c40958f2adc507a08cb76,Food Transfers/Gifts,No,,,,,,,,,
101011000107,8949aedd819c40958f2adc507a08cb76,Non-Food In-Kind Transfers/Gifts,No,,,,,,,,,
101011000117,7ff5cfee1e63465a946525e5a57fb0e8,Cash Transfers/Gifts,No,,,,,,,,,
101011000117,7ff5cfee1e63465a946525e5a57fb0e8,Food Transfers/Gifts,No,,,,,,,,,
101011000117,7ff5cfee1e63465a946525e5a57fb0e8,Non-Food In-Kind Transfers/Gifts,No,,,,,,,,,
101011000130,05ac171b7d6c4910aecace2f6bddb3d1,Cash Transfers/Gifts,No,,,,,,,,,
101011000130,05ac171b7d6c4910aecace2f6bddb3d1,Food Transfers/Gifts,No,,,,,,,,,
101011000130,05ac171b7d6c4910aecace2f6bddb3d1,Non-Food In-Kind Transfers/Gifts,No,,,,,,,,,
101011000140,9b1e9da03b694c489d70c839801f1f60,Cash Transfers/Gifts,No,,,,,,,,,
101011000140,9b1e9da03b694c489d70c839801f1f60,Food Transfers/Gifts,No,,,,,,,,,
101011000140,9b1e9da03b694c489d70c839801f1f60,Non-Food In-Kind Transfers/Gifts,No,,,,,,,,,
101011000150,755f518b21c44547a67a83a31c0172c2,Cash Transfers/Gifts,No,,,,,,,,,
101011000150,755f518b21c44547a67a83a31c0172c2,Food Transfers/Gifts,Yes,5000,0,0,,,,,1,
101011000150,755f518b21c44547a67a83a31c0172c2,Non-Food In-Kind Transfers/Gifts,No,,,,,,,,,
