case_id,hhid,CostsID,fs_j04a,fs_j04b,fs_j05
102041400129,e99c4f24ae1a4b4c88b15e84a509faed,Transport,yes,,3000
102051430101,6c1d67be72734fa6bc1262795e6dfeda,Transport,yes,,3500
103011500077,9a6ef6edf7554404b515bc38af73fe89,Transport,yes,.,5000
103011500077,9a6ef6edf7554404b515bc38af73fe89,Packaging,yes,.,2500
103011510023,398626a3b4e24a01bb6e17a63f4d7b78,Transport,yes,,2500
103041550161,37d827493097455584995cea49b0c3a0,Other (Specify),no,none,0
103041550225,bd303448e341418babe957994438e3a4,Transport,yes,,3000
103041560011,5facd51c70be45edba22c3dc65633cbf,Transport,yes,.,1000
103061600056,1859860260824f6689c4bf15a6b2eb6e,Tax,yes,,1500
103061600056,1859860260824f6689c4bf15a6b2eb6e,Other (Specify),yes,"""Plastic papers """,500
103071610015,7a6ae563306b4cbdab5e1c00de69dc7a,Hired Labour,no,,0
103081620127,e8a47dd94eb8405f884217260c58ab30,Transport,yes,.,6000
103081620268,031e4883262d4934bcac67e031770853,Transport,yes,.,5000
103081620268,031e4883262d4934bcac67e031770853,Tax,yes,.,500
103081620295,27dc24a691b6480cbd6753766d00754a,Hired Labour,yes,.,2000
103081620295,27dc24a691b6480cbd6753766d00754a,Transport,yes,.,1500
103091640136,769d9986929f45169fc472563bac5523,Transport,yes,,4500
103091640150,9f4acc45075e445390de3771cac29b10,Transport,yes,,8000
103121660085,b8ae7be8d7ac456c8c4363c3172a0cbd,Transport,yes,.,3000
103121680279,6722c5108f494fa7b2129ba5366656d9,Transport,yes,,1000
103201700102,48d11b47d14a4d2a855f5fec1c8e8cd8,Hired Labour,yes,.,1500
103201700102,48d11b47d14a4d2a855f5fec1c8e8cd8,Hired Labour,yes,,1500
103201700102,48d11b47d14a4d2a855f5fec1c8e8cd8,Transport,yes,,2000
103201700102,48d11b47d14a4d2a855f5fec1c8e8cd8,Transport,yes,.,2000
103201700170,06cd9a308c6d4a309d1f2ee191d511e8,Hired Labour,yes,.,500
103201700170,06cd9a308c6d4a309d1f2ee191d511e8,Hired Labour,yes,,500
103201700170,06cd9a308c6d4a309d1f2ee191d511e8,Transport,yes,,5000
103201700170,06cd9a308c6d4a309d1f2ee191d511e8,Transport,yes,.,5000
103201700170,06cd9a308c6d4a309d1f2ee191d511e8,Packaging,yes,,1500
103201700170,06cd9a308c6d4a309d1f2ee191d511e8,Packaging,yes,.,1500
104021810034,51d6adec32b04948af8fdfc2d7cd5ce9,Tax,yes,.,20000
104021810042,3ac5a8e86df9427f905e18c85060093b,Transport,yes,.,1500
104021810075,33d72c15c22e4193a22f89d6087978f6,Transport,yes,.,2000
104021810175,2a587a238d7248f6bb0505a7657a9ca2,Hired Labour,yes,.,200
104021810175,2a587a238d7248f6bb0505a7657a9ca2,Transport,yes,.,4000
104021810175,2a587a238d7248f6bb0505a7657a9ca2,Tax,yes,.,200
105022000029,a2bf6c35fdcd42c69a5c5d4e4ce498ec,Transport,yes,,1600
