case_id,hhid,xy_src,gardenid,plotid,dist_hh,slope,elevation,twi
301025230225,0001c970eecf473099368557e2080b3e,AG_MOD_C,RG01,R01,.2,4,820,15
311057710075,000bc107780044e59327dbf7ec960ac1,AG_MOD_J,DG01,D01,1.1,1,40,14
311057710075,000bc107780044e59327dbf7ec960ac1,AG_MOD_J,DG01,D02,1.1,1,40,14
311057710075,000bc107780044e59327dbf7ec960ac1,AG_MOD_C,RG01,R01,1.2,1,70,14
312048040073,000d1d26325d4f73a2ffbb8a99ab4752,AG_MOD_C,RG01,R01,0,1,520,15
311097790117,00104e33315844fdb2b8c6fdd35912a1,AG_MOD_C,RG01,R01,0,4,360,13
204023330203,002afb9ae01c46838ef6303cc99e0287,AG_MOD_C,RG01,R01,.1,2,1080,14
105082150049,0043da6163794617b4eacbfcf1585c6a,AG_MOD_C,RG01,R01,.1,2,1500,31
105082150049,0043da6163794617b4eacbfcf1585c6a,AG_MOD_C,RG02,R01,.7,8,1490,14
104041860053,004460497c3042b48ee79c0e7156c3b6,AG_MOD_C,RG01,R01,1.1,13,1360,15
104041860053,004460497c3042b48ee79c0e7156c3b6,AG_MOD_O1,TG01,T01,.3,13,1300,11
313068290032,004e377d40dd4ca3862ce695e9a5d380,AG_MOD_C,RG01,R01,0,6,900,12
313068290032,004e377d40dd4ca3862ce695e9a5d380,AG_MOD_C,RG02,R01,.1,3,910,12
314388440004,00563ecb9e434e93a3eda7a05399315a,AG_MOD_C,RG01,R01,15.3,1,760,13
307096770225,0058e6cc57384df88c7688e59887bde8,AG_MOD_C,RG01,R01,.2,6,1160,13
205043600096,005a080696c24af3888cd402b989b9ce,AG_MOD_C,RG01,R01,0,5,550,12
206023800176,005c5a2a2ff843ffa0a99c1bfeecf94b,AG_MOD_J,DG01,D01,.7,2,1180,16
206023800176,005c5a2a2ff843ffa0a99c1bfeecf94b,AG_MOD_C,RG01,R01,.4,2,1190,14
206023800176,005c5a2a2ff843ffa0a99c1bfeecf94b,AG_MOD_C,RG01,R02,.5,3,1190,14
308067070061,00667697be5140f5902e55150ea2537a,AG_MOD_C,RG01,R01,.5,1,740,17
308067070061,00667697be5140f5902e55150ea2537a,AG_MOD_C,RG02,R01,.1,1,740,15
303015670394,0069b8192bf84ab0896849db7c44a140,AG_MOD_C,RG01,R01,.1,2,650,16
301015200278,006a0e5f89d644e88ac87580bedccf7b,AG_MOD_C,RG01,R01,.3,2,510,14
302025470028,009865b5ed1c493d87a6a14d56555899,AG_MOD_C,RG01,R01,.6,1,500,14
204213500012,009aae2eea5248afad8a83eb3c6c191b,AG_MOD_C,RG01,R01,4.4,3,1220,14
102041380275,00a1cc35720a4e2f97deff1a752c284a,AG_MOD_O1,TG01,T01,.2,2,580,15
206104000108,00a7c14467ce41e4a7a99ceb40fa263a,AG_MOD_C,RG01,R01,.9,5,1110,16
207024150293,00ab16a5552f49b499f898bb94528f11,AG_MOD_C,RG01,R01,.1,3,1080,13
302035540075,00c095c9651d4a71a0c58ce0d2c96b40,AG_MOD_C,RG01,R01,.2,2,640,14
207054280216,00d0c0c79f134302be1fbc1f95b4472e,AG_MOD_C,RG01,R01,.2,2,1080,18
207054280216,00d0c0c79f134302be1fbc1f95b4472e,AG_MOD_C,RG01,R02,.2,2,1070,17
207054280216,00d0c0c79f134302be1fbc1f95b4472e,AG_MOD_C,RG02,R01,.1,1,1080,16
102041410010,00d3e15a60ef4cd3bee737590ed46a69,AG_MOD_C,RG01,R01,.6,5,590,14
102041410010,00d3e15a60ef4cd3bee737590ed46a69,AG_MOD_O1,RG01,T01,.6,5,590,14
209034660090,00d82c8b77f34e6eaaea5d26cf18aa9d,AG_MOD_C,RG01,R01,.1,4,990,12
209034660090,00d82c8b77f34e6eaaea5d26cf18aa9d,AG_MOD_C,RG02,R01,.3,4,990,14
201062610082,00e4185d375441948f1abc83a9482eea,AG_MOD_C,RG01,R01,.1,2,1110,14
201062610082,00e4185d375441948f1abc83a9482eea,AG_MOD_C,RG01,R02,.2,2,1110,14
201062610082,00e4185d375441948f1abc83a9482eea,AG_MOD_O1,TG01,T01,0,1,1110,14
309037320076,00e63912181844e993e9fdc5e033aeb9,AG_MOD_C,RG01,R01,1,4,620,36
309037320076,00e63912181844e993e9fdc5e033aeb9,AG_MOD_C,RG02,R01,.8,3,630,36
102011240011,00e67fc92b434910ae4a588825f8a22c,AG_MOD_C,RG01,R01,0,1,480,15
102011240011,00e67fc92b434910ae4a588825f8a22c,AG_MOD_C,RG02,R01,.1,1,480,16
102011240011,00e67fc92b434910ae4a588825f8a22c,AG_MOD_O1,TG01,T01,.1,1,490,16
207064320026,00e88f5314064fd59eefe1c0b9dbcb17,AG_MOD_C,RG01,R01,.1,2,1120,14
304036010283,00ea0f4922124dbba4cbf4081271afac,AG_MOD_C,RG01,R01,0,1,830,14
210765050014,00eaa92e821e49b29c696be554277b96,AG_MOD_C,RG01,R01,11.6,4,1070,14
210765050014,00eaa92e821e49b29c696be554277b96,AG_MOD_C,RG02,R01,11.2,4,1090,15
210765050014,00eaa92e821e49b29c696be554277b96,AG_MOD_C,RG03,R01,11.3,4,1100,14
210765050014,00eaa92e821e49b29c696be554277b96,AG_MOD_C,RG04,R01,.5,3,1060,13
302075590062,00eb19bfadd0443c8c545cf2ddbd4c40,AG_MOD_C,RG01,R01,.4,2,650,14
302075590062,00eb19bfadd0443c8c545cf2ddbd4c40,AG_MOD_C,RG02,R01,.7,2,650,13
301045300207,00eb946eb415487db6755f8870e395c5,AG_MOD_C,RG01,R01,.5,3,840,14
301045300207,00eb946eb415487db6755f8870e395c5,AG_MOD_O1,TG01,,1.1,12,870,13
210595000023,00edfdd97ae84dd9bf063e8784d8e3ec,AG_MOD_C,RG01,R01,1.5,5,1110,14
305016170255,010290be8346457fbb0290d906a15ab0,AG_MOD_J,RG01,D01,.4,3,740,22
305016170255,010290be8346457fbb0290d906a15ab0,AG_MOD_C,RG01,R01,.4,3,740,20
305016170255,010290be8346457fbb0290d906a15ab0,AG_MOD_O1,TG01,T01,0,5,740,13
302225660134,01065fd2faaf4790936a8358617feb65,AG_MOD_C,RG01,R01,.1,2,480,15
302225660134,01065fd2faaf4790936a8358617feb65,AG_MOD_C,RG02,R01,.5,2,480,15
312048040158,0115d686d2f14d71941ba991803cb7e8,AG_MOD_C,RG01,R01,1,2,520,16
207034200296,01169316d0f84dfb899284ce9947cb11,AG_MOD_C,RG01,R01,.2,2,1080,14
207034200296,01169316d0f84dfb899284ce9947cb11,AG_MOD_C,RG01,R02,.2,2,1080,15
103091630123,011c61cfae3b4d76b14a9d8883d46d0c,AG_MOD_O1,TG01,T01,0,14,1010,11
310017420099,01230111c77c4764ab6cb687ff063dc0,AG_MOD_C,RG01,R01,1.2,2,160,23
310017420099,01230111c77c4764ab6cb687ff063dc0,AG_MOD_C,RG02,R01,1.7,7,220,13
204023310182,012da9e82da04e21a13f1211b30dbac4,AG_MOD_C,RG01,R01,.3,3,1060,13
204023310182,012da9e82da04e21a13f1211b30dbac4,AG_MOD_C,RG02,R01,.2,2,1050,14
203043130184,014bf6f7bdeb4e2a931a87b88e108542,AG_MOD_C,RG01,R01,.9,3,1370,15
203043130184,014bf6f7bdeb4e2a931a87b88e108542,AG_MOD_C,RG01,R02,.9,3,1370,15
203043130184,014bf6f7bdeb4e2a931a87b88e108542,AG_MOD_O1,RG01,T01,.9,3,1370,15
206144060145,0153949870d54467ae857a7f4def9db8,AG_MOD_C,RG01,R01,1.5,2,1130,14
