case_id,hhid,gardenid,ag_b100,ag_b102,ag_b103_2,ag_b103_2a,ag_b104a,ag_b104b,ag_b104b_oth,ag_b104a2,ag_b105e,ag_b105e_oth,ag_b106,ag_b106a,ag_b107
101011000030,c58e3284fee84a598b22086985e8212a,RG01,RG01,Home Garden 1,1,yes,.5,acre,,.03,,,10,3,Partly Cloudy / Partly Sunny
101011000030,c58e3284fee84a598b22086985e8212a,RG02,RG02,Home Garden 2,1,no,1,acre,,.7,,,10,3,Partly Cloudy / Partly Sunny
101011000043,df2f79020a7a4b1c889edca2005183b8,RG01,RG01,Maize garden at home,1,no,1,acre,,.5,,,11,4,Clear/Sunny
101011000043,df2f79020a7a4b1c889edca2005183b8,RG02,RG02,Ground nuts garden in sikimu,1,no,.5,acre,,.2,,,10,3,Clear/Sunny
101011000043,df2f79020a7a4b1c889edca2005183b8,RG03,RG03,Beans garden in itulo,1,no,.3,acre,,.5,,,10,3,Clear/Sunny
101011000053,755889c7f7294da39fb08cde3e0e70ee,RG01,RG01,Garden at home,1,yes,2,acre,,1.3,,,10,3,Clear/Sunny
101011000053,755889c7f7294da39fb08cde3e0e70ee,RG02,RG02,Garden in songwe,1,no,1.5,acre,,1.3,,,9,3,Clear/Sunny
101011000063,6957cc92b3ee44539eb128680bd132a2,RG01,RG01,Ben Village Garden 1,1,no,.5,acre,,.45,,,10,3,Mostly Clear / Mostly Sunny
101011000063,6957cc92b3ee44539eb128680bd132a2,RG02,RG02,Ben Village Garden 2,1,no,1,acre,,.76,,,11,3,Mostly Clear / Mostly Sunny
101011000073,a379ff91a7584a0481a7a9b587de9098,RG01,RG01,Garden in Lifumu,1,no,.5,acre,,.6,,,8,3,Mostly Clear / Mostly Sunny
101011000073,a379ff91a7584a0481a7a9b587de9098,RG02,RGO2,Garden  in utulo,1,no,1.2,acre,,1.1,,,9,3,Mostly Clear / Mostly Sunny
101011000073,a379ff91a7584a0481a7a9b587de9098,RG03,RG03,Garden at home,1,yes,.3,acre,,.4,,,9,3,Mostly Clear / Mostly Sunny
101011000073,a379ff91a7584a0481a7a9b587de9098,RG04,RG04,Garden 4 in mawilo,1,no,.5,acre,,.7,,,8,3,Mostly Clear / Mostly Sunny
101011000087,ba134ca37f1e4262a6a65fe7bd21d6e8,RG01,RG01,Witulo Garden,2,no,.72,acre,,.52,,,8,4,Partly Cloudy / Partly Sunny
101011000087,ba134ca37f1e4262a6a65fe7bd21d6e8,RG02,RG02,Home Garden,1,yes,.5,acre,,.42,,,9,3,Partly Cloudy / Partly Sunny
101011000117,7ff5cfee1e63465a946525e5a57fb0e8,RG01,Munda wapakhomo,munda WA pa khomo,1,no,1.5,acre,,.5,,,11,3,Partly Cloudy / Partly Sunny
101011000117,7ff5cfee1e63465a946525e5a57fb0e8,RG02,Munda WA ku msewu,munda WA ku msewu,2,yes,.5,acre,,.38,,,10,4,Partly Cloudy / Partly Sunny
101011000130,05ac171b7d6c4910aecace2f6bddb3d1,RG01,Munda wapakhomo RG01,Munda wapakhomo,2,yes,1.5,acre,,1.24,,,10,3,Partly Cloudy / Partly Sunny
101011000130,05ac171b7d6c4910aecace2f6bddb3d1,RG02,Munda wa kwa Kayuni,Munda wa kwa Kayuni,1,no,.5,acre,,.47,,,11,3,Partly Cloudy / Partly Sunny
101011000130,05ac171b7d6c4910aecace2f6bddb3d1,RG03,Munda Wa Chimanga,Munda Wa Chimanga,1,no,.25,acre,,.23,,,9,3,Partly Cloudy / Partly Sunny
101011000140,9b1e9da03b694c489d70c839801f1f60,RG01,Munda wa pakhomo  RG01,Munda wa pakhomo RG01,2,yes,1.5,acre,,1.46,,,11,3,Partly Cloudy / Partly Sunny
101011000140,9b1e9da03b694c489d70c839801f1f60,RG02,Munda wa ku Church,Munda wa ku Church,1,no,.25,acre,,.13,,,10,3,Mostly Clear / Mostly Sunny
101011000150,755f518b21c44547a67a83a31c0172c2,RG01,RG01,Garden at home,1,no,.3,acre,,1,,,9,4,Mostly Clear / Mostly Sunny
101011000150,755f518b21c44547a67a83a31c0172c2,RG02,RG02,Garden  in kukombe,1,no,.5,acre,,.7,,,11,4,Mostly Clear / Mostly Sunny
101011000150,755f518b21c44547a67a83a31c0172c2,RG03,RG03,Tobacco garden at home,1,no,.5,acre,,.5,,,11,3,Mostly Clear / Mostly Sunny
101011000180,4746f0aa0b804d1387212f49a772bb4f,RG01,Munda wa ku Glumbilo,Munda wa ku Glumbilo,1,no,1,acre,,.9399999999999999,,,11,3,Partly Cloudy / Partly Sunny
101011000180,4746f0aa0b804d1387212f49a772bb4f,RG02,Munda wa pakhomo,Munda wa pakhomo,1,yes,.25,acre,,.06,,,11,3,Partly Cloudy / Partly Sunny
