case_id,hhid,gardenid,plotid,ag_k01,ag_k01b,ag_k02,ag_k02_1,ag_k02_2a,ag_k02_2b,ag_k03,ag_k21a,ag_k21b,ag_k21c,ag_k21d,ag_k21e,ag_k21_oth,ag_k22,ag_k22_oth,ag_k23,ag_k24,ag_k25_oth,ag_k25a,ag_k25b,ag_k26a,ag_k26b,ag_k26_oth,ag_k26_1a,ag_k26_1b,ag_k26_2a,ag_k26_2b,ag_k26_2_oth,ag_k27,ag_k28,ag_k29a,ag_k29b,ag_k29_oth,ag_k30,ag_k30_oth,ag_k31,ag_k31_oth,ag_k33,ag_k34,ag_k35a,ag_k35b,ag_k35_oth,ag_k36,ag_k36_1a,ag_k36_1b,ag_k37,ag_k38a,ag_k38b,ag_k38b_oth,ag_k39,ag_k40,ag_k40_1,ag_k40_2,ag_k40a,ag_k40a_oth,ag_k40b,ag_k40c,ag_k40c_oth,ag_k40d,ag_k40e,ag_k40f,ag_k40f_oth,ag_k40g,ag_k40h,ag_k40h_oth,ag_k40i,ag_k41,ag_k42a,ag_k42a_oth,ag_k42b,ag_k42c,ag_k42c_oth,ag_k42d,ag_k42e,ag_k42e_oth,ag_k42f,ag_k42g,ag_k42g_oth,ag_k43a1,ag_k43b1,ag_k43c1,ag_k43d1,ag_k43a2,ag_k43b2,ag_k43c2,ag_k43d2,ag_k43a3,ag_k43b3,ag_k43c3,ag_k43d3,ag_k43a4,ag_k43b4,ag_k43c4,ag_k43d4,ag_k43a5,ag_k43b5,ag_k43c5,ag_k43d5,ag_k43a6,ag_k43b6,ag_k43c6,ag_k43d6,ag_k43a7,ag_k43b7,ag_k43c7,ag_k43d7,ag_k44a1,ag_k44b1,ag_k44c1,ag_k44d1,ag_k44a2,ag_k44b2,ag_k44c2,ag_k44d2,ag_k44a3,ag_k44b3,ag_k44c3,ag_k44d3,ag_k44a4,ag_k44b4,ag_k44c4,ag_k44d4,ag_k44a5,ag_k44b5,ag_k44c5,ag_k44d5,ag_k44a6,ag_k44b6,ag_k44c6,ag_k44d6,ag_k44a7,ag_k44b7,ag_k44c7,ag_k44d7,ag_k45a1,ag_k45b1,ag_k45c1,ag_k45d1,ag_k45a2,ag_k45b2,ag_k45c2,ag_k45d2,ag_k45a3,ag_k45b3,ag_k45c3,ag_k45d3,ag_k45a4,ag_k45b4,ag_k45c4,ag_k45d4,ag_k45a5,ag_k45b5,ag_k45c5,ag_k45d5,ag_k45a6,ag_k45b6,ag_k45c6,ag_k45d6,ag_k45a7,ag_k45b7,ag_k45c7,ag_k45d7,ag_k46a1,ag_k46b1,ag_k46a2,ag_k46b2,ag_k46a3,ag_k46b3,ag_k46c,ag_k46c_oth,ag_k46d,ag_k46e,ag_k46e_oth,ag_k46f,ag_k47a,ag_k47b,ag_k47c,ag_k48a,ag_k48b,ag_k48c
101011020112,2f251fa85857436b8bc97011ef49b193,DG01,D01,no,.,1,,,,1,tomato,,,,,,Clay (Katondo),,Fair,No Erosion,,,,No erosion control,,,,,No soil or water erosion problems on any plots,,,Slight slope,no,Rainfed/No irrigation,,,,,,,0,,,,,yes,june,1ST HALF,no,,,,yes,no,3,2,23:21:0+4S/CHITOWE,,20,kilogram,,20,2,OTHER FERTILIZER (SPECIFY),,1,OTHER (SPECIFY),,1,yes,insecticide,,2,liter,,no,,,,,,2,1,2,4,1,1,2,4,,,,,,,,,,,,,,,,,,,,,2,2,3,2,1,2,2,2,,,,,,,,,,,,,,,,,,,,,2,4,1,1,1,4,1,1,,,,,,,,,,,,,,,,,,,,,0,,0,,0,,0,,,,.,,0,0,0,,,
101011020122,b4d30795984f4926b4ae8d785caea106,DG01,D01,no,.,2,,,,2,tanaposi,,,,,,Clay (Katondo),,Good,Low,,Flooding,,Gabions / Sandbags,,,3 years ago,,,,,Flat,no,Bucket,,,Watering can,,Well,,0,,,,,yes,august,1ST HALF,no,,,,yes,no,1,4,23:21:0+4S/CHITOWE,,1,3 KG BAG,,3,2,23:21:0+4S/CHITOWE,,1,2 KG BAG,,2,yes,fungicide,,500,milliliter,,no,,,,,,2,2,6,2,1,2,3,2,,,,,,,,,,,,,,,,,,,,,2,2,6,2,,,,,,,,,,,,,,,,,,,,,,,,,2,1,2,1,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,0,,0,,,,.,,0,0,0,,,
101011020146,5ab09f2e137f497e9d3f4918db6e2457,DG01,D01,no,.,1,,,,2,maize,nkhwani,,,,,Clay (Katondo),,Good,No Erosion,,,,No erosion control,,,,,No soil or water erosion problems on any plots,,,Flat,no,Bucket,,,Other (Specify),COLLECTION USING PAILS/BUCKET/BASIN,River / Stream,,0,,,,,yes,october,1ST HALF,no,,,,yes,yes,2,2,23:21:0+4S/CHITOWE,,10,kilogram,,10,2,urea,,10,kilogram,,10,no,,,,,,,,,,,,4,1,2,3,7,1,1,1,3,1,3,2,2,1,3,3,5,1,2,2,,,,,,,,,4,1,3,2,2,2,3,2,10,1,1,1,3,2,3,2,,,,,,,,,,,,,5,1,1,4,2,1,1,3,,,,,,,,,,,,,,,,,,,,,0,,0,,0,,0,,,,.,,0,0,0,,,
101011020157,81b7adc57d8f433bb500d588db7013fd,DG01,D01,no,.,1,,,,1,tomato,,,,,,Clay (Katondo),,Fair,Low,,Terrain,,Erosion control bunds,,,,,,,,Slight slope,no,Bucket,,,Watering can,,River / Stream,,0,,,,,yes,september,1ST HALF,no,,,,yes,yes,3,1,23:21:0+4S/CHITOWE,,10,kilogram,,10,2,can,,10,kilogram,,10,yes,OTHER PESTICIDE/ HERBICIDE(SPECIFY),CYPERMETHINE,1,liter,,no,,,,,,2,1,3,2,1,2,4,2,,,,,,,,,,,,,,,,,,,,,1,3,2,2,,,,,,,,,,,,,,,,,,,,,,,,,1,3,4,1,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,0,,0,,,,.,,0,0,0,,,
101011020189,c3b650214aa84f82ac7a40d2be1ad16b,DG01,D01,no,.,1,,,,1,tanaposi,,,,,,Between sandy & clay (Pakati pa mchenga ndi katondo),,Good,Low,,Flooding,,Erosion control bunds,,,2 years ago,,,,,Slight slope,no,Rainfed/No irrigation,,,,,,,0,,,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-999999999,,-999999999,,-999999999,,0,,,,.,,,,,,,
101011020200,bd062ea22aa446f79088768b5aeb42c9,DG01,D01,no,.,2,,,,2,beans,,,,,,Between sandy & clay (Pakati pa mchenga ndi katondo),,Good,Low,,Flooding,,Erosion control bunds,,,3 years ago,,,,,Slight slope,no,Rainfed/No irrigation,,,,,,,0,,,,,yes,august,1ST HALF,no,,,,no,,,,,,,,,,,,,,,,,no,,,,,,,,,,,,2,3,3,1,3,3,3,1,,,,,,,,,,,,,,,,,,,,,2,4,3,1,3,4,3,1,,,,,,,,,,,,,,,,,,,,,3,1,1,1,2,1,1,1,,,,,,,,,,,,,,,,,,,,,0,,0,,0,,0,,,,.,,0,0,0,,,
101011020232,55bd88a435e247a38499356dc01ef67f,RG01,D01,yes,.,1,,,,1,tanaposi,,,,,,Between sandy & clay (Pakati pa mchenga ndi katondo),,Good,Low,RAIN WATER,Other (Specify),,Erosion control bunds,,,During last 12 months,,,,,Slight slope,no,Rainfed/No irrigation,,,,,,,2015,2,Lack of equipment,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-999999999,,-999999999,,-999999999,,0,,,,.,,,,,,,
101011020232,55bd88a435e247a38499356dc01ef67f,RG03,D01,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101011040171,1a58c153d8d142ddbd8e7bede0fa6abe,DG01,D01,no,.,1,,,,1,maize,,,,,,Between sandy & clay (Pakati pa mchenga ndi katondo),,Good,Low,,Flooding,,Erosion control bunds,,,More than 5 years ago,,,,,Slight slope,yes,Bucket,Rainfed/No irrigation,,Other (Specify),COLLECTION USING PAILS/BUCKET/BASIN,Well,,0,,,,,yes,october,2ND HALF,yes,6,bucket,,no,,,,,,,,,,,,,,,,,no,,,,,,,,,,,,1,1,6,3,,,,,,,,,,,,,,,,,,,,,,,,,1,1,5,2,,,,,,,,,,,,,,,,,,,,,,,,,2,1,2,2,1,1,2,2,,,,,,,,,,,,,,,,,,,,,0,,0,,0,,0,,,,,,0,0,0,,,
101011060384,d27a9760dcb34417a1c065987d3d5c93,DG01,D01,no,.,1,,,,1,tanaposi,OTHER (SPECIFY),,,,RAPE,Between sandy & clay (Pakati pa mchenga ndi katondo),,Fair,Low,,Flooding,,Erosion control bunds,,,2 years ago,,,,,Slight slope,no,Bucket,,,Watering can,,Well,,0,,,,,yes,may,2ND HALF,no,,,,yes,no,1,2,23:21:0+4S/CHITOWE,,5,kilogram,,5,2,OTHER FERTILIZER (SPECIFY),,1,gram,,0,no,,,,,,,,,,,,2,2,2,1,1,2,2,1,,,,,,,,,,,,,,,,,,,,,1,2,2,2,2,2,1,1,,,,,,,,,,,,,,,,,,,,,2,2,5,1,1,2,5,1,,,,,,,,,,,,,,,,,,,,,0,,0,,0,,0,,,,.,,5,3,20,1,,
