ea_id,com_ce01a,com_ce01a_oth,com_ce01b,com_ce01b_oth,com_ce01c,com_ce01c_oth,com_ce02,com_ce03,com_ce04,com_ce05a,com_ce05a_oth,com_ce05b,com_ce05b_oth,com_ce06,com_ce07,com_ce08_1,com_ce08_2,com_ce08a,com_ce08a_oth,com_ce08b,com_ce08b_oth,com_ce09,com_ce10,com_ce11a,com_ce11b,com_ce12,com_ce13,com_ce14a,com_ce14b,com_ce15
10101100,farming,,SMALL-SCALE TRADE & SERVICE PROVISION,,,,yes,1/4,OUTSIDE MALAWI,farming,,"HANDICRAFT PRODUCTION, SMALL-SCALE INDUSTRY",,yes,OUTSIDE MALAWI,5000,5000,farming,,,,no,,,,,,,,
10101101,farming,,SMALL-SCALE TRADE & SERVICE PROVISION,,"BEER BREWING, KACHASU",,yes,1/4,URBAN CENTRES,LARGE-SCALE COMMERCIAL INDUSTRY,,SMALL-SCALE TRADE & SERVICE PROVISION,,no,,1000,1000,,,,,no,,,,,,,,
10101102,farming,,"BEER BREWING, KACHASU",,SMALL-SCALE TRADE & SERVICE PROVISION,,yes,1/4,RURAL AREAS,farming,,,,no,,1000,1000,,,,,no,,,,,,,,
10101103,farming,,,,,,yes,1/4,URBAN CENTRES,"HANDICRAFT PRODUCTION, SMALL-SCALE INDUSTRY",,farming,,no,,1000,1000,,,,,no,,,,,,,,
10101104,farming,,"BEER BREWING, KACHASU",,"FIREWOOD,CHARCOAL SELLING",,yes,1/4,RURAL AREAS,farming,,PROFESSIONAL OCCUPATIONS,,no,,500,500,,,,,no,,,,,,,,
10101105,farming,,,,,,yes,1/4,URBAN CENTRES,farming,,SMALL-SCALE TRADE & SERVICE PROVISION,,no,,1500,1000,,,,,no,,,,,,,,
10101106,farming,,SMALL-SCALE TRADE & SERVICE PROVISION,,"BEER BREWING, KACHASU",,yes,1/4,URBAN CENTRES,PROFESSIONAL OCCUPATIONS,,transport,,no,,1500,1500,,,,,no,,,,,,,,
10101107,farming,,,,,,yes,1/4,URBAN CENTRES,farming,,SMALL-SCALE TRADE & SERVICE PROVISION,,no,,1000,1000,,,,,no,,,,,,,,
10101108,farming,,"FIREWOOD,CHARCOAL SELLING",,SMALL-SCALE TRADE & SERVICE PROVISION,,yes,1/4,RURAL AREAS,farming,,,,no,,500,500,,,,,yes,7200,12,day,1/4,7200,12,day,1/4
10102109,farming,,,,,,yes,1/4,URBAN CENTRES,farming,,,,no,,800,800,,,,,no,,,,,,,,
10102110,farming,,"BEER BREWING, KACHASU",,SMALL-SCALE TRADE & SERVICE PROVISION,,yes,1/4,RURAL AREAS,farming,,,,no,,500,500,,,,,no,,,,,,,,
10102111,farming,,"HANDICRAFT PRODUCTION, SMALL-SCALE INDUSTRY",,,,yes,1/4,OUTSIDE MALAWI,farming,,SMALL-SCALE TRADE & SERVICE PROVISION,,no,,1200,1200,,,,,no,,,,,,,,
10102112,farming,,SMALL-SCALE TRADE & SERVICE PROVISION,,PROFESSIONAL OCCUPATIONS,,yes,1/4,URBAN CENTRES,PROFESSIONAL OCCUPATIONS,,LARGE-SCALE COMMERCIAL INDUSTRY,,yes,URBAN CENTERS,18000,2000,farming,,,,yes,7200,12,day,1/4,7200,12,day,1/4
10103114,farming,,SMALL-SCALE TRADE & SERVICE PROVISION,,,,yes,1/4,RURAL AREAS,farming,,,,no,,1000,1000,,,,,yes,7200,2,week,1/4,7200,2,week,1/4
10104116,farming,,"BEER BREWING, KACHASU",,transport,,yes,1/4,RURAL AREAS,farming,,,,no,,500,500,,,,,yes,7200,12,day,1/4,7200,12,day,1/4
10104117,farming,,"FIREWOOD,CHARCOAL SELLING",,,,yes,1/4,URBAN CENTRES,farming,,SMALL-SCALE TRADE & SERVICE PROVISION,,no,,1000,1000,,,,,no,,,,,,,,
10104118,farming,,SMALL-SCALE TRADE & SERVICE PROVISION,,"BEER BREWING, KACHASU",,yes,1/4,URBAN CENTRES,LARGE-SCALE COMMERCIAL INDUSTRY,,PROFESSIONAL OCCUPATIONS,,no,,1000,1000,,,,,no,,,,,,,,
10105119,farming,,"BEER BREWING, KACHASU",,,,yes,1/4,OUTSIDE MALAWI,farming,,"HANDICRAFT PRODUCTION, SMALL-SCALE INDUSTRY",,no,,1500,1200,,,,,no,,,,,,,,
10105120,farming,,"BEER BREWING, KACHASU",,,,yes,1/4,OUTSIDE MALAWI,SMALL-SCALE TRADE & SERVICE PROVISION,,PROFESSIONAL OCCUPATIONS,,no,,400,400,,,,,yes,7200,12,day,1/4,7200,12,day,1/4
10105121,farming,,"BEER BREWING, KACHASU",,,,yes,1/4,URBAN CENTRES,farming,,"HANDICRAFT PRODUCTION, SMALL-SCALE INDUSTRY",,no,,1500,1000,,,,,no,,,,,,,,
10120122,farming,,SMALL-SCALE TRADE & SERVICE PROVISION,,"BEER BREWING, KACHASU",,yes,1/4,RURAL AREAS,farming,,,,no,,1000,1000,,,,,no,,,,,,,,
10120123,farming,,SMALL-SCALE TRADE & SERVICE PROVISION,,CIVIL SERVICE,,yes,1/4,OUTSIDE MALAWI,SMALL-SCALE TRADE & SERVICE PROVISION,,,,yes,RURAL AREAS,2000,1500,farming,,SMALL-SCALE TRADE & SERVICE PROVISION,,no,,,,,,,,
10201124,farming,,SMALL-SCALE TRADE & SERVICE PROVISION,,,,yes,ALMOST NONE,URBAN CENTRES,SMALL-SCALE TRADE & SERVICE PROVISION,,CIVIL SERVICE,,no,,1000,1000,,,,,no,,,,,,,,
10201125,farming,,"BEER BREWING, KACHASU",,transport,,no,,,,,,,no,,1000,1000,,,,,no,,,,,,,,
10201126,farming,,fishing,,,,yes,1/4,URBAN CENTRES,SMALL-SCALE TRADE & SERVICE PROVISION,,farming,,no,,1500,1500,,,,,no,,,,,,,,
10201127,farming,,fishing,,"BEER BREWING, KACHASU",,no,,,,,,,yes,RURAL AREAS,1000,1000,fishing,,,,no,,,,,,,,
10201128,farming,,SMALL-SCALE TRADE & SERVICE PROVISION,,,,yes,ALMOST NONE,URBAN CENTRES,SMALL-SCALE TRADE & SERVICE PROVISION,,,,no,,1000,1000,,,,,no,,,,,,,,
10201129,SMALL-SCALE TRADE & SERVICE PROVISION,,transport,,,,no,,,,,,,no,,1500,1500,,,,,no,,,,,,,,
10202131,farming,,fishing,,"BEER BREWING, KACHASU",,yes,1/4,URBAN CENTRES,PROFESSIONAL OCCUPATIONS,,SMALL-SCALE TRADE & SERVICE PROVISION,,no,,500,500,,,,,yes,7200,12,day,1/4,7200,12,day,1/4
10203132,farming,,SMALL-SCALE TRADE & SERVICE PROVISION,,,,yes,1/4,URBAN CENTRES,SMALL-SCALE TRADE & SERVICE PROVISION,,farming,,no,,1500,1500,,,,,no,,,,,,,,
10203133,farming,,fishing,,"BEER BREWING, KACHASU",,yes,1/4,URBAN CENTRES,PROFESSIONAL OCCUPATIONS,,,,yes,RURAL AREAS,50,500,farming,,,,yes,7500,12,day,1/4,7500,12,day,1/4
10203134,farming,,SMALL-SCALE TRADE & SERVICE PROVISION,,,,yes,1/4,OUTSIDE MALAWI,farming,,SMALL-SCALE TRADE & SERVICE PROVISION,,no,,1500,1500,,,,,no,,,,,,,,
10203135,fishing,,farming,,SMALL-SCALE TRADE & SERVICE PROVISION,,yes,1/4,URBAN CENTRES,PROFESSIONAL OCCUPATIONS,,,,yes,RURAL AREAS,400,400,fishing,,,,yes,7200,12,day,1/4,7200,12,day,3/4
10203136,farming,,"BEER BREWING, KACHASU",,SMALL-SCALE TRADE & SERVICE PROVISION,,no,,,,,,,no,,1000,1000,,,,,no,,,,,,,,
10203137,farming,,fishing,,"BEER BREWING, KACHASU",,no,,,,,,,yes,RURAL AREAS,1000,1000,fishing,,,,no,,,,,,,,
10204138,farming,,SMALL-SCALE TRADE & SERVICE PROVISION,,"BEER BREWING, KACHASU",,yes,1/4,URBAN CENTRES,SMALL-SCALE TRADE & SERVICE PROVISION,,,,no,,1500,1500,,,,,no,,,,,,,,
10204139,farming,,fishing,,SMALL-SCALE TRADE & SERVICE PROVISION,,yes,1/4,URBAN CENTRES,PROFESSIONAL OCCUPATIONS,,fishing,,yes,RURAL AREAS,1000,1000,fishing,,,,yes,7200,12,day,1/4,7200,12,day,1/4
10204140,farming,,fishing,,SMALL-SCALE TRADE & SERVICE PROVISION,,yes,1/4,URBAN CENTRES,fishing,,farming,,yes,RURAL AREAS,2500,1500,fishing,,,,no,,,,,,,,
10204141,farming,,SMALL-SCALE TRADE & SERVICE PROVISION,,PROFESSIONAL OCCUPATIONS,,no,,,,,,,yes,RURAL AREAS,1500,1500,PROFESSIONAL OCCUPATIONS,,LARGE-SCALE COMMERCIAL INDUSTRY,,no,,,,,,,,
10205142,farming,,SMALL-SCALE TRADE & SERVICE PROVISION,,,,yes,1/4,URBAN CENTRES,SMALL-SCALE TRADE & SERVICE PROVISION,,farming,,yes,RURAL AREAS,1000,1000,farming,,,,no,,,,,,,,
10205143,fishing,,farming,,SMALL-SCALE TRADE & SERVICE PROVISION,,yes,1/4,URBAN CENTRES,PROFESSIONAL OCCUPATIONS,,LARGE-SCALE COMMERCIAL INDUSTRY,,yes,RURAL AREAS,1000,1000,fishing,,,,yes,7200,12,day,1/4,7200,12,day,1/4
10205144,farming,,fishing,,,,yes,1/4,URBAN CENTRES,fishing,,transport,,no,,1200,1000,,,,,yes,500,1,day,1/2,500,500,day,1/2
10220145,PROFESSIONAL OCCUPATIONS,,CIVIL SERVICE,,SMALL-SCALE TRADE & SERVICE PROVISION,,yes,1/4,URBAN CENTRES,SMALL-SCALE TRADE & SERVICE PROVISION,,transport,,yes,RURAL AREAS,2000,2000,SMALL-SCALE TRADE & SERVICE PROVISION,,"HANDICRAFT PRODUCTION, SMALL-SCALE INDUSTRY",,no,,,,,,,,
10220146,farming,,SMALL-SCALE TRADE & SERVICE PROVISION,,CIVIL SERVICE,,yes,1/4,URBAN CENTRES,CIVIL SERVICE,,SMALL-SCALE TRADE & SERVICE PROVISION,,yes,RURAL AREAS,2000,1200,farming,,SMALL-SCALE TRADE & SERVICE PROVISION,,no,,,,,,,,
10220147,CIVIL SERVICE,,PROFESSIONAL OCCUPATIONS,,SMALL-SCALE TRADE & SERVICE PROVISION,,yes,1/4,URBAN CENTRES,PROFESSIONAL OCCUPATIONS,,CIVIL SERVICE,,no,,600,600,,,,,no,,,,,,,,
10301148,farming,,"FIREWOOD,CHARCOAL SELLING",,,,yes,ALMOST NONE,URBAN CENTRES,PROFESSIONAL OCCUPATIONS,,,,yes,RURAL AREAS,500,500,farming,,,,no,,,,,,,,
10301149,farming,,SMALL-SCALE TRADE & SERVICE PROVISION,,,,no,,,,,,,no,,1000,1000,,,,,yes,7200,12,day,1/4,7200,12,day,1/4
10301150,farming,,,,,,yes,ALMOST NONE,OUTSIDE MALAWI,OTHER (SPECIFY),,,,yes,RURAL AREAS,2000,2000,farming,,,,yes,600,1,day,ALMOST NONE,600,1,day,1/4
10301151,farming,,,,,,yes,1/4,RURAL AREAS,farming,,,,yes,RURAL AREAS,2000,1000,farming,,,,yes,600,1,day,ALMOST NONE,600,1,day,ALMOST NONE
10302152,farming,,,,,,yes,1/4,OUTSIDE MALAWI,OTHER (SPECIFY),,,,yes,RURAL AREAS,1000,1000,farming,,,,yes,7200,12,day,1/4,7200,12,day,ALMOST NONE
10302153,farming,,,,,,yes,ALMOST NONE,OUTSIDE MALAWI,OTHER (SPECIFY),,,,yes,RURAL AREAS,2000,1000,farming,,,,yes,600,1,day,ALMOST NONE,600,1,day,1/4
10303154,farming,,,,,,yes,ALMOST NONE,OUTSIDE MALAWI,OTHER (SPECIFY),,,,yes,RURAL AREAS,2000,2000,farming,,,,yes,600,1,day,ALMOST NONE,600,1,day,1/4
10304155,farming,,fishing,,SMALL-SCALE TRADE & SERVICE PROVISION,,yes,3/4,OUTSIDE MALAWI,PROFESSIONAL OCCUPATIONS,,,,no,,500,500,,,,,yes,14400,4,week,1/4,14400,4,week,1/4
10304156,farming,,,,,,yes,ALMOST NONE,OUTSIDE MALAWI,OTHER (SPECIFY),,,,yes,RURAL AREAS,1000,1000,farming,,,,yes,500,1,day,ALMOST NONE,500,1,day,ALMOST NONE
10305157,farming,,fishing,,,,yes,ALMOST NONE,OUTSIDE MALAWI,OTHER (SPECIFY),,,,yes,RURAL AREAS,2000,1000,farming,,fishing,,yes,600,1,day,ALMOST NONE,600,1,day,1/4
10305158,farming,,fishing,,,,yes,1/4,OUTSIDE MALAWI,OTHER (SPECIFY),,,,yes,RURAL AREAS,1000,500,farming,,,,yes,600,1,day,ALMOST NONE,600,1,day,ALMOST NONE
10306159,fishing,,farming,,,,yes,ALMOST NONE,OUTSIDE MALAWI,OTHER (SPECIFY),,,,yes,RURAL AREAS,1000,500,farming,,fishing,,yes,600,1,day,ALMOST NONE,600,1,day,ALMOST NONE
10306160,farming,,fishing,,,,no,,,,,,,yes,RURAL AREAS,700,700,farming,,fishing,,no,,,,,,,,
10307161,fishing,,SMALL-SCALE TRADE & SERVICE PROVISION,,farming,,no,,,,,,,no,,500,500,,,,,yes,7200,12,day,1/4,7200,12,day,1/4
10308162,farming,,fishing,,,,yes,1/4,OUTSIDE MALAWI,OTHER (SPECIFY),,,,yes,RURAL AREAS,2000,1500,farming,,,,yes,7200,12,day,ALMOST NONE,7200,12,day,ALMOST NONE
10309163,farming,,,,,,yes,ALMOST NONE,RURAL AREAS,farming,,,,yes,RURAL AREAS,2000,1000,farming,,,,no,,,,,,,,
10309164,fishing,,farming,,,,no,,,,,,,yes,RURAL AREAS,1500,500,farming,,,,yes,3600,12,day,ALMOST NONE,3600,12,day,ALMOST NONE
10310165,farming,,,,,,yes,ALMOST NONE,OUTSIDE MALAWI,OTHER (SPECIFY),,,,yes,RURAL AREAS,500,500,farming,,,,yes,600,1,day,ALMOST NONE,600,1,day,1/4
10312166,farming,,,,,,yes,1/4,OUTSIDE MALAWI,OTHER (SPECIFY),,,,yes,RURAL AREAS,1000,500,farming,,,,yes,600,1,day,ALMOST NONE,600,1,day,ALMOST NONE
10312167,farming,,SMALL-SCALE TRADE & SERVICE PROVISION,,,,no,,,,,,,no,,1000,1000,,,,,yes,14400,24,day,1/4,14400,24,day,1/4
10312168,farming,,,,,,yes,ALMOST NONE,OUTSIDE MALAWI,OTHER (SPECIFY),,,,yes,RURAL AREAS,1000,1000,farming,,,,no,,,,,,,,
10312169,farming,,,,,,yes,ALMOST NONE,OUTSIDE MALAWI,OTHER (SPECIFY),,,,yes,RURAL AREAS,2500,1500,farming,,,,yes,600,1,day,ALMOST NONE,600,1,day,ALMOST NONE
10320170,farming,,fishing,,,,yes,1/4,OUTSIDE MALAWI,OTHER (SPECIFY),,,,yes,RURAL AREAS,2000,1000,farming,,,,yes,600,1,day,1/4,600,1,day,3/4
10320171,farming,,,,,,yes,ALMOST NONE,OUTSIDE MALAWI,OTHER (SPECIFY),,,,yes,RURAL AREAS,1500,1500,farming,,,,yes,640,1,day,ALMOST NONE,640,1,day,ALMOST NONE
10401172,farming,,,,,,yes,ALMOST NONE,OUTSIDE MALAWI,OTHER (SPECIFY),,,,yes,RURAL AREAS,2000,1000,farming,,,,yes,620,1,day,ALMOST NONE,620,1,day,ALMOST NONE
10401173,farming,,,,,,yes,ALMOST NONE,RURAL AREAS,farming,,,,yes,RURAL AREAS,700,700,farming,,,,no,,,,,,,,
10401174,farming,,,,,,yes,1/2,RURAL AREAS,farming,,,,yes,RURAL AREAS,1000,1000,farming,,,,yes,600,1,day,ALMOST NONE,600,1,day,ALMOST NONE
10401175,farming,,SMALL-SCALE TRADE & SERVICE PROVISION,,,,yes,ALMOST NONE,RURAL AREAS,OTHER (SPECIFY),,,,yes,RURAL AREAS,250,250,farming,,,,no,,,,,,,,
10401176,farming,,,,,,yes,1/4,RURAL AREAS,farming,,,,yes,RURAL AREAS,2000,1000,farming,,,,yes,600,1,day,ALMOST NONE,600,1,day,ALMOST NONE
10401177,farming,,,,,,yes,1/4,RURAL AREAS,farming,,,,yes,RURAL AREAS,800,800,farming,,,,no,,,,,,,,
10401178,farming,,,,,,yes,ALMOST NONE,RURAL AREAS,farming,,,,yes,RURAL AREAS,2500,1500,farming,,,,yes,600,1,day,ALMOST NONE,600,1,day,1/4
10401179,farming,,,,,,no,,,,,,,yes,RURAL AREAS,550,550,farming,,,,no,,,,,,,,
10401180,farming,,SMALL-SCALE TRADE & SERVICE PROVISION,,CIVIL SERVICE,,yes,1/4,URBAN CENTRES,SMALL-SCALE TRADE & SERVICE PROVISION,,CIVIL SERVICE,,yes,RURAL AREAS,2000,2000,farming,,,,no,,,,,,,,
10402181,fishing,,farming,,SMALL-SCALE TRADE & SERVICE PROVISION,,yes,1/4,URBAN CENTRES,LARGE-SCALE COMMERCIAL INDUSTRY,,,,no,,1000,1000,,,,,yes,14000,24,day,1/4,14000,24,day,1/4
10403182,farming,,,,,,yes,ALMOST NONE,RURAL AREAS,OTHER (SPECIFY),,,,yes,RURAL AREAS,1500,1000,farming,,,,yes,600,1,day,ALMOST NONE,600,1,day,1/4
10403183,farming,,,,,,yes,1/4,URBAN CENTRES,PROFESSIONAL OCCUPATIONS,,CIVIL SERVICE,,yes,URBAN CENTERS,500,800,farming,,,,no,,,,,,,,
10404184,farming,,,,,,no,,,,,,,yes,RURAL AREAS,1500,750,farming,,,,yes,600,1,day,ALMOST NONE,600,1,day,ALMOST NONE
