ea_id,com_cc01,com_cc02,com_cc03,com_cc03_1,com_cc04a,com_cc04a_oth,com_cc04b,com_cc04c,com_cc04d,com_cc04e,com_cc04f,com_cc05a,com_cc05a_oth,com_cc05b,com_cc05c,com_cc05d,com_cc05e,com_cc05f,com_cc06,com_cc07a,com_cc07a_oth,com_cc07b,com_cc07c,com_cc07d,com_cc07e,com_cc07f,com_cc08,com_cc09,com_cc09_oth,com_cc10,com_cc11,com_cc12,com_cc13,com_cc14
10101100,MORE MOVED OUT,2697,644,0,traditional,,7,christian,637,,,lambya,,644,,,,,father,Matrilineal and matrilocal (chikamwini),,7,Patrilineal and patrilocal,637,,,35,farming,,Moderately sloping,3/4,ALMOST NONE,1/4,3/4
10101101,ABOUT THE SAME OF BOTH,1600,500,0,christian,,500,,,,,lambya,,500,,,,,father,Patrilineal and patrilocal,.,500,,,,,32,farming,,Both flat &amp; hilly,ALMOST NONE,ALMOST NONE,1/4,ALMOST ALL
10101102,ABOUT THE SAME OF BOTH,1100,300,0,christian,,300,,,,,lambya,,300,,,,,father,Patrilineal and patrilocal,.,300,,,,,36,farming,,Slightly sloping,ALMOST NONE,ALMOST NONE,1/4,ALMOST ALL
10101103,MORE MOVED OUT,1380,180,4,traditional,,15,christian,160,none,5,lambya,,120,sukwa,60,,,father,Patrilineal and patrilocal,.,180,,,,,80,farming,,Steeply sloping,1/4,ALMOST NONE,1/4,ALMOST ALL
10101104,MORE MOVED OUT,1400,320,0,christian,,320,,,,,lambya,,320,,,,,father,Patrilineal and patrilocal,,320,,,,,20,farming,,Moderately sloping,1/4,ALMOST NONE,1/2,ALMOST ALL
10101105,MORE MOVED OUT,900,270,2,christian,,270,,,,,nyakyusa,,70,lambya,150,sukwa,50,father,Patrilineal and patrilocal,.,270,,,,,25,farming,,Both flat &amp; hilly,1/4,ALMOST NONE,1/4,ALMOST ALL
10101106,MORE MOVED OUT,3500,640,0,christian,,640,,,,,lambya,,640,,,,,father,Patrilineal and patrilocal,.,640,,,,,43,farming,,Flat,1/4,1/4,1/4,ALMOST ALL
10101107,MORE MOVED OUT,920,299,4,traditional,,19,christian,280,,,lambya,,200,sukwa,99,,,father,Patrilineal and patrilocal,.,299,,,,,80,farming,,Flat,1/4,ALMOST NONE,ALMOST NONE,ALMOST ALL
10101108,MORE MOVED OUT,1400,360,0,christian,,360,,,,,lambya,,360,,,,,father,Patrilineal and patrilocal,,360,,,,,36,farming,,Moderately sloping,ALMOST NONE,ALMOST NONE,1/2,ALMOST ALL
10102109,MORE MOVED OUT,700,250,5,christian,,250,,,,,lambya,,100,sukwa,150,,,father,Patrilineal and patrilocal,.,250,,,,,10,farming,,Steeply sloping,ALMOST NONE,ALMOST NONE,1/4,ALMOST ALL
10102110,MORE MOVED OUT,1500,400,0,christian,,400,,,,,sukwa,,400,,,,,father,Patrilineal and patrilocal,.,400,,,,,40,farming,,Steeply sloping,ALMOST NONE,ALMOST NONE,1/4,ALMOST ALL
10102111,MORE MOVED OUT,675,110,3,christian,,100,none,10,,,lambya,CHINDALI,50,sukwa,50,other,10,father,Patrilineal and patrilocal,.,110,,,,,20,farming,,Steeply sloping,ALMOST NONE,ALMOST NONE,1/4,ALMOST ALL
10102112,MORE MOVED OUT,10000,600,0,christian,,600,,,,,sukwa,,600,,,,,father,Patrilineal and patrilocal,,600,,,,,90,farming,,Moderately sloping,1/4,ALMOST NONE,1/2,3/4
10103114,MORE MOVED OUT,650,240,0,christian,,240,,,,,tumbuka,,240,,,,,father,Patrilineal and patrilocal,.,240,,,,,20,farming,,Both flat &amp; hilly,ALMOST NONE,1/4,1/2,ALMOST ALL
10104116,MORE MOVED OUT,3000,206,0,christian,,206,,,,,tumbuka,,206,,,,,father,Patrilineal and patrilocal,,206,,,,,11,farming,,Steeply sloping,ALMOST NONE,ALMOST NONE,3/4,ALMOST ALL
10104117,MORE MOVED OUT,700,221,6,traditional,,22,christian,199,,,sukwa,CHINYIKA,150,other,71,,,father,Patrilineal and patrilocal,.,221,,,,,15,farming,,Both flat &amp; hilly,1/4,ALMOST NONE,1/4,ALMOST ALL
