country,year,varName_harmonized,varName_source,varLabel_source,comment,dataset_name,dataset_doi,pctMissing
Ethiopia,2011-12,hhID,household_id,Household ID unique,NA,ETH_2011_ERSS_v02_M,https://doi.org/10.48529/80xt-9m68,0
Ethiopia,2011-12,fieldID,parcel_id,Parcel ID,"not based on fieldID, but on parcelID",ETH_2011_ERSS_v02_M,https://doi.org/10.48529/80xt-9m68,0
Ethiopia,2011-12,plotID,field_id,Field ID,"plot_ID may not be unique, based on fieldID",ETH_2011_ERSS_v02_M,https://doi.org/10.48529/80xt-9m68,0
Ethiopia,2011-12,crop,crop_name,Crop Name,crop_name and crop_id don't match,ETH_2011_ERSS_v02_M,https://doi.org/10.48529/80xt-9m68,3.044039307811931
Ethiopia,2011-12,crop_area_share,pp_s4q03,"Approximately, how much of the [Field] was planted with [Crop]?",NA,ETH_2011_ERSS_v02_M,https://doi.org/10.48529/80xt-9m68,62.240677629619825
Ethiopia,2011-12,planting_month,pp_s4q12_a,When did you plant the seeds for the [Crop] on this [Field]? (Month),The value 13 describes the 13th month of the Ethiopian calendar Pagume (6th September - 10th September/ 11th Sepember in leap years),ETH_2011_ERSS_v02_M,https://doi.org/10.48529/80xt-9m68,18.95245342950733
Ethiopia,2011-12,planting_year,pp_s4q12_b,When did you plant the seeds for the [Crop] on this [Field]? (EC Year),range: 0 - 8000,ETH_2011_ERSS_v02_M,https://doi.org/10.48529/80xt-9m68,19.12781656354432
Ethiopia,2011-12,harvest_month_begin,ph_s9q13_a,What were the months when the harvest started and ended? (Start Month),"The value 13 describes the 13th month of the Ethiopian calendar Pagume (6th September - 10th September/ 11th Sepember in leap years), values up to 23",ETH_2011_ERSS_v02_M,https://doi.org/10.48529/80xt-9m68,86.7584290110181
Ethiopia,2011-12,harvest_month_end,ph_s9q13_b,What were the months when the harvest started and ended? (End Month),"The value 13 describes the 13th month of the Ethiopian calendar Pagume (6th September - 10th September/ 11th Sepember in leap years), values up to 23",ETH_2011_ERSS_v02_M,https://doi.org/10.48529/80xt-9m68,86.86099990073785
Ethiopia,2011-12,adm1,region,Region,no region 14,ETH_2011_ERSS_v02_M,https://doi.org/10.48529/80xt-9m68,0
Ethiopia,2011-12,adm2,zonename,Zone Name,NA,ETH_2011_ERSS_v02_M,https://doi.org/10.48529/80xt-9m68,19.7597855937531
Ethiopia,2011-12,adm3,woredaname,Woreda Name,NA,ETH_2011_ERSS_v02_M,https://doi.org/10.48529/80xt-9m68,23.717036693908614
Ethiopia,2011-12,lat,LAT_DD_MOD,EA Latitude (WGS84) Modified,NA,ETH_2011_ERSS_v02_M,https://doi.org/10.48529/80xt-9m68,0.2713165470006286
Ethiopia,2011-12,lon,LON_DD_MOD,EA Longitude (WGS84) Modified,NA,ETH_2011_ERSS_v02_M,https://doi.org/10.48529/80xt-9m68,0.2713165470006286
Ethiopia,2011-12,GPS_level,NA,NA,NA,ETH_2011_ERSS_v02_M,https://doi.org/10.48529/80xt-9m68,0.2713165470006286
Ethiopia,2011-12,plot_area_reported_localUnit,pp_s3q02_d,What is the area of [Field]? (Total Area),NA,ETH_2011_ERSS_v02_M,https://doi.org/10.48529/80xt-9m68,3.4146180061542535
Ethiopia,2011-12,localUnit_area,pp_s3q02_c,What is the area of [Field]? (Unit),NA,ETH_2011_ERSS_v02_M,https://doi.org/10.48529/80xt-9m68,3.4080005293981404
Ethiopia,2011-12,plot_area_measured_ha,pp_s3q05_c,GPS measured area of [Field] (Total Square Meters),NA,ETH_2011_ERSS_v02_M,https://doi.org/10.48529/80xt-9m68,19.663832180789463
Ethiopia,2011-12,plot_area_reported_ha,NA,NA,NA,ETH_2011_ERSS_v02_M,https://doi.org/10.48529/80xt-9m68,31.922707871488605
Ethiopia,2011-12,season,NA,NA,NA,ETH_2011_ERSS_v02_M,https://doi.org/10.48529/80xt-9m68,100
Ethiopia,2011-12,harvest_year_begin,NA,NA,NA,ETH_2011_ERSS_v02_M,https://doi.org/10.48529/80xt-9m68,100
Ethiopia,2011-12,harvest_year_end,NA,NA,NA,ETH_2011_ERSS_v02_M,https://doi.org/10.48529/80xt-9m68,100
Ethiopia,2011-12,adm4,NA,NA,NA,ETH_2011_ERSS_v02_M,https://doi.org/10.48529/80xt-9m68,100
Ethiopia,2011-12,dataset_name,NA,NA,NA,ETH_2011_ERSS_v02_M,https://doi.org/10.48529/80xt-9m68,NA
Ethiopia,2011-12,dataset_doi,NA,NA,NA,ETH_2011_ERSS_v02_M,https://doi.org/10.48529/80xt-9m68,0
Ethiopia,2013-14,hhID,household_id2,Unique HH ID in wave 2,NA,ETH_2013_ESS_v03_M,https://doi.org/10.48529/mccp-y123,0
Ethiopia,2013-14,fieldID,parcel_id,Parcel ID,"not based on fieldID, but on parcelID",ETH_2013_ESS_v03_M,https://doi.org/10.48529/mccp-y123,0
Ethiopia,2013-14,plotID,field_id,Field ID,"plot_ID may not be unique, based on fieldID",ETH_2013_ESS_v03_M,https://doi.org/10.48529/mccp-y123,0
Ethiopia,2013-14,crop,"pp_s4q01_a, ph_s9q0d",Crop Name,crop_name and crop_id don't match,ETH_2013_ESS_v03_M,https://doi.org/10.48529/mccp-y123,0.9896155473810996
Ethiopia,2013-14,crop_area_share,pp_s4q03,"Approximately, how much of the [Field] was planted with [Crop]?",NA,ETH_2013_ESS_v03_M,https://doi.org/10.48529/mccp-y123,59.927080959666654
Ethiopia,2013-14,planting_month,pp_s4q12_a,When did you plant the seeds for the [Crop] on this [Field]? (Month),The value 13 describes the 13th month of the Ethiopian calendar Pagume (6th September - 10th September/ 11th Sepember in leap years),ETH_2013_ESS_v03_M,https://doi.org/10.48529/mccp-y123,27.858979784498196
Ethiopia,2013-14,planting_year,pp_s4q12_b,When did you plant the seeds for the [Crop] on this [Field]? (EC Year),year 2204 included,ETH_2013_ESS_v03_M,https://doi.org/10.48529/mccp-y123,27.88502229890296
Ethiopia,2013-14,harvest_month_begin,ph_s9q07_a,What were the months when the harvest started ?,The value 13 describes the 13th month of the Ethiopian calendar Pagume (6th September - 10th September/ 11th Sepember in leap years),ETH_2013_ESS_v03_M,https://doi.org/10.48529/mccp-y123,12.975682802174552
Ethiopia,2013-14,harvest_month_end,ph_s9q07_b,What were the months when the harvest ended?,"The value 13 describes the 13th month of the Ethiopian calendar Pagume (6th September - 10th September/ 11th Sepember in leap years), some months are 0",ETH_2013_ESS_v03_M,https://doi.org/10.48529/mccp-y123,13.122171945701359
Ethiopia,2013-14,adm1,region,Region Name,NA,ETH_2013_ESS_v03_M,https://doi.org/10.48529/mccp-y123,0.26693577264884927
Ethiopia,2013-14,adm2,zonename,Zone Name,NA,ETH_2013_ESS_v03_M,https://doi.org/10.48529/mccp-y123,19.694651518604118
Ethiopia,2013-14,adm3,woredaname,Woreda Name,NA,ETH_2013_ESS_v03_M,https://doi.org/10.48529/mccp-y123,24.46694228327745
Ethiopia,2013-14,lat,lat_dd_mod,lat_dd_mod,NA,ETH_2013_ESS_v03_M,https://doi.org/10.48529/mccp-y123,0
Ethiopia,2013-14,lon,lon_dd_mod,lon_dd_mod,NA,ETH_2013_ESS_v03_M,https://doi.org/10.48529/mccp-y123,0
Ethiopia,2013-14,GPS_level,NA,NA,NA,ETH_2013_ESS_v03_M,https://doi.org/10.48529/mccp-y123,0
Ethiopia,2013-14,plot_area_reported_localUnit,pp_s3q02_a,What is the area of [Field]? (Area),NA,ETH_2013_ESS_v03_M,https://doi.org/10.48529/mccp-y123,1.9889970376639865
Ethiopia,2013-14,localUnit_area,pp_s3q02_c,What is the area of [Field]? (Unit),NA,ETH_2013_ESS_v03_M,https://doi.org/10.48529/mccp-y123,1.9987629805657734
Ethiopia,2013-14,plot_area_measured_ha,pp_s3q05_a,Area of [Field] (Square Meters),NA,ETH_2013_ESS_v03_M,https://doi.org/10.48529/mccp-y123,5.309417624271624
Ethiopia,2013-14,plot_area_reported_ha,NA,NA,NA,ETH_2013_ESS_v03_M,https://doi.org/10.48529/mccp-y123,43.05153162537843
Ethiopia,2013-14,season,NA,NA,NA,ETH_2013_ESS_v03_M,https://doi.org/10.48529/mccp-y123,100
Ethiopia,2013-14,harvest_year_begin,NA,NA,NA,ETH_2013_ESS_v03_M,https://doi.org/10.48529/mccp-y123,100
Ethiopia,2013-14,harvest_year_end,NA,NA,NA,ETH_2013_ESS_v03_M,https://doi.org/10.48529/mccp-y123,100
Ethiopia,2013-14,adm4,NA,NA,NA,ETH_2013_ESS_v03_M,https://doi.org/10.48529/mccp-y123,100
Ethiopia,2013-14,dataset_name,NA,NA,NA,ETH_2013_ESS_v03_M,https://doi.org/10.48529/mccp-y123,NA
Ethiopia,2013-14,dataset_doi,NA,NA,NA,ETH_2013_ESS_v03_M,https://doi.org/10.48529/mccp-y123,0
Ethiopia,2015-16,hhID,household_id2,Unique HH ID in wave 2,NA,ETH_2015_ESS_v03_M,https://doi.org/10.48529/ampf-7988,0
Ethiopia,2015-16,fieldID,parcel_id,Parcel ID,"not based on fieldID, but on parcelID",ETH_2015_ESS_v03_M,https://doi.org/10.48529/ampf-7988,0
Ethiopia,2015-16,plotID,field_id,Field ID,"plot_ID may not be unique, based on fieldID",ETH_2015_ESS_v03_M,https://doi.org/10.48529/ampf-7988,0
Ethiopia,2015-16,crop,"pp_s4q01_a, crop_name",Crop Name,crop_name and crop_id don't match,ETH_2015_ESS_v03_M,https://doi.org/10.48529/ampf-7988,0.9952359198590355
Ethiopia,2015-16,crop_area_share,pp_s4q03,"Approximately, how much of the [Field] was planted with [Crop]?",NA,ETH_2015_ESS_v03_M,https://doi.org/10.48529/ampf-7988,60.74528486588788
Ethiopia,2015-16,planting_month,pp_s4q12_a,When did you plant the seeds for the [Crop] on this [Field]? (Month),The value 13 describes the 13th month of the Ethiopian calendar Pagume (6th September - 10th September/ 11th Sepember in leap years),ETH_2015_ESS_v03_M,https://doi.org/10.48529/ampf-7988,47.49722639169875
Ethiopia,2015-16,planting_year,pp_s4q12_b,When did you plant the seeds for the [Crop] on this [Field]? (EC Year),NA,ETH_2015_ESS_v03_M,https://doi.org/10.48529/ampf-7988,47.51027866605756
Ethiopia,2015-16,harvest_month_begin,ph_s9q07_a,What were the months when the harvest started ?,The value 13 describes the 13th month of the Ethiopian calendar Pagume (6th September - 10th September/ 11th Sepember in leap years),ETH_2015_ESS_v03_M,https://doi.org/10.48529/ampf-7988,15.382105331854076
Ethiopia,2015-16,harvest_month_end,ph_s9q07_b,What were the months when the harvest ended?,The value 13 describes the 13th month of the Ethiopian calendar Pagume (6th September - 10th September/ 11th Sepember in leap years),ETH_2015_ESS_v03_M,https://doi.org/10.48529/ampf-7988,15.382105331854076
Ethiopia,2015-16,adm1,region,Region Name,NA,ETH_2015_ESS_v03_M,https://doi.org/10.48529/ampf-7988,0.6297722378124389
Ethiopia,2015-16,adm2,zonename,Zone Name,NA,ETH_2015_ESS_v03_M,https://doi.org/10.48529/ampf-7988,17.705410167721723
Ethiopia,2015-16,adm3,woredaname,Woreda Name,NA,ETH_2015_ESS_v03_M,https://doi.org/10.48529/ampf-7988,21.69614305292697
Ethiopia,2015-16,lat,lat_dd_mod,EA Latitude (WGS84) Modified,NA,ETH_2015_ESS_v03_M,https://doi.org/10.48529/ampf-7988,0.6297722378124389
Ethiopia,2015-16,lon,lon_dd_mod,EA Longitude (WGS84) Modified,NA,ETH_2015_ESS_v03_M,https://doi.org/10.48529/ampf-7988,0.6297722378124389
Ethiopia,2015-16,GPS_level,NA,NA,NA,ETH_2015_ESS_v03_M,https://doi.org/10.48529/ampf-7988,0.6297722378124389
Ethiopia,2015-16,plot_area_reported_localUnit,pp_s3q02_a,What is the area of [Field]? (Area),NA,ETH_2015_ESS_v03_M,https://doi.org/10.48529/ampf-7988,1.0866018403706845
Ethiopia,2015-16,localUnit_area,pp_s3q02_c,What is the area of [Field]? (Unit),NA,ETH_2015_ESS_v03_M,https://doi.org/10.48529/ampf-7988,1.1257586634471057
Ethiopia,2015-16,plot_area_measured_ha,pp_s3q05_a,Area of [Field] (Square Meters),NA,ETH_2015_ESS_v03_M,https://doi.org/10.48529/ampf-7988,2.4081446191998954
Ethiopia,2015-16,plot_area_reported_ha,NA,NA,NA,ETH_2015_ESS_v03_M,https://doi.org/10.48529/ampf-7988,52.11120537753704
Ethiopia,2015-16,season,NA,NA,NA,ETH_2015_ESS_v03_M,https://doi.org/10.48529/ampf-7988,100
Ethiopia,2015-16,harvest_year_begin,NA,NA,NA,ETH_2015_ESS_v03_M,https://doi.org/10.48529/ampf-7988,100
Ethiopia,2015-16,harvest_year_end,NA,NA,NA,ETH_2015_ESS_v03_M,https://doi.org/10.48529/ampf-7988,100
Ethiopia,2015-16,adm4,NA,NA,NA,ETH_2015_ESS_v03_M,https://doi.org/10.48529/ampf-7988,100
Ethiopia,2015-16,dataset_name,NA,NA,NA,ETH_2015_ESS_v03_M,https://doi.org/10.48529/ampf-7988,NA
Ethiopia,2015-16,dataset_doi,NA,NA,NA,ETH_2015_ESS_v03_M,https://doi.org/10.48529/ampf-7988,0
Ethiopia,2018-19,hhID,household_id,Unique Household Indentifier,NA,ETH_2018_ESS_v03_M,https://doi.org/10.48529/k739-c548,0
Ethiopia,2018-19,fieldID,parcel_id,Unique Parcel Identifier,"not based on fieldID, but on parcelID",ETH_2018_ESS_v03_M,https://doi.org/10.48529/k739-c548,0
Ethiopia,2018-19,plotID,field_id,Unique Field Identifier,"plot_ID may not be unique, based on fieldID",ETH_2018_ESS_v03_M,https://doi.org/10.48529/k739-c548,0
Ethiopia,2018-19,crop,"s4q01b, s9q00b","1b.CROP CODE, 1.Crop code","white cumin and white lumin may be the same crop, crop_name and crop_id don't match",ETH_2018_ESS_v03_M,https://doi.org/10.48529/k739-c548,0
Ethiopia,2018-19,crop_area_share,s4q03,"3.Approximately, how much of [FIELD] was planted with [CROP]?",NA,ETH_2018_ESS_v03_M,https://doi.org/10.48529/k739-c548,64.2332334097455
Ethiopia,2018-19,planting_month,s4q13a,13_a.When did you plant the seeds for the [Crop] on [FIELD]? (Month),The value 13 describes the 13th month of the Ethiopian calendar Pagume (6th September - 10th September/ 11th Sepember in leap years),ETH_2018_ESS_v03_M,https://doi.org/10.48529/k739-c548,33.23340974548874
Ethiopia,2018-19,planting_year,s4q13b,13_b.When did you plant the seeds for the [Crop] on [FIELD]? (Year),NA,ETH_2018_ESS_v03_M,https://doi.org/10.48529/k739-c548,33.23340974548874
Ethiopia,2018-19,harvest_month_begin,s9q08a,8a.What was the month when the harvesting of [CROP] on [FIELD] started?,The value 13 describes the 13th month of the Ethiopian calendar Pagume (6th September - 10th September/ 11th Sepember in leap years),ETH_2018_ESS_v03_M,https://doi.org/10.48529/k739-c548,39.887145124316696
Ethiopia,2018-19,harvest_month_end,s9q08b,8b.What was the month when the harvesting of [CROP] on [FIELD] ended?,The value 13 describes the 13th month of the Ethiopian calendar Pagume (6th September - 10th September/ 11th Sepember in leap years),ETH_2018_ESS_v03_M,https://doi.org/10.48529/k739-c548,39.887145124316696
Ethiopia,2018-19,adm1,region,Region,NA,ETH_2018_ESS_v03_M,https://doi.org/10.48529/k739-c548,3.1387762299418096
Ethiopia,2018-19,adm2,zonename,Zone Name,NA,ETH_2018_ESS_v03_M,https://doi.org/10.48529/k739-c548,38.59989419855405
Ethiopia,2018-19,adm3,woredaname,Woreda Name,NA,ETH_2018_ESS_v03_M,https://doi.org/10.48529/k739-c548,64.53888203138777
Ethiopia,2018-19,lat,lat_mod,Latitude Modified,NA,ETH_2018_ESS_v03_M,https://doi.org/10.48529/k739-c548,0.1645800270381473
Ethiopia,2018-19,lon,lon_mod,Longitude Modified,NA,ETH_2018_ESS_v03_M,https://doi.org/10.48529/k739-c548,0.1645800270381473
