hhID,plotID,plot_area_reported_localUnit,crop_area_share,planting_month,planting_year,fieldID,plot_area_reported_ha,localUnit_area,crop,harvest_month_begin,harvest_year_begin,harvest_month_end,harvest_year_end,season,adm1,adm2,adm3,adm4,lat,lon,GPS_level,plot_area_measured_ha,harvest_month,harvest_year,dataset_name,country,dataset_doi
004e93d7552248ed95d8bc3ec21bdbdb,1,0.35,NA,7,2017,1,0.14164305949008496,acres,Cassava,NA,NA,NA,NA,first,SOROTI,SOROTI,OPUYO,OMALERA B,NA,NA,NA,NA,NA,NA,UGA_2018_UNPS_v02_M,Uganda,https://doi.org/10.48529/ttyg-m774
0071da69d26d4b29a8f9d29d458e68cf,2,0.25,100,3,2018,1,0.10117361392148927,acres,Pigeon peas,9,2018,9,2018,second,LIRA,NGETTA,ANYOMOREM,ATEGO B,NA,NA,NA,NA,NA,NA,UGA_2018_UNPS_v02_M,Uganda,https://doi.org/10.48529/ttyg-m774
0071da69d26d4b29a8f9d29d458e68cf,3,0.35,100,4,2018,1,0.14164305949008496,acres,Soya beans,9,2018,8,2018,second,LIRA,NGETTA,ANYOMOREM,ATEGO B,NA,NA,NA,NA,NA,NA,UGA_2018_UNPS_v02_M,Uganda,https://doi.org/10.48529/ttyg-m774
008071c371724fe49a5bb047472df87f,1,0.62,100,3,2018,2,0.25091056252529337,acres,Sorghum,7,2018,7,2018,second,KATAKWI,TOROMA,AKURAO,MAGARA,NA,NA,NA,NA,NA,NA,UGA_2018_UNPS_v02_M,Uganda,https://doi.org/10.48529/ttyg-m774
00854d05d4f044c985ffce60c1b514c2,1,2,30,3,2018,2,0.8093889113719142,acres,Maize,6,2018,6,2018,second,KASESE,LAKE KATWE,KAHOKYA,MURAMBI II,NA,NA,NA,NA,NA,NA,UGA_2018_UNPS_v02_M,Uganda,https://doi.org/10.48529/ttyg-m774
00854d05d4f044c985ffce60c1b514c2,2,0.5,100,3,2018,1,0.20234722784297854,acres,Sweet potatoes,6,2018,7,2018,second,KASESE,LAKE KATWE,KAHOKYA,MURAMBI II,NA,NA,NA,NA,NA,NA,UGA_2018_UNPS_v02_M,Uganda,https://doi.org/10.48529/ttyg-m774
00854d05d4f044c985ffce60c1b514c2,3,1.5,60,6,9998,1,0.6070416835289356,acres,Coffee all,2,2018,5,2018,second,KASESE,LAKE KATWE,KAHOKYA,MURAMBI II,NA,NA,NA,NA,NA,NA,UGA_2018_UNPS_v02_M,Uganda,https://doi.org/10.48529/ttyg-m774
00854d05d4f044c985ffce60c1b514c2,1,1.5,NA,3,2018,1,0.6070416835289356,acres,Beans,5,2018,5,2018,second,KASESE,LAKE KATWE,KAHOKYA,MURAMBI II,NA,NA,NA,NA,NA,NA,UGA_2018_UNPS_v02_M,Uganda,https://doi.org/10.48529/ttyg-m774
00854d05d4f044c985ffce60c1b514c2,3,1.5,40,10,9998,1,0.6070416835289356,acres,Banana food,2,2018,6,2018,second,KASESE,LAKE KATWE,KAHOKYA,MURAMBI II,NA,NA,NA,NA,NA,NA,UGA_2018_UNPS_v02_M,Uganda,https://doi.org/10.48529/ttyg-m774
00854d05d4f044c985ffce60c1b514c2,1,2,70,3,2018,2,0.8093889113719142,acres,Beans,6,2018,6,2018,second,KASESE,LAKE KATWE,KAHOKYA,MURAMBI II,NA,NA,NA,NA,NA,NA,UGA_2018_UNPS_v02_M,Uganda,https://doi.org/10.48529/ttyg-m774
