country,year,varName_harmonized,dataset_name,dataset_doi,varName_source,varLabel_source,comment,pctMissing_source,pctMissing_harmonized
Malawi,2016,GPS_level,MWI_2016_IHS-IV_v04_M,https://doi.org/10.48529/g2p9-9r19,,,,,
Malawi,2016,adm1,MWI_2016_IHS-IV_v04_M,https://doi.org/10.48529/g2p9-9r19,region,IHS4 2016 Region location,,0.0,0.0
Malawi,2016,adm2,MWI_2016_IHS-IV_v04_M,https://doi.org/10.48529/g2p9-9r19,district,IHS4 2016 District Location,,0.0,0.0
Malawi,2016,adm3,MWI_2016_IHS-IV_v04_M,https://doi.org/10.48529/g2p9-9r19,,,,,
Malawi,2016,adm4,MWI_2016_IHS-IV_v04_M,https://doi.org/10.48529/g2p9-9r19,,,,,
Malawi,2016,country,MWI_2016_IHS-IV_v04_M,https://doi.org/10.48529/g2p9-9r19,,,,,
Malawi,2016,crop,MWI_2016_IHS-IV_v04_M,https://doi.org/10.48529/g2p9-9r19,crop_code_collapsed; crop_code; ag_p0_crops,"Collapsed CC maize,gn,tob,rice; Crop ID; FOR EACH PLOT, LIST ALL TREE/PERMANENT CROPS HARVESTED BY HH IN LAST 12MONTHS","Crop names were harmonized for spelling. Crop names in Chichewa for which the English translation was known, were converted to their English name.",2.3022291694984367,2.5502318392581143
Malawi,2016,crop_area_share,MWI_2016_IHS-IV_v04_M,https://doi.org/10.48529/g2p9-9r19,ag_g03; ag_m03,"Approximately, how much of the [PLOT] is under [CROP]?; Approximately, how much of the [PLOT] is under crop [CROP]?","The percentage of plot area cultivated by a crop was assumed as: 12.5 % if indicated ""less than 1/4"", 25 % if indicated ""1/4"", 37.5 % if indicated ""less than 1/2"", 50 % if indicated ""1/2"", 62.5 % if indicated ""less than 3/4"", 75 % if indicated ""3/4"", 87.5 % if indicated ""more than 3/4"", 100 % if indicated as fully occupied by a single crop. For many plots, any indication on whether the crop was fully cultivated by a single crop is missing: Whenever a plot is not intercropped and not indicated as only partially being cropped, then we assume that the plot is fully under the target crop.",30.09359763692658,39.27975270479134
Malawi,2016,dataset_doi,MWI_2016_IHS-IV_v04_M,https://doi.org/10.48529/g2p9-9r19,,,,,
Malawi,2016,dataset_name,MWI_2016_IHS-IV_v04_M,https://doi.org/10.48529/g2p9-9r19,,,,,
Malawi,2016,fieldID,MWI_2016_IHS-IV_v04_M,https://doi.org/10.48529/g2p9-9r19,gardenid,Garden ID,,0.08738435819988222,0.07109737248840803
Malawi,2016,harvest_month,MWI_2016_IHS-IV_v04_M,https://doi.org/10.48529/g2p9-9r19,,,,,
Malawi,2016,harvest_month_begin,MWI_2016_IHS-IV_v04_M,https://doi.org/10.48529/g2p9-9r19,ag_g12a; ag_m12a; ag_p06a,What months did the harvest start?;  What were the months when the harvest started and ended? (START); What was the last completed production period for the tree/permanent crop,,3.5950540958268933,3.5950540958268933
Malawi,2016,harvest_month_end,MWI_2016_IHS-IV_v04_M,https://doi.org/10.48529/g2p9-9r19,ag_g12b; ag_m12b; ag_p06c,What months did the harvest end?; What were the months when the harvest started and ended? (END);  END MONTH,,3.58887171561051,3.58887171561051
Malawi,2016,harvest_year,MWI_2016_IHS-IV_v04_M,https://doi.org/10.48529/g2p9-9r19,,,,,
Malawi,2016,harvest_year_begin,MWI_2016_IHS-IV_v04_M,https://doi.org/10.48529/g2p9-9r19,ag_p06b,BEGIN YEAR (4-DIGIT),"The IHS surveys collected data on the harvesting year exclusively for tree and perennial crops, but not for annual crops.",6.092684074335451,87.65996908809892
Malawi,2016,harvest_year_end,MWI_2016_IHS-IV_v04_M,https://doi.org/10.48529/g2p9-9r19,ag_p06d,END YEAR (4-DIGIT),"The IHS surveys collected data on the harvesting year exclusively for tree and perennial crops, but not for annual crops.",6.116207951070336,87.66306027820711
Malawi,2016,hhID,MWI_2016_IHS-IV_v04_M,https://doi.org/10.48529/g2p9-9r19,case_id,Unique Household Identifier,,0.0,0.0
Malawi,2016,lat,MWI_2016_IHS-IV_v04_M,https://doi.org/10.48529/g2p9-9r19,lat_modified,GPS Latitude Modified,Geo-coordinates have been set to missing for reported values of 0N/0E or when one coordinate was reported as 0 and the other coordinate as missing.,0.024102193299590263,0.012364760432766615
