ea_id,com_cc01,com_cc02,com_cc03,com_cc03_1,com_cc04a,com_cc04b,com_cc04c,com_cc04d,com_cc04e,com_cc04f,com_cc04a_oth,com_cc05a,com_cc05b,com_cc05c,com_cc05d,com_cc05e,com_cc05f,com_cc05a_oth,com_cc06,com_cc07a,com_cc07b,com_cc07c,com_cc07d,com_cc07e,com_cc07f,com_cc07a_oth,com_cc08,com_cc09,com_cc09_oth,com_cc10,com_cc11,com_cc12,com_cc13,com_cc14
10101100,MORE MOVED OUT,1500,300,0,ISLAM,3,CHRISTIAN,297,,,,TUMBUKA,30,LAMBYA,50,SUKWA,120,CHINAMWANGA,FATHER,Matrilineal and matrilocal (chikamwini),290,Matrilineal and patrilocal (chitengwa),10,,,,70,FARMING,,Flat,1/4,1/4,1/4,3/4
10101101,MORE MOVED OUT,1100,220,0,CHRISTIAN,220,,,,,,LAMBYA,100,SUKWA,80,OTHER,40,MAMBWE,FATHER,Matrilineal and patrilocal (chitengwa),220,,,,,,50,FARMING,,Flat,1/4,ALMOST NONE,1/4,3/4
10101102,MORE MOVED IN,8500,1322,0,ISLAM,1,CHRISTIAN,1321,,,,NKHONDE,10,NYAKYUSA,2,LAMBYA,1000,,FATHER,Patrilineal and neolocal,1322,,,,,,19,FARMING,,Flat,1/4,ALMOST NONE,ALMOST NONE,3/4
10101103,MORE MOVED IN,675,135,0,CHRISTIAN,135,,,,,,LAMBYA,100,SUKWA,35,,,,FATHER,Matrilineal and patrilocal (chitengwa),135,,,,,,5,FARMING,,Flat,1/4,ALMOST NONE,ALMOST NONE,3/4
10101104,MORE MOVED OUT,989,198,0,CHRISTIAN,198,,,,,,SUKWA,148,OTHER,50,,,CHINDALE,FATHER,Matrilineal and patrilocal (chitengwa),198,,,,,,10,FARMING,,Steeply sloping,3/4,ALMOST NONE,3/4,3/4
10101105,MORE MOVED IN,900,155,1,CHRISTIAN,155,,,,,,LAMBYA,55,SUKWA,100,,,,FATHER,Matrilineal and patrilocal (chitengwa),155,,,,,,30,FARMING,,Flat,3/4,1/4,3/4,3/4
10101106,MORE MOVED OUT,4250,1400,10,CHRISTIAN,1400,,,,,,LAMBYA,700,SUKWA,350,OTHER,350,NTHALI,FATHER,Matrilineal and neolocal,1386,,,,,,50,FARMING,,Flat,1/4,ALMOST NONE,1/4,3/4
10102107,MORE MOVED IN,1050,250,0,CHRISTIAN,250,,,,,,LAMBYA,250,,,,,,FATHER,Matrilineal and patrilocal (chitengwa),250,,,,,,70,FARMING,,Flat,1/4,ALMOST NONE,ALMOST NONE,ALMOST NONE
10102108,MORE MOVED IN,1050,210,0,CHRISTIAN,210,,,,,,LAMBYA,210,,,,,,FATHER,Matrilineal and patrilocal (chitengwa),210,,,,,,30,FARMING,,Slightly sloping,1/4,ALMOST NONE,1/4,3/4
10102109,MORE MOVED OUT,1050,210,0,CHRISTIAN,210,,,,,,LAMBYA,210,,,,,,FATHER,Matrilineal and patrilocal (chitengwa),210,,,,,,25,FARMING,,Flat,1/4,ALMOST NONE,ALMOST NONE,3/4
10102110,MORE MOVED OUT,2600,520,0,CHRISTIAN,520,,,,,,LAMBYA,505,OTHER,15,,,CHINDALI,FATHER,Matrilineal and patrilocal (chitengwa),520,,,,,,52,FARMING,,Moderately sloping,1/2,ALMOST NONE,1/4,3/4
