case_id,HHID,crop_code,PID,ag_q00b,ag_q00c,ag_q00d,ag_q00e1,ag_q00e2,ag_q00e3,ag_q00e4
301085020044,000a3b8cf97a44219f2ca739d99669c0,8,1,1,2,1,0,0,1,0
301085020044,000a3b8cf97a44219f2ca739d99669c0,7,1,5,1,1,0,0,1,0
312027380110,000db14d4b284f7cb74f0bd5a03a3550,6,2,2,3,2,0,0,0,0
312027380110,000db14d4b284f7cb74f0bd5a03a3550,6,1,2,2,3,0,0,0,0
312027380110,000db14d4b284f7cb74f0bd5a03a3550,4,1,4,2,4,0,0,0,0
312027380110,000db14d4b284f7cb74f0bd5a03a3550,4,2,4,2,3,0,0,0,0
305065900019,003e5f39855846ea8361f43e37f851bc,6,1,8,2,1,1,0,0,1
305065900019,003e5f39855846ea8361f43e37f851bc,4,1,12,6,3,1,0,1,1
305065900019,003e5f39855846ea8361f43e37f851bc,5,1,1,1,1,0,0,0,0
305065900019,003e5f39855846ea8361f43e37f851bc,15,1,12,7,1,1,0,0,1
101051140079,0041636687b345018ae4b46b59292211,1,2,5,3,7,1,1,1,0
308016430005,0048aac98a2c40a9be924b94cdbe8f0b,9,1,2,1,1,0,0,1,0
308016430005,0048aac98a2c40a9be924b94cdbe8f0b,1,1,3,4,4,1,1,0,0
201102460206,005181de819a4526afe2bf14e2e3d7f2,4,1,1,5,1,0,0,1,0
305075930384,0057020f3fa444f6bbe0fddff676da9b,6,1,3,7,1,0,0,1,0
305075930384,0057020f3fa444f6bbe0fddff676da9b,14,1,4,7,1,0,0,1,0
305075930384,0057020f3fa444f6bbe0fddff676da9b,4,1,4,7,1,0,0,1,0
103041550407,00614104b33549d396a082c46449461f,4,2,8,7,1,1,0,1,0
103041550407,00614104b33549d396a082c46449461f,18,2,4,1,1,1,0,1,1
103041550407,00614104b33549d396a082c46449461f,4,4,8,7,1,1,0,1,0
103041550407,00614104b33549d396a082c46449461f,1,2,12,2,7,1,1,1,1
103041550407,00614104b33549d396a082c46449461f,1,3,12,2,7,1,1,1,1
103041550407,00614104b33549d396a082c46449461f,7,2,5,1,1,1,0,1,1
103041550407,00614104b33549d396a082c46449461f,4,3,8,7,1,1,0,1,0
311047130031,0067e441f6de45f2ad59be6e18f3730d,1,1,1,1,1,0,0,0,0
307106340208,007a1f8fd14e47cb98190b0bb33e5277,1,2,16,7,2,1,,1,1
307106340208,007a1f8fd14e47cb98190b0bb33e5277,1,1,16,7,2,1,,1,1
313027590157,008cf8f470064bb2901827f91e0639b2,4,1,4,4,4,1,0,0,0
314377860282,0093e34101584cb192242bd6fd3e0b63,12,2,3,2,2,0,0,1,0
314377860282,0093e34101584cb192242bd6fd3e0b63,4,2,3,2,1,0,0,0,1
314377860282,0093e34101584cb192242bd6fd3e0b63,8,2,4,2,1,0,0,1,0
203032900149,009c0320df6b45319b68e3fea55999ca,7,1,3,3,1,0,0,0,0
207074000294,009fd63d7ca544fa86e07f95781eb567,7,1,1,2,2,0,0,1,0
207074000294,009fd63d7ca544fa86e07f95781eb567,4,1,1,4,1,0,0,1,0
104051800091,00a351c5b12f481d898a25b00c1d8861,1,1,24,5,4,1,1,1,1
302095200230,00d5119213d74bf087c28921790a2ae5,7,2,3,1,3,1,0,0,0
207023880317,00d91bf747164e848958d711bcca04fe,4,2,1,6,1,0,0,1,0
203022850032,00e43104a8c44f52841894e67791fa82,9,1,1,1,1,0,0,0,0
303115510210,00f0dfa56a1c467092d049fd95ee8026,1,1,1,3,2,1,1,1,0
303115510210,00f0dfa56a1c467092d049fd95ee8026,4,1,1,5,2,0,0,1,0
308016450334,00fc9ca955bc447aaf520e908ff228cd,1,1,1,6,2,1,1,1,1
105102090094,011105bafa434f739f67cc1bdc4f8468,1,1,8,1,2,0,0,1,0
102041360006,013571e53664428bb6b5af0fe41ed089,1,1,1,6,4,1,1,1,1
102041360006,013571e53664428bb6b5af0fe41ed089,1,8,1,6,4,1,1,1,1
310026940035,013922eb280a466b83811d58362eda17,4,1,3,2,3,1,0,1,0
310026940035,013922eb280a466b83811d58362eda17,4,2,4,3,2,1,0,1,0
310036960059,013f3bffa3c14a68a619ba1aaefdd04a,4,1,8,3,1,0,0,1,0
310036960059,013f3bffa3c14a68a619ba1aaefdd04a,4,2,2,2,1,0,0,1,0
209054380122,0153f47bc58a4036acb8cf0f16309dd2,4,4,2,3,1,0,0,0,1
209054380122,0153f47bc58a4036acb8cf0f16309dd2,1,2,4,2,1,1,0,0,1
101011040031,015bf2639fae45db9d8ddd6a181eaf89,7,1,1,5,5,1,0,1,0
105011910098,015fbc00036045b0acb75851a03e9c03,7,1,2,2,3,1,0,1,0
105011910098,015fbc00036045b0acb75851a03e9c03,7,2,3,2,1,1,0,1,0
105011910098,015fbc00036045b0acb75851a03e9c03,4,2,3,3,2,1,0,1,1
105011910098,015fbc00036045b0acb75851a03e9c03,4,1,3,4,2,1,0,1,1
302065160130,017055d31bca45609dc2a16c7935187b,4,1,4,2,2,0,0,0,0
302065160130,017055d31bca45609dc2a16c7935187b,4,2,3,2,2,0,0,0,0
102011270165,01767e4725bf4bfc89265a714c5aaad8,4,1,3,2,1,0,0,0,0
305065890216,01780164ef6d4336a52e94401963036a,4,1,1,1,1,,,1,
308076630094,018c49cda7fc485cab1f0e44ac25f55a,7,2,2,3,1,0,0,1,0
306016000176,018db0e23d1240fa8eec9ea8a77e27eb,14,2,4,4,1,0,0,1,0
306016000176,018db0e23d1240fa8eec9ea8a77e27eb,14,1,4,3,1,0,0,1,0
306016000176,018db0e23d1240fa8eec9ea8a77e27eb,4,1,5,7,1,0,0,1,0
306016000176,018db0e23d1240fa8eec9ea8a77e27eb,4,2,5,7,1,0,0,1,0
308036490003,0195bc6422b848e3bfda546c1cb53999,4,1,20,7,1,1,0,1,1
308036490003,0195bc6422b848e3bfda546c1cb53999,6,2,12,2,1,1,0,1,1
308036490003,0195bc6422b848e3bfda546c1cb53999,6,5,12,2,1,1,0,1,1
308036490003,0195bc6422b848e3bfda546c1cb53999,1,1,2,6,6,1,1,1,1
308036490003,0195bc6422b848e3bfda546c1cb53999,4,2,20,7,1,1,0,1,1
308036490003,0195bc6422b848e3bfda546c1cb53999,6,1,12,2,1,1,0,1,1
308036490003,0195bc6422b848e3bfda546c1cb53999,4,5,20,7,1,1,0,1,1
308036490003,0195bc6422b848e3bfda546c1cb53999,4,4,20,7,1,1,0,1,1
308036490003,0195bc6422b848e3bfda546c1cb53999,1,5,2,6,2,1,1,1,1
