case_id,HHID,ag_t0c,ag_t02b_oth,ag_t05a,ag_t05b,ag_t05c,ag_t05d,ag_t05_1,ag_t06a,ag_t06b,ag_t07,ag_t08,ag_t09,ag_t10,ag_t11
301085020044,000a3b8cf97a44219f2ca739d99669c0,Gov Agricultural Extension Service,,1,2,2,2,NO,0,0,2,,NO,,Useful
312027380110,000db14d4b284f7cb74f0bd5a03a3550,Gov Agricultural Extension Service,,1,2,2,2,NO,0,0,1,,NO,,Very useful
312027380110,000db14d4b284f7cb74f0bd5a03a3550,Radio,,1,2,2,2,NO,,,,,,,Very useful
313017550034,002b438e06564a0582c78fd7f61bdfef,Other Farmer(Neighbor/Relative),,2,2,2,2,NO,,,,,NO,,Very useful
304015550360,0036892030f544dbb4b40c588b72f59a,Gov Agricultural Extension Service,,2,2,2,2,NO,4,2,0,,NO,,Very useful
206033560167,003cc90a927c4247b0c40c406cfd8579,Private Agricultural Extension Service,,1,2,2,2,NO,0,1,1,,YES,7000,Useful
308016430005,0048aac98a2c40a9be924b94cdbe8f0b,NGO,,1,2,2,2,NO,0,0,4,,NO,,Very useful
201102460206,005181de819a4526afe2bf14e2e3d7f2,Gov Agricultural Extension Service,,1,2,2,2,NO,0,0,0,,NO,,Useful
201102460206,005181de819a4526afe2bf14e2e3d7f2,Phone/SMS,,1,2,2,2,YES,,,,,NO,,Useful
305075930384,0057020f3fa444f6bbe0fddff676da9b,Other Farmer(Neighbor/Relative),,1,2,2,2,NO,,,,,NO,,Very useful
103041550407,00614104b33549d396a082c46449461f,Radio,,2,2,2,2,NO,,,,,,,Very useful
307106340208,007a1f8fd14e47cb98190b0bb33e5277,Gov Agricultural Extension Service,,1,2,2,2,NO,0,0,2,,NO,,Very useful
206103720005,007acd424d13435fb5a3d836334b972d,Private Agricultural Extension Service,,1,2,2,2,NO,4,4,4,,NO,,Very useful
201212520033,007d1550a6014f6b9f8f8aca1ca66ffc,Other Farmer(Neighbor/Relative),,1,2,2,2,NO,,,,,NO,,Not very useful
102031340167,00805178892540c2a41f22f59c87664d,Gov Agricultural Extension Service,,1,2,2,2,NO,0,0,1,,NO,,Useful
102031340167,00805178892540c2a41f22f59c87664d,NGO,,1,2,2,2,NO,0,0,6,,NO,,Useful
306206170063,0082ee2b4e604e8ebeeeb495b1865d5f,Radio,,2,2,2,2,NO,,,,,,,Very useful
313027590157,008cf8f470064bb2901827f91e0639b2,Gov Agricultural Extension Service,,1,2,2,2,NO,5,0,0,,NO,,Very useful
310016920160,0092433dff9d49ada4355a51694fe237,Village Agricultural Extension Meeting,,1,2,2,2,NO,,,,0,NO,,Useful
104081850105,00b24f81d4a5497fb45918ed23afdf2a,Gov Agricultural Extension Service,,1,2,2,2,NO,0,0,1,,NO,,Very useful
103011490005,00b2a69ad4a8423fa28352cea11dd10e,Other Farmer(Neighbor/Relative),,2,2,2,2,NO,,,,,NO,,Useful
104011740089,00db32cbee1d45dd9d62f1c38e07bded,Gov Agricultural Extension Service,,1,2,2,2,NO,0,5,5,,NO,,Very useful
104011740089,00db32cbee1d45dd9d62f1c38e07bded,Other Farmer(Neighbor/Relative),,1,2,2,2,NO,,,,,NO,,Very useful
104011740089,00db32cbee1d45dd9d62f1c38e07bded,"Other Electronic Media (TV, Etc)",,1,2,2,2,NO,,,,,,,Very useful
201122470111,00e0350a70b143a2b400862404036333,Gov Agricultural Extension Service,,1,2,2,2,NO,0,0,0,,NO,,Useful
203022850032,00e43104a8c44f52841894e67791fa82,Other Farmer(Neighbor/Relative),,1,2,2,2,NO,,,,,NO,,Not very useful
