case_id,HHID,CostsID,fs_j04a,fs_j04b,fs_j05
101201230097,2270b653f44c4f5dbe4a62d0f32f5813,Transport,yes,,7000
102011240055,73dde2e9798343728bb0a59b77323d16,Hired Labor,yes,,4000
102011240191,ff1c536c23f74272b538ba40cb8a017c,Ice,yes,,3000
102011240191,ff1c536c23f74272b538ba40cb8a017c,Transport,yes,,6000
102011270158,56504e358a454e228f77dab5602f635e,Transport,yes,,800
102031310144,bd08c9d072c74aa483eebcbf185de1cc,Hired Labor,yes,,15000
102031340186,b16818be1135482e9e3da5ee403698f0,Ice,yes,,3000
102031340186,b16818be1135482e9e3da5ee403698f0,Transport,yes,,6000
102031350113,aa64297c5a144e4cb978a10ba2317e93,Transport,yes,,30000
102051410136,f1ce8161e4004670a8edf9f48ae59ed1,Hired Labor,yes,,45000
102051410196,f5759c2a258644598a43fd1c6a26b424,Transport,yes,,3500
102201430307,e9e09d1f25f045a2977e121c85cd8299,Tax,yes,,1500
102201430307,e9e09d1f25f045a2977e121c85cd8299,Ice,yes,,4500
102201460042,165210a5cec9462990d6f144094ceb9d,Ice,yes,,3000
102201460042,165210a5cec9462990d6f144094ceb9d,Transport,yes,,2000
102201460103,c9d941818fb345438335e3c8a73347f0,Tax,yes,,900
102201460103,c9d941818fb345438335e3c8a73347f0,Other Specify,yes,PLASTIC BAGS,150
102201460206,4e417471acac4e86953bec6695c5aa55,Transport,yes,,2400
102201460261,70010aa27e9b49e8b844f52a8fc6ee7d,Transport,yes,,3000
102201460330,14651bc65d6f4bdf86aaea33c334ab1e,Transport,yes,,4000
103041550180,63d5301b943a433da5d50baa505766aa,Hired Labor,yes,,2000
103121640003,891f1b2de1ff4503bac4f3c38e2b6a67,Transport,yes,,2000
103121650179,cba0fa54bfa74ada8d6382d8aab3fae7,Transport,yes,,5000
103201680072,987b4bd27aa442968db466205a1e3536,Hired Labor,yes,,1500
103201680072,987b4bd27aa442968db466205a1e3536,Transport,yes,,3000
103201680086,4ff89dca92af45b684af7220cedd61ba,Transport,yes,,7000
103201680086,4ff89dca92af45b684af7220cedd61ba,Hired Labor,yes,,1000
104201890128,4c55c9d701b247ceb85adc68fb6f7955,Transport,yes,,9000
106012110070,db8d62f269ce4087b6888253bfe2c32b,Transport,yes,,6000
106012110077,c8a435b803704218b05c556b00cfddb4,Hired Labor,yes,,4000
106012110077,c8a435b803704218b05c556b00cfddb4,Transport,yes,,10000
106012110360,8b8846595c544806a0848e62b383f1a3,Transport,yes,,10000
201012370054,3498e3e819d442fb918936d1ceeedbf1,Transport,yes,,1400
201012370067,f55ac8afe5ca4cc48b52bb7a62e639a3,Transport,yes,,12000
201012370067,f55ac8afe5ca4cc48b52bb7a62e639a3,Hired Labor,yes,,6000
201042400156,46a5daaf62c248da97fcc10129e832b6,Transport,yes,,2000
201042400340,2939e73be2d142bc9c40bb14c40ec65f,Transport,yes,,2000
201202510452,33562022c89342cdb15d85e78156605f,Transport,yes,,8000
201202510452,33562022c89342cdb15d85e78156605f,Hired Labor,yes,,6000
201202510452,33562022c89342cdb15d85e78156605f,Ice,yes,,2500
202012610288,26adc41013a94298b69eb3598e8dad22,Hired Labor,yes,,10000
202012610405,9d70f67249c746d7b8ea515f7c63645b,Ice,yes,,5000
202062760073,8dd4a2c502924f25b03154276d68d9cb,Packaging,yes,,300
203063000058,49bc806a98134d20b716d6e39a4fdf97,Transport,yes,,3500
