case_id,HHID,CostsID,fs_f04,fs_f04_oth,fs_f05
101201230097,2270b653f44c4f5dbe4a62d0f32f5813,Transport,yes,,15000
102011240055,73dde2e9798343728bb0a59b77323d16,Hired Labor,yes,,10000
102011240076,1449dd2a736f4260b3a5c00c48c01665,Hired Labor,yes,,3000
102011240230,39389dfff68249caab22583818a8e325,Transport,yes,,4000
102011240230,39389dfff68249caab22583818a8e325,Hired Labor,yes,,6000
102011270158,56504e358a454e228f77dab5602f635e,Transport,yes,,1200
102011280030,6680c605758841ddbe900ef0d8f78cbe,Transport,yes,,2000
102031310144,bd08c9d072c74aa483eebcbf185de1cc,Hired Labor,yes,,60000
102031340186,b16818be1135482e9e3da5ee403698f0,Transport,yes,,6000
102031340186,b16818be1135482e9e3da5ee403698f0,Ice,yes,,3000
102031350113,aa64297c5a144e4cb978a10ba2317e93,Transport,yes,,30000
102041360005,548671a98bbc444ebd442b6ca03df8a8,Transport,yes,,10000
102041360030,92c84f1ce8c54a3783edccfb56b0a081,Hired Labor,yes,,7000
102041360136,eae3f62eed2940a0a5bbe2a495410803,Transport,yes,,56000
102041360162,7c2fe5a29b1b4351a4c347dde9f16f5c,Ice,yes,,6000
102041360162,7c2fe5a29b1b4351a4c347dde9f16f5c,Transport,yes,,36000
102041360188,6568506810014f82bebe97eb14691591,Hired Labor,yes,,4000
102041360205,9497ad3d50874b6e80a1ef28b6148e15,Transport,yes,,1500
102041380207,0742aa43ddcb4f36a7289331d93a24ad,Transport,yes,,4000
102201430307,e9e09d1f25f045a2977e121c85cd8299,Ice,yes,,4000
102201460103,c9d941818fb345438335e3c8a73347f0,Tax,yes,,900
102201460103,c9d941818fb345438335e3c8a73347f0,Other Specify,yes,PLASTIC BAGS,150
102201460206,4e417471acac4e86953bec6695c5aa55,Transport,yes,,6000
102201460261,70010aa27e9b49e8b844f52a8fc6ee7d,Transport,yes,,5000
102201460330,14651bc65d6f4bdf86aaea33c334ab1e,Transport,yes,,4000
102201460330,14651bc65d6f4bdf86aaea33c334ab1e,Hired Labor,yes,,6000
103041550180,63d5301b943a433da5d50baa505766aa,Hired Labor,yes,,2000
103061570005,c683ba6225d24cbebdb0b6dc1e8881e4,Transport,yes,,1000
103071590131,311fdbae1e814acaa952ab564c9f8460,Hired Labor,yes,,15000
103091620003,966a8f7369614dae9c2747caa722153a,Transport,yes,,6000
103091620012,44b58a80f2394709b5d320523950e675,Hired Labor,yes,,4000
103091620012,44b58a80f2394709b5d320523950e675,Transport,yes,,2000
103091620017,7bdeb0713a3a4be3adbd57b9d856c8ae,Transport,yes,,2000
103121640003,891f1b2de1ff4503bac4f3c38e2b6a67,Transport,yes,,2000
103121640028,9cb397625ab94955bdc911e682c5f4b0,Transport,yes,,2000
103121640031,cdbb743f058e44b7b07d5ca1fd259661,Transport,yes,,2000
103121640035,25202b0dc90640c78a0fe39a634041bf,Transport,yes,,2000
103121650179,cba0fa54bfa74ada8d6382d8aab3fae7,Transport,yes,,5000
103121650471,d8d67896703b4e9482c723dc3e2cc370,Transport,yes,,2800
103201680072,987b4bd27aa442968db466205a1e3536,Hired Labor,yes,,1500
103201680072,987b4bd27aa442968db466205a1e3536,Transport,yes,,3000
103201680086,4ff89dca92af45b684af7220cedd61ba,Hired Labor,yes,,5000
103201680086,4ff89dca92af45b684af7220cedd61ba,Transport,yes,,12360
104041780120,7b56ead5540c4dbfb7f69fc91cd251cc,Transport,yes,,20000
104041780137,c99c252d0f00467aa85701cf5642b95a,Hired Labor,yes,,4000
104201890128,4c55c9d701b247ceb85adc68fb6f7955,Ice,yes,,1000
105041980196,7e3a3fc584904162890889c67a24baf8,Hired Labor,yes,,3000
106012110004,d44fc041d3cf42928b460ca5e04ead07,Transport,yes,,1000
106012110070,db8d62f269ce4087b6888253bfe2c32b,Transport,yes,,6000
106012110077,c8a435b803704218b05c556b00cfddb4,Hired Labor,yes,,4000
106012110077,c8a435b803704218b05c556b00cfddb4,Transport,yes,,6500
106012110360,8b8846595c544806a0848e62b383f1a3,Hired Labor,yes,,60000
106012110360,8b8846595c544806a0848e62b383f1a3,Transport,yes,,20000
106012120084,be469e9fde1c474c9b49625ab62f3ccc,Transport,yes,,13000
106012120104,6be3950e67f949b3ba53e41510beb3f8,Transport,yes,,30000
107402300081,fc9c183b2b754a91b1984e5de92dbc44,Hired Labor,yes,,2000
201012370054,3498e3e819d442fb918936d1ceeedbf1,Transport,yes,,1400
201012370067,f55ac8afe5ca4cc48b52bb7a62e639a3,Transport,yes,,12000
201012370067,f55ac8afe5ca4cc48b52bb7a62e639a3,Hired Labor,yes,,6000
201042400156,46a5daaf62c248da97fcc10129e832b6,Transport,yes,,2000
201042400340,2939e73be2d142bc9c40bb14c40ec65f,Transport,yes,,2000
201202510452,33562022c89342cdb15d85e78156605f,Ice,yes,,2500
201202510452,33562022c89342cdb15d85e78156605f,Hired Labor,yes,,20000
201202510452,33562022c89342cdb15d85e78156605f,Transport,yes,,9000
202012610085,af553d7e86654519b98e08efbe6c72ed,Transport,yes,,1000
202012610111,a82df73a7ae247ab951a3bcb06d153db,Transport,yes,,150000
202012610288,26adc41013a94298b69eb3598e8dad22,Transport,yes,,35000
202012610288,26adc41013a94298b69eb3598e8dad22,Hired Labor,yes,,5000
202012630048,cfaf93d4cc23462bbbaeafca87f9d7b9,Transport,yes,,15000
202012650096,c674acba1a3146e5931d27264639035c,Transport,yes,,3000
202032690233,aea3dd3b707145e2aab3a7588bd1fdd6,Packaging,yes,,1000
202062740428,05663c5cc5c44c769182e787c00935a0,Transport,yes,,2000
202062750140,a198f2580cf54e13bbfa68311ced3656,Transport,yes,,2000
202062760073,8dd4a2c502924f25b03154276d68d9cb,Packaging,yes,,200
202062760142,cb5167d6923d47a79b3849d92a8f2271,Ice,yes,,500
202062770286,dcb807759a7f4f09bdd082ddddc9bc24,Transport,yes,,2000
202062790306,6ab88b8c4aa44dd5b9738190d085d919,Transport,yes,,500
203022860074,ed522656705840c19c8ef5494a82406a,Transport,yes,,4000
203042940018,cc4df7980e71436bbbeba2f7dbf32434,Transport,yes,,1000
203042940018,cc4df7980e71436bbbeba2f7dbf32434,Packaging,yes,,400
203063000058,49bc806a98134d20b716d6e39a4fdf97,Transport,yes,,3500
203073010095,28edae89a19944829e6156a16565d79b,Transport,yes,,1000
204013060229,c1dd7f37d3d1487f9fffe745272d8ae3,Transport,yes,,2000
204023070135,a62ed6d6a7404335b8fd4144ea563f7f,Transport,yes,,1000
204053190194,c4fc7fa7788145f7a3fd0976143cd1fb,Transport,yes,,1400
205013260076,1e316d1748cd43f4a233a47227605b48,Transport,yes,,24000
205013280943,baf974ca5ded4c0cbf31b8a14950bf31,Ice,yes,,3000
205013280943,baf974ca5ded4c0cbf31b8a14950bf31,Transport,yes,,4000
205053370039,8b81dd0a679948b880b66a1f598c45a0,Transport,yes,,3000
205053370039,8b81dd0a679948b880b66a1f598c45a0,Hired Labor,yes,,5000
206083670380,391c5b87d7f74b2b8aca27813d684aa1,Transport,yes,,400
207033920187,fbf0e0e5c6f2434bb8820033f44c5e14,Transport,yes,,2500
207074010032,b128cc944a5d4d6f80785919fde72513,Transport,yes,,600
207074010118,007e60d0bf334854b312ccb2409eed7f,Transport,yes,,500
207204060187,afa03f7d108b4edf82d4164831a15722,Transport,yes,,20000
207204060187,afa03f7d108b4edf82d4164831a15722,Tax,yes,,700
208034140003,2a41076421b44f979e43636d9728424d,Transport,yes,,1200
209074400120,324309d1cc404b92995f7c327f824740,Other Specify,yes,FOOD PER DAY,500
209094440120,0b6a41558a064562be0fd38e85190cf3,Transport,yes,,15000
209104480147,b2a4b91793424016b53eab4f8765ec6a,Transport,yes,,800
210404530056,246f24d6868f4d65bf0ac9a4d82f1edd,Transport,yes,,1500
210524560148,c4abd3112d7947b5a91ee7c1e1116157,Hired Labor,yes,,5000
210524560148,c4abd3112d7947b5a91ee7c1e1116157,Transport,yes,,11000
210534570335,c9353c509bd24469b34dd01fca4ea572,Packaging,yes,,300
210744700137,71dc023e07af49178e0456b4e18015a3,Transport,yes,,1200
210814760094,d382e45049974e5baf0d325a38906db6,Transport,yes,,3000
210834770069,2a1005333abc4ac1ad79c0051f7b04ae,Ice,yes,,2000
210854780182,16fda3533fea49ca95e32bb02d73263d,Transport,yes,,400
301014850221,404755a1aa2d4f9894ebd315a4b73e6e,Hired Labor,yes,,6000
301014850221,404755a1aa2d4f9894ebd315a4b73e6e,Packaging,yes,,600
301044910228,c5644b861016426ba906b43b3eb95ec9,Other Specify,yes,PLASTIC BAGS,200
301074990182,11dc07ba4130498cb6a9d3c441d607e9,Transport,yes,,1800
301075000130,1eb28b8016d5480c962db6d5ebf5fbbc,Other Specify,yes,PLASTIC BAGS,600
302015100043,0f0c040e49424a0ea37377b0bbe367b6,Packaging,yes,,100
302045140142,138fe65e4394456a9fc55fec3942e856,Transport,yes,,600
302045140142,138fe65e4394456a9fc55fec3942e856,Other Specify,yes,PLASTIC BAGS,200
