ea_id,com_ch0b,com_ch01,com_ch02,com_ch04,com_ch05,com_ch05_oth,com_ch06,com_ch07a,com_ch07b,com_ch07c,com_ch07d,com_ch07e,com_ch07f,com_ch07h,com_ch07i,com_ch07_oth,com_ch09,com_ch09_1a,com_ch09_1b,com_ch09_1c,com_ch09_1_oth,com_ch10,com_ch11,com_ch12,com_ch12_oth,com_ch13a,com_ch13b,com_ch13c,com_ch13_oth,com_ch14,com_ch14_oth,com_ch15
10101100,Agricultural/Fishery/ Livestock Extension Services,NO,NO,,,,,No,No,No,No,No,No,No,,,,,,,,,,,,No,No,No,,,,
10101100,Maize Mill: Construction/ Maintenance/Improvement,NO,NO,,,,,No,No,No,No,No,No,No,,,,,,,,,,,,No,No,No,,,,
10101100,Bridge: Construction,YES,YES,YES,VILLAGE DEVELOPMENTCOMMITTEE,,YES,Yes,No,No,No,No,No,No,0,,Addressed/Being Addressed,Central Government,,,,.a,0,,,No,No,No,,OTHER (SPECIFY),THECOMMUNITYWASNOTINFORMED,
10101100,Piped Water/Boreholes/Wells: Maintenance/Improvement,NO,NO,,,,,No,No,No,No,No,No,No,,,,,,,,,,,,No,No,No,,,,
10101100,Other (Specify),NO,NO,,,,,No,No,No,No,No,No,No,,,,,,,,,,,,No,No,No,,,,
10101100,Orphanage: Construction/ Maintenance/Improvement,NO,NO,,,,,No,No,No,No,No,No,No,,,,,,,,,,,,No,No,No,,,,
10101100,Health Center/Clinic/Dispensary: Construction,NO,NO,,,,,No,No,No,No,No,No,No,,,,,,,,,,,,No,No,No,,,,
10101100,Road: Construction,YES,YES,YES,SOCIAL WORKER,,YES,Yes,No,Yes,No,Yes,No,No,0,,Addressed/Being Addressed,District/CityAssembly,MASAF,,,2268400,0,,,Yes,Yes,No,,VILLAGE RESIDENTS,,
10101100,Health Center/Clinic/Dispensary: Maintenance/Improvement,YES,YES,YES,VILLAGE DEVELOPMENTCOMMITTEE,,YES,Yes,Yes,No,No,No,No,No,0,,Addressed/Being Addressed,Community Fundraising,,,,194000,194000,Compulsary,,Yes,Yes,No,,VILLAGE ELDERS,,
10101100,Primary School: Construction,YES,YES,YES,VILLAGE DEVELOPMENTCOMMITTEE,,YES,Yes,Yes,No,No,No,No,No,0,,Addressed/Being Addressed,Central Government,Community Fundraising,,,278300,240000,Compulsary,,Yes,Yes,No,,VILLAGE ELDERS,,
10101100,Primary School: Maintenance/Improvement,NO,NO,,,,,No,No,No,No,No,No,No,,,,,,,,,,,,No,No,No,,,,
10101100,Secondary School: Maintenance/Improvement,NO,NO,,,,,No,No,No,No,No,No,No,,,,,,,,,,,,No,No,No,,,,
10101100,Bridge: Maintenance,NO,NO,,,,,No,No,No,No,No,No,No,,,,,,,,,,,,No,No,No,,,,
10101100,Road: Maintenance,YES,YES,YES,VILLAGE DEVELOPMENTCOMMITTEE,,YES,Yes,No,Yes,No,Yes,No,No,0,,Addressed/Being Addressed,MASAF,District/CityAssembly,,,2268400,0,,,Yes,Yes,No,,VILLAGE RESIDENTS,,
10101100,Electricity,NO,NO,,,,,No,No,No,No,No,No,No,,,,,,,,,,,,No,No,No,,,,
10101100,Piped Water/Boreholes/Wells: Construction,YES,YES,YES,VILLAGE HEADMAN,,YES,Yes,No,No,No,Yes,No,No,0,,Addressed/Being Addressed,NGO,,,,6000000,26000,Compulsary,,Yes,Yes,No,,VILLAGE RESIDENTS,,
10101100,Community Based Child Care Center/Nursery: Initiation/ Improvement,YES,YES,YES,VILLAGE HEADMAN,,YES,Yes,Yes,No,No,Yes,No,No,0,,Addressed/Being Addressed,NGO,,,,130000,900000,Compulsary,,Yes,Yes,No,,VILLAGE RESIDENTS,,
10101100,Public Transportation: Initiation/Improvement,NO,NO,,,,,No,No,No,No,No,No,No,,,,,,,,,,,,No,No,No,,,,
10101100,Law Enforcement: Initiation/ Improvement,YES,YES,YES,VILLAGE HEADMAN,,YES,Yes,No,No,No,No,No,No,0,,Addressed/Being Addressed,Other (Specify),,,N/A,0,0,,,Yes,Yes,No,,VILLAGE RESIDENTS,,
10101100,Secondary School: Construction,NO,NO,,,,,No,No,No,No,No,No,No,,,,,,,,,,,,No,No,No,,,,
10101101,Primary School: Construction,NO,NO,,,,,No,No,No,No,No,No,No,,,,,,,,,,,,No,No,No,,,,
10101101,Community Based Child Care Center/Nursery: Initiation/ Improvement,YES,YES,YES,VILLAGE HEADMAN,,YES,Yes,No,No,No,No,No,Yes,0,,Addressed/Being Addressed,NGO,,,,25000000,0,,,Yes,Yes,No,,VILLAGE RESIDENTS,,
10101101,Health Center/Clinic/Dispensary: Construction,NO,NO,,,,,No,No,No,No,No,No,No,,,,,,,,,,,,No,No,No,,,,
10101101,Public Transportation: Initiation/Improvement,NO,NO,,,,,No,No,No,No,No,No,No,,,,,,,,,,,,No,No,No,,,,
10101101,Agricultural/Fishery/ Livestock Extension Services,NO,NO,,,,,No,No,No,No,No,No,No,,,,,,,,,,,,No,No,No,,,,
10101101,Orphanage: Construction/ Maintenance/Improvement,NO,NO,,,,,No,No,No,No,No,No,No,,,,,,,,,,,,No,No,No,,,,
10101101,Secondary School: Construction,NO,NO,,,,,No,No,No,No,No,No,No,,,,,,,,,,,,No,No,No,,,,
10101101,Piped Water/Boreholes/Wells: Maintenance/Improvement,YES,YES,YES,VILLAGE HEADMAN,,YES,Yes,Yes,No,No,No,No,No,0,,Addressed/Being Addressed,Community Fundraising,,,,260000,260000,Compulsary,,Yes,Yes,No,,VILLAGE RESIDENTS,,
10101101,Road: Construction,NO,NO,,,,,No,No,No,No,No,No,No,,,,,,,,,,,,No,No,No,,,,
10101101,Primary School: Maintenance/Improvement,YES,YES,YES,VILLAGE HEADMAN,,YES,Yes,Yes,No,No,Yes,No,No,0,,Addressed/Being Addressed,District/CityAssembly,Community Fundraising,,,280000,120000,Compulsary,,Yes,Yes,No,,VILLAGE ELDERS,,
10101101,Law Enforcement: Initiation/ Improvement,NO,NO,,,,,No,No,No,No,No,No,No,,,,,,,,,,,,No,No,No,,,,
10101101,Other (Specify),NO,NO,,,,,No,No,No,No,No,No,No,,,,,,,,,,,,No,No,No,,,,
